b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,201.40,203.30,182.20,195.50,29026
14-Sep-17,204.00,204.00,201.40,201.40,2440
13-Sep-17,204.30,205.55,200.50,203.40,4797
12-Sep-17,203.95,204.20,201.35,204.00,8605
11-Sep-17,196.20,200.70,196.20,200.50,4333
8-Sep-17,196.70,197.55,195.50,195.60,4956
7-Sep-17,196.00,199.00,195.00,195.70,3670
6-Sep-17,191.90,197.50,188.05,194.00,9514
5-Sep-17,200.80,200.95,191.60,192.00,11670
4-Sep-17,205.00,205.00,199.00,200.70,19079
1-Sep-17,209.70,209.70,196.00,205.00,25537
31-Aug-17,208.00,213.80,207.80,210.00,21658
30-Aug-17,197.05,207.80,197.05,207.80,22729
29-Aug-17,195.00,196.75,191.15,196.75,8015
28-Aug-17,190.85,195.00,189.50,195.00,6177
25-Aug-17,188.20,192.40,187.80,190.85,2814
24-Aug-17,189.10,190.60,187.65,187.65,3548
23-Aug-17,193.65,193.70,187.00,188.00,6541
22-Aug-17,193.90,196.75,193.55,194.00,5366
21-Aug-17,191.00,193.80,190.00,193.55,4002
18-Aug-17,189.00,189.95,187.55,189.00,795
17-Aug-17,188.00,190.00,187.00,189.00,1650
16-Aug-17,184.00,187.90,184.00,187.00,3182
14-Aug-17,182.00,184.40,182.00,184.00,952
11-Aug-17,183.00,184.80,181.20,183.20,1408
10-Aug-17,186.50,186.50,182.50,182.90,1714
9-Aug-17,184.00,186.50,183.60,186.50,919
8-Aug-17,187.85,189.00,183.00,184.90,3734
7-Aug-17,193.30,193.30,181.00,189.00,1653
4-Aug-17,190.75,193.65,186.00,189.95,1414
3-Aug-17,190.85,190.85,186.00,190.75,2688
2-Aug-17,193.85,193.85,189.25,190.80,12255
1-Aug-17,197.90,201.00,191.95,194.90,4238
31-Jul-17,195.45,197.10,193.60,197.10,3174
28-Jul-17,194.90,195.30,192.65,195.00,1827
27-Jul-17,192.00,195.40,189.00,195.40,5861
26-Jul-17,185.00,193.50,184.00,191.45,54822
25-Jul-17,181.90,183.50,180.00,183.00,8123
24-Jul-17,182.30,182.95,180.00,181.90,2362
21-Jul-17,180.00,182.75,180.00,181.90,2347
20-Jul-17,180.00,183.00,180.00,180.00,4060
19-Jul-17,179.00,180.30,177.15,179.00,9197
18-Jul-17,179.50,179.50,175.10,179.20,2876
17-Jul-17,180.00,181.80,178.50,179.50,1953
14-Jul-17,170.50,178.60,170.50,178.40,3633
13-Jul-17,174.40,174.40,170.50,170.80,2631
12-Jul-17,175.00,175.00,173.70,174.40,2495
11-Jul-17,177.50,177.50,176.00,176.00,2412
10-Jul-17,177.50,177.50,176.00,176.90,1646
7-Jul-17,176.10,177.95,176.00,176.10,4154
6-Jul-17,179.55,179.55,176.25,176.50,966
5-Jul-17,178.00,180.00,176.90,177.50,17313
4-Jul-17,180.00,180.00,176.50,179.90,13279
3-Jul-17,183.70,183.70,179.00,180.00,882
30-Jun-17,182.00,183.20,178.50,183.00,7481
29-Jun-17,178.00,185.00,176.50,185.00,2510
28-Jun-17,179.00,179.70,176.10,179.70,1429
27-Jun-17,179.00,179.80,175.00,179.00,1355
26-Jun-17,183.00,183.00,178.85,179.90,1807
23-Jun-17,184.50,184.50,182.00,183.60,766
22-Jun-17,179.00,184.75,179.00,184.00,5434
21-Jun-17,171.55,177.60,159.20,177.00,17396
20-Jun-17,180.00,180.00,168.00,171.00,11017
19-Jun-17,188.00,188.00,179.10,179.75,3651
16-Jun-17,188.50,188.50,182.00,183.00,1559
14-Jun-17,186.00,186.00,179.75,180.25,3173
13-Jun-17,182.50,185.50,182.50,184.40,2599
12-Jun-17,187.80,187.80,183.40,185.50,2784
9-Jun-17,187.00,187.90,185.90,187.40,1002
8-Jun-17,187.90,188.30,186.00,186.00,1933
7-Jun-17,189.00,189.00,186.40,187.90,2135
6-Jun-17,181.50,189.50,181.00,187.50,7495
5-Jun-17,182.40,183.85,181.15,181.15,24460
2-Jun-17,183.50,185.00,182.15,182.45,5469
1-Jun-17,183.95,184.90,180.50,182.30,2967
31-May-17,184.55,184.95,178.00,184.50,9087
30-May-17,186.00,186.80,181.65,184.50,4863
29-May-17,186.00,187.60,185.50,186.00,4359
26-May-17,190.00,190.00,186.60,188.40,2746
25-May-17,192.80,192.95,189.00,190.00,1997
24-May-17,190.00,193.00,188.00,193.00,4786
23-May-17,197.80,197.80,192.05,192.05,3347
22-May-17,192.00,199.00,192.00,194.85,5620
19-May-17,191.90,191.90,188.10,191.90,2291
18-May-17,191.00,192.95,188.00,190.70,2881
17-May-17,195.00,195.95,190.00,193.00,5599
16-May-17,192.00,197.00,192.00,195.00,7697
15-May-17,183.50,194.00,183.00,191.90,10915
12-May-17,173.00,186.00,163.25,183.50,33392
11-May-17,176.50,179.75,176.50,177.15,2153
10-May-17,180.00,181.30,176.00,180.00,5155
9-May-17,183.00,183.00,172.25,180.00,16748
8-May-17,185.00,185.00,177.10,182.85,11470
5-May-17,190.00,190.00,186.00,189.00,1164
4-May-17,190.00,193.00,187.50,189.00,47896
2-May-17,182.10,189.40,182.10,189.00,4087
28-Apr-17,189.00,190.50,180.00,185.00,22368
27-Apr-17,181.00,188.40,175.00,187.70,6601
26-Apr-17,185.15,185.15,172.55,181.00,30503
25-Apr-17,188.00,188.00,176.60,185.15,13661
24-Apr-17,192.00,192.00,187.00,188.00,7773
21-Apr-17,190.15,192.45,189.00,190.60,3803
20-Apr-17,193.70,193.70,186.15,191.40,14344
19-Apr-17,195.30,195.30,191.50,193.00,3085
18-Apr-17,193.50,198.40,193.00,193.55,3627
13-Apr-17,192.00,201.80,191.80,193.50,4485
12-Apr-17,192.00,196.95,191.55,192.00,9140
11-Apr-17,203.00,204.00,192.00,192.00,17555
10-Apr-17,211.80,212.00,203.00,204.90,4487
7-Apr-17,213.05,214.00,207.00,209.00,8831
6-Apr-17,202.90,212.00,202.10,211.95,13911
5-Apr-17,192.95,203.90,191.10,203.00,15589
4-Apr-17,192.95,192.95,191.00,192.95,5672
3-Apr-17,191.80,192.90,191.05,192.60,2995
31-Mar-17,190.00,192.95,187.10,191.00,12929
30-Mar-17,190.00,190.00,185.10,188.00,6903
29-Mar-17,190.90,191.90,187.10,188.50,4466
28-Mar-17,188.00,190.00,187.35,190.00,1418
27-Mar-17,187.10,188.00,186.65,187.20,3258
24-Mar-17,191.00,191.00,186.25,188.00,1729
23-Mar-17,187.00,188.00,187.00,187.20,3572
22-Mar-17,187.80,187.80,186.10,187.00,9737
21-Mar-17,189.00,193.90,187.35,189.00,9075
