b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,44.00,44.00,42.55,43.80,3016
14-Sep-17,43.20,44.00,43.20,44.00,3907
13-Sep-17,42.10,42.98,41.50,42.98,5438
12-Sep-17,42.00,42.90,41.85,42.10,2157
11-Sep-17,41.43,41.95,41.34,41.95,7655
8-Sep-17,41.67,41.67,40.93,41.43,1461
7-Sep-17,41.39,41.78,40.93,41.68,1842
6-Sep-17,40.00,41.60,40.00,41.00,19812
5-Sep-17,40.25,40.47,40.00,40.00,826
4-Sep-17,40.40,40.49,40.40,40.48,180
1-Sep-17,40.55,40.60,40.40,40.40,1495
31-Aug-17,40.60,40.80,40.00,40.40,50758
30-Aug-17,39.90,40.75,39.05,40.65,11675
29-Aug-17,39.60,40.00,38.70,40.00,6494
28-Aug-17,39.44,39.60,39.30,39.60,229
25-Aug-17,40.00,40.00,38.45,39.45,969
24-Aug-17,38.97,40.00,38.45,39.98,4402
23-Aug-17,37.37,39.00,37.34,39.00,1268
22-Aug-17,37.24,38.40,37.24,38.40,1684
21-Aug-17,38.40,38.40,38.40,38.40,1
18-Aug-17,37.79,38.40,37.26,38.40,1130
17-Aug-17,37.11,37.90,37.11,37.85,192
16-Aug-17,37.21,37.97,37.20,37.97,602
14-Aug-17,37.73,37.73,37.33,37.33,225
11-Aug-17,36.90,37.91,36.90,37.83,201
10-Aug-17,37.99,38.10,37.99,38.10,202
9-Aug-17,38.00,38.01,37.39,37.88,776
8-Aug-17,38.35,38.35,38.00,38.00,434
7-Aug-17,38.85,38.85,38.35,38.35,405
4-Aug-17,39.30,39.30,38.35,38.35,658
3-Aug-17,39.30,39.30,39.00,39.30,92
2-Aug-17,39.63,39.63,38.40,39.03,1160
1-Aug-17,39.85,39.85,38.71,39.00,4660
31-Jul-17,39.60,39.60,39.18,39.59,6473
28-Jul-17,39.15,39.80,39.15,39.70,2149
27-Jul-17,39.00,39.90,39.00,39.80,2299
26-Jul-17,39.00,39.44,38.80,39.00,1430
25-Jul-17,38.50,39.45,38.40,38.55,1231
24-Jul-17,38.55,38.55,38.55,38.55,1
21-Jul-17,38.10,38.50,37.68,37.68,23001
20-Jul-17,38.60,38.60,37.68,38.00,11987
19-Jul-17,36.40,38.60,36.40,38.60,3353
18-Jul-17,37.00,37.40,37.00,37.40,82
17-Jul-17,37.10,37.40,36.20,37.40,6972
14-Jul-17,36.95,37.50,36.01,37.40,6477
13-Jul-17,36.70,37.00,36.70,36.70,5101
12-Jul-17,37.60,37.60,36.02,36.70,1646
11-Jul-17,36.66,37.80,36.66,36.90,14747
10-Jul-17,37.60,37.80,37.00,37.80,214
7-Jul-17,37.60,37.60,36.66,37.60,1307
6-Jul-17,37.25,37.60,37.19,37.60,1533
5-Jul-17,37.70,38.50,37.25,37.25,2877
4-Jul-17,37.70,38.40,37.25,37.70,1633
3-Jul-17,37.50,38.50,37.25,37.25,1180
30-Jun-17,38.00,38.01,37.60,38.00,2266
29-Jun-17,38.50,38.90,38.00,38.00,623
28-Jun-17,38.00,38.70,38.00,38.50,491
27-Jun-17,37.85,38.80,37.85,38.00,1167
26-Jun-17,38.00,38.49,37.25,37.60,1701
23-Jun-17,38.17,38.24,37.80,38.00,254
22-Jun-17,38.50,38.50,38.00,38.40,938
21-Jun-17,38.00,38.50,37.80,38.40,3524
20-Jun-17,38.37,38.37,37.55,38.00,1632
19-Jun-17,37.50,38.50,37.30,38.40,9196
16-Jun-17,37.89,37.90,37.25,37.50,2174
14-Jun-17,38.83,38.83,37.17,38.00,100
13-Jun-17,38.40,38.99,37.50,37.80,1371
12-Jun-17,38.28,38.28,37.90,38.28,2462
9-Jun-17,38.16,38.99,37.60,38.28,459
8-Jun-17,37.39,37.80,36.65,37.80,1691
7-Jun-17,39.30,39.30,37.30,37.99,4896
6-Jun-17,40.75,40.75,39.24,39.50,2512
5-Jun-17,40.75,40.75,40.75,40.75,320
2-Jun-17,40.80,40.80,40.01,40.75,349
1-Jun-17,40.80,40.80,39.54,40.00,6071
31-May-17,40.43,40.80,40.00,40.80,19962
30-May-17,40.40,40.93,39.90,40.43,10217
29-May-17,40.90,40.90,39.27,40.40,11120
26-May-17,40.29,40.89,40.29,40.40,1601
25-May-17,38.30,40.36,38.01,40.30,4618
24-May-17,37.50,38.10,37.30,38.04,12682
23-May-17,37.85,37.85,37.20,37.20,944
22-May-17,37.89,37.89,37.25,37.87,467
19-May-17,37.67,37.96,37.00,37.49,3327
18-May-17,36.50,38.80,36.10,37.67,4966
17-May-17,37.10,37.10,34.60,36.50,7668
16-May-17,36.95,37.20,36.80,37.00,40074
15-May-17,36.40,36.40,36.01,36.10,14272
12-May-17,36.19,36.43,36.00,36.40,4390
11-May-17,36.28,36.28,35.17,36.00,283
10-May-17,36.00,36.39,35.15,36.29,6372
9-May-17,36.18,36.18,34.50,36.09,4351
8-May-17,36.60,36.70,35.05,35.31,3333
5-May-17,36.90,36.90,36.20,36.45,1398
4-May-17,36.05,36.90,36.05,36.90,1651
2-May-17,36.80,36.80,36.28,36.40,4504
28-Apr-17,36.60,37.26,35.61,36.81,12378
27-Apr-17,37.44,37.99,37.27,37.73,17387
26-Apr-17,37.25,37.90,36.20,37.21,66626
25-Apr-17,37.10,37.10,36.80,37.10,4149
24-Apr-17,37.26,37.27,36.70,37.10,8924
21-Apr-17,36.74,36.74,36.50,36.70,4256
20-Apr-17,35.55,36.85,35.50,36.60,72326
19-Apr-17,35.64,35.64,35.30,35.35,8555
18-Apr-17,35.40,35.65,35.40,35.60,8830
13-Apr-17,35.65,35.65,35.40,35.64,1261
12-Apr-17,35.65,35.65,35.25,35.60,1422
11-Apr-17,35.30,35.79,35.00,35.65,6348
10-Apr-17,35.00,35.87,35.00,35.32,8409
7-Apr-17,32.75,36.00,32.75,34.89,39929
6-Apr-17,32.50,32.50,32.27,32.50,3695
5-Apr-17,32.28,32.28,31.90,32.27,911
4-Apr-17,32.70,32.70,31.66,32.27,4670
3-Apr-17,32.70,32.70,31.81,32.05,7067
31-Mar-17,32.65,32.74,31.78,32.70,13778
