b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,1.86,1.89,1.84,1.84,174084
14-Sep-17,1.90,1.91,1.86,1.86,221293
13-Sep-17,1.93,1.94,1.90,1.90,127982
12-Sep-17,1.98,1.98,1.92,1.92,116233
11-Sep-17,1.95,1.99,1.95,1.97,115065
8-Sep-17,1.97,1.97,1.94,1.95,98419
7-Sep-17,2.02,2.02,1.96,1.97,215723
6-Sep-17,2.01,2.05,1.99,2.01,389501
5-Sep-17,2.02,2.02,1.98,1.99,759850
4-Sep-17,1.92,2.05,1.91,2.02,990958
1-Sep-17,1.88,1.93,1.88,1.91,404365
31-Aug-17,1.86,1.92,1.85,1.89,183094
30-Aug-17,1.90,1.92,1.84,1.88,140198
29-Aug-17,1.90,1.90,1.87,1.89,91758
28-Aug-17,1.87,1.89,1.86,1.88,175525
25-Aug-17,1.92,1.92,1.85,1.87,249543
24-Aug-17,1.85,1.92,1.85,1.92,286023
23-Aug-17,1.84,1.85,1.83,1.83,92917
22-Aug-17,1.84,1.87,1.82,1.84,109982
21-Aug-17,1.81,1.84,1.80,1.83,96294
18-Aug-17,1.81,1.81,1.80,1.81,150754
17-Aug-17,1.82,1.82,1.79,1.81,107182
16-Aug-17,1.83,1.84,1.80,1.83,191909
14-Aug-17,1.85,1.86,1.82,1.83,64331
11-Aug-17,1.84,1.85,1.81,1.85,54993
10-Aug-17,1.86,1.86,1.83,1.83,148064
9-Aug-17,1.85,1.88,1.83,1.86,107626
8-Aug-17,1.87,1.87,1.83,1.86,125672
7-Aug-17,1.89,1.90,1.86,1.87,151078
4-Aug-17,1.80,1.90,1.80,1.88,351141
3-Aug-17,1.82,1.82,1.80,1.80,33150
2-Aug-17,1.81,1.82,1.79,1.82,128160
1-Aug-17,1.79,1.80,1.79,1.80,43331
31-Jul-17,1.80,1.81,1.79,1.81,69150
28-Jul-17,1.81,1.81,1.79,1.79,45700
27-Jul-17,1.82,1.82,1.79,1.81,69988
26-Jul-17,1.81,1.83,1.80,1.83,64658
25-Jul-17,1.80,1.84,1.79,1.81,152655
24-Jul-17,1.80,1.81,1.78,1.80,76806
21-Jul-17,1.80,1.81,1.79,1.80,44113
20-Jul-17,1.80,1.81,1.78,1.80,61827
19-Jul-17,1.79,1.82,1.78,1.80,77303
18-Jul-17,1.78,1.80,1.77,1.79,58069
17-Jul-17,1.77,1.79,1.75,1.78,141105
14-Jul-17,1.78,1.80,1.76,1.77,172451
13-Jul-17,1.76,1.79,1.76,1.77,187687
12-Jul-17,1.82,1.82,1.75,1.76,438548
11-Jul-17,1.80,1.82,1.79,1.82,109157
10-Jul-17,1.78,1.81,1.78,1.79,90092
7-Jul-17,1.78,1.82,1.77,1.78,202493
6-Jul-17,1.81,1.82,1.75,1.77,177416
5-Jul-17,1.83,1.84,1.80,1.80,66535
4-Jul-17,1.84,1.84,1.81,1.83,50381
3-Jul-17,1.88,1.88,1.83,1.83,68434
30-Jun-17,1.88,1.88,1.83,1.85,89672
29-Jun-17,1.86,1.89,1.86,1.86,143229
28-Jun-17,1.85,1.88,1.83,1.86,54030
27-Jun-17,1.80,1.88,1.80,1.85,138249
26-Jun-17,1.84,1.84,1.78,1.78,89498
23-Jun-17,1.80,1.83,1.80,1.83,47036
22-Jun-17,1.80,1.82,1.77,1.80,53412
21-Jun-17,1.74,1.80,1.74,1.80,63519
20-Jun-17,1.80,1.80,1.73,1.74,197013
19-Jun-17,1.86,1.86,1.75,1.79,353715
16-Jun-17,1.86,1.87,1.85,1.87,4631
14-Jun-17,1.88,1.88,1.84,1.85,50196
13-Jun-17,1.86,1.88,1.86,1.88,45146
12-Jun-17,1.93,1.93,1.83,1.86,152840
9-Jun-17,1.93,1.94,1.90,1.93,49639
8-Jun-17,1.95,1.95,1.92,1.92,3290
7-Jun-17,1.94,1.95,1.92,1.95,43068
6-Jun-17,1.89,1.94,1.87,1.92,125017
5-Jun-17,1.88,1.92,1.86,1.89,109173
2-Jun-17,1.90,1.90,1.87,1.89,24684
1-Jun-17,1.90,1.90,1.87,1.90,33422
31-May-17,1.87,1.90,1.86,1.90,86198
30-May-17,1.88,1.88,1.85,1.87,39737
29-May-17,1.92,1.92,1.87,1.88,44467
26-May-17,1.96,1.96,1.89,1.89,96391
25-May-17,1.82,1.95,1.81,1.95,295968
24-May-17,1.79,1.82,1.79,1.81,100021
23-May-17,1.80,1.82,1.78,1.78,61012
22-May-17,1.83,1.83,1.79,1.80,95693
19-May-17,1.80,1.82,1.80,1.82,99876
18-May-17,1.82,1.82,1.76,1.79,116595
17-May-17,1.75,1.84,1.70,1.80,1553699
16-May-17,1.70,1.72,1.66,1.70,502301
15-May-17,1.85,1.85,1.70,1.70,864642
12-May-17,1.85,1.89,1.81,1.84,536489
11-May-17,1.86,1.87,1.84,1.85,368485
10-May-17,1.84,1.87,1.84,1.86,58002
9-May-17,1.88,1.89,1.85,1.86,109314
8-May-17,1.89,1.89,1.85,1.85,120688
5-May-17,1.90,1.90,1.87,1.89,110007
4-May-17,1.91,1.92,1.88,1.88,44897
2-May-17,1.94,1.94,1.90,1.90,93030
28-Apr-17,1.92,1.94,1.89,1.93,204764
27-Apr-17,1.92,1.92,1.85,1.88,395859
26-Apr-17,1.96,1.96,1.92,1.93,68234
25-Apr-17,1.94,1.95,1.92,1.94,287520
24-Apr-17,1.94,1.95,1.91,1.93,194449
21-Apr-17,1.96,1.96,1.92,1.92,31915
20-Apr-17,1.93,1.96,1.92,1.95,124866
19-Apr-17,1.93,1.95,1.92,1.92,107653
18-Apr-17,1.98,1.98,1.92,1.94,191567
13-Apr-17,1.99,2.00,1.95,1.97,53373
12-Apr-17,2.00,2.00,1.95,1.97,107444
11-Apr-17,2.02,2.02,1.98,1.99,126664
10-Apr-17,2.03,2.04,2.01,2.01,89783
7-Apr-17,2.03,2.05,2.01,2.03,77291
6-Apr-17,2.05,2.05,2.00,2.02,258006
5-Apr-17,1.96,2.05,1.96,2.05,896893
4-Apr-17,1.99,1.99,1.91,1.96,496628
3-Apr-17,1.97,2.01,1.95,1.97,149653
31-Mar-17,1.96,2.02,1.95,1.95,292178
30-Mar-17,2.03,2.04,1.96,1.96,76022
29-Mar-17,2.05,2.05,2.01,2.01,176209
28-Mar-17,2.07,2.07,2.02,2.03,124310
27-Mar-17,2.02,2.06,2.01,2.03,276788
24-Mar-17,1.97,2.05,1.93,2.01,1439157
23-Mar-17,1.93,1.95,1.90,1.93,261065
22-Mar-17,1.92,1.94,1.85,1.91,871877
21-Mar-17,2.11,2.11,1.94,1.94,1063154
20-Mar-17,2.25,2.25,2.18,2.19,97636
17-Mar-17,2.22,2.22,2.06,2.22,613566
16-Mar-17,2.29,2.31,2.28,2.28,78586
15-Mar-17,2.28,2.30,2.28,2.28,41065
14-Mar-17,2.32,2.32,2.28,2.28,39012
13-Mar-17,2.28,2.30,2.27,2.30,95404
10-Mar-17,2.22,2.27,2.21,2.26,118866
9-Mar-17,2.22,2.23,2.20,2.22,109189
8-Mar-17,2.25,2.27,2.20,2.22,138702
7-Mar-17,2.30,2.30,2.24,2.24,153531
6-Mar-17,2.36,2.36,2.26,2.30,210631
3-Mar-17,2.42,2.42,2.34,2.34,126889
2-Mar-17,2.45,2.45,2.38,2.38,133506
1-Mar-17,2.45,2.45,2.38,2.43,132718
28-Feb-17,2.35,2.44,2.35,2.41,646860
27-Feb-17,2.34,2.35,2.31,2.35,38056
24-Feb-17,2.32,2.34,2.30,2.33,66993
23-Feb-17,2.35,2.35,2.31,2.33,79863
22-Feb-17,2.29,2.35,2.29,2.34,215930
21-Feb-17,2.33,2.34,2.29,2.29,116429
20-Feb-17,2.34,2.38,2.33,2.33,60731
17-Feb-17,2.34,2.35,2.32,2.34,135673
16-Feb-17,2.36,2.36,2.33,2.34,140802
15-Feb-17,2.34,2.37,2.33,2.35,530665
14-Feb-17,2.35,2.42,2.32,2.34,365931
13-Feb-17,2.29,2.35,2.29,2.35,243158
10-Feb-17,2.23,2.27,2.23,2.27,209272
9-Feb-17,2.22,2.23,2.20,2.21,143747
8-Feb-17,2.18,2.21,2.18,2.19,201546
7-Feb-17,2.21,2.21,2.17,2.18,148736
6-Feb-17,2.23,2.24,2.17,2.18,204700
3-Feb-17,2.21,2.25,2.20,2.22,98906
2-Feb-17,2.23,2.24,2.19,2.21,130535
1-Feb-17,2.27,2.28,2.19,2.21,308026
31-Jan-17,2.24,2.27,2.24,2.25,353369
30-Jan-17,2.27,2.29,2.22,2.22,449554
27-Jan-17,2.22,2.27,2.22,2.26,902613
26-Jan-17,2.09,2.20,2.07,2.20,1451359
25-Jan-17,2.09,2.10,2.07,2.08,169417
24-Jan-17,2.09,2.10,2.07,2.09,96232
23-Jan-17,2.08,2.09,2.07,2.09,78525
20-Jan-17,2.08,2.09,2.05,2.08,36430
19-Jan-17,2.06,2.10,2.05,2.05,274880
18-Jan-17,2.10,2.10,2.05,2.06,185539
17-Jan-17,2.11,2.13,2.08,2.09,191559
16-Jan-17,2.12,2.14,2.10,2.11,133413
13-Jan-17,2.08,2.13,2.06,2.12,155980
12-Jan-17,2.05,2.11,2.05,2.08,267490
11-Jan-17,2.03,2.06,2.00,2.05,239692
10-Jan-17,2.09,2.09,1.96,2.01,561316
9-Jan-17,2.10,2.14,2.06,2.08,273135
5-Jan-17,2.07,2.10,2.05,2.06,389610
4-Jan-17,2.01,2.06,2.01,2.06,344075
3-Jan-17,1.96,2.01,1.94,1.99,290677
2-Jan-17,1.95,1.96,1.93,1.96,83865
30-Dec-16,1.95,1.95,1.93,1.93,102378
29-Dec-16,1.94,1.95,1.93,1.94,89239
28-Dec-16,1.93,1.95,1.92,1.92,167775
27-Dec-16,1.96,1.96,1.92,1.93,207249
23-Dec-16,1.96,1.97,1.94,1.97,114362
22-Dec-16,1.97,1.99,1.95,1.95,78556
21-Dec-16,2.01,2.01,1.97,1.97,152489
20-Dec-16,2.01,2.02,1.97,1.98,145140
19-Dec-16,1.99,2.03,1.94,2.00,234986
16-Dec-16,2.00,2.03,1.93,1.97,449091
15-Dec-16,2.46,2.46,1.97,1.98,2625639
14-Dec-16,1.85,2.21,1.81,2.21,772825
13-Dec-16,1.84,1.85,1.82,1.85,92211
12-Dec-16,1.85,1.86,1.83,1.83,160916
9-Dec-16,1.88,1.88,1.83,1.84,61296
8-Dec-16,1.84,1.93,1.84,1.86,162648
7-Dec-16,1.86,1.86,1.83,1.84,106509
6-Dec-16,1.86,1.89,1.86,1.87,159594
5-Dec-16,1.84,1.85,1.83,1.85,109005
2-Dec-16,1.86,1.86,1.82,1.84,73210
1-Dec-16,1.85,1.85,1.84,1.85,79319
30-Nov-16,1.85,1.86,1.84,1.85,115407
29-Nov-16,1.86,1.86,1.84,1.85,78438
28-Nov-16,1.89,1.89,1.83,1.84,208543
25-Nov-16,1.99,1.99,1.90,1.90,323199
24-Nov-16,2.02,2.02,1.97,1.99,72488
23-Nov-16,2.00,2.05,2.00,2.00,74789
22-Nov-16,2.02,2.03,2.00,2.00,127026
