b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,27.72,27.72,27.43,27.60,2250
14-Sep-17,27.91,27.91,26.80,27.30,2569
13-Sep-17,28.75,29.22,27.95,27.95,7775
12-Sep-17,30.90,30.90,28.98,29.05,9395
11-Sep-17,31.00,31.00,30.90,30.90,510
8-Sep-17,31.70,31.70,30.98,31.00,604
7-Sep-17,31.99,31.99,29.99,30.64,5072
6-Sep-17,31.94,32.01,31.94,32.00,279
5-Sep-17,32.37,32.37,31.72,32.00,987
4-Sep-17,32.00,32.39,32.00,32.39,606
1-Sep-17,32.49,32.49,32.28,32.44,795
31-Aug-17,32.70,32.78,32.50,32.78,46
30-Aug-17,32.99,33.00,32.98,33.00,57
29-Aug-17,32.50,33.00,32.46,33.00,234
28-Aug-17,32.99,32.99,32.60,32.60,38
25-Aug-17,33.00,33.00,33.00,33.00,10
24-Aug-17,32.46,33.33,32.46,33.33,370
23-Aug-17,32.50,32.75,32.46,32.75,404
22-Aug-17,32.35,32.50,32.35,32.50,5209
21-Aug-17,32.05,32.60,31.69,32.60,1202
18-Aug-17,32.44,32.46,32.18,32.18,254
17-Aug-17,32.43,33.40,32.42,32.42,19777
16-Aug-17,31.10,32.48,31.01,32.42,2177
14-Aug-17,31.00,31.73,31.00,31.20,2812
11-Aug-17,32.00,32.00,31.72,31.85,3798
10-Aug-17,33.10,33.10,32.59,32.68,584
9-Aug-17,34.50,34.50,33.15,33.20,1145
8-Aug-17,34.62,34.62,34.30,34.30,10015
7-Aug-17,33.88,34.41,33.40,34.30,893
4-Aug-17,33.00,33.70,33.00,33.40,20580
3-Aug-17,34.67,34.67,32.00,33.00,2975
2-Aug-17,34.78,34.81,34.40,34.80,2716
1-Aug-17,34.70,34.80,34.50,34.78,221
31-Jul-17,35.00,35.00,34.70,34.70,622
28-Jul-17,35.00,35.20,34.99,35.05,3171
27-Jul-17,35.00,35.00,34.80,34.95,400
26-Jul-17,35.40,35.40,35.02,35.02,365
25-Jul-17,35.40,35.40,35.37,35.40,285
24-Jul-17,35.50,35.50,35.25,35.37,265
21-Jul-17,36.00,36.00,35.50,35.50,622
20-Jul-17,36.99,36.99,35.92,36.00,828
19-Jul-17,36.75,36.98,36.75,36.98,573
18-Jul-17,36.90,36.90,36.60,36.80,118
17-Jul-17,36.99,36.99,36.40,36.99,586
14-Jul-17,36.80,37.00,36.50,37.00,1020
13-Jul-17,36.16,36.95,36.16,36.88,953
12-Jul-17,35.90,36.16,35.90,36.16,550
11-Jul-17,35.75,36.00,35.75,35.90,1969
10-Jul-17,35.49,35.69,35.45,35.69,203
7-Jul-17,35.30,35.50,35.30,35.50,90
6-Jul-17,35.00,35.00,35.00,35.00,1015
5-Jul-17,35.12,35.20,35.00,35.00,1619
4-Jul-17,34.70,35.10,34.63,35.00,2613
3-Jul-17,35.25,35.25,34.70,34.70,791
30-Jun-17,35.95,35.95,35.31,35.75,489
29-Jun-17,36.05,36.05,35.91,35.96,67
28-Jun-17,35.91,36.05,35.91,35.91,11233
27-Jun-17,35.90,35.91,35.90,35.91,428
26-Jun-17,35.89,36.00,35.85,35.95,991
23-Jun-17,35.70,35.80,35.70,35.80,37
22-Jun-17,35.97,35.97,35.75,35.75,6016
21-Jun-17,35.69,36.00,35.50,35.90,15784
20-Jun-17,35.50,35.50,35.50,35.50,550
19-Jun-17,36.00,36.00,35.50,35.50,136
16-Jun-17,35.63,36.00,35.63,36.00,1368
14-Jun-17,35.82,35.82,35.60,35.70,1870
13-Jun-17,35.80,35.98,35.55,35.80,20738
12-Jun-17,35.60,35.75,35.43,35.75,161721
9-Jun-17,35.55,35.78,35.55,35.64,2346
8-Jun-17,35.65,35.65,35.00,35.40,7279
7-Jun-17,35.60,35.60,35.20,35.20,1567
6-Jun-17,35.66,35.68,35.13,35.68,410
5-Jun-17,35.80,35.80,35.00,35.69,320
2-Jun-17,35.83,35.83,35.81,35.81,45
1-Jun-17,35.60,35.64,35.29,35.64,423
31-May-17,34.62,36.00,34.00,36.00,89146
30-May-17,34.20,34.69,34.01,34.60,32821
29-May-17,34.99,34.99,34.20,34.30,63698
26-May-17,35.48,35.48,34.64,35.11,1818
25-May-17,35.60,35.80,35.43,35.43,1452
24-May-17,35.74,35.80,35.12,35.80,1277
23-May-17,36.17,36.17,34.82,35.10,2498
22-May-17,37.50,37.50,36.18,36.18,10606
19-May-17,37.00,37.00,37.00,37.00,1390
18-May-17,35.90,37.45,35.34,37.45,3656
17-May-17,35.12,35.90,34.65,35.90,83674
16-May-17,35.72,35.73,35.40,35.42,378
15-May-17,35.97,35.97,35.80,35.90,439
12-May-17,36.31,36.31,35.90,35.95,1517
11-May-17,36.70,36.70,36.12,36.40,540
10-May-17,36.99,36.99,36.70,36.70,306
