b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,47.54,47.80,46.92,47.50,230620
14-Sep-17,46.75,47.50,46.75,47.50,117678
13-Sep-17,48.00,48.00,46.70,47.00,189014
12-Sep-17,48.39,48.90,47.61,48.00,282194
11-Sep-17,48.70,48.90,48.18,48.44,282211
8-Sep-17,48.75,48.99,48.50,48.99,214868
7-Sep-17,48.80,49.00,47.83,49.00,240102
6-Sep-17,48.25,48.80,47.80,48.80,178500
5-Sep-17,47.80,48.57,47.60,48.50,263720
4-Sep-17,46.50,47.80,46.31,47.80,161311
1-Sep-17,45.30,46.70,45.00,46.70,218898
31-Aug-17,45.00,45.49,45.00,45.30,115031
30-Aug-17,44.87,45.50,44.71,45.11,129534
29-Aug-17,45.02,45.02,44.24,44.54,347298
28-Aug-17,44.27,45.36,44.24,45.10,146321
25-Aug-17,44.99,44.99,44.10,44.25,331423
24-Aug-17,44.32,44.93,44.15,44.80,391391
23-Aug-17,44.73,44.73,44.10,44.32,96419
22-Aug-17,44.25,44.70,43.78,44.51,134064
21-Aug-17,43.99,44.35,43.77,44.01,53894
18-Aug-17,44.21,44.39,43.75,44.01,142069
17-Aug-17,45.10,45.10,44.27,44.27,147372
16-Aug-17,44.42,45.28,44.42,45.15,202991
14-Aug-17,45.10,45.31,44.15,44.42,147863
11-Aug-17,44.32,45.00,44.32,45.00,244566
10-Aug-17,44.50,44.74,44.30,44.53,145271
9-Aug-17,44.55,45.00,44.02,44.40,252762
8-Aug-17,44.00,44.78,43.95,44.61,253977
7-Aug-17,44.00,44.43,43.37,44.05,151851
4-Aug-17,43.75,44.78,43.63,43.86,288737
3-Aug-17,44.60,44.90,43.30,43.75,268785
2-Aug-17,45.25,45.46,44.70,44.85,106323
1-Aug-17,45.00,45.46,44.87,45.25,154719
31-Jul-17,45.11,45.68,44.85,45.22,327703
28-Jul-17,44.90,45.45,44.90,45.40,79613
27-Jul-17,45.00,45.45,44.40,44.85,360553
26-Jul-17,45.50,45.57,44.90,44.90,84736
25-Jul-17,46.20,46.20,45.50,45.70,89150
24-Jul-17,46.00,46.13,45.50,45.90,170607
21-Jul-17,45.63,45.98,45.42,45.52,140682
20-Jul-17,47.20,47.20,45.40,45.63,351092
19-Jul-17,47.21,47.23,46.95,47.23,118573
18-Jul-17,47.10,47.48,46.88,47.10,85264
17-Jul-17,47.50,48.09,47.30,47.30,78577
14-Jul-17,48.22,48.22,47.50,47.50,65695
13-Jul-17,47.80,48.29,47.58,48.22,110740
12-Jul-17,47.08,47.87,47.08,47.58,135404
11-Jul-17,47.73,47.73,46.97,47.34,148005
10-Jul-17,47.47,47.71,47.01,47.55,91614
7-Jul-17,47.90,48.07,46.94,46.94,107432
6-Jul-17,48.08,48.19,47.66,47.90,114191
5-Jul-17,48.00,48.16,47.65,47.65,87645
4-Jul-17,48.59,48.59,47.91,48.00,62977
3-Jul-17,48.74,48.76,48.10,48.28,188882
30-Jun-17,50.60,50.66,48.73,48.77,216491
29-Jun-17,49.00,49.50,48.10,49.50,195195
28-Jun-17,48.76,49.30,47.89,49.30,186901
27-Jun-17,49.30,49.49,48.66,48.76,111222
26-Jun-17,50.05,50.20,49.26,49.40,96323
23-Jun-17,49.40,49.92,48.94,49.92,83021
22-Jun-17,48.98,49.40,48.39,49.40,76151
21-Jun-17,47.74,48.99,47.67,48.97,156098
20-Jun-17,48.15,48.55,47.60,47.67,113739
19-Jun-17,49.57,49.63,48.12,48.39,153524
16-Jun-17,48.22,49.60,47.78,49.60,282853
14-Jun-17,48.65,48.65,47.59,47.59,62308
13-Jun-17,48.10,48.98,47.85,48.17,127493
12-Jun-17,49.45,49.45,48.20,48.30,104904
9-Jun-17,49.20,49.60,49.01,49.42,118374
8-Jun-17,48.50,49.47,47.75,49.47,265916
7-Jun-17,48.58,48.81,47.57,48.28,226946
6-Jun-17,49.19,49.56,47.91,48.28,374804
5-Jun-17,50.98,50.98,49.23,49.28,103018
2-Jun-17,51.56,51.56,49.45,50.64,209093
1-Jun-17,49.49,51.48,48.65,51.13,148036
31-May-17,49.99,50.00,48.40,48.40,194227
30-May-17,50.30,50.49,49.56,50.00,96580
29-May-17,50.90,50.90,50.30,50.48,36230
26-May-17,51.00,51.30,50.76,51.13,78910
25-May-17,50.99,51.64,50.65,51.64,49423
24-May-17,51.10,51.53,50.60,50.63,82826
23-May-17,51.51,52.24,51.11,51.53,100341
22-May-17,51.35,52.40,50.67,51.90,162023
19-May-17,51.12,51.48,50.95,51.10,113492
18-May-17,51.60,52.13,50.88,51.38,99741
17-May-17,51.71,51.96,51.00,51.34,118650
16-May-17,52.05,52.53,51.25,51.71,219488
15-May-17,53.29,53.29,51.71,52.00,189008
12-May-17,55.38,55.46,54.83,55.40,133845
11-May-17,55.45,55.56,54.80,55.40,212924
10-May-17,56.04,56.46,54.80,54.80,168291
9-May-17,57.05,57.09,55.65,56.03,169186
8-May-17,57.60,57.70,56.58,57.00,97982
5-May-17,56.20,57.63,56.12,57.59,96861
4-May-17,56.10,57.69,56.10,56.37,182064
2-May-17,55.60,56.43,55.16,56.03,153459
28-Apr-17,54.57,55.20,54.33,54.60,272935
27-Apr-17,54.40,54.64,54.05,54.07,239887
26-Apr-17,54.70,55.19,54.06,54.70,115181
25-Apr-17,55.20,55.28,54.50,54.70,118776
24-Apr-17,55.00,55.44,54.92,55.20,76384
21-Apr-17,54.90,55.12,54.71,54.94,65947
20-Apr-17,54.70,55.11,54.06,54.89,52332
19-Apr-17,54.60,55.20,53.83,54.69,207204
18-Apr-17,55.35,55.35,53.80,54.48,67113
13-Apr-17,54.45,55.38,54.06,55.38,93921
12-Apr-17,54.98,55.15,54.15,54.45,122947
11-Apr-17,54.80,55.00,53.82,54.98,135018
10-Apr-17,53.95,55.40,53.62,55.40,198037
7-Apr-17,53.40,53.80,52.99,53.52,174641
6-Apr-17,53.02,53.38,52.82,53.07,86478
5-Apr-17,53.62,53.95,53.15,53.56,132375
4-Apr-17,54.63,54.63,53.63,53.70,156826
3-Apr-17,54.50,54.70,53.31,54.70,78081
31-Mar-17,54.30,54.65,53.77,54.30,265145
30-Mar-17,53.01,53.40,52.75,53.40,146144
29-Mar-17,54.17,54.17,52.80,52.80,141988
28-Mar-17,54.32,54.32,53.19,53.67,116642
27-Mar-17,53.35,54.22,53.35,54.22,55083
24-Mar-17,54.48,54.48,53.39,53.39,79751
23-Mar-17,54.15,54.83,53.68,53.84,102190
22-Mar-17,53.50,54.50,53.12,54.07,115224
21-Mar-17,55.50,55.85,53.16,53.86,165953
20-Mar-17,56.00,56.09,54.75,55.88,212520
17-Mar-17,53.70,55.32,53.20,55.32,347215
16-Mar-17,54.60,54.65,53.07,53.10,117331
15-Mar-17,53.80,54.46,53.50,53.75,56376
14-Mar-17,54.35,54.55,53.70,54.00,53178
13-Mar-17,53.41,54.19,53.30,54.19,66261
10-Mar-17,53.75,54.49,53.26,53.26,112087
9-Mar-17,54.21,54.21,53.20,53.74,182337
8-Mar-17,55.12,55.55,53.56,54.06,146360
7-Mar-17,55.10,55.75,54.96,55.19,69048
6-Mar-17,55.60,55.94,55.10,55.10,44370
3-Mar-17,56.41,56.83,55.56,55.83,65027
2-Mar-17,56.79,57.20,56.19,57.15,70149
1-Mar-17,56.07,57.15,56.07,57.15,75310
28-Feb-17,55.00,56.54,54.96,56.00,117731
27-Feb-17,56.20,56.20,55.01,55.30,72988
24-Feb-17,55.82,56.05,54.23,56.00,190180
23-Feb-17,56.54,56.54,55.77,55.81,168379
22-Feb-17,56.19,56.59,55.75,56.54,129501
21-Feb-17,55.92,56.26,55.25,56.12,112955
20-Feb-17,55.10,55.85,55.10,55.80,55517
17-Feb-17,56.04,56.39,54.96,55.00,316463
16-Feb-17,56.50,56.90,55.90,56.80,153902
15-Feb-17,57.49,57.50,56.30,56.30,159184
14-Feb-17,57.50,57.50,56.51,57.22,136872
13-Feb-17,57.72,57.74,56.92,57.25,89041
10-Feb-17,57.80,58.02,56.55,56.90,181486
9-Feb-17,56.60,57.50,56.48,57.50,158354
8-Feb-17,56.51,57.00,56.21,56.37,112339
7-Feb-17,57.23,57.75,56.70,56.75,73725
6-Feb-17,57.26,57.60,56.51,57.24,92252
3-Feb-17,57.10,57.40,56.40,57.00,52588
2-Feb-17,57.50,57.50,56.35,57.10,143493
1-Feb-17,57.59,57.90,57.50,57.50,160489
31-Jan-17,56.99,57.58,56.32,57.50,245831
30-Jan-17,57.30,57.30,56.65,57.00,66479
27-Jan-17,56.60,57.37,56.13,57.37,92560
26-Jan-17,57.00,57.10,56.03,56.60,143249
25-Jan-17,56.10,56.99,56.10,56.49,69735
24-Jan-17,55.80,56.13,55.45,55.80,117569
23-Jan-17,56.00,56.13,55.50,55.50,41530
20-Jan-17,55.43,56.48,55.43,56.15,128966
19-Jan-17,56.57,56.64,55.19,55.19,84325
18-Jan-17,56.66,56.98,56.12,56.34,94247
17-Jan-17,57.52,57.52,56.82,57.26,56854
16-Jan-17,56.91,57.52,56.52,57.52,131878
13-Jan-17,56.60,56.95,55.88,56.68,103325
12-Jan-17,56.31,57.11,56.10,57.11,141213
11-Jan-17,56.28,57.00,55.54,57.00,161976
10-Jan-17,55.10,56.28,55.10,56.20,128077
9-Jan-17,55.20,55.47,54.68,55.10,82774
5-Jan-17,54.50,55.55,54.50,55.37,233143
4-Jan-17,55.10,55.25,54.45,54.50,117698
3-Jan-17,54.78,54.99,54.38,54.83,101537
2-Jan-17,54.45,54.80,54.00,54.37,58911
30-Dec-16,56.40,56.40,53.88,53.96,462691
29-Dec-16,54.99,56.50,54.10,56.50,244281
28-Dec-16,53.50,55.00,53.13,55.00,170124
27-Dec-16,53.80,54.05,53.20,53.50,31994
23-Dec-16,54.00,54.40,53.45,53.80,51611
22-Dec-16,53.76,54.10,53.20,54.03,169682
21-Dec-16,54.10,54.10,52.70,53.40,233005
20-Dec-16,52.99,54.05,52.98,54.05,197261
19-Dec-16,52.95,53.00,51.83,52.50,105585
16-Dec-16,53.50,54.04,53.05,53.09,211034
15-Dec-16,53.59,54.00,53.09,53.59,125342
14-Dec-16,52.91,53.59,52.80,53.40,156398
13-Dec-16,53.00,53.15,52.80,52.93,192565
12-Dec-16,53.00,53.44,52.20,52.50,116922
9-Dec-16,53.80,53.80,52.51,53.00,141289
8-Dec-16,52.60,53.90,52.14,53.88,374324
7-Dec-16,53.29,53.48,52.12,52.12,148584
6-Dec-16,53.08,53.22,52.40,53.22,129866
5-Dec-16,52.70,53.14,52.02,52.74,87803
2-Dec-16,52.55,52.75,51.63,52.39,115246
