b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,4.96,5.06,4.78,4.82,64748
14-Sep-17,4.99,5.00,4.83,4.95,54048
13-Sep-17,5.28,5.35,4.91,5.00,224438
12-Sep-17,5.56,5.59,5.25,5.25,177709
11-Sep-17,5.30,5.60,5.22,5.50,240478
8-Sep-17,5.07,5.34,5.06,5.27,162492
7-Sep-17,5.15,5.15,5.04,5.10,35825
6-Sep-17,5.10,5.12,4.90,5.03,84821
5-Sep-17,5.25,5.35,5.02,5.03,118142
4-Sep-17,4.78,5.27,4.72,5.24,347787
1-Sep-17,4.71,4.80,4.69,4.74,23157
31-Aug-17,4.70,4.78,4.66,4.68,30051
30-Aug-17,4.72,4.81,4.67,4.67,34125
29-Aug-17,4.79,4.80,4.64,4.70,32218
28-Aug-17,4.80,4.90,4.70,4.70,39125
25-Aug-17,4.97,5.08,4.79,4.84,168121
24-Aug-17,4.70,4.98,4.69,4.95,187708
23-Aug-17,4.42,4.70,4.42,4.65,179501
22-Aug-17,4.30,4.47,4.30,4.39,29752
21-Aug-17,4.34,4.34,4.20,4.30,10157
18-Aug-17,4.29,4.36,4.20,4.22,22425
17-Aug-17,4.42,4.55,4.30,4.30,72900
16-Aug-17,4.16,4.46,4.16,4.39,83141
14-Aug-17,4.19,4.29,4.11,4.14,76633
11-Aug-17,4.20,4.39,4.14,4.16,127211
10-Aug-17,4.49,4.57,4.22,4.26,105434
9-Aug-17,4.48,4.63,4.30,4.50,192841
8-Aug-17,4.81,4.90,4.40,4.44,277680
7-Aug-17,5.15,5.35,4.67,4.70,777413
4-Aug-17,3.83,4.88,3.83,4.88,771961
3-Aug-17,3.74,3.78,3.69,3.75,16470
2-Aug-17,3.75,3.75,3.66,3.73,28221
1-Aug-17,3.72,3.75,3.60,3.71,27030
31-Jul-17,3.64,3.71,3.60,3.68,18189
28-Jul-17,3.59,3.65,3.56,3.61,22849
27-Jul-17,3.65,3.68,3.45,3.52,59171
26-Jul-17,3.60,3.69,3.57,3.68,18368
25-Jul-17,3.71,3.71,3.56,3.58,62119
24-Jul-17,3.73,3.73,3.63,3.68,21326
21-Jul-17,3.95,3.96,3.68,3.69,198110
20-Jul-17,3.53,3.59,3.45,3.55,19611
19-Jul-17,3.55,3.63,3.52,3.52,25637
18-Jul-17,3.48,3.70,3.48,3.54,57223
17-Jul-17,3.43,3.50,3.43,3.48,9821
14-Jul-17,3.50,3.64,3.41,3.46,20762
13-Jul-17,3.51,3.56,3.46,3.55,19706
12-Jul-17,3.51,3.54,3.44,3.52,7988
11-Jul-17,3.51,3.55,3.43,3.50,19092
10-Jul-17,3.55,3.57,3.45,3.46,49714
7-Jul-17,3.69,3.71,3.51,3.55,80878
6-Jul-17,3.82,4.05,3.57,3.69,397106
5-Jul-17,3.30,3.39,3.21,3.39,60806
4-Jul-17,3.31,3.41,3.30,3.36,35095
3-Jul-17,3.40,3.40,3.34,3.38,11700
30-Jun-17,3.40,3.42,3.35,3.36,39997
29-Jun-17,3.45,3.46,3.24,3.40,82485
28-Jun-17,3.54,3.58,3.46,3.46,21833
27-Jun-17,3.55,3.57,3.50,3.54,74146
26-Jun-17,3.51,3.55,3.45,3.50,12536
23-Jun-17,3.46,3.52,3.46,3.46,13003
22-Jun-17,3.56,3.56,3.45,3.46,12828
21-Jun-17,3.52,3.57,3.44,3.56,26077
20-Jun-17,3.60,3.61,3.52,3.52,15323
19-Jun-17,3.60,3.61,3.55,3.59,20512
16-Jun-17,3.63,3.65,3.52,3.53,25818
14-Jun-17,3.68,3.68,3.52,3.60,41007
13-Jun-17,3.73,3.84,3.70,3.70,20039
12-Jun-17,3.90,3.90,3.71,3.73,34616
9-Jun-17,3.94,3.94,3.85,3.89,6341
8-Jun-17,3.90,3.98,3.86,3.90,8381
7-Jun-17,3.99,4.10,3.90,3.90,18167
6-Jun-17,4.08,4.18,3.82,3.99,40953
5-Jun-17,3.95,4.20,3.95,4.11,197245
2-Jun-17,3.84,4.06,3.76,3.93,120652
1-Jun-17,3.43,3.77,3.43,3.75,58172
31-May-17,3.69,3.69,3.42,3.42,33744
30-May-17,3.50,3.65,3.45,3.59,32030
29-May-17,3.43,3.48,3.42,3.48,35760
26-May-17,3.35,3.40,3.20,3.35,46200
25-May-17,3.44,3.51,3.31,3.34,70460
24-May-17,3.49,3.52,3.40,3.51,33547
23-May-17,3.55,3.63,3.47,3.58,41940
22-May-17,3.67,3.67,3.50,3.63,9794
19-May-17,3.60,3.79,3.57,3.66,26190
18-May-17,3.59,3.67,3.40,3.60,73727
17-May-17,3.82,3.82,3.48,3.60,67641
16-May-17,3.90,3.90,3.78,3.82,33573
15-May-17,3.94,3.94,3.85,3.87,18028
12-May-17,3.86,3.97,3.86,3.88,11696
11-May-17,3.98,3.99,3.84,3.86,54662
10-May-17,4.00,4.07,3.88,3.97,56907
9-May-17,4.00,4.03,3.90,3.95,52687
8-May-17,4.05,4.08,3.96,4.06,37745
5-May-17,4.05,4.08,3.97,4.00,59977
4-May-17,4.09,4.17,4.04,4.08,22336
2-May-17,4.22,4.24,4.00,4.07,190285
28-Apr-17,4.35,4.36,4.25,4.36,21897
27-Apr-17,4.17,4.37,4.16,4.36,36741
26-Apr-17,4.53,4.58,4.11,4.11,89828
25-Apr-17,4.47,4.59,4.47,4.54,47901
24-Apr-17,4.50,4.55,4.39,4.52,30200
21-Apr-17,4.39,4.65,4.39,4.45,160975
20-Apr-17,4.50,4.56,4.36,4.48,35495
19-Apr-17,4.49,4.49,4.38,4.45,17113
18-Apr-17,4.48,4.59,4.41,4.48,15628
13-Apr-17,4.53,4.54,4.36,4.49,37254
12-Apr-17,4.38,4.45,4.29,4.35,21797
11-Apr-17,4.38,4.60,4.29,4.29,67583
10-Apr-17,4.34,4.40,4.31,4.38,25498
7-Apr-17,4.55,4.68,4.26,4.29,93540
6-Apr-17,4.60,4.63,4.46,4.56,54351
5-Apr-17,4.73,4.73,4.52,4.66,63102
4-Apr-17,4.31,4.65,4.31,4.63,123168
3-Apr-17,4.65,4.68,4.26,4.45,192032
31-Mar-17,4.74,4.75,4.58,4.65,77410
30-Mar-17,4.55,4.72,4.50,4.67,80789
29-Mar-17,4.40,4.84,4.40,4.60,304769
28-Mar-17,4.21,4.51,4.21,4.50,115929
27-Mar-17,4.30,4.35,4.18,4.29,63235
24-Mar-17,4.34,4.55,4.20,4.23,346326
23-Mar-17,4.32,4.38,4.16,4.34,122739
22-Mar-17,3.99,4.38,3.87,4.34,336999
21-Mar-17,4.09,4.20,3.96,4.04,85585
20-Mar-17,4.49,4.50,4.05,4.08,354162
17-Mar-17,3.85,4.39,3.73,4.39,339092
16-Mar-17,3.98,4.10,3.81,3.81,191517
15-Mar-17,3.65,3.95,3.53,3.92,198256
14-Mar-17,3.90,4.06,3.56,3.85,171670
13-Mar-17,4.14,4.14,3.85,3.90,137882
10-Mar-17,4.17,4.19,4.05,4.10,47333
9-Mar-17,4.22,4.31,4.10,4.13,150930
8-Mar-17,4.23,4.23,4.08,4.20,101630
7-Mar-17,4.12,4.24,4.01,4.20,190237
6-Mar-17,4.20,4.20,4.11,4.13,73217
3-Mar-17,4.34,4.34,4.13,4.22,81509
2-Mar-17,4.28,4.40,4.28,4.32,43651
1-Mar-17,4.18,4.28,4.18,4.27,21903
28-Feb-17,4.17,4.24,4.15,4.18,14837
27-Feb-17,4.24,4.28,4.17,4.18,19093
24-Feb-17,4.20,4.28,4.15,4.25,52000
23-Feb-17,4.25,4.30,4.15,4.20,28230
22-Feb-17,4.27,4.29,4.18,4.27,39793
21-Feb-17,4.49,4.49,4.05,4.26,194542
20-Feb-17,4.50,4.51,4.43,4.48,18859
17-Feb-17,4.38,4.55,4.38,4.45,38807
16-Feb-17,4.45,4.45,4.35,4.43,20878
15-Feb-17,4.40,4.49,4.40,4.42,42227
14-Feb-17,4.51,4.52,4.36,4.45,42428
13-Feb-17,4.55,4.58,4.42,4.50,67026
10-Feb-17,4.32,4.55,4.29,4.51,90459
9-Feb-17,4.37,4.37,4.29,4.29,38959
8-Feb-17,4.40,4.40,4.29,4.35,48421
7-Feb-17,4.39,4.48,4.39,4.40,16154
6-Feb-17,4.40,4.45,4.33,4.40,26340
3-Feb-17,4.48,4.48,4.41,4.41,21664
2-Feb-17,4.59,4.59,4.42,4.50,36756
1-Feb-17,4.60,4.65,4.46,4.52,107745
31-Jan-17,4.30,4.44,4.30,4.43,37214
30-Jan-17,4.52,4.52,4.29,4.30,126803
27-Jan-17,4.28,4.47,4.28,4.44,54385
26-Jan-17,4.28,4.44,4.25,4.28,71383
25-Jan-17,4.35,4.57,4.20,4.28,117144
24-Jan-17,4.40,4.40,4.28,4.40,41054
23-Jan-17,4.29,4.56,4.27,4.44,53346
20-Jan-17,4.47,4.51,4.13,4.27,121576
19-Jan-17,4.60,4.60,4.45,4.47,72463
18-Jan-17,4.71,4.72,4.55,4.65,31791
