b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,5.80,5.89,5.60,5.76,18137
14-Sep-17,5.85,5.93,5.85,5.93,869
13-Sep-17,5.83,5.95,5.83,5.85,4493
12-Sep-17,6.04,6.08,5.83,5.83,27588
11-Sep-17,5.97,6.00,5.40,5.77,51309
8-Sep-17,5.87,6.08,5.87,5.94,7436
7-Sep-17,6.15,6.18,5.80,5.88,59793
6-Sep-17,6.15,6.18,6.00,6.01,10178
5-Sep-17,6.25,6.25,5.98,6.01,29252
4-Sep-17,6.21,6.43,6.14,6.20,12168
1-Sep-17,6.48,6.69,6.15,6.21,43012
31-Aug-17,6.45,6.86,6.25,6.48,67354
30-Aug-17,6.20,6.45,6.12,6.45,37950
29-Aug-17,6.19,6.20,6.10,6.19,4435
28-Aug-17,6.13,6.21,6.13,6.19,8183
25-Aug-17,6.15,6.26,6.03,6.20,6166
24-Aug-17,6.08,6.16,6.00,6.02,29837
23-Aug-17,6.12,6.20,6.05,6.09,6011
22-Aug-17,6.22,6.30,6.13,6.15,13531
21-Aug-17,6.48,6.48,6.23,6.23,4160
18-Aug-17,6.35,6.42,6.21,6.28,3486
17-Aug-17,6.20,6.55,6.18,6.42,24893
16-Aug-17,6.13,6.30,6.00,6.05,5143
14-Aug-17,6.11,6.15,6.00,6.10,4149
11-Aug-17,6.20,6.20,5.90,5.93,6416
10-Aug-17,6.11,6.20,6.05,6.20,3080
9-Aug-17,6.17,6.27,6.07,6.15,10896
8-Aug-17,6.59,6.59,6.20,6.28,28064
7-Aug-17,6.00,6.79,5.87,6.59,74169
4-Aug-17,6.18,6.18,5.80,5.96,26277
3-Aug-17,6.28,6.28,6.17,6.20,3623
2-Aug-17,6.17,6.26,6.17,6.25,2429
1-Aug-17,6.29,6.29,6.16,6.17,3915
31-Jul-17,6.46,6.46,6.21,6.22,11746
28-Jul-17,6.42,6.50,6.20,6.46,10158
27-Jul-17,6.45,6.58,6.40,6.40,23482
26-Jul-17,6.42,6.48,6.35,6.40,12426
25-Jul-17,6.48,6.59,6.40,6.42,26899
24-Jul-17,6.08,6.48,6.00,6.37,40792
21-Jul-17,6.00,6.00,5.94,5.98,2448
20-Jul-17,5.91,6.07,5.91,6.00,720
19-Jul-17,6.03,6.08,6.03,6.08,1490
18-Jul-17,5.95,6.08,5.85,5.95,6561
17-Jul-17,5.96,6.00,5.86,5.95,7368
14-Jul-17,5.98,5.99,5.94,5.96,3511
13-Jul-17,6.07,6.07,5.91,6.00,10764
12-Jul-17,6.07,6.07,5.98,6.05,3165
11-Jul-17,6.04,6.08,5.95,6.07,7578
10-Jul-17,6.01,6.08,5.90,6.04,6355
7-Jul-17,6.12,6.12,6.03,6.10,2630
6-Jul-17,6.01,6.17,6.01,6.09,5879
5-Jul-17,6.06,6.15,6.00,6.08,10151
4-Jul-17,6.19,6.19,6.01,6.03,3699
3-Jul-17,6.23,6.23,6.01,6.04,4073
30-Jun-17,6.03,6.23,5.99,6.10,10962
29-Jun-17,5.80,5.99,5.72,5.98,15190
28-Jun-17,5.80,5.95,5.76,5.80,26436
27-Jun-17,6.10,6.10,5.75,5.99,9724
26-Jun-17,6.22,6.36,5.71,5.99,38024
23-Jun-17,6.30,6.37,6.22,6.22,16202
22-Jun-17,6.36,6.40,6.30,6.37,6934
21-Jun-17,6.48,6.63,6.36,6.36,6268
20-Jun-17,6.40,6.49,6.30,6.48,19788
19-Jun-17,6.40,6.48,6.40,6.42,6770
16-Jun-17,6.32,6.50,6.25,6.36,29969
14-Jun-17,6.75,6.95,6.30,6.40,32145
13-Jun-17,6.95,6.96,6.65,6.70,5421
12-Jun-17,7.00,7.00,6.92,6.92,18500
9-Jun-17,7.09,7.10,6.90,6.92,19663
8-Jun-17,7.25,7.26,7.00,7.11,21623
7-Jun-17,6.97,7.25,6.97,7.07,25133
6-Jun-17,6.70,7.10,6.55,7.05,44215
5-Jun-17,6.63,6.75,6.50,6.70,13543
2-Jun-17,6.49,6.80,6.37,6.70,36514
1-Jun-17,6.62,6.68,6.35,6.35,12703
31-May-17,6.70,6.72,6.40,6.57,16033
30-May-17,6.40,6.84,6.37,6.80,46983
29-May-17,6.41,6.41,6.37,6.39,4874
26-May-17,6.64,6.69,6.36,6.37,23076
25-May-17,6.41,6.60,6.20,6.57,37062
24-May-17,6.58,6.58,6.30,6.44,9062
23-May-17,6.55,6.59,6.40,6.50,11254
22-May-17,6.80,6.85,6.39,6.55,26149
19-May-17,6.50,6.86,6.50,6.70,17659
18-May-17,6.40,6.76,6.03,6.54,43868
17-May-17,7.10,7.10,6.50,6.63,55466
16-May-17,7.15,7.15,6.95,7.09,19928
15-May-17,7.39,7.40,7.05,7.06,33042
12-May-17,7.10,7.33,6.93,7.29,91721
11-May-17,6.39,6.98,6.39,6.98,56692
10-May-17,6.61,6.75,6.35,6.43,64107
9-May-17,6.95,6.99,6.46,6.71,114397
8-May-17,7.45,7.45,6.52,6.95,284850
5-May-17,7.45,7.45,7.26,7.30,27090
4-May-17,7.60,7.74,7.30,7.30,37281
2-May-17,7.49,7.61,7.26,7.55,23290
28-Apr-17,7.35,7.69,7.30,7.30,46876
27-Apr-17,7.85,7.93,7.26,7.30,78864
26-Apr-17,7.50,8.43,7.50,7.70,377041
25-Apr-17,7.12,7.14,6.82,6.95,13903
24-Apr-17,6.92,7.12,6.78,7.11,30328
21-Apr-17,6.84,6.98,6.81,6.92,9584
20-Apr-17,7.16,7.16,6.80,6.87,26460
19-Apr-17,7.00,7.26,6.90,7.10,83851
18-Apr-17,6.97,6.99,6.91,6.98,41553
13-Apr-17,6.40,6.98,6.40,6.84,82019
12-Apr-17,6.39,6.60,6.38,6.53,9654
11-Apr-17,6.68,6.69,6.35,6.54,26085
10-Apr-17,6.60,6.69,6.50,6.65,27985
7-Apr-17,6.17,6.54,6.10,6.50,91089
6-Apr-17,6.04,6.35,6.02,6.09,37645
5-Apr-17,5.97,6.22,5.97,6.06,10897
4-Apr-17,5.91,6.18,5.91,6.15,11452
3-Apr-17,6.01,6.36,5.86,6.01,27948
31-Mar-17,6.01,6.17,5.89,5.98,21073
30-Mar-17,6.29,6.29,6.04,6.09,3272
29-Mar-17,6.35,6.40,6.02,6.20,20785
28-Mar-17,5.89,6.33,5.82,6.24,36363
27-Mar-17,5.98,6.00,5.83,5.89,16647
24-Mar-17,6.01,6.10,5.93,6.00,32072
23-Mar-17,6.01,6.10,5.85,6.04,26410
22-Mar-17,6.15,6.16,5.75,6.10,85091
21-Mar-17,6.60,6.65,6.20,6.25,67652
20-Mar-17,6.39,6.75,6.39,6.67,160274
17-Mar-17,6.27,6.41,6.03,6.31,77860
16-Mar-17,5.95,6.49,5.91,6.25,281997
15-Mar-17,5.33,5.79,5.30,5.77,78076
14-Mar-17,5.64,5.65,5.25,5.38,72496
13-Mar-17,5.09,5.44,4.78,5.38,169003
10-Mar-17,5.25,5.25,5.10,5.16,57242
9-Mar-17,5.10,5.29,5.09,5.16,40895
8-Mar-17,5.28,5.40,5.02,5.10,80715
7-Mar-17,5.26,5.53,5.07,5.26,172374
6-Mar-17,5.77,5.84,5.30,5.39,229635
3-Mar-17,6.10,6.15,5.82,5.82,110854
2-Mar-17,6.23,6.25,6.05,6.10,62673
1-Mar-17,6.01,6.35,6.01,6.25,94745
28-Feb-17,6.21,6.29,6.13,6.22,26295
27-Feb-17,6.25,6.47,6.25,6.29,39136
24-Feb-17,6.20,6.35,5.99,6.17,76973
23-Feb-17,6.50,6.54,5.89,6.15,179700
22-Feb-17,6.50,6.58,6.43,6.45,29558
21-Feb-17,6.47,6.68,6.34,6.52,82574
20-Feb-17,6.66,6.66,6.43,6.46,47983
17-Feb-17,6.69,6.69,6.41,6.65,58084
16-Feb-17,6.78,6.78,6.40,6.47,136272
15-Feb-17,6.34,6.83,6.30,6.80,173859
14-Feb-17,6.72,6.72,6.27,6.33,159314
13-Feb-17,7.11,7.11,6.68,6.75,134878
10-Feb-17,6.95,7.23,6.90,7.15,107113
9-Feb-17,6.91,6.99,6.69,6.90,76520
8-Feb-17,6.70,6.99,6.68,6.95,185407
7-Feb-17,6.03,6.63,6.03,6.48,241856
6-Feb-17,5.54,6.09,5.46,5.86,150931
3-Feb-17,5.70,5.73,5.50,5.59,51593
2-Feb-17,5.75,5.89,5.60,5.65,41769
1-Feb-17,5.68,6.12,5.50,5.78,120751
31-Jan-17,6.14,6.25,5.55,5.75,209803
30-Jan-17,6.43,6.48,6.20,6.20,52094
27-Jan-17,6.46,6.46,6.20,6.39,75345
26-Jan-17,6.59,6.64,6.44,6.46,53362
25-Jan-17,6.44,6.65,6.32,6.55,71292
24-Jan-17,6.45,6.50,6.22,6.32,77637
23-Jan-17,6.30,6.39,6.20,6.30,65943
20-Jan-17,6.30,6.45,6.19,6.22,124795
19-Jan-17,5.90,6.35,5.76,6.19,174628
18-Jan-17,6.15,6.23,5.85,5.90,185964
17-Jan-17,5.28,6.09,5.28,6.09,343579
16-Jan-17,5.04,5.30,5.02,5.27,48043
13-Jan-17,5.40,5.50,5.10,5.18,97510
12-Jan-17,5.58,5.60,5.35,5.40,59988
11-Jan-17,5.74,5.75,5.50,5.58,116267
10-Jan-17,5.68,5.76,5.24,5.58,192652
9-Jan-17,5.35,5.75,5.35,5.60,342340
5-Jan-17,4.93,5.35,4.88,5.30,240499
4-Jan-17,4.99,5.01,4.72,4.93,101038
3-Jan-17,4.75,5.07,4.75,4.94,373484
2-Jan-17,4.09,4.74,4.05,4.69,265802
30-Dec-16,4.00,4.18,3.97,4.05,66752
29-Dec-16,3.90,4.09,3.84,4.02,55010
28-Dec-16,3.69,3.98,3.66,3.85,285215
27-Dec-16,3.90,3.90,3.66,3.70,90051
23-Dec-16,3.93,3.97,3.87,3.88,27038
22-Dec-16,4.04,4.04,3.88,4.01,43996
21-Dec-16,4.16,4.16,4.00,4.08,18796
20-Dec-16,4.13,4.19,4.06,4.09,22611
19-Dec-16,4.16,4.26,4.01,4.13,86106
16-Dec-16,4.14,4.44,4.05,4.29,128050
15-Dec-16,4.10,4.13,4.03,4.13,25047
14-Dec-16,4.15,4.15,4.05,4.14,34612
13-Dec-16,4.33,4.33,4.10,4.17,166165
12-Dec-16,3.91,4.38,3.91,4.33,272207
9-Dec-16,3.59,4.20,3.44,4.05,665243
8-Dec-16,3.69,3.69,3.45,3.53,80017
7-Dec-16,3.23,3.69,3.22,3.69,384463
6-Dec-16,3.10,3.19,3.02,3.19,30198
5-Dec-16,3.10,3.15,3.05,3.06,19338
2-Dec-16,3.08,3.17,3.06,3.10,55641
1-Dec-16,3.08,3.18,3.00,3.05,102645
30-Nov-16,3.14,3.19,3.04,3.06,18766
29-Nov-16,3.11,3.13,3.06,3.12,19976
28-Nov-16,3.16,3.16,3.00,3.12,47751
25-Nov-16,3.11,3.11,2.96,3.05,46185
24-Nov-16,3.28,3.36,3.01,3.11,54579
23-Nov-16,3.34,3.43,3.28,3.30,80258
22-Nov-16,3.00,3.27,2.96,3.27,139508
21-Nov-16,3.01,3.02,2.91,2.95,19296
18-Nov-16,2.94,3.00,2.94,2.99,18974
17-Nov-16,2.97,3.11,2.97,2.97,25197
16-Nov-16,2.92,2.96,2.86,2.95,43974
15-Nov-16,3.16,3.16,2.95,2.95,54387
14-Nov-16,3.12,3.25,2.91,3.16,131248
10-Nov-16,3.42,3.42,3.02,3.10,241238
9-Nov-16,3.30,3.54,3.23,3.34,226381
8-Nov-16,3.45,3.60,3.43,3.49,38579
7-Nov-16,3.47,3.73,3.31,3.43,174495
4-Nov-16,3.67,3.79,3.46,3.50,269274
3-Nov-16,3.20,3.58,3.07,3.58,217004
2-Nov-16,3.07,3.08,2.96,3.04,96949
31-Oct-16,2.72,3.07,2.67,3.00,63297
28-Oct-16,2.70,2.73,2.60,2.67,26339
27-Oct-16,2.60,2.74,2.59,2.70,37714
26-Oct-16,2.65,2.67,2.55,2.60,31194
25-Oct-16,2.73,2.73,2.55,2.65,37059
24-Oct-16,2.57,2.82,2.57,2.67,45273
21-Oct-16,2.62,2.64,2.56,2.61,9619
20-Oct-16,2.57,2.67,2.46,2.62,87733
19-Oct-16,2.80,2.80,2.40,2.54,202833
18-Oct-16,2.86,2.88,2.76,2.78,71994
17-Oct-16,3.04,3.04,2.80,2.95,40590
14-Oct-16,2.99,3.09,2.95,3.02,24577
13-Oct-16,3.00,3.00,2.92,2.99,33748
12-Oct-16,2.99,3.05,2.95,3.05,15171
11-Oct-16,3.00,3.07,2.96,3.00,32638
10-Oct-16,3.09,3.09,2.98,3.05,42470
7-Oct-16,3.11,3.15,3.04,3.14,13306
6-Oct-16,3.15,3.15,3.00,3.05,15528
5-Oct-16,3.26,3.26,2.94,3.10,105936
4-Oct-16,3.30,3.41,3.26,3.33,56680
3-Oct-16,3.29,3.36,3.20,3.30,40229
30-Sep-16,3.32,3.32,3.15,3.16,40108
29-Sep-16,2.90,3.32,2.90,3.30,167101
28-Sep-16,2.87,3.07,2.81,2.90,167716
27-Sep-16,3.30,3.34,2.97,2.97,110899
26-Sep-16,3.52,3.52,3.20,3.27,116699
23-Sep-16,3.58,3.58,3.44,3.50,16363
22-Sep-16,3.53,3.59,3.40,3.58,35000
21-Sep-16,3.45,3.55,3.36,3.49,16062
20-Sep-16,3.38,3.57,3.34,3.47,38548
19-Sep-16,3.52,3.62,3.35,3.38,132176
