b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,5.03,5.04,4.99,5.00,52616
14-Sep-17,5.03,5.03,5.00,5.00,51145
13-Sep-17,5.03,5.03,5.00,5.02,33672
12-Sep-17,5.01,5.04,5.00,5.04,8170
11-Sep-17,5.04,5.04,5.00,5.04,46539
8-Sep-17,5.01,5.04,5.00,5.04,28265
7-Sep-17,5.01,5.04,5.01,5.04,19550
6-Sep-17,5.03,5.04,4.99,5.04,44022
5-Sep-17,5.03,5.03,5.00,5.03,38858
4-Sep-17,5.04,5.04,4.99,5.04,50603
1-Sep-17,5.04,5.04,4.99,5.04,101101
31-Aug-17,5.03,5.04,5.03,5.04,300
30-Aug-17,5.02,5.03,5.01,5.03,3450
29-Aug-17,5.02,5.03,4.99,5.03,3765
28-Aug-17,5.02,5.03,5.01,5.02,3800
25-Aug-17,5.02,5.03,5.01,5.01,4118
24-Aug-17,5.03,5.04,4.98,5.04,6325
23-Aug-17,5.03,5.04,4.99,5.04,6132
22-Aug-17,5.03,5.03,4.98,5.03,7213
21-Aug-17,5.02,5.04,4.98,5.04,7852
18-Aug-17,5.03,5.03,4.99,5.00,5247
17-Aug-17,5.04,5.04,4.99,4.99,19398
16-Aug-17,5.03,5.04,5.01,5.04,5949
14-Aug-17,5.04,5.04,5.00,5.03,6717
11-Aug-17,5.04,5.05,5.00,5.05,8750
10-Aug-17,5.05,5.06,5.00,5.06,9034
9-Aug-17,5.05,5.06,5.01,5.06,9575
8-Aug-17,5.05,5.05,5.01,5.01,9671
7-Aug-17,5.06,5.06,5.00,5.06,34009
4-Aug-17,5.06,5.06,5.01,5.06,10808
3-Aug-17,5.06,5.06,5.02,5.06,11573
2-Aug-17,5.05,5.06,5.01,5.06,15764
1-Aug-17,5.01,5.06,5.01,5.01,11383
31-Jul-17,5.06,5.06,5.01,5.01,11202
28-Jul-17,5.06,5.07,5.01,5.01,42247
27-Jul-17,5.05,5.06,5.02,5.04,10081
26-Jul-17,5.06,5.06,5.00,5.02,16378
25-Jul-17,5.06,5.07,5.01,5.07,16372
24-Jul-17,5.07,5.07,5.01,5.07,16827
21-Jul-17,5.05,5.08,5.01,5.08,46657
20-Jul-17,5.05,5.08,5.03,5.08,17900
19-Jul-17,5.06,5.08,5.01,5.08,74047
18-Jul-17,5.08,5.08,5.02,5.03,49541
17-Jul-17,5.06,5.08,5.04,5.05,37560
14-Jul-17,5.03,5.08,5.01,5.08,44211
13-Jul-17,5.05,5.06,5.01,5.01,20593
12-Jul-17,5.09,5.10,5.04,5.10,39618
11-Jul-17,5.10,5.10,5.03,5.10,31625
10-Jul-17,5.05,5.10,5.04,5.10,40100
7-Jul-17,5.11,5.11,5.00,5.10,59272
6-Jul-17,5.07,5.07,5.01,5.01,29961
5-Jul-17,5.12,5.12,5.04,5.04,35670
4-Jul-17,5.08,5.12,5.05,5.12,21727
3-Jul-17,5.12,5.12,5.07,5.12,28237
30-Jun-17,5.11,5.12,5.06,5.12,22539
29-Jun-17,5.12,5.12,5.05,5.12,52593
28-Jun-17,5.10,5.10,5.06,5.07,22837
27-Jun-17,5.14,5.14,5.04,5.12,116263
26-Jun-17,5.09,5.13,5.08,5.10,214717
23-Jun-17,5.13,5.13,5.07,5.10,32653
22-Jun-17,5.14,5.14,5.07,5.13,23294
21-Jun-17,5.14,5.14,5.07,5.10,178557
20-Jun-17,5.14,5.14,5.08,5.11,72996
19-Jun-17,5.14,5.15,5.07,5.14,71232
16-Jun-17,5.14,5.14,5.09,5.13,56392
14-Jun-17,5.13,5.15,5.09,5.15,43557
13-Jun-17,5.14,5.14,5.09,5.12,69204
12-Jun-17,5.14,5.15,5.09,5.15,32671
9-Jun-17,5.15,5.15,5.07,5.15,36534
8-Jun-17,5.08,5.16,5.07,5.16,61361
7-Jun-17,5.18,5.25,5.07,5.07,85125
6-Jun-17,5.24,5.24,5.08,5.18,72306
5-Jun-17,5.11,5.25,5.09,5.25,84756
2-Jun-17,5.18,5.18,5.09,5.17,59405
1-Jun-17,5.16,5.17,5.09,5.11,81679
31-May-17,5.20,5.20,5.10,5.17,56991
30-May-17,5.15,5.25,5.10,5.25,50050
29-May-17,5.16,5.16,5.10,5.14,62503
26-May-17,5.13,5.15,5.10,5.10,62035
25-May-17,5.13,5.15,5.10,5.10,68683
24-May-17,5.12,5.15,5.09,5.14,54075
23-May-17,5.13,5.14,5.08,5.12,1428701
22-May-17,5.13,5.13,5.05,5.12,26750
19-May-17,5.10,5.10,5.02,5.02,26417
18-May-17,5.10,5.12,5.05,5.06,25757
17-May-17,5.08,5.11,5.04,5.04,59556
16-May-17,5.05,5.09,5.01,5.08,29856
15-May-17,5.07,5.09,5.05,5.05,36856
12-May-17,5.07,5.07,5.05,5.05,36579
11-May-17,5.07,5.08,5.07,5.07,36700
10-May-17,5.01,5.07,5.01,5.07,42171
9-May-17,5.07,5.08,5.01,5.01,48203
8-May-17,5.06,5.08,5.00,5.01,1039964
5-May-17,5.07,5.08,5.01,5.01,27821
4-May-17,5.07,5.07,5.05,5.05,27227
2-May-17,5.07,5.07,5.05,5.07,28760
28-Apr-17,5.05,5.06,5.00,5.00,31683
27-Apr-17,5.05,5.05,5.00,5.01,27405
26-Apr-17,5.05,5.05,4.99,5.05,28042
25-Apr-17,5.05,5.06,4.99,5.05,27842
24-Apr-17,5.07,5.07,4.98,5.05,28095
21-Apr-17,5.03,5.03,5.00,5.00,259319
20-Apr-17,5.04,5.04,5.03,5.03,24426
19-Apr-17,5.05,5.05,5.00,5.03,33300
18-Apr-17,5.08,5.08,4.97,5.05,30509
13-Apr-17,5.09,5.09,5.00,5.02,250882
12-Apr-17,5.06,5.08,5.05,5.06,60620
11-Apr-17,5.09,5.09,5.00,5.06,23379
10-Apr-17,5.06,5.06,5.04,5.05,656895
7-Apr-17,5.08,5.08,5.01,5.03,21939
6-Apr-17,5.08,5.08,5.01,5.08,20318
5-Apr-17,5.10,5.10,4.95,5.09,22575
4-Apr-17,5.09,5.10,5.05,5.05,423907
3-Apr-17,5.10,5.10,5.05,5.09,20180
31-Mar-17,5.07,5.08,5.04,5.08,23579
30-Mar-17,5.09,5.09,5.03,5.04,25710
29-Mar-17,5.10,5.10,5.05,5.05,27930
28-Mar-17,5.10,5.10,5.00,5.00,23693
27-Mar-17,5.06,5.10,5.04,5.05,24084
24-Mar-17,5.10,5.10,5.06,5.06,25158
