b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,0.76,0.79,0.75,0.76,67760
14-Sep-17,0.74,0.81,0.74,0.75,127306
13-Sep-17,0.74,0.78,0.73,0.74,138304
12-Sep-17,0.82,0.82,0.74,0.75,423617
11-Sep-17,0.85,0.85,0.77,0.82,189452
8-Sep-17,0.88,0.88,0.80,0.83,210783
7-Sep-17,0.83,0.94,0.81,0.89,931525
6-Sep-17,0.73,0.86,0.70,0.82,385219
5-Sep-17,0.73,0.75,0.73,0.73,22316
4-Sep-17,0.70,0.81,0.70,0.73,391779
1-Sep-17,0.72,0.72,0.69,0.69,50486
31-Aug-17,0.73,0.74,0.72,0.72,57361
30-Aug-17,0.75,0.76,0.72,0.74,40270
29-Aug-17,0.72,0.78,0.72,0.75,39377
28-Aug-17,0.76,0.77,0.74,0.75,69784
25-Aug-17,0.77,0.79,0.76,0.76,69524
24-Aug-17,0.77,0.81,0.77,0.79,96142
23-Aug-17,0.83,0.83,0.78,0.78,58210
22-Aug-17,0.78,0.82,0.76,0.81,139236
21-Aug-17,0.83,0.83,0.76,0.78,96540
18-Aug-17,0.80,0.84,0.77,0.81,192144
17-Aug-17,0.76,0.91,0.76,0.77,424923
16-Aug-17,0.80,0.81,0.75,0.76,74707
14-Aug-17,0.85,0.85,0.78,0.82,68179
11-Aug-17,0.83,0.88,0.80,0.84,98491
10-Aug-17,0.86,0.91,0.83,0.86,97969
9-Aug-17,0.88,0.91,0.85,0.86,80505
8-Aug-17,0.96,0.96,0.87,0.88,178167
7-Aug-17,1.01,1.01,0.91,0.94,208963
4-Aug-17,0.98,1.03,0.93,0.98,289010
3-Aug-17,0.97,1.02,0.96,0.98,313402
2-Aug-17,0.89,1.06,0.86,0.99,1001680
1-Aug-17,0.88,0.92,0.86,0.89,108218
31-Jul-17,0.94,0.99,0.85,0.88,701210
28-Jul-17,0.76,1.03,0.71,0.93,1571628
27-Jul-17,0.82,0.84,0.76,0.77,259938
26-Jul-17,0.87,0.90,0.81,0.81,441285
25-Jul-17,0.98,0.99,0.89,0.89,349206
24-Jul-17,1.00,1.08,0.91,0.96,389838
