b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,63.80,63.99,61.80,62.80,656467
14-Sep-17,64.20,64.72,63.36,63.50,237190
13-Sep-17,64.60,65.08,64.02,64.11,271991
12-Sep-17,65.09,66.23,64.37,64.55,191130
11-Sep-17,65.55,65.55,64.51,64.58,125761
8-Sep-17,65.40,65.79,64.71,65.00,249662
7-Sep-17,65.91,66.66,64.65,65.39,347636
6-Sep-17,66.34,66.34,65.10,65.60,188339
5-Sep-17,66.32,67.29,65.43,66.00,116847
4-Sep-17,65.50,66.45,64.68,66.20,193110
1-Sep-17,66.04,66.50,65.80,66.15,180222
31-Aug-17,66.50,66.80,65.50,66.00,219497
30-Aug-17,65.10,66.94,65.00,66.38,409982
29-Aug-17,64.88,64.88,64.05,64.50,317834
28-Aug-17,62.92,65.10,62.84,65.07,264804
25-Aug-17,63.85,63.98,62.49,62.91,111320
24-Aug-17,62.30,63.76,62.00,63.54,124806
23-Aug-17,62.81,63.25,62.11,62.39,160141
22-Aug-17,61.80,62.70,61.70,62.45,163645
21-Aug-17,61.60,61.87,61.31,61.65,112732
18-Aug-17,62.00,62.26,61.21,61.41,103443
17-Aug-17,62.30,62.30,61.10,61.70,181869
16-Aug-17,63.10,64.00,62.35,62.50,453034
14-Aug-17,64.00,64.39,63.01,63.48,100470
11-Aug-17,64.10,64.28,63.41,64.00,132292
10-Aug-17,64.69,65.59,64.15,64.25,699864
9-Aug-17,63.90,64.08,63.45,63.71,274148
8-Aug-17,64.15,64.15,63.45,63.80,166541
7-Aug-17,64.48,64.49,63.30,63.60,229735
4-Aug-17,62.37,64.34,62.37,64.10,237554
3-Aug-17,63.10,63.95,62.28,62.50,312591
2-Aug-17,64.23,64.47,63.10,63.10,365453
1-Aug-17,64.29,64.59,63.51,63.73,398666
31-Jul-17,62.19,64.24,62.19,64.10,440565
28-Jul-17,61.60,62.22,61.02,62.20,202715
27-Jul-17,62.20,62.50,61.41,62.00,187590
26-Jul-17,61.40,62.10,61.20,62.00,436344
25-Jul-17,59.34,61.50,58.93,61.16,145974
24-Jul-17,60.20,60.77,59.00,59.34,181873
21-Jul-17,60.79,61.07,60.10,60.50,139107
20-Jul-17,60.47,60.99,60.34,60.50,218307
19-Jul-17,60.01,60.60,59.72,60.30,165093
18-Jul-17,60.88,61.26,59.71,59.80,312874
17-Jul-17,61.20,61.56,60.32,60.88,234890
14-Jul-17,62.00,62.30,60.61,60.95,226035
13-Jul-17,62.55,62.70,61.71,62.01,197195
12-Jul-17,62.60,62.66,62.35,62.48,367801
11-Jul-17,62.69,62.69,62.12,62.45,276868
10-Jul-17,62.70,62.70,62.00,62.50,270273
7-Jul-17,61.84,62.49,60.98,62.39,180135
6-Jul-17,61.50,61.96,61.10,61.80,425496
5-Jul-17,61.85,62.00,61.00,61.52,176642
4-Jul-17,61.68,62.90,61.35,61.82,700741
3-Jul-17,61.74,61.74,60.80,61.68,204252
30-Jun-17,61.00,61.75,60.32,61.75,274966
29-Jun-17,61.19,61.50,60.80,61.10,389331
28-Jun-17,61.15,61.39,60.53,60.53,121037
27-Jun-17,61.20,61.69,61.00,61.15,259263
26-Jun-17,60.31,61.70,60.31,60.97,433278
23-Jun-17,59.68,60.90,59.55,60.60,138786
22-Jun-17,60.55,61.88,59.31,59.68,309911
21-Jun-17,58.95,61.60,58.68,60.83,818352
20-Jun-17,60.90,60.90,58.58,58.99,589343
19-Jun-17,62.28,62.80,60.05,60.50,327055
16-Jun-17,64.10,64.15,61.41,61.41,645013
14-Jun-17,64.39,64.53,62.43,64.00,319257
13-Jun-17,64.49,64.79,63.84,64.10,353835
12-Jun-17,66.50,66.98,63.00,63.93,683093
9-Jun-17,68.22,68.61,66.22,66.50,221847
8-Jun-17,69.62,69.80,67.20,67.42,624867
7-Jun-17,68.08,70.00,68.00,69.50,1754872
6-Jun-17,67.78,68.91,66.31,68.03,600365
5-Jun-17,63.60,68.20,63.60,68.20,1364021
2-Jun-17,62.80,63.99,62.20,63.30,1519854
1-Jun-17,68.19,68.99,66.30,66.49,268052
31-May-17,69.45,70.14,68.01,68.20,507568
30-May-17,70.00,70.00,68.62,69.45,131481
29-May-17,69.75,70.15,69.20,70.00,102647
26-May-17,69.98,70.41,69.20,69.54,153528
25-May-17,69.99,70.39,69.50,70.00,214585
24-May-17,69.36,70.46,68.86,69.02,315742
23-May-17,70.80,71.15,69.35,69.35,180630
22-May-17,72.00,72.48,69.60,70.51,327383
19-May-17,69.90,72.72,69.90,72.18,297258
18-May-17,71.43,71.99,68.76,70.00,304627
17-May-17,71.87,72.18,70.20,71.44,393481
16-May-17,74.63,74.79,70.38,72.25,368121
15-May-17,73.80,74.82,73.80,74.64,246087
12-May-17,72.50,74.30,72.50,73.63,165623
11-May-17,73.70,74.41,72.20,73.45,287040
10-May-17,74.40,74.63,71.90,73.00,498813
9-May-17,74.45,76.19,73.07,74.14,651379
8-May-17,74.10,74.49,72.86,73.41,225625
