b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,11.26,11.43,11.05,11.43,13172
14-Sep-17,11.40,11.44,11.30,11.40,14192
13-Sep-17,11.28,11.44,11.28,11.39,13306
12-Sep-17,11.21,11.30,11.21,11.28,5387
11-Sep-17,11.10,11.20,11.05,11.14,19505
8-Sep-17,10.95,11.14,10.91,11.11,1507
7-Sep-17,10.93,10.95,10.90,10.94,820
6-Sep-17,10.83,10.83,10.78,10.80,1577
5-Sep-17,10.95,10.95,10.83,10.83,1140
4-Sep-17,11.14,11.14,10.71,10.97,4265
1-Sep-17,11.00,11.14,10.90,11.14,3632
31-Aug-17,10.85,11.00,10.85,10.90,2209
30-Aug-17,10.85,10.86,10.80,10.80,2773
29-Aug-17,10.80,11.20,10.80,10.90,9163
28-Aug-17,10.93,10.95,10.79,10.95,1151
25-Aug-17,10.95,10.95,10.82,10.93,955
24-Aug-17,10.90,10.99,10.89,10.99,2358
23-Aug-17,10.86,10.90,10.84,10.90,4700
22-Aug-17,10.82,10.98,10.82,10.95,3675
21-Aug-17,10.85,10.85,10.75,10.82,1380
18-Aug-17,10.96,10.96,10.85,10.85,943
17-Aug-17,10.90,10.99,10.85,10.95,842
16-Aug-17,10.90,11.00,10.71,10.81,1341
14-Aug-17,10.81,10.81,10.72,10.80,427
11-Aug-17,10.85,10.85,10.83,10.85,766
10-Aug-17,11.05,11.05,10.80,10.80,1543
9-Aug-17,10.76,11.05,10.76,11.05,5379
8-Aug-17,10.80,10.91,10.64,10.91,4280
7-Aug-17,10.74,10.91,10.74,10.91,386
4-Aug-17,10.74,10.90,10.74,10.75,1136
3-Aug-17,10.98,10.98,10.70,10.95,4074
2-Aug-17,10.75,11.00,10.75,10.98,603
1-Aug-17,10.81,10.81,10.80,10.80,952
31-Jul-17,11.00,11.00,10.81,10.81,1050
28-Jul-17,10.80,11.00,10.74,10.90,17036
27-Jul-17,10.80,10.90,10.80,10.90,1132
26-Jul-17,10.85,10.90,10.81,10.81,2600
25-Jul-17,10.93,10.95,10.85,10.85,3100
24-Jul-17,11.00,11.00,10.90,10.90,1280
21-Jul-17,10.90,11.00,10.89,11.00,1375
20-Jul-17,11.00,11.10,11.00,11.00,2585
19-Jul-17,11.00,11.15,10.99,11.04,3340
18-Jul-17,10.90,11.00,10.85,11.00,1612
17-Jul-17,10.80,11.00,10.80,10.90,2758
14-Jul-17,10.90,10.90,10.89,10.90,1780
13-Jul-17,10.70,10.85,10.65,10.80,53432
12-Jul-17,10.65,10.80,10.60,10.80,340
11-Jul-17,10.60,10.69,10.60,10.60,48164
10-Jul-17,10.72,10.72,10.56,10.72,943
7-Jul-17,10.70,10.72,10.70,10.72,527
6-Jul-17,10.79,10.79,10.79,10.79,137
5-Jul-17,10.75,10.90,10.75,10.84,7730
4-Jul-17,10.89,10.89,10.77,10.87,2167
3-Jul-17,10.60,10.80,10.52,10.79,10980
30-Jun-17,10.57,10.57,10.57,10.57,1896
29-Jun-17,10.57,10.57,10.56,10.57,432
28-Jun-17,10.36,10.59,10.30,10.59,7802
27-Jun-17,10.50,10.64,10.35,10.40,1588
26-Jun-17,10.80,10.90,9.84,10.50,13364
23-Jun-17,10.99,11.00,10.80,10.80,2099
22-Jun-17,11.00,11.00,10.80,10.80,1773
21-Jun-17,10.80,10.80,10.80,10.80,1140
20-Jun-17,10.99,11.00,10.80,10.80,2833
19-Jun-17,10.80,10.98,10.75,10.90,13658
