b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,164.00,165.10,159.30,160.00,14595
14-Sep-17,162.50,168.80,161.25,162.90,27526
13-Sep-17,152.80,161.15,152.80,160.00,16511
12-Sep-17,153.60,154.70,152.65,153.20,10849
11-Sep-17,156.80,156.80,153.70,154.90,13420
8-Sep-17,159.00,159.35,156.60,157.00,7816
7-Sep-17,165.00,169.00,158.00,158.90,27407
6-Sep-17,161.00,161.00,159.50,159.50,2395
5-Sep-17,161.00,161.00,159.50,160.00,3058
4-Sep-17,163.40,163.40,160.55,160.55,1764
1-Sep-17,162.00,162.70,161.00,161.00,2551
31-Aug-17,162.00,163.25,161.70,162.00,3180
30-Aug-17,163.50,164.00,161.90,161.95,4666
29-Aug-17,165.00,166.90,163.50,163.50,9057
28-Aug-17,167.00,167.70,164.25,165.00,2561
25-Aug-17,166.85,166.95,164.00,166.95,1197
24-Aug-17,167.00,167.00,165.60,166.00,5937
23-Aug-17,165.60,166.20,163.50,166.20,809
22-Aug-17,163.35,166.20,163.35,166.00,751
21-Aug-17,163.80,164.40,163.35,163.50,5867
18-Aug-17,163.40,165.00,163.35,163.60,1323
17-Aug-17,166.00,166.00,164.55,164.55,679
16-Aug-17,166.00,167.55,166.00,166.00,1200
14-Aug-17,166.70,169.15,166.70,168.65,262
11-Aug-17,166.30,167.70,165.05,165.05,3773
10-Aug-17,167.35,167.50,166.00,166.30,1688
9-Aug-17,169.90,169.90,167.10,167.40,1340
8-Aug-17,170.90,170.90,170.00,170.00,366
7-Aug-17,171.00,171.00,169.50,170.50,2832
4-Aug-17,170.00,170.65,168.65,168.65,5477
3-Aug-17,169.95,171.45,168.00,168.65,13887
2-Aug-17,164.00,169.85,164.00,168.25,15785
1-Aug-17,163.00,164.00,161.50,163.00,2013
31-Jul-17,164.50,165.90,160.50,163.00,11259
28-Jul-17,166.00,166.00,162.55,163.80,21018
27-Jul-17,167.50,167.50,165.35,166.50,37670
26-Jul-17,168.00,168.00,167.45,167.45,1310
25-Jul-17,170.00,170.00,167.50,167.85,9882
24-Jul-17,169.30,170.00,161.10,169.55,5944
21-Jul-17,171.00,172.55,169.40,169.40,2698
20-Jul-17,172.00,172.60,171.00,171.00,1742
19-Jul-17,171.35,171.95,170.00,170.90,11329
18-Jul-17,172.85,172.90,170.35,170.45,2993
17-Jul-17,174.20,174.20,172.70,172.85,1259
14-Jul-17,174.10,174.30,174.10,174.20,1296
13-Jul-17,175.00,175.00,172.75,172.75,6850
12-Jul-17,173.50,174.50,172.80,174.00,8591
11-Jul-17,173.95,174.00,171.40,171.95,3844
10-Jul-17,178.00,178.00,173.30,173.95,13877
7-Jul-17,178.00,181.40,174.60,175.70,14484
