b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,5.33,5.35,5.26,5.26,76615
14-Sep-17,5.33,5.37,5.26,5.35,52295
13-Sep-17,5.38,5.38,5.28,5.33,10575
12-Sep-17,5.39,5.40,5.34,5.38,20375
11-Sep-17,5.37,5.38,5.27,5.38,12452
8-Sep-17,5.34,5.37,5.25,5.37,3473
7-Sep-17,5.38,5.39,5.23,5.34,160689
6-Sep-17,5.33,5.33,5.26,5.30,177779
5-Sep-17,5.48,5.48,5.24,5.33,82386
4-Sep-17,5.64,5.64,5.42,5.45,67458
1-Sep-17,5.47,5.59,5.46,5.59,102626
31-Aug-17,5.47,5.47,5.42,5.47,169573
30-Aug-17,5.30,5.48,5.21,5.47,490529
29-Aug-17,5.22,5.31,5.21,5.30,40949
28-Aug-17,5.27,5.27,5.15,5.21,114599
25-Aug-17,5.29,5.29,5.18,5.19,91888
24-Aug-17,5.29,5.29,5.22,5.27,3212
23-Aug-17,5.19,5.30,5.19,5.24,139870
22-Aug-17,5.20,5.25,5.20,5.25,14960
21-Aug-17,5.17,5.23,5.17,5.22,5962
18-Aug-17,5.29,5.29,5.16,5.20,11305
17-Aug-17,5.29,5.29,5.16,5.24,117111
16-Aug-17,5.34,5.34,5.20,5.20,45942
14-Aug-17,5.31,5.32,5.28,5.29,17460
11-Aug-17,5.33,5.35,5.20,5.32,44661
10-Aug-17,5.26,5.39,5.20,5.36,323388
9-Aug-17,5.26,5.27,5.20,5.20,63205
8-Aug-17,5.28,5.28,5.21,5.26,108461
7-Aug-17,5.30,5.30,5.15,5.30,105888
4-Aug-17,5.28,5.30,5.19,5.30,13799
3-Aug-17,5.30,5.35,5.27,5.30,45935
2-Aug-17,5.25,5.30,5.20,5.30,58191
1-Aug-17,5.04,5.20,4.91,5.20,188619
31-Jul-17,5.21,5.28,4.95,5.00,180566
28-Jul-17,5.28,5.30,5.18,5.21,19809
27-Jul-17,5.24,5.30,5.12,5.28,19033
26-Jul-17,5.30,5.30,5.14,5.24,134227
25-Jul-17,5.40,5.40,5.28,5.28,51487
24-Jul-17,5.44,5.46,5.30,5.40,69272
21-Jul-17,5.47,5.47,5.42,5.44,8091
20-Jul-17,5.39,5.47,5.29,5.47,262722
19-Jul-17,5.53,5.55,5.35,5.39,190429
18-Jul-17,5.59,5.59,5.42,5.50,61463
17-Jul-17,5.61,5.61,5.56,5.56,31068
14-Jul-17,5.55,5.60,5.52,5.60,119140
13-Jul-17,5.60,5.64,5.55,5.57,58342
12-Jul-17,5.60,5.64,5.43,5.58,39854
11-Jul-17,5.54,5.60,5.54,5.58,214911
10-Jul-17,5.51,5.63,5.51,5.60,73435
7-Jul-17,5.44,5.64,5.42,5.55,29099
6-Jul-17,5.53,5.53,5.41,5.49,69973
5-Jul-17,5.65,5.65,5.50,5.53,46374
4-Jul-17,5.67,5.67,5.55,5.65,9714
3-Jul-17,5.52,5.65,5.52,5.63,11770
30-Jun-17,5.66,5.66,5.53,5.59,47004
29-Jun-17,5.70,5.70,5.48,5.65,71703
28-Jun-17,5.76,5.77,5.65,5.68,30443
27-Jun-17,5.72,5.75,5.72,5.72,30778
26-Jun-17,5.62,5.72,5.62,5.72,226715
23-Jun-17,5.68,5.68,5.61,5.62,7202
22-Jun-17,5.69,5.69,5.62,5.63,10769
21-Jun-17,5.64,5.69,5.60,5.69,12080
20-Jun-17,5.63,5.70,5.63,5.64,93069
19-Jun-17,5.68,5.72,5.68,5.68,29041
16-Jun-17,5.70,5.72,5.62,5.68,29684
14-Jun-17,5.66,5.72,5.65,5.69,15070
13-Jun-17,5.65,5.66,5.60,5.64,14740
12-Jun-17,5.75,5.75,5.62,5.62,17074
9-Jun-17,5.70,5.71,5.65,5.69,63979
8-Jun-17,5.65,5.69,5.60,5.69,99137
7-Jun-17,5.80,5.80,5.59,5.60,672251
6-Jun-17,5.71,5.82,5.70,5.71,148155
5-Jun-17,5.71,5.85,5.67,5.70,126177
2-Jun-17,5.75,5.75,5.65,5.70,595997
1-Jun-17,5.64,5.64,5.56,5.61,99177
31-May-17,5.67,5.67,5.51,5.63,35455
30-May-17,5.63,5.71,5.59,5.63,823702
29-May-17,5.60,5.60,5.50,5.59,26354
26-May-17,5.59,5.59,5.52,5.59,11323
25-May-17,5.45,5.64,5.42,5.56,576055
24-May-17,5.27,5.45,5.27,5.45,581527
23-May-17,5.35,5.35,5.20,5.26,37710
22-May-17,5.37,5.37,5.30,5.30,9148
19-May-17,5.30,5.38,5.29,5.35,95257
18-May-17,5.14,5.35,5.06,5.35,63921
17-May-17,5.35,5.35,5.16,5.20,34510
16-May-17,5.39,5.39,5.23,5.35,26051
15-May-17,5.44,5.45,5.30,5.35,20554
12-May-17,5.37,5.42,5.29,5.42,158689
11-May-17,5.34,5.40,5.25,5.39,478939
10-May-17,5.27,5.37,5.13,5.34,123769
9-May-17,5.41,5.41,5.30,5.30,52146
8-May-17,5.42,5.45,5.37,5.40,105291
5-May-17,5.39,5.40,5.33,5.40,38608
4-May-17,5.38,5.49,5.28,5.37,56756
2-May-17,5.25,5.37,5.25,5.35,54818
28-Apr-17,5.24,5.30,5.20,5.30,413342
27-Apr-17,5.25,5.25,5.15,5.25,97577
26-Apr-17,5.27,5.29,5.12,5.23,87365
25-Apr-17,5.25,5.29,5.20,5.25,35597
24-Apr-17,5.08,5.20,5.03,5.17,166664
21-Apr-17,5.05,5.08,4.97,5.08,90816
20-Apr-17,5.09,5.09,4.97,5.05,111101
19-Apr-17,4.92,5.10,4.91,5.08,33416
18-Apr-17,4.98,5.00,4.81,4.91,237370
13-Apr-17,5.01,5.03,4.97,4.99,107048
12-Apr-17,5.05,5.05,4.97,5.03,74998
11-Apr-17,5.05,5.09,4.99,5.05,102060
10-Apr-17,5.05,5.11,5.00,5.05,96440
7-Apr-17,5.05,5.10,5.01,5.05,74085
6-Apr-17,5.30,5.30,4.97,5.05,640071
5-Apr-17,5.50,5.50,5.41,5.44,103138
4-Apr-17,5.26,5.38,5.26,5.30,49956
3-Apr-17,5.06,5.29,5.06,5.26,49375
31-Mar-17,5.06,5.26,5.06,5.20,39792
30-Mar-17,5.09,5.25,5.06,5.19,28849
29-Mar-17,5.27,5.27,5.04,5.13,163877
28-Mar-17,5.40,5.40,5.26,5.35,11664
27-Mar-17,5.28,5.42,5.28,5.40,13377
24-Mar-17,5.45,5.45,5.18,5.42,74529
23-Mar-17,5.32,5.47,5.30,5.39,252717
22-Mar-17,5.20,5.20,5.06,5.16,14491
21-Mar-17,5.33,5.49,5.20,5.20,36129
20-Mar-17,5.30,5.31,5.20,5.31,207200
17-Mar-17,5.20,5.26,5.14,5.24,207090
16-Mar-17,4.95,5.31,4.93,5.20,729294
15-Mar-17,4.88,4.95,4.82,4.95,1168673
14-Mar-17,4.89,4.89,4.80,4.82,50310
13-Mar-17,4.80,4.89,4.75,4.83,250368
10-Mar-17,4.55,4.72,4.45,4.71,177215
9-Mar-17,4.64,4.66,4.51,4.55,59403
8-Mar-17,4.70,4.70,4.61,4.66,71626
7-Mar-17,4.65,4.72,4.65,4.67,37644
6-Mar-17,4.68,4.68,4.63,4.65,27447
3-Mar-17,4.68,4.68,4.63,4.68,8504
2-Mar-17,4.61,4.70,4.55,4.70,92419
1-Mar-17,4.75,4.75,4.61,4.61,30979
28-Feb-17,4.78,4.78,4.60,4.70,41031
27-Feb-17,4.83,4.83,4.70,4.79,17894
24-Feb-17,4.83,4.84,4.75,4.76,33066
23-Feb-17,4.76,4.84,4.76,4.81,46311
22-Feb-17,4.81,4.82,4.76,4.80,9914
21-Feb-17,4.84,4.86,4.75,4.80,29290
20-Feb-17,4.80,4.84,4.79,4.79,20145
17-Feb-17,4.80,4.80,4.72,4.72,59419
16-Feb-17,4.85,4.85,4.79,4.79,32157
15-Feb-17,4.81,4.87,4.77,4.78,123278
14-Feb-17,4.81,4.85,4.79,4.81,11833
13-Feb-17,4.83,4.86,4.78,4.81,21415
10-Feb-17,4.72,4.82,4.72,4.81,26507
9-Feb-17,4.71,4.84,4.70,4.72,32112
8-Feb-17,4.78,4.78,4.65,4.69,16364
7-Feb-17,4.79,4.86,4.69,4.71,47391
6-Feb-17,4.88,4.88,4.79,4.81,21731
3-Feb-17,4.94,4.94,4.81,4.87,32014
2-Feb-17,4.88,4.94,4.85,4.89,17319
1-Feb-17,4.84,4.87,4.78,4.87,26646
31-Jan-17,4.86,4.95,4.78,4.80,76635
30-Jan-17,4.80,4.88,4.77,4.84,75853
27-Jan-17,4.89,4.89,4.79,4.85,26815
26-Jan-17,4.97,4.97,4.80,4.90,42288
25-Jan-17,4.96,4.97,4.80,4.85,89592
24-Jan-17,4.65,4.94,4.63,4.90,248736
23-Jan-17,4.56,4.64,4.55,4.64,53646
20-Jan-17,4.34,4.57,4.33,4.56,142292
19-Jan-17,4.30,4.39,4.19,4.34,217308
18-Jan-17,4.55,4.55,4.18,4.25,1200909
17-Jan-17,4.62,4.64,4.54,4.54,31311
16-Jan-17,4.63,4.63,4.57,4.60,24985
13-Jan-17,4.63,4.63,4.56,4.63,29048
12-Jan-17,4.57,4.65,4.47,4.56,126949
11-Jan-17,4.62,4.62,4.51,4.57,30469
10-Jan-17,4.67,4.67,4.55,4.59,84171
9-Jan-17,4.69,4.74,4.60,4.65,19708
5-Jan-17,4.47,4.80,4.47,4.65,154430
4-Jan-17,4.45,4.45,4.40,4.45,30419
3-Jan-17,4.40,4.43,4.36,4.43,21491
2-Jan-17,4.42,4.43,4.35,4.37,13142
30-Dec-16,4.36,4.38,4.28,4.38,43391
29-Dec-16,4.29,4.36,4.24,4.36,45037
28-Dec-16,4.33,4.36,4.26,4.27,80488
27-Dec-16,4.35,4.35,4.26,4.33,46004
23-Dec-16,4.37,4.37,4.31,4.33,17284
22-Dec-16,4.36,4.37,4.33,4.33,106140
21-Dec-16,4.39,4.39,4.31,4.38,48677
20-Dec-16,4.38,4.41,4.32,4.34,162287
19-Dec-16,4.41,4.41,4.33,4.39,21419
16-Dec-16,4.40,4.43,4.38,4.40,23062
15-Dec-16,4.31,4.38,4.31,4.38,141055
14-Dec-16,4.45,4.45,4.28,4.32,194046
13-Dec-16,4.43,4.46,4.38,4.42,381421
12-Dec-16,4.29,4.45,4.29,4.42,197181
9-Dec-16,4.23,4.23,4.22,4.23,28363
8-Dec-16,4.23,4.25,4.17,4.24,94833
7-Dec-16,4.26,4.26,4.22,4.25,30507
6-Dec-16,4.25,4.27,4.20,4.25,38371
5-Dec-16,4.26,4.26,4.15,4.26,128450
2-Dec-16,4.28,4.28,4.15,4.22,36882
1-Dec-16,4.29,4.29,4.25,4.28,14776
30-Nov-16,4.25,4.29,4.20,4.29,89851
29-Nov-16,4.31,4.31,4.22,4.24,149638
28-Nov-16,4.27,4.31,4.22,4.26,15998
25-Nov-16,4.23,4.30,4.18,4.27,64246
24-Nov-16,4.20,4.29,4.13,4.18,37314
23-Nov-16,4.17,4.20,4.10,4.19,42236
22-Nov-16,4.14,4.18,4.06,4.16,49895
21-Nov-16,4.19,4.20,4.02,4.14,182157
18-Nov-16,4.15,4.20,4.10,4.19,50665
17-Nov-16,4.20,4.27,4.10,4.15,114578
16-Nov-16,4.30,4.33,4.20,4.25,29231
15-Nov-16,4.17,4.28,4.17,4.27,20110
14-Nov-16,4.36,4.36,4.15,4.28,50733
10-Nov-16,4.20,4.42,4.12,4.30,112074
9-Nov-16,3.91,4.14,3.90,4.12,62909
8-Nov-16,4.16,4.16,4.06,4.14,162827
7-Nov-16,4.22,4.22,4.10,4.16,17012
4-Nov-16,4.17,4.17,4.10,4.14,19613
3-Nov-16,4.19,4.23,4.07,4.10,39113
2-Nov-16,4.34,4.34,4.10,4.19,159179
31-Oct-16,4.27,4.34,4.20,4.34,126481
28-Oct-16,4.23,4.34,4.20,4.20,48462
27-Oct-16,4.24,4.24,4.15,4.23,97114
26-Oct-16,4.20,4.20,4.16,4.19,28948
25-Oct-16,4.13,4.18,4.11,4.17,105998
24-Oct-16,4.17,4.17,4.14,4.14,10751
21-Oct-16,4.20,4.26,4.15,4.17,39428
20-Oct-16,4.25,4.25,4.18,4.24,14313
19-Oct-16,4.22,4.25,4.14,4.20,51224
18-Oct-16,4.27,4.27,4.12,4.25,154825
17-Oct-16,4.28,4.28,4.23,4.26,75841
14-Oct-16,4.37,4.38,4.26,4.29,36797
13-Oct-16,4.24,4.34,4.19,4.29,282466
12-Oct-16,4.29,4.29,3.91,4.18,231208
11-Oct-16,4.30,4.30,4.18,4.18,173487
10-Oct-16,4.29,4.32,4.27,4.29,30754
7-Oct-16,4.31,4.31,4.27,4.28,47220
6-Oct-16,4.30,4.33,4.24,4.27,112513
5-Oct-16,4.35,4.35,4.30,4.30,36972
4-Oct-16,4.39,4.39,4.34,4.35,16306
3-Oct-16,4.33,4.40,4.30,4.39,34288
30-Sep-16,4.37,4.37,4.29,4.33,343916
29-Sep-16,4.37,4.37,4.30,4.35,149228
28-Sep-16,4.37,4.37,4.30,4.37,213007
27-Sep-16,4.38,4.38,4.28,4.36,26823
26-Sep-16,4.27,4.38,4.27,4.34,135923
23-Sep-16,4.22,4.28,4.15,4.27,129322
22-Sep-16,4.28,4.28,4.10,4.19,95657
21-Sep-16,4.28,4.28,4.24,4.25,51378
20-Sep-16,4.29,4.31,4.25,4.27,50511
19-Sep-16,4.32,4.35,4.25,4.30,37034
