b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,30.98,30.99,30.36,30.80,3589
14-Sep-17,30.80,30.98,30.70,30.98,4863
13-Sep-17,29.89,30.75,29.88,30.75,5176
12-Sep-17,29.50,29.89,29.50,29.51,138786
11-Sep-17,29.98,29.98,29.40,29.40,82659
8-Sep-17,30.23,30.23,29.85,29.99,5768
7-Sep-17,29.10,30.00,29.09,30.00,262780
6-Sep-17,29.15,29.54,29.05,29.09,241541
5-Sep-17,29.03,29.24,29.00,29.17,60818
4-Sep-17,29.50,29.54,29.01,29.10,60162
1-Sep-17,30.99,30.99,29.54,29.75,75960
31-Aug-17,31.10,31.39,30.55,30.99,16127
30-Aug-17,30.95,30.95,30.55,30.55,8516
29-Aug-17,31.30,31.30,31.00,31.00,813
28-Aug-17,31.50,31.50,31.30,31.50,1343
25-Aug-17,31.18,31.50,30.81,31.50,5967
24-Aug-17,31.19,31.20,30.66,30.79,2443
23-Aug-17,31.10,31.20,30.66,31.00,1219
22-Aug-17,31.30,31.30,31.00,31.04,217
21-Aug-17,30.80,31.00,30.62,31.00,16617
18-Aug-17,31.20,31.20,30.80,30.80,290
17-Aug-17,31.00,31.50,30.99,31.40,5566
16-Aug-17,30.94,31.10,30.91,31.07,9075
14-Aug-17,30.94,30.95,30.34,30.94,3647
11-Aug-17,31.00,31.00,30.35,30.97,15074
10-Aug-17,31.00,31.00,30.50,30.75,3991
9-Aug-17,30.96,30.96,30.35,30.50,12128
8-Aug-17,31.00,31.00,30.35,30.79,27032
7-Aug-17,31.00,31.30,30.62,30.62,55070
4-Aug-17,31.34,31.34,30.93,31.31,559
3-Aug-17,31.44,31.44,30.90,31.34,1926
2-Aug-17,31.75,31.75,31.16,31.42,898
1-Aug-17,31.64,31.64,31.23,31.40,926
31-Jul-17,31.64,31.64,31.20,31.64,24149
28-Jul-17,31.00,31.80,30.49,31.29,110594
27-Jul-17,31.30,31.30,30.93,31.00,4871
26-Jul-17,32.00,32.00,30.90,30.90,5904
25-Jul-17,30.75,32.00,30.69,32.00,128752
24-Jul-17,30.55,30.79,30.12,30.70,27245
21-Jul-17,31.60,31.60,30.70,30.70,8450
20-Jul-17,31.80,31.80,31.20,31.60,6756
19-Jul-17,32.10,32.10,31.75,31.80,6578
18-Jul-17,32.90,33.11,31.81,32.00,10262
17-Jul-17,34.60,34.60,32.90,32.91,63737
14-Jul-17,33.82,34.60,33.82,34.60,36892
13-Jul-17,34.40,34.90,33.81,34.10,2788
12-Jul-17,34.10,34.40,33.70,34.40,57928
11-Jul-17,34.88,34.88,34.10,34.30,5153
10-Jul-17,35.10,35.10,34.40,34.87,56844
7-Jul-17,34.50,34.90,34.40,34.41,314
6-Jul-17,34.65,34.80,34.60,34.80,901
5-Jul-17,34.95,34.95,34.50,34.50,15526
4-Jul-17,34.89,34.90,34.52,34.89,1117
3-Jul-17,35.44,35.50,35.44,35.50,283
30-Jun-17,35.40,35.40,34.71,35.00,17651
29-Jun-17,35.54,35.60,35.05,35.50,121848
28-Jun-17,35.50,35.50,35.02,35.02,2574
27-Jun-17,34.97,35.54,34.56,35.54,7852
26-Jun-17,34.90,35.05,34.00,34.97,1913
23-Jun-17,34.70,34.80,34.70,34.80,304
22-Jun-17,34.80,34.80,34.50,34.70,4335
21-Jun-17,34.99,34.99,34.81,34.81,642
20-Jun-17,34.70,35.54,34.50,34.99,11657
19-Jun-17,35.50,35.60,35.20,35.60,6974
16-Jun-17,35.65,35.65,35.20,35.20,871
14-Jun-17,35.87,35.95,35.58,35.60,4238
13-Jun-17,35.40,35.90,35.40,35.90,2925
12-Jun-17,35.78,35.78,35.06,35.35,22672
9-Jun-17,35.73,35.78,35.50,35.78,363
8-Jun-17,35.00,35.76,35.00,35.76,4991
7-Jun-17,35.48,35.49,35.00,35.00,239
6-Jun-17,35.47,35.50,34.51,35.50,1332
5-Jun-17,35.72,35.72,34.64,35.00,14282
2-Jun-17,35.50,35.53,35.50,35.50,2186
1-Jun-17,35.21,35.90,35.20,35.50,1477
31-May-17,36.40,36.40,35.24,36.27,3015
30-May-17,35.55,36.43,34.33,36.43,58496
29-May-17,35.49,35.59,35.49,35.50,278
26-May-17,35.70,35.70,34.51,35.20,2499
25-May-17,35.21,35.71,35.14,35.70,6154
24-May-17,34.83,35.60,34.83,35.20,2125
23-May-17,34.42,35.00,34.42,35.00,2256
22-May-17,34.05,35.42,34.05,34.42,968
19-May-17,33.36,34.06,33.30,34.05,2928
18-May-17,34.09,34.79,32.51,33.56,9888
17-May-17,35.15,35.15,34.13,34.14,1824
16-May-17,35.18,35.60,35.15,35.15,9463
15-May-17,35.69,35.69,35.10,35.18,469
12-May-17,35.50,35.70,35.05,35.64,384
11-May-17,35.55,36.08,35.01,35.01,12613
10-May-17,35.61,35.99,35.55,35.70,4010
9-May-17,36.08,36.08,35.81,35.90,1470
8-May-17,35.99,36.10,35.54,35.95,6374
5-May-17,36.88,36.88,36.00,36.09,2494
4-May-17,36.40,37.00,36.05,36.05,11134
2-May-17,35.85,36.99,35.81,36.09,6688
28-Apr-17,34.56,35.13,34.55,35.13,1490
27-Apr-17,35.38,35.38,34.52,35.05,1353
26-Apr-17,34.89,35.38,34.89,35.38,2915
25-Apr-17,34.62,35.00,34.12,35.00,5070
24-Apr-17,34.18,34.59,33.86,34.59,14719
21-Apr-17,34.20,34.20,33.50,33.86,2564
20-Apr-17,34.23,34.28,34.00,34.20,4826
19-Apr-17,33.50,34.42,33.50,34.42,3199
18-Apr-17,33.80,33.98,33.22,33.41,2664
13-Apr-17,34.05,34.05,33.80,33.80,2517
12-Apr-17,34.34,34.34,34.07,34.07,680
11-Apr-17,34.32,34.43,34.24,34.34,5503
10-Apr-17,34.40,34.89,34.25,34.30,31338
7-Apr-17,34.23,34.60,34.23,34.38,6398
6-Apr-17,34.21,34.85,34.21,34.82,474
5-Apr-17,35.00,35.20,34.22,34.63,3187
4-Apr-17,35.20,35.20,34.95,35.00,2429
3-Apr-17,35.15,35.15,34.97,35.15,1380
31-Mar-17,34.46,35.15,34.21,34.95,1409
30-Mar-17,34.99,35.01,34.50,34.50,51071
29-Mar-17,34.82,35.50,34.11,34.46,3825
28-Mar-17,35.10,35.26,34.80,34.95,6812
27-Mar-17,35.60,35.87,35.41,35.65,637
24-Mar-17,35.97,35.97,35.06,35.60,11392
23-Mar-17,35.03,35.97,35.03,35.97,2550
22-Mar-17,35.40,35.40,35.00,35.25,2331
21-Mar-17,35.25,35.99,35.25,35.45,14850
20-Mar-17,34.98,35.99,34.98,35.25,1695
17-Mar-17,35.41,35.70,35.15,35.15,12844
16-Mar-17,34.95,35.65,34.91,35.65,2220
15-Mar-17,35.70,35.70,34.58,35.00,2519
14-Mar-17,34.90,35.12,34.90,35.12,2868
13-Mar-17,36.00,36.00,34.59,34.70,5497
10-Mar-17,33.72,34.48,33.72,34.05,3394
9-Mar-17,35.10,36.00,33.50,33.71,42787
8-Mar-17,36.58,36.59,34.28,35.20,43998
7-Mar-17,36.30,36.50,36.22,36.50,14316
6-Mar-17,36.30,36.46,36.11,36.20,27261
3-Mar-17,36.46,36.46,36.10,36.11,1827
2-Mar-17,35.75,36.47,35.75,36.41,33645
1-Mar-17,34.09,35.90,33.61,35.50,104895
28-Feb-17,33.37,34.00,33.37,34.00,7842
27-Feb-17,33.48,33.50,33.30,33.49,2126
24-Feb-17,34.00,34.00,33.22,33.49,6316
23-Feb-17,33.80,34.00,33.65,33.90,14405
22-Feb-17,34.00,34.08,33.75,33.80,8330
21-Feb-17,33.65,34.10,33.60,34.09,43553
20-Feb-17,33.55,33.64,33.35,33.64,2102
17-Feb-17,33.99,34.00,33.55,33.55,6891
16-Feb-17,34.00,34.15,33.50,33.99,5875
15-Feb-17,33.50,34.00,33.45,34.00,25227
14-Feb-17,34.00,34.00,33.01,33.21,9361
13-Feb-17,34.00,34.00,33.50,33.75,4026
10-Feb-17,33.71,34.23,33.70,33.85,20871
9-Feb-17,34.00,34.25,33.20,34.05,6530
8-Feb-17,33.10,33.99,33.00,33.99,56272
7-Feb-17,33.47,33.48,32.05,33.00,28534
6-Feb-17,34.31,34.31,33.03,33.03,5349
3-Feb-17,34.80,34.80,34.30,34.30,4396
2-Feb-17,34.00,34.86,34.00,34.79,5224
1-Feb-17,33.72,34.00,33.51,33.67,5190
31-Jan-17,33.50,34.00,33.48,33.51,44575
30-Jan-17,33.70,34.40,33.30,33.30,214570
27-Jan-17,32.56,33.47,32.56,33.47,304119
26-Jan-17,31.90,33.00,31.81,32.50,78345
25-Jan-17,31.20,31.70,31.20,31.70,79444
24-Jan-17,30.00,31.19,30.00,31.10,17633
23-Jan-17,28.80,30.25,28.50,30.15,137574
20-Jan-17,28.75,28.89,28.21,28.89,2430
19-Jan-17,29.27,29.27,28.75,28.75,801
18-Jan-17,28.95,29.27,28.70,29.12,1657
17-Jan-17,29.05,29.05,28.50,28.95,55701
16-Jan-17,29.15,29.15,28.95,29.00,2148
13-Jan-17,29.49,29.49,28.94,29.00,6536
12-Jan-17,29.00,29.30,29.00,29.00,3459
11-Jan-17,29.30,29.30,28.90,28.90,6544
10-Jan-17,29.41,29.79,29.00,29.19,9407
9-Jan-17,30.29,30.29,29.35,29.40,1769
5-Jan-17,30.30,30.30,30.30,30.30,20
4-Jan-17,30.00,30.53,29.70,29.70,6696
3-Jan-17,30.11,30.30,30.00,30.29,997
2-Jan-17,29.46,30.49,29.40,30.11,3521
30-Dec-16,29.80,29.99,29.10,29.90,1572
29-Dec-16,29.30,30.00,29.15,29.89,20408
28-Dec-16,29.10,29.50,29.10,29.10,1353
27-Dec-16,29.10,29.43,29.10,29.13,184
23-Dec-16,29.10,29.50,29.10,29.50,242
22-Dec-16,29.20,29.48,29.20,29.40,3378
21-Dec-16,29.50,29.50,28.86,29.39,8954
20-Dec-16,29.55,29.60,29.41,29.42,22896
19-Dec-16,30.05,30.19,29.57,29.57,1704
16-Dec-16,30.20,30.20,29.36,30.05,7219
15-Dec-16,30.40,30.40,30.00,30.20,3638
14-Dec-16,30.70,30.74,30.01,30.48,1924
13-Dec-16,30.50,30.83,30.00,30.64,14485
12-Dec-16,29.77,30.89,29.76,29.81,10841
9-Dec-16,29.85,30.00,29.50,29.76,28418
8-Dec-16,29.50,29.50,28.90,29.30,8008
7-Dec-16,29.35,29.79,29.05,29.05,14122
6-Dec-16,28.80,29.80,28.51,29.01,14173
5-Dec-16,28.70,28.80,28.55,28.79,3353
2-Dec-16,28.48,28.70,27.83,28.69,2765
1-Dec-16,27.89,28.48,27.70,28.48,102900
30-Nov-16,28.19,28.19,28.00,28.00,4402
29-Nov-16,28.00,28.30,27.95,28.00,24563
28-Nov-16,28.00,28.00,27.70,27.88,5539
25-Nov-16,27.71,28.30,27.71,27.96,36289
24-Nov-16,27.75,27.75,26.93,27.40,32847
23-Nov-16,27.77,28.20,27.70,27.79,3468
22-Nov-16,27.80,27.89,27.20,27.89,49383
21-Nov-16,27.90,27.92,27.20,27.20,3757
18-Nov-16,27.74,27.74,27.00,27.26,6152
17-Nov-16,27.85,28.30,27.74,27.74,12042
16-Nov-16,28.10,28.45,27.75,27.75,1894
15-Nov-16,28.50,28.70,27.70,28.00,1446
14-Nov-16,28.00,28.50,27.75,27.80,42493
10-Nov-16,27.51,28.20,27.48,27.61,18945
9-Nov-16,27.90,28.67,27.30,27.50,17580
8-Nov-16,28.00,28.29,27.95,27.95,907
7-Nov-16,29.09,29.50,27.90,28.00,5092
4-Nov-16,28.45,28.52,28.40,28.40,339
3-Nov-16,28.70,29.20,28.41,29.20,176
2-Nov-16,28.90,28.99,27.70,28.32,1059
31-Oct-16,28.21,28.98,28.20,28.96,4913
28-Oct-16,28.30,30.03,27.80,28.37,108330
27-Oct-16,30.20,30.20,29.05,29.19,8866
