b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,2.39,2.39,2.32,2.38,50146
14-Sep-17,2.36,2.42,2.34,2.39,23758
13-Sep-17,2.44,2.47,2.31,2.36,228384
12-Sep-17,2.52,2.54,2.43,2.47,146160
11-Sep-17,2.53,2.59,2.51,2.52,43866
8-Sep-17,2.55,2.55,2.51,2.54,27600
7-Sep-17,2.58,2.61,2.55,2.59,32826
6-Sep-17,2.67,2.67,2.56,2.58,122379
5-Sep-17,2.64,2.68,2.64,2.64,101693
4-Sep-17,2.56,2.68,2.56,2.63,78559
1-Sep-17,2.60,2.60,2.55,2.58,31641
31-Aug-17,2.62,2.64,2.56,2.57,22440
30-Aug-17,2.59,2.62,2.56,2.57,25602
29-Aug-17,2.63,2.67,2.56,2.56,80991
28-Aug-17,2.69,2.71,2.62,2.68,49050
25-Aug-17,2.70,2.72,2.66,2.69,77541
24-Aug-17,2.60,2.71,2.55,2.69,106522
23-Aug-17,2.61,2.65,2.56,2.62,49736
22-Aug-17,2.51,2.61,2.51,2.60,71923
21-Aug-17,2.44,2.50,2.43,2.50,18771
18-Aug-17,2.52,2.52,2.40,2.47,111131
17-Aug-17,2.53,2.55,2.46,2.53,32899
16-Aug-17,2.61,2.61,2.54,2.56,47609
14-Aug-17,2.61,2.61,2.54,2.60,17497
11-Aug-17,2.53,2.61,2.53,2.60,47233
10-Aug-17,2.71,2.71,2.51,2.60,144907
9-Aug-17,2.77,2.77,2.68,2.72,39338
8-Aug-17,2.69,2.83,2.62,2.76,412002
7-Aug-17,2.66,2.70,2.63,2.67,102172
4-Aug-17,2.41,2.69,2.41,2.68,253786
3-Aug-17,2.48,2.48,2.41,2.41,61652
2-Aug-17,2.39,2.48,2.39,2.44,79440
1-Aug-17,2.39,2.39,2.36,2.38,5770
31-Jul-17,2.39,2.39,2.36,2.37,21560
28-Jul-17,2.37,2.43,2.36,2.39,65765
27-Jul-17,2.36,2.37,2.35,2.37,11483
26-Jul-17,2.38,2.39,2.36,2.37,20267
25-Jul-17,2.38,2.40,2.36,2.40,24383
24-Jul-17,2.39,2.40,2.38,2.40,32142
21-Jul-17,2.38,2.41,2.36,2.41,17959
20-Jul-17,2.41,2.42,2.37,2.39,14604
19-Jul-17,2.40,2.42,2.37,2.40,14418
18-Jul-17,2.42,2.44,2.34,2.39,84505
17-Jul-17,2.32,2.43,2.32,2.40,34140
14-Jul-17,2.29,2.34,2.29,2.32,13884
13-Jul-17,2.24,2.30,2.24,2.28,45939
12-Jul-17,2.25,2.28,2.21,2.24,81477
11-Jul-17,2.37,2.37,2.24,2.25,119406
10-Jul-17,2.38,2.38,2.35,2.35,27217
7-Jul-17,2.38,2.39,2.36,2.36,11691
6-Jul-17,2.38,2.42,2.37,2.37,37741
5-Jul-17,2.39,2.40,2.34,2.37,79389
4-Jul-17,2.43,2.43,2.38,2.40,13963
3-Jul-17,2.42,2.43,2.40,2.41,24269
30-Jun-17,2.39,2.44,2.37,2.44,41074
29-Jun-17,2.39,2.40,2.37,2.39,32235
28-Jun-17,2.43,2.44,2.33,2.38,191812
27-Jun-17,2.45,2.49,2.40,2.43,64479
26-Jun-17,2.52,2.54,2.47,2.47,51538
23-Jun-17,2.60,2.63,2.57,2.57,24966
22-Jun-17,2.51,2.55,2.48,2.55,38573
21-Jun-17,2.52,2.57,2.50,2.50,6616
20-Jun-17,2.48,2.57,2.44,2.53,21534
19-Jun-17,2.68,2.71,2.53,2.55,80121
16-Jun-17,2.73,2.73,2.67,2.67,24643
14-Jun-17,2.71,2.74,2.70,2.72,110089
13-Jun-17,2.60,2.70,2.60,2.69,72525
12-Jun-17,2.65,2.67,2.56,2.67,138816
9-Jun-17,2.69,2.71,2.65,2.68,31417
8-Jun-17,2.61,2.68,2.61,2.67,57458
7-Jun-17,2.64,2.70,2.60,2.60,80287
6-Jun-17,2.50,2.64,2.49,2.61,121093
5-Jun-17,2.49,2.50,2.45,2.48,28896
2-Jun-17,2.45,2.50,2.45,2.48,42358
1-Jun-17,2.44,2.48,2.44,2.45,94243
31-May-17,2.47,2.50,2.43,2.43,120153
30-May-17,2.50,2.50,2.45,2.47,42122
29-May-17,2.50,2.51,2.48,2.48,38182
26-May-17,2.46,2.50,2.46,2.50,10992
25-May-17,2.51,2.51,2.45,2.46,111177
24-May-17,2.41,2.51,2.41,2.46,159546
23-May-17,2.51,2.52,2.33,2.39,369629
22-May-17,2.69,2.69,2.52,2.54,99474
19-May-17,2.68,2.74,2.66,2.68,77341
18-May-17,2.60,2.68,2.56,2.67,326017
17-May-17,2.80,2.83,2.60,2.60,275540
16-May-17,2.86,2.86,2.77,2.77,77334
15-May-17,2.87,2.91,2.85,2.86,48822
12-May-17,2.89,2.89,2.86,2.89,32056
11-May-17,2.90,2.93,2.85,2.88,94999
10-May-17,2.88,2.93,2.87,2.90,75817
9-May-17,2.98,3.00,2.86,2.86,261549
8-May-17,2.99,3.00,2.97,2.98,93625
5-May-17,3.00,3.00,2.94,2.99,57345
4-May-17,3.10,3.11,2.96,3.00,319482
2-May-17,3.04,3.07,2.97,3.04,36752
28-Apr-17,3.06,3.10,2.94,3.00,277519
27-Apr-17,2.99,3.11,2.95,3.05,384156
26-Apr-17,3.00,3.02,2.94,2.96,108820
25-Apr-17,2.90,2.96,2.88,2.91,276501
24-Apr-17,2.78,2.89,2.78,2.88,339677
21-Apr-17,2.77,2.78,2.75,2.75,87063
20-Apr-17,2.80,2.82,2.76,2.76,44257
19-Apr-17,2.80,2.80,2.75,2.79,59525
18-Apr-17,2.86,2.86,2.76,2.80,32938
13-Apr-17,2.84,2.85,2.83,2.85,26230
12-Apr-17,2.89,2.90,2.84,2.85,23987
11-Apr-17,2.85,2.95,2.85,2.88,56198
10-Apr-17,2.98,2.98,2.87,2.87,42019
7-Apr-17,3.00,3.00,2.95,2.98,28964
6-Apr-17,2.98,3.00,2.91,3.00,35471
5-Apr-17,2.85,3.04,2.84,2.98,115387
4-Apr-17,2.83,2.85,2.76,2.82,140127
3-Apr-17,2.92,2.92,2.74,2.82,148328
31-Mar-17,3.03,3.03,2.91,2.91,78153
30-Mar-17,3.08,3.08,3.02,3.03,38299
29-Mar-17,3.06,3.20,3.03,3.03,145704
28-Mar-17,3.09,3.09,3.03,3.06,20080
27-Mar-17,3.06,3.08,3.03,3.03,22352
24-Mar-17,3.07,3.08,3.05,3.08,62942
23-Mar-17,3.12,3.12,3.05,3.06,26608
22-Mar-17,3.08,3.10,3.04,3.10,36055
21-Mar-17,3.14,3.21,3.13,3.13,138709
20-Mar-17,3.04,3.15,3.02,3.14,111255
17-Mar-17,3.07,3.07,3.03,3.03,17040
16-Mar-17,3.07,3.09,3.01,3.07,66101
15-Mar-17,3.04,3.11,2.99,3.02,58496
14-Mar-17,3.06,3.08,3.04,3.07,30876
13-Mar-17,3.16,3.16,3.03,3.04,110282
