b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,4.83,4.91,4.77,4.82,87280
14-Sep-17,4.84,4.91,4.82,4.89,205442
13-Sep-17,4.78,4.88,4.77,4.83,94862
12-Sep-17,4.68,4.78,4.66,4.77,39123
11-Sep-17,4.70,4.70,4.61,4.69,8724
8-Sep-17,4.59,4.70,4.59,4.70,16914
7-Sep-17,4.65,4.70,4.60,4.63,16254
6-Sep-17,4.72,4.81,4.64,4.68,27974
5-Sep-17,4.78,4.87,4.73,4.74,53113
4-Sep-17,4.72,4.78,4.70,4.78,120048
1-Sep-17,4.75,4.77,4.70,4.72,249053
31-Aug-17,4.70,4.78,4.67,4.70,394299
30-Aug-17,4.62,4.69,4.55,4.69,179309
29-Aug-17,4.53,4.63,4.41,4.60,71130
28-Aug-17,4.55,4.67,4.52,4.54,377868
25-Aug-17,4.49,4.51,4.47,4.51,18670
24-Aug-17,4.50,4.54,4.47,4.50,47673
23-Aug-17,4.45,4.56,4.33,4.45,47742
22-Aug-17,4.21,4.51,4.21,4.44,84022
21-Aug-17,4.20,4.20,4.18,4.20,3305
18-Aug-17,4.23,4.23,4.20,4.20,20165
17-Aug-17,4.28,4.28,4.22,4.25,14725
16-Aug-17,4.40,4.44,4.28,4.28,15220
14-Aug-17,4.17,4.25,4.17,4.22,7090
11-Aug-17,4.39,4.39,4.16,4.16,8978
10-Aug-17,4.45,4.45,4.28,4.40,19145
9-Aug-17,4.48,4.48,4.37,4.45,7021
8-Aug-17,4.51,4.51,4.36,4.37,13359
7-Aug-17,4.47,4.58,4.45,4.50,30661
4-Aug-17,4.45,4.47,4.33,4.47,22360
3-Aug-17,4.45,4.46,4.34,4.43,10137
2-Aug-17,4.37,4.48,4.33,4.45,62165
1-Aug-17,4.15,4.32,4.15,4.32,70072
31-Jul-17,4.12,4.16,4.12,4.15,31249
28-Jul-17,4.18,4.18,4.11,4.13,8715
27-Jul-17,4.12,4.15,4.10,4.15,26378
26-Jul-17,4.06,4.18,4.06,4.12,47663
25-Jul-17,4.03,4.13,4.03,4.13,23136
24-Jul-17,4.06,4.15,4.06,4.06,130381
21-Jul-17,4.04,4.10,4.04,4.06,8415
20-Jul-17,4.18,4.18,4.00,4.03,32683
19-Jul-17,4.16,4.20,4.10,4.15,17974
18-Jul-17,4.22,4.22,4.15,4.17,9584
17-Jul-17,4.21,4.25,4.18,4.18,22184
14-Jul-17,4.14,4.19,4.10,4.19,18982
13-Jul-17,4.11,4.16,4.11,4.14,17481
12-Jul-17,4.07,4.16,4.07,4.12,43816
11-Jul-17,4.14,4.15,4.06,4.08,19594
10-Jul-17,4.16,4.16,4.08,4.14,6617
7-Jul-17,4.14,4.15,4.13,4.14,7851
6-Jul-17,4.16,4.16,4.14,4.15,10034
5-Jul-17,4.14,4.19,4.14,4.16,14329
4-Jul-17,4.28,4.29,4.12,4.14,22982
