b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,4.02,4.13,3.91,4.00,6966
14-Sep-17,4.04,4.04,3.95,4.03,1911
13-Sep-17,4.05,4.05,3.85,4.04,9162
12-Sep-17,4.08,4.08,4.00,4.00,1620
11-Sep-17,4.10,4.10,3.96,4.08,7114
8-Sep-17,4.16,4.19,4.10,4.10,2409
7-Sep-17,4.16,4.16,4.08,4.16,644
6-Sep-17,4.10,4.15,4.10,4.14,26
5-Sep-17,4.16,4.16,4.08,4.16,930
4-Sep-17,4.14,4.19,4.09,4.19,713
1-Sep-17,4.10,4.18,4.09,4.15,12786
31-Aug-17,4.18,4.18,4.11,4.18,7724
30-Aug-17,4.18,4.18,4.10,4.18,4180
29-Aug-17,4.06,4.18,4.06,4.17,6715
28-Aug-17,4.10,4.18,3.94,4.18,10243
25-Aug-17,4.10,4.10,3.99,4.10,6098
24-Aug-17,4.05,4.14,3.96,4.05,1771
23-Aug-17,4.05,4.10,3.92,4.10,15623
22-Aug-17,3.98,4.05,3.97,4.03,3801
21-Aug-17,4.06,4.15,3.76,3.95,15413
18-Aug-17,4.11,4.11,3.92,4.09,3689
17-Aug-17,4.19,4.19,4.05,4.11,4239
16-Aug-17,3.87,4.19,3.85,4.10,19817
14-Aug-17,3.96,3.99,3.84,3.94,16941
11-Aug-17,4.00,4.13,3.90,4.00,16823
10-Aug-17,3.95,3.99,3.85,3.99,10547
9-Aug-17,4.19,4.19,3.82,3.89,31778
8-Aug-17,4.22,4.22,4.11,4.13,12133
7-Aug-17,4.10,4.24,4.10,4.23,5617
4-Aug-17,4.28,4.28,4.06,4.24,2873
3-Aug-17,4.33,4.33,4.06,4.06,16635
2-Aug-17,4.25,4.36,4.18,4.18,2683
1-Aug-17,4.29,4.29,4.20,4.20,802
31-Jul-17,4.32,4.32,4.18,4.20,61540
28-Jul-17,4.39,4.39,4.20,4.26,33721
27-Jul-17,4.35,4.35,4.20,4.35,22060
26-Jul-17,4.30,4.35,4.22,4.35,7865
25-Jul-17,4.30,4.36,4.30,4.36,5300
24-Jul-17,4.18,4.28,4.17,4.28,2525
21-Jul-17,4.25,4.25,4.19,4.19,3980
20-Jul-17,4.40,4.40,4.10,4.16,23779
19-Jul-17,4.29,4.40,4.16,4.40,15833
18-Jul-17,4.29,4.29,4.16,4.20,17692
17-Jul-17,4.35,4.38,4.16,4.29,23321
14-Jul-17,4.20,4.39,4.20,4.39,2458
13-Jul-17,4.24,4.24,4.13,4.20,2241
12-Jul-17,4.23,4.23,4.22,4.23,824
11-Jul-17,4.26,4.26,4.16,4.24,2978
10-Jul-17,4.27,4.27,4.21,4.26,721
7-Jul-17,4.29,4.29,4.26,4.27,6087
6-Jul-17,4.20,4.30,4.20,4.27,6208
5-Jul-17,4.30,4.30,4.16,4.20,10491
4-Jul-17,4.30,4.30,4.13,4.21,16387
3-Jul-17,4.20,4.33,4.20,4.29,2888
30-Jun-17,4.28,4.30,4.14,4.30,39854
29-Jun-17,4.44,4.44,4.21,4.25,15396
28-Jun-17,4.47,4.47,4.31,4.38,18095
27-Jun-17,4.22,4.47,4.22,4.46,8822
26-Jun-17,4.30,4.34,4.15,4.34,9007
23-Jun-17,4.23,4.33,4.11,4.20,11925
22-Jun-17,4.10,4.24,4.10,4.23,7682
21-Jun-17,4.22,4.32,4.15,4.20,15114
20-Jun-17,4.27,4.33,4.16,4.21,4258
19-Jun-17,4.34,4.36,4.20,4.27,16548
16-Jun-17,4.42,4.42,4.26,4.27,9787
14-Jun-17,4.45,4.47,4.45,4.47,5224
13-Jun-17,4.27,4.46,4.27,4.46,6802
12-Jun-17,4.41,4.42,4.40,4.40,2903
9-Jun-17,4.43,4.43,4.41,4.41,341
8-Jun-17,4.44,4.44,4.43,4.43,67
7-Jun-17,4.52,4.52,4.33,4.33,6255
6-Jun-17,4.40,4.40,4.31,4.40,3127
5-Jun-17,4.52,4.52,4.27,4.50,9707
2-Jun-17,4.44,4.60,4.35,4.45,7881
1-Jun-17,4.50,4.54,4.28,4.45,28884
31-May-17,4.49,4.60,4.45,4.60,14873
30-May-17,4.33,4.40,4.14,4.40,51635
29-May-17,4.03,4.37,4.03,4.32,17195
26-May-17,4.22,4.22,4.01,4.03,12276
25-May-17,4.22,4.64,4.20,4.23,96620
24-May-17,4.40,4.42,4.28,4.40,23191
23-May-17,4.52,4.52,4.32,4.38,18337
22-May-17,4.74,4.74,4.41,4.42,20820
19-May-17,4.52,4.59,4.38,4.47,34234
18-May-17,4.68,4.68,4.45,4.50,8038
17-May-17,4.70,4.70,4.55,4.55,6917
16-May-17,4.70,4.70,4.50,4.60,10818
15-May-17,4.63,4.69,4.63,4.64,4303
12-May-17,4.56,4.57,4.41,4.57,22774
11-May-17,4.63,4.63,4.48,4.53,15930
10-May-17,4.63,4.63,4.53,4.62,2748
9-May-17,4.59,4.63,4.55,4.61,6585
8-May-17,4.59,4.64,4.52,4.59,4512
5-May-17,4.68,4.69,4.54,4.54,22900
4-May-17,4.70,4.72,4.70,4.70,20964
2-May-17,4.70,4.70,4.62,4.70,6006
28-Apr-17,4.71,4.71,4.65,4.70,7592
27-Apr-17,4.71,4.71,4.69,4.70,1002
26-Apr-17,4.70,4.70,4.62,4.70,9945
25-Apr-17,4.69,4.69,4.61,4.69,20052
24-Apr-17,4.68,4.68,4.60,4.66,28786
21-Apr-17,4.71,4.71,4.62,4.68,11729
20-Apr-17,4.72,4.72,4.60,4.70,10905
19-Apr-17,4.72,4.72,4.61,4.70,5636
18-Apr-17,4.72,4.72,4.70,4.70,2501
13-Apr-17,4.72,4.72,4.65,4.71,9264
12-Apr-17,4.75,4.75,4.60,4.73,3330
11-Apr-17,4.75,4.75,4.60,4.70,39745
10-Apr-17,4.70,4.75,4.70,4.75,4434
7-Apr-17,4.75,4.75,4.70,4.70,1037
6-Apr-17,4.75,4.75,4.65,4.75,7073
5-Apr-17,4.75,4.77,4.64,4.77,3083
4-Apr-17,4.56,4.77,4.56,4.75,15841
3-Apr-17,4.69,4.69,4.54,4.69,7444
31-Mar-17,4.65,4.70,4.46,4.70,10651
30-Mar-17,4.58,4.65,4.46,4.65,12008
29-Mar-17,4.58,4.60,4.37,4.60,15256
28-Mar-17,4.62,4.62,4.50,4.60,1447
27-Mar-17,4.62,4.62,4.50,4.60,702
24-Mar-17,4.45,4.61,4.40,4.61,6749
23-Mar-17,4.46,4.46,4.40,4.45,6704
22-Mar-17,4.49,4.59,4.42,4.42,14474
21-Mar-17,4.62,4.62,4.60,4.60,156
20-Mar-17,4.63,4.63,4.51,4.61,1064
17-Mar-17,4.85,4.85,4.62,4.63,43372
16-Mar-17,4.57,4.65,4.57,4.65,10756
15-Mar-17,4.57,4.57,4.43,4.56,1292
14-Mar-17,4.55,4.56,4.50,4.56,1834
13-Mar-17,4.42,4.57,4.42,4.55,2131
10-Mar-17,4.55,4.56,4.42,4.42,3470
9-Mar-17,4.35,4.59,4.35,4.50,5050
8-Mar-17,4.40,4.56,4.40,4.53,15763
7-Mar-17,4.30,4.51,4.30,4.40,2633
6-Mar-17,4.59,4.63,4.31,4.31,11036
3-Mar-17,4.59,4.60,4.47,4.50,4601
2-Mar-17,4.65,4.65,4.42,4.59,11044
1-Mar-17,4.60,4.69,4.25,4.57,52956
28-Feb-17,4.70,4.70,4.65,4.65,20192
27-Feb-17,4.63,4.84,4.63,4.65,30153
24-Feb-17,4.70,4.89,4.52,4.63,69592
23-Feb-17,4.66,4.70,4.52,4.70,11677
22-Feb-17,4.59,4.65,4.45,4.65,7101
21-Feb-17,4.57,4.60,4.45,4.59,384
20-Feb-17,4.65,4.65,4.50,4.57,6424
17-Feb-17,4.68,4.68,4.50,4.59,49616
16-Feb-17,4.57,4.71,4.32,4.65,69245
15-Feb-17,4.59,4.59,4.40,4.52,11764
14-Feb-17,4.59,4.70,4.50,4.59,7948
13-Feb-17,4.40,4.54,4.39,4.54,15337
