b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,65.91,67.00,65.91,66.40,171142
14-Sep-17,65.56,66.50,65.56,65.89,35248
13-Sep-17,65.83,66.07,65.60,65.60,54082
12-Sep-17,66.00,66.25,65.77,66.09,28993
11-Sep-17,66.50,66.90,65.75,65.75,37059
8-Sep-17,66.01,66.38,65.88,66.38,35556
7-Sep-17,66.12,66.80,66.00,66.00,74812
6-Sep-17,67.47,68.19,66.01,66.02,80528
5-Sep-17,67.55,68.20,67.03,67.47,36651
4-Sep-17,67.80,68.18,67.50,67.55,23665
1-Sep-17,68.10,68.79,67.69,68.14,57980
31-Aug-17,69.00,69.47,68.20,68.90,64873
30-Aug-17,69.95,69.95,68.49,69.46,55188
29-Aug-17,69.59,70.35,69.01,69.87,135027
28-Aug-17,67.77,69.60,67.54,69.60,224920
25-Aug-17,66.39,67.50,66.39,67.50,76721
24-Aug-17,66.80,67.38,63.89,66.12,350787
23-Aug-17,68.94,68.95,68.12,68.89,28749
22-Aug-17,69.55,69.55,68.00,68.00,44053
21-Aug-17,68.53,69.60,67.30,69.60,62527
18-Aug-17,66.05,69.00,66.05,68.58,55366
17-Aug-17,68.50,69.50,67.19,67.19,43208
16-Aug-17,69.27,70.00,68.50,68.50,61108
14-Aug-17,70.85,70.97,69.02,69.27,54816
11-Aug-17,68.50,70.30,68.28,69.97,58665
10-Aug-17,70.91,71.79,68.70,68.75,78674
9-Aug-17,71.74,71.74,70.04,71.20,105138
8-Aug-17,71.63,71.79,70.53,71.74,76207
7-Aug-17,71.70,72.30,71.63,71.79,25677
4-Aug-17,71.05,72.49,69.69,72.30,81650
3-Aug-17,72.15,73.00,69.69,71.11,47945
2-Aug-17,72.19,72.92,72.09,72.43,45107
1-Aug-17,70.49,72.22,70.49,72.08,98112
31-Jul-17,69.00,70.40,68.51,70.40,114289
28-Jul-17,68.31,69.00,68.20,69.00,44776
27-Jul-17,69.05,69.05,68.00,68.31,31473
26-Jul-17,68.86,69.24,68.74,69.19,69471
25-Jul-17,68.18,68.80,68.08,68.74,72211
24-Jul-17,66.95,68.08,66.65,68.08,134458
21-Jul-17,66.12,66.94,66.06,66.70,74150
20-Jul-17,65.50,66.63,65.31,66.14,58521
19-Jul-17,65.40,65.70,65.00,65.30,52935
18-Jul-17,66.50,66.66,64.50,65.02,113692
17-Jul-17,68.00,68.20,65.90,66.30,82636
14-Jul-17,66.97,67.48,65.90,67.48,106471
13-Jul-17,65.28,66.94,65.28,66.74,133766
12-Jul-17,64.45,65.35,64.42,65.27,89876
11-Jul-17,63.83,64.10,63.39,64.05,11947
10-Jul-17,63.63,64.18,63.23,63.23,13716
7-Jul-17,65.00,65.00,63.63,64.07,40679
6-Jul-17,64.33,65.21,64.33,64.60,136902
5-Jul-17,63.04,64.44,62.96,64.25,96416
4-Jul-17,63.47,63.90,63.04,63.04,79916
3-Jul-17,63.30,63.47,62.81,63.43,45143
30-Jun-17,63.95,63.95,63.00,63.30,104018
29-Jun-17,64.00,64.90,63.30,63.49,168699
28-Jun-17,64.50,65.62,63.30,63.50,424605
27-Jun-17,70.40,70.48,69.01,69.52,41477
26-Jun-17,69.01,70.43,68.37,70.40,55402
23-Jun-17,67.02,69.18,67.00,69.01,46855
22-Jun-17,66.80,68.24,66.37,67.50,31257
21-Jun-17,66.25,67.67,65.58,66.80,36832
20-Jun-17,66.63,68.87,65.50,66.23,46797
19-Jun-17,67.00,67.97,66.63,66.63,24098
16-Jun-17,69.13,69.20,66.47,67.86,80106
14-Jun-17,68.95,69.13,68.16,69.13,40124
13-Jun-17,69.00,69.63,68.01,68.95,43278
