b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,0.92,0.98,0.92,0.98,164279
14-Sep-17,0.91,0.92,0.89,0.89,229072
13-Sep-17,0.92,0.94,0.90,0.92,163796
12-Sep-17,0.94,0.98,0.85,0.92,324379
11-Sep-17,1.01,1.01,0.91,0.93,221896
8-Sep-17,1.02,1.05,1.00,1.02,107943
7-Sep-17,1.02,1.06,1.01,1.05,49720
6-Sep-17,1.08,1.08,0.95,1.01,133268
5-Sep-17,1.13,1.13,1.04,1.08,110503
4-Sep-17,1.17,1.17,1.07,1.13,119497
1-Sep-17,1.16,1.16,1.13,1.16,25354
31-Aug-17,1.18,1.18,1.14,1.17,15524
30-Aug-17,1.22,1.22,1.14,1.18,69067
29-Aug-17,1.20,1.27,1.18,1.20,228006
28-Aug-17,1.15,1.23,1.12,1.19,119591
25-Aug-17,1.09,1.14,1.07,1.12,134568
24-Aug-17,1.14,1.14,1.04,1.07,181721
23-Aug-17,1.18,1.18,1.09,1.14,114022
22-Aug-17,1.21,1.21,1.13,1.16,59438
21-Aug-17,1.20,1.22,1.11,1.20,103097
18-Aug-17,1.42,1.42,1.21,1.22,562761
17-Aug-17,1.38,1.44,1.35,1.38,25893
16-Aug-17,1.38,1.44,1.36,1.38,46461
14-Aug-17,1.45,1.45,1.37,1.38,9851
11-Aug-17,1.38,1.45,1.33,1.45,64566
10-Aug-17,1.53,1.53,1.39,1.39,108191
9-Aug-17,1.45,1.54,1.42,1.52,398921
8-Aug-17,1.34,1.42,1.34,1.39,79705
7-Aug-17,1.40,1.40,1.32,1.38,408634
4-Aug-17,1.40,1.40,1.35,1.37,7190
3-Aug-17,1.43,1.43,1.36,1.39,30463
2-Aug-17,1.49,1.49,1.37,1.39,103856
1-Aug-17,1.34,1.42,1.34,1.40,25309
31-Jul-17,1.49,1.49,1.35,1.39,73344
28-Jul-17,1.37,1.50,1.34,1.48,255006
27-Jul-17,1.34,1.41,1.30,1.37,247446
26-Jul-17,1.34,1.35,1.28,1.34,72780
25-Jul-17,1.48,1.51,1.25,1.27,198543
24-Jul-17,1.51,1.53,1.46,1.51,36760
21-Jul-17,1.46,1.53,1.45,1.52,31115
20-Jul-17,1.53,1.53,1.46,1.52,11654
19-Jul-17,1.46,1.53,1.46,1.53,53317
18-Jul-17,1.50,1.50,1.44,1.45,11149
17-Jul-17,1.50,1.52,1.41,1.49,18287
14-Jul-17,1.46,1.50,1.44,1.50,17012
13-Jul-17,1.47,1.54,1.46,1.50,16121
12-Jul-17,1.51,1.56,1.46,1.53,42483
11-Jul-17,1.51,1.55,1.51,1.54,1258
10-Jul-17,1.54,1.57,1.49,1.56,36207
7-Jul-17,1.54,1.57,1.46,1.54,93568
6-Jul-17,1.58,1.62,1.56,1.57,25795
5-Jul-17,1.69,1.69,1.56,1.59,41870
4-Jul-17,1.70,1.70,1.60,1.65,47407
3-Jul-17,1.60,1.71,1.60,1.64,51157
30-Jun-17,1.60,1.65,1.56,1.60,53603
29-Jun-17,1.60,1.60,1.56,1.59,38728
28-Jun-17,1.55,1.62,1.52,1.59,43103
27-Jun-17,1.50,1.56,1.49,1.55,106782
26-Jun-17,1.59,1.59,1.45,1.50,109073
23-Jun-17,1.55,1.60,1.53,1.59,9547
22-Jun-17,1.63,1.63,1.52,1.60,26838
21-Jun-17,1.51,1.65,1.44,1.62,121595
20-Jun-17,1.70,1.71,1.55,1.60,67528
19-Jun-17,1.66,1.71,1.66,1.70,51450
16-Jun-17,1.65,1.74,1.63,1.71,599598
14-Jun-17,1.85,1.90,1.51,1.65,290062
13-Jun-17,1.87,1.90,1.83,1.90,10773
12-Jun-17,1.87,1.92,1.86,1.88,3583
9-Jun-17,1.90,1.93,1.85,1.87,46103
8-Jun-17,1.93,1.97,1.89,1.93,63226
7-Jun-17,2.00,2.00,1.89,1.96,60574
6-Jun-17,2.02,2.02,1.96,1.96,31126
5-Jun-17,2.04,2.08,2.02,2.02,17400
2-Jun-17,2.05,2.05,2.01,2.04,9309
1-Jun-17,2.04,2.04,1.99,2.03,11555
31-May-17,2.04,2.04,1.99,2.00,4855
30-May-17,2.04,2.05,2.00,2.04,13755
29-May-17,2.05,2.05,1.99,2.04,23275
26-May-17,2.09,2.09,2.03,2.05,39128
25-May-17,2.08,2.10,2.05,2.09,109737
24-May-17,2.06,2.08,2.01,2.08,32977
23-May-17,2.05,2.06,2.05,2.06,4100
22-May-17,2.11,2.11,2.01,2.01,90477
19-May-17,2.12,2.12,2.04,2.11,21665
18-May-17,2.13,2.13,2.06,2.12,42818
17-May-17,2.09,2.22,2.09,2.21,241012
16-May-17,2.09,2.09,2.09,2.09,4385
15-May-17,2.09,2.09,2.05,2.07,2812
12-May-17,2.08,2.09,2.07,2.09,49599
11-May-17,2.07,2.10,2.06,2.08,47097
10-May-17,2.09,2.09,2.05,2.07,73891
9-May-17,2.09,2.09,2.04,2.06,36409
8-May-17,2.09,2.09,2.03,2.07,16717
5-May-17,1.97,2.03,1.97,2.03,16019
4-May-17,2.09,2.09,1.99,2.01,58436
2-May-17,2.01,2.09,1.98,2.05,37313
28-Apr-17,1.90,2.03,1.88,2.01,198245
27-Apr-17,1.95,1.98,1.90,1.91,84360
26-Apr-17,1.98,1.98,1.90,1.94,79294
25-Apr-17,1.94,1.98,1.93,1.98,116174
24-Apr-17,2.03,2.06,1.94,1.98,53914
21-Apr-17,2.06,2.06,1.97,2.03,20877
20-Apr-17,1.92,2.09,1.90,2.03,67369
19-Apr-17,1.92,1.92,1.88,1.90,25033
18-Apr-17,1.84,1.97,1.81,1.92,127875
13-Apr-17,1.89,1.89,1.81,1.84,22705
12-Apr-17,1.85,1.90,1.85,1.85,2916
11-Apr-17,1.90,1.92,1.87,1.87,15783
10-Apr-17,1.90,1.90,1.80,1.89,37563
7-Apr-17,1.93,1.93,1.89,1.92,5123
6-Apr-17,1.97,1.97,1.89,1.89,24887
5-Apr-17,1.94,1.96,1.90,1.96,10634
4-Apr-17,1.90,1.96,1.89,1.94,29494
3-Apr-17,1.86,1.95,1.86,1.89,17539
31-Mar-17,1.91,2.00,1.88,1.94,93134
30-Mar-17,2.00,2.00,1.91,1.98,52109
29-Mar-17,2.04,2.04,1.93,1.99,132209
28-Mar-17,2.09,2.09,1.91,2.06,148453
27-Mar-17,2.13,2.13,2.01,2.08,47808
24-Mar-17,2.14,2.14,2.00,2.10,29857
23-Mar-17,2.14,2.15,2.02,2.10,40701
22-Mar-17,2.09,2.10,1.95,2.07,99961
21-Mar-17,2.26,2.26,2.15,2.15,73545
20-Mar-17,2.26,2.26,2.21,2.24,18678
17-Mar-17,2.25,2.26,2.20,2.25,49040
16-Mar-17,2.23,2.30,2.20,2.25,196410
15-Mar-17,2.23,2.23,2.13,2.22,34976
14-Mar-17,2.10,2.23,2.07,2.21,51141
13-Mar-17,2.08,2.09,1.95,2.08,60849
10-Mar-17,1.99,2.15,1.95,2.09,144864
9-Mar-17,2.07,2.16,1.70,1.95,581512
8-Mar-17,2.25,2.39,2.12,2.12,712598
7-Mar-17,2.24,2.24,2.02,2.10,109471
6-Mar-17,2.18,2.25,1.99,2.18,154826
3-Mar-17,1.98,2.38,1.94,2.18,522255
2-Mar-17,1.97,1.98,1.90,1.96,32930
1-Mar-17,2.03,2.03,1.91,1.96,44863
28-Feb-17,1.96,2.03,1.91,2.03,75709
27-Feb-17,1.98,1.99,1.90,1.95,37783
24-Feb-17,1.95,1.97,1.88,1.96,57493
23-Feb-17,1.91,1.96,1.88,1.94,98004
22-Feb-17,1.94,1.95,1.83,1.84,60708
21-Feb-17,1.92,1.98,1.83,1.95,89836
20-Feb-17,1.99,2.00,1.83,1.97,71558
17-Feb-17,1.97,2.00,1.95,1.99,26137
16-Feb-17,2.02,2.02,1.93,1.97,69400
15-Feb-17,2.09,2.09,1.94,1.98,227060
14-Feb-17,2.06,2.09,1.92,1.97,89724
13-Feb-17,1.84,2.18,1.83,2.04,471490
10-Feb-17,1.80,1.85,1.76,1.83,60799
9-Feb-17,1.74,1.85,1.69,1.76,165769
8-Feb-17,1.75,1.75,1.70,1.74,10390
7-Feb-17,1.74,1.80,1.72,1.75,38858
6-Feb-17,1.75,1.75,1.67,1.70,75646
3-Feb-17,1.76,1.76,1.67,1.73,14326
2-Feb-17,1.80,1.80,1.64,1.74,26130
1-Feb-17,1.75,1.79,1.75,1.79,5554
31-Jan-17,1.79,1.85,1.75,1.75,47170
30-Jan-17,1.75,1.80,1.65,1.80,163732
27-Jan-17,1.70,1.74,1.66,1.73,127377
26-Jan-17,1.67,1.70,1.64,1.70,17730
25-Jan-17,1.68,1.68,1.63,1.68,29020
24-Jan-17,1.70,1.73,1.63,1.64,77812
23-Jan-17,1.65,1.73,1.65,1.70,77600
20-Jan-17,1.72,1.72,1.61,1.65,51296
