b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,2.38,2.38,2.18,2.33,28015
14-Sep-17,2.37,2.38,2.23,2.38,15154
13-Sep-17,2.34,2.40,2.28,2.40,3861
12-Sep-17,2.19,2.40,2.19,2.24,68031
11-Sep-17,2.30,2.39,2.21,2.22,20145
8-Sep-17,2.21,2.42,2.17,2.22,29887
7-Sep-17,2.22,2.27,2.13,2.26,28960
6-Sep-17,2.10,2.26,2.05,2.22,39971
5-Sep-17,2.09,2.19,2.09,2.19,2098
4-Sep-17,2.29,2.29,2.10,2.12,23155
1-Sep-17,2.20,2.30,2.12,2.12,6222
31-Aug-17,2.22,2.33,2.12,2.12,19729
30-Aug-17,2.36,2.36,2.13,2.20,57225
29-Aug-17,2.45,2.45,2.22,2.25,40823
28-Aug-17,2.29,2.44,2.25,2.43,34149
25-Aug-17,2.35,2.35,2.23,2.30,1453
24-Aug-17,2.30,2.36,2.18,2.29,33298
23-Aug-17,2.30,2.30,2.07,2.29,110494
22-Aug-17,2.08,2.28,2.02,2.28,115202
21-Aug-17,1.88,2.06,1.88,1.97,136737
18-Aug-17,1.89,1.89,1.86,1.89,2294
17-Aug-17,1.89,1.90,1.89,1.90,112
16-Aug-17,1.93,1.93,1.89,1.89,3677
14-Aug-17,2.00,2.00,1.93,1.93,2681
11-Aug-17,2.00,2.00,1.96,1.96,502
10-Aug-17,2.02,2.02,1.90,1.90,4103
9-Aug-17,2.02,2.02,1.91,1.91,3004
8-Aug-17,2.05,2.10,1.91,1.91,27280
7-Aug-17,2.10,2.10,1.89,2.08,18810
4-Aug-17,2.10,2.10,1.98,2.10,3804
3-Aug-17,2.10,2.10,1.91,2.09,3439
2-Aug-17,2.10,2.10,1.96,2.00,2220
1-Aug-17,2.10,2.10,2.10,2.10,2
31-Jul-17,2.10,2.10,1.96,2.10,9339
28-Jul-17,2.09,2.10,2.05,2.10,623
27-Jul-17,2.11,2.11,2.05,2.05,182
26-Jul-17,2.11,2.11,2.11,2.11,2
25-Jul-17,2.15,2.15,2.03,2.11,1319
24-Jul-17,2.10,2.11,2.06,2.06,2899
21-Jul-17,2.11,2.12,2.03,2.10,8008
20-Jul-17,2.11,2.11,2.04,2.11,593
19-Jul-17,2.15,2.15,2.05,2.11,4529
18-Jul-17,2.16,2.16,2.09,2.16,4543
17-Jul-17,2.18,2.18,2.12,2.17,2167
14-Jul-17,2.26,2.26,2.12,2.20,8243
13-Jul-17,2.26,2.26,2.22,2.26,2348
12-Jul-17,2.20,2.27,2.12,2.26,1872
11-Jul-17,2.20,2.27,2.16,2.27,6478
10-Jul-17,2.29,2.29,2.20,2.20,6828
7-Jul-17,2.30,2.30,2.22,2.30,702
6-Jul-17,2.20,2.20,2.20,2.20,18
5-Jul-17,2.30,2.30,2.15,2.20,913
4-Jul-17,2.30,2.30,2.16,2.30,10625
3-Jul-17,2.29,2.30,2.29,2.30,2245
30-Jun-17,2.39,2.39,2.20,2.30,3205
29-Jun-17,2.31,2.39,2.31,2.39,6
28-Jun-17,2.28,2.31,2.26,2.31,1114
27-Jun-17,2.35,2.35,2.24,2.29,5360
26-Jun-17,2.40,2.40,2.24,2.24,5189
23-Jun-17,2.45,2.45,2.24,2.44,10256
22-Jun-17,2.45,2.45,2.23,2.44,11130
21-Jun-17,2.45,2.45,2.35,2.45,3195
20-Jun-17,2.45,2.45,2.45,2.45,2
19-Jun-17,2.45,2.45,2.45,2.45,449
16-Jun-17,2.42,2.45,2.42,2.45,1426
14-Jun-17,2.42,2.42,2.42,2.42,189
13-Jun-17,2.37,2.41,2.37,2.41,1337
12-Jun-17,2.36,2.43,2.36,2.37,6080
9-Jun-17,2.36,2.36,2.36,2.36,27
8-Jun-17,2.35,2.35,2.27,2.35,3082
7-Jun-17,2.27,2.36,2.27,2.36,2763
6-Jun-17,2.36,2.36,2.25,2.36,479
5-Jun-17,2.36,2.36,2.25,2.36,1002
2-Jun-17,2.37,2.37,2.32,2.35,117
1-Jun-17,2.44,2.44,2.30,2.37,10246
31-May-17,2.31,2.42,2.25,2.30,13069
30-May-17,2.42,2.42,2.31,2.31,1792
29-May-17,2.39,2.42,2.32,2.42,566
26-May-17,2.41,2.41,2.39,2.39,1418
25-May-17,2.49,2.49,2.31,2.49,3049
24-May-17,2.38,2.49,2.25,2.49,8378
23-May-17,2.49,2.49,2.38,2.38,3199
22-May-17,2.49,2.49,2.49,2.49,1
19-May-17,2.28,2.49,2.28,2.49,5760
18-May-17,2.44,2.49,2.26,2.38,12924
17-May-17,2.54,2.54,2.41,2.49,6339
16-May-17,2.58,2.65,2.45,2.57,14110
15-May-17,2.64,2.66,2.50,2.66,5638
12-May-17,2.64,2.64,2.50,2.51,17005
11-May-17,2.64,2.64,2.64,2.64,1
10-May-17,2.56,2.65,2.56,2.65,1809
9-May-17,2.65,2.65,2.65,2.65,2
8-May-17,2.55,2.66,2.55,2.66,2239
5-May-17,2.67,2.67,2.67,2.67,2
4-May-17,2.68,2.68,2.61,2.68,203
2-May-17,2.55,2.67,2.55,2.58,4602
28-Apr-17,2.68,2.68,2.67,2.67,1041
27-Apr-17,2.58,2.68,2.57,2.67,4056
26-Apr-17,2.68,2.68,2.59,2.68,2003
25-Apr-17,2.70,2.70,2.60,2.68,1048
24-Apr-17,2.70,2.70,2.70,2.70,2
21-Apr-17,2.73,2.83,2.70,2.70,8450
20-Apr-17,2.67,2.73,2.65,2.73,2080
19-Apr-17,2.73,2.73,2.66,2.66,7154
18-Apr-17,2.79,2.95,2.71,2.73,51821
13-Apr-17,2.63,2.78,2.63,2.75,17476
12-Apr-17,2.78,2.78,2.63,2.63,11717
11-Apr-17,2.75,2.75,2.75,2.75,2
10-Apr-17,2.71,2.75,2.69,2.75,9600
7-Apr-17,2.68,2.69,2.61,2.69,1722
6-Apr-17,2.65,2.65,2.51,2.65,2347
5-Apr-17,2.49,2.59,2.47,2.59,6830
4-Apr-17,2.52,2.57,2.52,2.52,2250
3-Apr-17,2.51,2.56,2.50,2.50,5859
31-Mar-17,2.54,2.55,2.48,2.54,10709
30-Mar-17,2.60,2.60,2.50,2.54,9433
29-Mar-17,2.60,2.60,2.57,2.60,1719
28-Mar-17,2.60,2.60,2.55,2.60,3852
27-Mar-17,2.70,2.70,2.60,2.60,15588
24-Mar-17,2.70,2.70,2.64,2.70,3190
23-Mar-17,2.67,2.69,2.64,2.69,1472
22-Mar-17,2.66,2.70,2.63,2.67,9788
21-Mar-17,2.70,2.70,2.65,2.70,7280
20-Mar-17,2.77,2.77,2.69,2.70,6484
17-Mar-17,2.72,2.78,2.71,2.78,9467
16-Mar-17,2.74,2.74,2.64,2.70,11806
15-Mar-17,2.70,2.73,2.65,2.70,4258
14-Mar-17,2.78,2.78,2.60,2.66,30258
13-Mar-17,2.84,2.84,2.67,2.78,8320
10-Mar-17,2.85,2.85,2.75,2.84,3624
9-Mar-17,2.93,2.93,2.78,2.89,7878
8-Mar-17,2.90,2.91,2.90,2.90,1612
7-Mar-17,2.89,2.90,2.78,2.90,13326
6-Mar-17,2.89,2.92,2.83,2.88,36734
3-Mar-17,2.77,2.81,2.76,2.81,9619
2-Mar-17,2.77,2.79,2.77,2.79,2041
1-Mar-17,2.75,2.80,2.72,2.77,7919
28-Feb-17,2.89,2.89,2.70,2.74,16900
27-Feb-17,2.88,2.89,2.86,2.88,3821
24-Feb-17,2.90,2.90,2.81,2.88,5881
23-Feb-17,2.97,2.97,2.85,2.94,9378
22-Feb-17,3.03,3.03,2.97,2.97,6443
21-Feb-17,3.14,3.14,2.95,3.03,23668
20-Feb-17,3.04,3.14,3.00,3.10,10368
17-Feb-17,3.08,3.08,2.96,3.05,16379
16-Feb-17,3.04,3.11,3.00,3.00,33159
15-Feb-17,2.94,3.10,2.89,3.00,75024
14-Feb-17,2.74,2.94,2.73,2.94,64155
13-Feb-17,2.67,2.74,2.67,2.74,11299
10-Feb-17,2.64,2.69,2.64,2.64,22494
9-Feb-17,2.75,2.75,2.60,2.63,34314
8-Feb-17,2.55,2.76,2.55,2.75,62087
7-Feb-17,2.55,2.55,2.54,2.55,8407
6-Feb-17,2.55,2.60,2.54,2.55,9040
3-Feb-17,2.60,2.60,2.45,2.55,17516
