b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,0.85,0.86,0.83,0.84,115205
14-Sep-17,0.84,0.86,0.82,0.86,181358
13-Sep-17,0.81,0.84,0.81,0.84,55936
12-Sep-17,0.82,0.83,0.80,0.82,199975
11-Sep-17,0.86,0.86,0.83,0.84,108757
8-Sep-17,0.83,0.86,0.81,0.86,158862
7-Sep-17,0.84,0.84,0.82,0.83,78448
6-Sep-17,0.82,0.84,0.82,0.84,99
5-Sep-17,0.83,0.84,0.82,0.84,85439
4-Sep-17,0.81,0.83,0.81,0.83,11960
1-Sep-17,0.81,0.83,0.81,0.83,162624
31-Aug-17,0.80,0.82,0.80,0.81,96589
30-Aug-17,0.78,0.80,0.78,0.79,46903
29-Aug-17,0.80,0.80,0.78,0.79,160302
28-Aug-17,0.79,0.80,0.79,0.80,10313
25-Aug-17,0.78,0.79,0.78,0.79,22902
24-Aug-17,0.80,0.80,0.78,0.78,97177
23-Aug-17,0.80,0.80,0.78,0.80,73618
22-Aug-17,0.81,0.81,0.79,0.80,26867
21-Aug-17,0.80,0.81,0.79,0.80,31841
18-Aug-17,0.79,0.80,0.78,0.80,28868
17-Aug-17,0.79,0.80,0.79,0.79,16456
16-Aug-17,0.79,0.81,0.79,0.81,17716
14-Aug-17,0.79,0.81,0.79,0.81,34705
11-Aug-17,0.80,0.81,0.79,0.81,22561
10-Aug-17,0.81,0.83,0.81,0.81,87490
9-Aug-17,0.82,0.84,0.81,0.84,61974
8-Aug-17,0.83,0.84,0.82,0.84,87247
7-Aug-17,0.83,0.84,0.83,0.84,12351
4-Aug-17,0.83,0.85,0.82,0.84,48344
3-Aug-17,0.85,0.86,0.83,0.84,92093
2-Aug-17,0.85,0.87,0.83,0.85,373931
1-Aug-17,0.83,0.85,0.83,0.83,63329
31-Jul-17,0.85,0.85,0.82,0.83,223309
28-Jul-17,0.82,0.85,0.81,0.84,298324
27-Jul-17,0.80,0.81,0.78,0.81,178992
26-Jul-17,0.80,0.80,0.79,0.80,10821
25-Jul-17,0.79,0.81,0.79,0.80,52213
24-Jul-17,0.79,0.80,0.78,0.80,86212
21-Jul-17,0.78,0.78,0.77,0.78,36897
20-Jul-17,0.79,0.79,0.77,0.79,14532
19-Jul-17,0.78,0.79,0.77,0.79,29041
18-Jul-17,0.80,0.80,0.78,0.79,4442
17-Jul-17,0.78,0.80,0.78,0.80,38416
14-Jul-17,0.79,0.79,0.77,0.78,38412
13-Jul-17,0.77,0.79,0.77,0.79,9398
12-Jul-17,0.79,0.79,0.78,0.79,10828
