b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,219.10,222.40,212.05,215.00,21146
14-Sep-17,225.05,225.60,219.00,219.40,10431
13-Sep-17,226.40,229.45,223.45,224.90,14473
12-Sep-17,224.00,228.65,224.00,227.00,5350
11-Sep-17,223.60,225.65,222.10,224.00,2483
8-Sep-17,226.00,226.00,222.30,223.60,5006
7-Sep-17,229.20,230.90,225.05,226.80,7601
6-Sep-17,232.00,233.45,229.50,230.85,7762
5-Sep-17,231.00,232.50,231.00,232.50,3704
4-Sep-17,231.00,232.00,229.45,231.85,4521
1-Sep-17,226.80,234.00,226.70,230.15,6726
31-Aug-17,231.50,233.60,224.90,227.15,18297
30-Aug-17,226.00,230.70,226.00,230.50,5580
29-Aug-17,229.15,230.15,226.40,226.40,4665
28-Aug-17,229.00,232.00,229.00,230.05,2078
25-Aug-17,234.00,234.50,229.05,230.40,8549
24-Aug-17,225.10,235.00,225.10,235.00,10965
23-Aug-17,231.00,231.00,224.80,226.45,12321
22-Aug-17,235.85,236.95,229.65,230.85,11646
21-Aug-17,234.00,239.10,234.00,234.00,7205
18-Aug-17,236.00,237.95,232.20,233.00,5432
17-Aug-17,237.50,240.15,233.70,233.70,20397
16-Aug-17,230.00,236.95,230.00,236.95,8187
14-Aug-17,226.55,229.60,223.10,229.60,8720
11-Aug-17,224.00,224.15,221.65,223.10,8640
10-Aug-17,224.25,226.85,223.05,223.05,3753
9-Aug-17,229.25,229.25,224.05,224.05,6484
8-Aug-17,228.90,232.20,226.95,229.25,10977
7-Aug-17,224.05,227.50,224.00,227.00,2762
4-Aug-17,222.60,223.55,221.45,222.00,14095
3-Aug-17,224.15,224.35,221.50,222.80,14034
2-Aug-17,223.00,226.15,220.75,222.10,5469
1-Aug-17,223.95,223.95,218.60,220.00,10783
31-Jul-17,223.90,224.30,220.00,221.00,11820
28-Jul-17,224.05,229.75,215.55,222.60,20593
27-Jul-17,232.00,232.00,226.15,227.00,15370
26-Jul-17,233.15,235.25,230.00,230.00,25655
25-Jul-17,236.85,237.55,231.10,232.00,7685
24-Jul-17,229.50,236.80,229.00,236.80,3888
21-Jul-17,230.35,233.45,229.50,229.50,11571
20-Jul-17,239.60,239.60,230.15,232.00,18965
19-Jul-17,245.00,246.55,235.15,238.50,11485
18-Jul-17,247.40,248.00,240.25,244.00,24018
17-Jul-17,247.75,247.75,246.55,247.00,12632
14-Jul-17,244.75,248.00,243.05,247.60,4038
13-Jul-17,243.00,244.35,240.65,242.30,13139
12-Jul-17,241.75,242.85,240.25,241.70,4096
11-Jul-17,242.00,242.00,240.00,240.25,10230
10-Jul-17,242.00,242.90,240.20,240.75,2027
7-Jul-17,245.00,247.50,242.50,242.50,22274
6-Jul-17,238.40,249.00,234.45,245.00,44155
5-Jul-17,234.25,238.95,234.25,237.40,7351
4-Jul-17,238.80,238.80,234.30,235.00,8980
3-Jul-17,238.00,238.95,234.70,237.10,3478
30-Jun-17,239.50,241.00,235.00,238.00,14737
29-Jun-17,241.00,241.00,237.05,238.50,14955
28-Jun-17,242.00,242.05,236.25,239.15,15480
27-Jun-17,242.45,242.45,241.25,242.00,22243
26-Jun-17,237.80,242.45,237.80,241.35,20414
23-Jun-17,237.00,237.20,235.50,237.00,14767
22-Jun-17,233.25,235.95,233.25,235.50,3617
21-Jun-17,232.90,234.90,230.50,233.00,8198
20-Jun-17,233.00,234.70,231.05,233.90,5028
19-Jun-17,228.35,236.45,228.30,231.15,15029
16-Jun-17,231.85,237.85,231.30,231.30,8707
14-Jun-17,228.65,232.70,225.25,232.50,7274
13-Jun-17,226.80,230.00,226.50,228.65,5333
12-Jun-17,232.40,232.40,227.00,229.50,14102
9-Jun-17,232.85,233.80,230.20,232.80,14338
8-Jun-17,227.15,232.00,226.50,230.00,30021
7-Jun-17,235.00,235.00,226.50,227.00,23905
6-Jun-17,235.20,239.45,232.00,235.45,12592
5-Jun-17,240.95,240.95,232.00,235.35,5058
2-Jun-17,241.00,245.00,238.50,239.85,12005
1-Jun-17,226.00,245.00,225.00,238.55,59464
31-May-17,234.05,237.00,218.00,218.00,29907
30-May-17,243.00,243.95,230.15,233.05,14743
29-May-17,243.15,245.85,240.00,242.45,5952
26-May-17,248.00,250.50,240.20,243.00,10924
25-May-17,246.00,251.55,245.00,247.15,9381
24-May-17,245.00,249.45,241.00,246.00,9531
23-May-17,257.05,261.00,244.00,244.00,15609
22-May-17,260.30,262.45,255.30,255.30,5557
19-May-17,255.00,262.55,252.05,260.00,12984
18-May-17,253.90,257.90,251.50,255.30,10238
17-May-17,275.00,275.00,261.00,267.30,25645
16-May-17,277.00,279.50,270.15,273.40,16505
15-May-17,275.70,279.60,274.00,277.00,14303
12-May-17,281.15,281.15,273.80,274.70,13009
11-May-17,280.30,283.20,275.00,280.75,11124
10-May-17,279.00,281.00,277.30,278.95,14918
9-May-17,284.50,286.90,276.10,277.15,12576
8-May-17,277.00,283.90,274.00,283.90,5633
5-May-17,278.45,278.45,264.05,275.65,11258
4-May-17,283.20,287.85,271.10,275.55,27200
2-May-17,277.00,285.00,273.20,283.10,9470
28-Apr-17,275.00,276.00,270.25,275.00,13816
27-Apr-17,270.10,275.00,269.95,275.00,9686
26-Apr-17,273.00,273.20,268.10,269.95,8906
25-Apr-17,274.70,278.00,271.15,273.00,13361
24-Apr-17,256.35,274.90,256.35,274.90,22902
21-Apr-17,257.00,257.90,252.60,256.30,14073
20-Apr-17,257.75,258.00,255.15,256.50,11963
19-Apr-17,259.90,259.90,251.00,259.00,9811
18-Apr-17,253.35,259.15,253.00,257.50,11776
13-Apr-17,260.00,263.65,248.00,250.45,11184
12-Apr-17,251.10,257.00,250.00,251.00,11373
11-Apr-17,257.50,258.85,250.20,251.10,13753
10-Apr-17,257.80,258.90,256.05,257.10,2593
7-Apr-17,258.00,258.00,254.45,254.45,12714
6-Apr-17,250.00,259.75,250.00,258.90,12902
5-Apr-17,247.10,255.25,244.75,251.85,28820
4-Apr-17,244.00,246.90,239.00,244.00,10771
3-Apr-17,245.00,249.45,243.50,244.00,12454
31-Mar-17,246.85,249.50,243.50,244.85,5391
30-Mar-17,250.50,252.50,242.25,246.00,9747
29-Mar-17,253.00,253.45,248.70,250.00,9919
28-Mar-17,255.00,255.00,250.25,251.00,7939
27-Mar-17,251.50,253.80,250.00,252.70,6238
24-Mar-17,258.90,259.80,251.45,253.00,8278
23-Mar-17,258.00,261.10,253.05,256.50,8056
22-Mar-17,261.80,264.85,250.00,256.90,17149
21-Mar-17,268.80,274.25,261.10,262.95,10797
20-Mar-17,269.10,275.00,266.15,268.70,5880
17-Mar-17,267.80,269.00,263.85,268.00,15268
16-Mar-17,264.20,265.95,260.10,263.85,5076
15-Mar-17,265.00,266.00,256.60,260.00,3841
14-Mar-17,264.95,268.00,262.15,264.00,10326
13-Mar-17,252.00,265.00,250.10,261.90,11096
10-Mar-17,255.00,255.40,250.05,251.00,4690
9-Mar-17,249.00,255.00,247.70,252.05,6091
8-Mar-17,250.90,253.00,247.70,249.00,6647
