b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,991.00,1000.95,970.00,980.00,530
14-Sep-17,1016.50,1016.50,987.00,989.95,506
13-Sep-17,1035.05,1061.95,1000.00,1000.00,2542
12-Sep-17,1000.00,1050.00,990.00,1024.00,4222
11-Sep-17,1000.00,1000.00,989.00,990.00,642
8-Sep-17,994.50,994.50,989.00,994.50,548
7-Sep-17,995.00,1009.90,989.00,989.00,5525
6-Sep-17,1018.00,1018.00,995.00,995.00,261
5-Sep-17,1019.00,1019.00,1000.00,1008.95,66
4-Sep-17,999.00,1020.00,999.00,1000.00,109
1-Sep-17,1000.45,1003.00,999.00,999.00,2009
31-Aug-17,1000.00,1000.00,982.00,1000.00,652
30-Aug-17,1009.00,1009.00,985.00,985.00,215
29-Aug-17,1022.05,1029.00,995.00,1006.00,328
28-Aug-17,1025.55,1025.55,983.10,1020.00,458
25-Aug-17,1029.00,1030.00,1015.00,1022.15,562
24-Aug-17,985.00,1033.50,960.00,1033.50,25654
23-Aug-17,994.00,994.00,977.00,980.00,314
22-Aug-17,990.55,990.55,970.00,980.00,154
21-Aug-17,979.95,992.00,976.00,990.00,91
18-Aug-17,975.00,979.00,973.00,979.00,564
17-Aug-17,973.00,978.00,972.00,977.00,565
16-Aug-17,981.40,981.40,972.50,980.00,67
14-Aug-17,981.30,981.30,970.20,981.30,42
11-Aug-17,971.00,981.40,953.05,981.10,3199
10-Aug-17,968.00,990.50,968.00,972.00,2121
9-Aug-17,972.00,972.00,960.00,967.00,347
8-Aug-17,980.00,993.00,978.80,980.00,376
7-Aug-17,975.00,994.90,970.00,980.00,113
4-Aug-17,962.00,990.00,962.00,974.00,923
3-Aug-17,1000.00,1009.00,960.00,960.00,806
2-Aug-17,1067.00,1067.00,983.10,1005.00,838
1-Aug-17,1060.00,1070.00,1041.00,1053.00,386
31-Jul-17,1050.00,1085.00,1041.00,1060.00,396
28-Jul-17,1060.00,1060.00,1041.20,1060.00,28
27-Jul-17,1044.00,1059.00,1040.00,1058.75,1002
26-Jul-17,1059.00,1059.00,1040.00,1059.00,661
25-Jul-17,1060.00,1060.00,1036.00,1052.95,203
24-Jul-17,1042.00,1051.00,1042.00,1050.00,4375
21-Jul-17,1051.00,1058.00,1041.00,1055.00,5438
20-Jul-17,1080.00,1080.00,1028.00,1049.00,998
19-Jul-17,1090.00,1090.00,1070.00,1080.00,183
18-Jul-17,1090.00,1090.00,1071.60,1071.60,431
17-Jul-17,1078.00,1094.75,1070.00,1089.95,130
14-Jul-17,1075.35,1096.95,1075.00,1078.00,136
13-Jul-17,1100.00,1100.00,1075.00,1075.00,72
12-Jul-17,1120.00,1120.00,1082.55,1090.00,1163
11-Jul-17,1121.00,1121.00,1103.10,1109.00,11
10-Jul-17,1129.50,1129.90,1080.00,1110.00,492
7-Jul-17,1112.00,1124.00,1110.00,1117.90,244
6-Jul-17,1078.95,1099.00,1078.95,1095.00,19
5-Jul-17,1100.00,1104.00,1062.00,1078.95,3097
4-Jul-17,1118.00,1118.00,1072.00,1080.00,110
3-Jul-17,1122.25,1135.00,1099.90,1099.90,198
30-Jun-17,1110.95,1113.95,1090.00,1110.00,276
29-Jun-17,1148.55,1148.55,1092.00,1092.00,270
28-Jun-17,1150.00,1150.00,1114.05,1114.05,302
27-Jun-17,1138.00,1149.00,1135.00,1147.90,238
26-Jun-17,1110.00,1136.00,1080.70,1136.00,1778
23-Jun-17,1127.00,1127.00,1100.05,1117.00,226
22-Jun-17,1140.00,1175.00,1127.00,1127.00,458
21-Jun-17,1130.00,1135.00,1111.10,1130.00,1256
20-Jun-17,1100.00,1130.00,1100.00,1123.00,591
19-Jun-17,1100.00,1110.00,1080.00,1099.75,681
16-Jun-17,1100.00,1105.00,1090.00,1100.00,133
14-Jun-17,1095.65,1097.45,1090.00,1097.45,1130
13-Jun-17,1090.00,1100.00,1090.00,1100.00,201
12-Jun-17,1080.00,1110.00,1080.00,1090.00,813
9-Jun-17,1090.00,1090.00,1087.00,1089.00,107
8-Jun-17,1078.00,1078.00,1061.00,1077.95,119
7-Jun-17,1083.75,1083.75,1075.50,1080.00,374
6-Jun-17,1110.00,1110.00,1075.30,1090.00,1444
5-Jun-17,1071.00,1110.00,1070.90,1090.00,2022
2-Jun-17,1066.95,1071.00,1061.00,1071.00,105
1-Jun-17,1070.00,1075.95,1055.00,1070.00,6243
31-May-17,1059.15,1059.15,1035.00,1046.95,78
30-May-17,1047.95,1074.90,1047.95,1065.00,1107
29-May-17,1035.00,1059.00,1035.00,1046.05,12
26-May-17,1055.00,1063.90,1055.00,1055.00,551
25-May-17,1052.00,1060.00,1035.50,1055.00,289
24-May-17,1038.05,1057.95,1017.50,1050.00,825
23-May-17,1026.90,1070.00,1015.00,1045.00,307
22-May-17,1025.00,1027.00,1012.00,1012.00,103
19-May-17,1010.00,1038.90,1004.00,1030.00,91
18-May-17,1001.00,1015.00,981.00,999.00,240
17-May-17,1026.00,1026.00,1002.00,1002.00,163
16-May-17,1038.00,1039.00,1017.00,1029.00,935
15-May-17,1041.00,1041.00,1016.80,1038.00,7546
12-May-17,1045.05,1050.00,1039.95,1039.95,461
11-May-17,1060.00,1065.00,1040.00,1040.00,3587
10-May-17,1074.90,1089.00,1060.00,1060.00,9542
9-May-17,1050.00,1075.00,1050.00,1074.90,871
8-May-17,1037.00,1069.00,1031.00,1044.10,927
5-May-17,1020.00,1048.80,1010.00,1037.00,2141
4-May-17,975.50,1022.00,975.00,1016.00,1669
2-May-17,960.00,977.95,954.30,977.95,1247
28-Apr-17,961.00,967.00,951.50,955.05,2907
27-Apr-17,944.00,974.00,932.00,957.00,10741
26-Apr-17,940.00,940.00,911.00,930.00,633
25-Apr-17,937.90,937.90,924.00,934.00,1479
24-Apr-17,907.00,939.70,907.00,937.95,3804
21-Apr-17,925.00,925.00,907.50,911.00,1073
20-Apr-17,906.00,925.00,900.00,925.00,10018
19-Apr-17,897.60,904.90,886.00,903.50,1581
18-Apr-17,935.00,935.00,869.95,890.60,1037
13-Apr-17,931.00,931.00,914.50,920.00,138
12-Apr-17,930.00,942.00,930.00,931.00,2478
11-Apr-17,935.00,939.90,930.00,930.00,335
10-Apr-17,942.55,942.55,935.00,940.00,704
7-Apr-17,944.00,958.00,926.30,926.30,655
6-Apr-17,925.00,945.00,925.00,944.00,1870
5-Apr-17,944.55,944.55,922.00,930.00,3752
4-Apr-17,939.45,950.00,928.00,941.60,1826
3-Apr-17,944.50,944.95,925.00,939.90,58
31-Mar-17,938.00,940.00,914.50,940.00,1520
30-Mar-17,938.95,938.95,913.40,923.00,74
29-Mar-17,929.95,929.95,913.55,928.00,46
28-Mar-17,916.05,930.00,916.05,929.95,98
27-Mar-17,912.50,939.00,912.50,916.05,216
24-Mar-17,929.00,945.00,912.00,944.95,3237
23-Mar-17,930.00,930.00,912.00,915.00,51
22-Mar-17,928.00,928.50,901.10,920.00,111
21-Mar-17,946.55,946.55,909.00,915.00,3555
20-Mar-17,940.00,947.10,927.00,930.50,649
17-Mar-17,957.90,958.00,925.00,939.00,768
16-Mar-17,927.00,957.80,927.00,948.50,1767
15-Mar-17,950.00,950.00,925.00,925.00,2925
14-Mar-17,949.00,957.50,940.00,941.00,219
13-Mar-17,929.95,958.95,922.00,941.00,1291
10-Mar-17,950.00,989.00,890.00,890.00,72627
9-Mar-17,935.00,950.00,903.05,904.00,1019
8-Mar-17,900.00,900.00,880.00,882.00,23
7-Mar-17,889.00,900.00,870.00,895.00,208
6-Mar-17,907.95,907.95,881.60,890.50,290
3-Mar-17,910.00,915.00,895.00,895.00,255
2-Mar-17,930.00,938.55,902.00,938.55,363
1-Mar-17,900.00,925.00,900.00,925.00,80
28-Feb-17,928.00,928.00,897.30,900.00,652
27-Feb-17,899.55,928.00,873.10,928.00,116
24-Feb-17,895.00,899.00,870.05,890.00,651
23-Feb-17,929.85,929.85,889.00,900.00,349
22-Feb-17,919.00,930.00,894.00,895.00,590
21-Feb-17,855.00,939.50,851.00,919.00,1837
20-Feb-17,870.00,870.00,851.10,855.00,2307
17-Feb-17,853.00,870.00,853.00,869.00,248
16-Feb-17,849.10,870.00,849.10,870.00,1143
15-Feb-17,880.00,880.00,849.10,849.10,98
14-Feb-17,870.00,895.00,866.00,880.00,172
13-Feb-17,870.00,898.00,862.00,863.00,1603
10-Feb-17,899.00,899.00,862.00,862.00,80
