b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,67.50,69.01,67.37,67.37,551355
14-Sep-17,69.48,70.00,66.41,67.09,235745
13-Sep-17,70.03,71.00,69.48,69.48,55176
12-Sep-17,71.25,71.25,70.03,70.34,14304
11-Sep-17,70.32,71.44,70.27,70.50,14444
8-Sep-17,70.00,70.85,70.00,70.66,22948
7-Sep-17,70.50,71.69,69.76,70.64,58973
6-Sep-17,71.26,71.79,70.83,70.83,26787
5-Sep-17,70.38,72.49,70.38,71.50,61909
4-Sep-17,70.88,70.90,70.43,70.77,11027
1-Sep-17,69.40,71.00,69.40,70.90,22088
31-Aug-17,70.10,71.00,69.80,71.00,41532
30-Aug-17,69.50,71.30,69.50,70.35,59548
29-Aug-17,71.00,71.00,69.06,70.07,84733
28-Aug-17,70.00,71.13,69.80,71.10,20143
25-Aug-17,70.30,70.50,69.60,70.00,17729
24-Aug-17,69.11,70.28,69.10,69.87,39866
23-Aug-17,70.01,70.30,69.51,69.75,39036
22-Aug-17,68.98,70.38,68.98,70.01,51460
21-Aug-17,67.60,68.99,67.51,68.51,14576
18-Aug-17,68.60,69.28,67.65,67.84,47977
17-Aug-17,69.99,69.99,68.56,68.60,35002
16-Aug-17,69.29,70.69,68.50,69.01,50719
14-Aug-17,69.21,70.49,68.27,69.46,46174
11-Aug-17,69.60,69.79,69.21,69.62,24197
10-Aug-17,69.01,70.70,69.01,69.83,47140
9-Aug-17,71.00,71.00,68.12,69.79,44080
8-Aug-17,71.00,71.40,70.22,70.58,133553
7-Aug-17,71.11,71.68,70.70,70.72,31986
4-Aug-17,70.40,71.20,70.20,70.68,31210
3-Aug-17,71.66,71.94,70.00,70.45,105717
2-Aug-17,71.00,71.88,70.40,71.66,41050
1-Aug-17,71.00,71.47,70.90,71.40,52114
31-Jul-17,70.50,71.00,70.50,71.00,55520
28-Jul-17,70.35,70.36,70.00,70.36,12407
27-Jul-17,70.41,70.41,70.00,70.33,19745
26-Jul-17,70.00,70.40,69.94,70.40,34004
25-Jul-17,68.97,69.95,68.45,69.95,49349
24-Jul-17,68.47,68.98,67.23,68.98,86464
21-Jul-17,68.50,68.66,68.07,68.07,19562
20-Jul-17,68.49,68.49,68.02,68.08,37621
19-Jul-17,68.99,68.99,67.90,68.10,90249
18-Jul-17,68.94,69.23,68.01,68.80,22070
17-Jul-17,68.70,68.97,68.06,68.97,67256
14-Jul-17,68.19,68.34,67.13,68.34,18725
13-Jul-17,67.49,68.04,67.01,68.04,21736
12-Jul-17,66.40,67.96,66.29,66.29,116616
11-Jul-17,66.90,67.10,65.83,66.02,79667
10-Jul-17,67.01,67.99,66.40,66.89,51092
7-Jul-17,68.61,68.61,68.04,68.40,17432
6-Jul-17,68.30,68.63,68.07,68.58,24670
5-Jul-17,66.80,68.49,66.01,68.34,49761
4-Jul-17,67.00,67.97,66.58,66.58,30331
3-Jul-17,69.00,69.10,66.31,66.93,59474
30-Jun-17,69.73,69.77,68.22,68.78,56210
29-Jun-17,73.00,73.09,72.02,72.60,58086
28-Jun-17,73.20,73.49,72.01,72.98,41576
27-Jun-17,71.24,73.20,70.84,72.49,70686
26-Jun-17,70.76,71.65,70.01,71.12,42199
23-Jun-17,70.55,70.60,70.19,70.36,53037
22-Jun-17,70.12,70.29,69.93,70.00,55009
21-Jun-17,70.28,70.59,70.00,70.44,36654
