b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,4.74,4.75,4.70,4.70,28313
14-Sep-17,4.75,4.77,4.70,4.74,23679
13-Sep-17,4.75,4.77,4.70,4.75,42876
12-Sep-17,4.75,4.80,4.72,4.76,23607
11-Sep-17,4.76,4.81,4.73,4.74,53538
8-Sep-17,4.76,4.80,4.72,4.77,37118
7-Sep-17,4.86,4.86,4.77,4.81,50551
6-Sep-17,4.87,4.89,4.80,4.83,29733
5-Sep-17,4.74,4.93,4.74,4.80,131417
4-Sep-17,5.20,5.20,4.73,4.76,239526
1-Sep-17,5.33,5.45,5.21,5.23,178292
31-Aug-17,5.51,5.80,5.51,5.74,44323
30-Aug-17,5.55,5.55,5.46,5.49,9082
29-Aug-17,5.62,5.62,5.40,5.49,16257
28-Aug-17,5.63,5.63,5.50,5.63,15612
25-Aug-17,5.80,5.80,5.42,5.64,40281
24-Aug-17,5.89,5.98,5.72,5.80,50765
23-Aug-17,5.24,5.78,5.23,5.78,102804
22-Aug-17,5.19,5.21,5.15,5.21,12762
21-Aug-17,5.20,5.20,5.14,5.19,15353
18-Aug-17,5.20,5.24,5.19,5.23,14039
17-Aug-17,5.35,5.35,5.20,5.20,7735
16-Aug-17,5.20,5.34,5.20,5.28,15489
14-Aug-17,5.22,5.24,5.16,5.19,17202
11-Aug-17,5.32,5.40,5.25,5.25,33928
10-Aug-17,5.33,5.36,5.28,5.32,17303
9-Aug-17,5.60,5.60,5.31,5.36,65847
8-Aug-17,5.65,5.68,5.58,5.61,12999
7-Aug-17,5.68,5.70,5.65,5.68,23251
4-Aug-17,5.68,5.73,5.68,5.68,8594
3-Aug-17,5.68,5.72,5.66,5.69,13922
2-Aug-17,5.74,5.74,5.65,5.66,18356
1-Aug-17,5.75,5.76,5.71,5.72,5769
31-Jul-17,5.63,5.78,5.62,5.74,14555
28-Jul-17,5.71,5.71,5.60,5.62,29218
27-Jul-17,5.87,5.87,5.70,5.71,17827
26-Jul-17,5.76,5.85,5.74,5.83,19628
25-Jul-17,5.76,5.83,5.75,5.81,9603
24-Jul-17,5.85,5.86,5.75,5.75,19544
21-Jul-17,5.91,5.94,5.85,5.90,24638
20-Jul-17,6.00,6.00,5.90,5.95,18887
19-Jul-17,5.95,6.04,5.94,5.99,45906
18-Jul-17,6.10,6.10,5.93,5.95,46001
17-Jul-17,6.12,6.17,6.04,6.06,22049
14-Jul-17,6.10,6.16,6.05,6.12,49060
13-Jul-17,6.10,6.36,6.01,6.09,91230
12-Jul-17,5.95,6.10,5.93,6.09,39474
