b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,59.97,61.00,59.00,60.50,1575
14-Sep-17,60.00,60.00,59.99,59.99,6
13-Sep-17,59.22,60.50,59.22,60.00,6154
12-Sep-17,60.50,60.50,59.50,59.80,1176
11-Sep-17,59.50,61.29,59.40,60.45,4374
8-Sep-17,58.75,59.00,58.21,58.98,8711
7-Sep-17,58.20,58.70,58.00,58.70,5112
6-Sep-17,56.54,58.35,56.45,58.00,8924
5-Sep-17,55.56,56.30,55.32,56.30,2621
4-Sep-17,56.55,56.55,55.56,55.56,478
1-Sep-17,56.01,57.00,56.01,56.49,20246
31-Aug-17,54.98,54.98,54.50,54.50,5117
30-Aug-17,54.97,54.98,54.50,54.79,5807
29-Aug-17,54.10,54.97,53.90,54.97,4080
28-Aug-17,54.00,54.88,54.00,54.00,39
25-Aug-17,54.00,54.10,53.71,54.00,140
24-Aug-17,54.49,54.49,53.99,53.99,564
23-Aug-17,54.75,54.75,54.01,54.49,6127
22-Aug-17,54.89,54.89,54.89,54.89,1
21-Aug-17,54.93,54.93,54.90,54.90,11
18-Aug-17,54.93,54.93,54.93,54.93,21
17-Aug-17,53.67,54.00,53.67,54.00,93
16-Aug-17,54.64,54.64,53.65,53.65,49
14-Aug-17,53.56,54.64,53.56,54.64,2518
11-Aug-17,54.64,54.64,53.56,53.56,657
10-Aug-17,55.20,55.20,53.60,54.00,1094
9-Aug-17,55.25,55.25,53.70,53.70,987
8-Aug-17,54.00,55.30,53.65,53.65,68
7-Aug-17,55.00,55.60,55.00,55.50,64
4-Aug-17,54.80,54.80,53.70,53.75,1654
3-Aug-17,53.72,55.62,53.72,54.80,354
2-Aug-17,54.50,54.99,54.50,54.50,3174
1-Aug-17,55.68,55.89,54.40,54.99,1009
31-Jul-17,55.00,55.00,55.00,55.00,4000
28-Jul-17,55.00,55.00,55.00,55.00,1500
27-Jul-17,55.00,55.00,54.25,54.90,3969
26-Jul-17,55.00,55.00,54.36,54.36,2343
25-Jul-17,55.98,55.98,55.98,55.98,5
24-Jul-17,55.95,55.95,55.95,55.95,30
