b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,0.96,0.96,0.92,0.92,706281
14-Sep-17,0.93,0.97,0.92,0.95,2166180
13-Sep-17,0.91,0.96,0.87,0.93,3456006
12-Sep-17,0.82,0.92,0.82,0.91,1628284
11-Sep-17,0.83,0.84,0.81,0.82,495056
8-Sep-17,0.83,0.84,0.81,0.82,620702
7-Sep-17,0.86,0.86,0.82,0.84,325887
6-Sep-17,0.85,0.86,0.84,0.85,359510
5-Sep-17,0.88,0.89,0.84,0.84,629309
4-Sep-17,0.82,0.88,0.80,0.87,1018198
1-Sep-17,0.82,0.82,0.80,0.82,158465
31-Aug-17,0.83,0.84,0.79,0.81,685878
30-Aug-17,0.80,0.84,0.80,0.82,564036
29-Aug-17,0.85,0.86,0.78,0.80,1205953
28-Aug-17,0.86,0.87,0.82,0.85,771120
25-Aug-17,0.90,0.92,0.85,0.86,995032
24-Aug-17,0.88,0.92,0.88,0.90,1365621
23-Aug-17,0.87,0.89,0.85,0.87,1766986
22-Aug-17,0.76,0.89,0.76,0.86,4826306
21-Aug-17,0.74,0.75,0.73,0.75,363690
18-Aug-17,0.78,0.78,0.73,0.74,496154
17-Aug-17,0.78,0.79,0.74,0.77,987957
16-Aug-17,0.79,0.79,0.77,0.78,219193
14-Aug-17,0.80,0.81,0.77,0.78,633217
11-Aug-17,0.77,0.80,0.77,0.79,565281
10-Aug-17,0.80,0.81,0.77,0.77,635692
9-Aug-17,0.79,0.84,0.77,0.80,1883308
8-Aug-17,0.89,0.89,0.81,0.81,3416844
7-Aug-17,0.87,0.91,0.87,0.89,1020271
4-Aug-17,0.88,0.90,0.86,0.87,1359269
3-Aug-17,0.87,0.93,0.86,0.88,2409979
2-Aug-17,0.90,0.94,0.90,0.91,1899288
1-Aug-17,0.92,0.94,0.89,0.90,1869703
31-Jul-17,0.95,0.98,0.92,0.92,4619845
28-Jul-17,0.84,1.01,0.81,0.97,9271226
27-Jul-17,0.91,0.91,0.84,0.85,2041177
26-Jul-17,0.94,0.96,0.89,0.91,4172835
25-Jul-17,0.85,0.93,0.85,0.93,6240787
24-Jul-17,0.79,0.87,0.78,0.84,4360214
21-Jul-17,0.72,0.83,0.72,0.79,4231328
20-Jul-17,0.68,0.74,0.68,0.71,2240950
19-Jul-17,0.69,0.69,0.67,0.68,545077
18-Jul-17,0.72,0.72,0.68,0.69,1207009
17-Jul-17,0.64,0.71,0.64,0.71,1785153
14-Jul-17,0.66,0.68,0.63,0.64,975563
13-Jul-17,0.64,0.68,0.64,0.66,1021397
12-Jul-17,0.64,0.66,0.63,0.64,948919
11-Jul-17,0.70,0.70,0.64,0.65,1539825
10-Jul-17,0.71,0.71,0.68,0.70,422417
7-Jul-17,0.65,0.70,0.64,0.69,1433158
6-Jul-17,0.65,0.66,0.63,0.64,843085
5-Jul-17,0.64,0.65,0.62,0.64,1617980
4-Jul-17,0.70,0.70,0.64,0.65,2507824
3-Jul-17,0.76,0.77,0.69,0.70,4154348
30-Jun-17,0.61,0.74,0.61,0.74,5807085
29-Jun-17,0.59,0.63,0.58,0.61,1997899
28-Jun-17,0.58,0.61,0.57,0.58,1298058
27-Jun-17,0.53,0.59,0.53,0.59,2175511
26-Jun-17,0.54,0.54,0.53,0.53,263288
23-Jun-17,0.53,0.54,0.52,0.54,448936
22-Jun-17,0.53,0.54,0.53,0.53,481822
21-Jun-17,0.53,0.56,0.53,0.54,1321679
20-Jun-17,0.53,0.54,0.52,0.53,221363
19-Jun-17,0.55,0.55,0.52,0.54,1486190
16-Jun-17,0.54,0.55,0.53,0.55,670302
14-Jun-17,0.56,0.57,0.54,0.55,795573
13-Jun-17,0.56,0.56,0.55,0.56,141376
12-Jun-17,0.56,0.57,0.56,0.56,255811
9-Jun-17,0.58,0.58,0.55,0.56,838728
8-Jun-17,0.56,0.58,0.56,0.57,532981
7-Jun-17,0.58,0.58,0.57,0.57,254437
6-Jun-17,0.58,0.59,0.57,0.58,1181727
5-Jun-17,0.59,0.60,0.58,0.59,696212
2-Jun-17,0.60,0.60,0.58,0.59,1231520
1-Jun-17,0.57,0.60,0.55,0.58,706208
31-May-17,0.59,0.59,0.57,0.57,1255856
30-May-17,0.60,0.60,0.58,0.59,1107371
29-May-17,0.61,0.63,0.58,0.59,1885119
26-May-17,0.59,0.62,0.58,0.62,1701430
25-May-17,0.58,0.60,0.57,0.58,1188951
24-May-17,0.60,0.61,0.55,0.58,2641118
23-May-17,0.62,0.63,0.60,0.61,1424006
22-May-17,0.57,0.64,0.57,0.62,7001270
19-May-17,0.61,0.62,0.53,0.55,10351150
18-May-17,0.65,0.66,0.62,0.62,1595471
17-May-17,0.71,0.72,0.65,0.65,1670107
16-May-17,0.72,0.73,0.71,0.71,711985
15-May-17,0.74,0.74,0.72,0.73,514753
12-May-17,0.73,0.74,0.73,0.74,230941
11-May-17,0.76,0.76,0.73,0.73,1843464
10-May-17,0.80,0.82,0.77,0.78,1390933
9-May-17,0.84,0.84,0.81,0.81,266863
8-May-17,0.81,0.83,0.81,0.83,405870
5-May-17,0.83,0.83,0.81,0.81,202593
4-May-17,0.84,0.85,0.80,0.82,1084767
2-May-17,0.84,0.85,0.84,0.84,168156
28-Apr-17,0.84,0.87,0.84,0.84,581015
27-Apr-17,0.83,0.86,0.82,0.84,452297
26-Apr-17,0.84,0.86,0.82,0.82,1054949
25-Apr-17,0.86,0.87,0.84,0.84,980137
24-Apr-17,0.90,0.90,0.85,0.86,1064170
21-Apr-17,0.88,0.91,0.86,0.89,1695757
20-Apr-17,0.83,0.91,0.83,0.88,4165172
19-Apr-17,0.84,0.85,0.83,0.83,1689031
18-Apr-17,0.84,0.86,0.84,0.84,2400008
13-Apr-17,0.87,0.94,0.82,0.85,11168383
23-Mar-17,1.50,1.50,1.20,1.26,15598236
22-Mar-17,0.83,1.00,0.81,1.00,1651422
21-Mar-17,0.90,0.91,0.84,0.85,1425952
20-Mar-17,0.99,0.99,0.90,0.91,1553043
17-Mar-17,1.02,1.02,0.96,0.99,886520
16-Mar-17,1.02,1.04,1.01,1.02,419709
15-Mar-17,1.03,1.05,1.01,1.02,732389
