b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,10.45,10.57,10.45,10.46,11178
14-Sep-17,10.47,10.53,10.41,10.45,13817
13-Sep-17,10.57,10.60,10.46,10.51,24643
12-Sep-17,10.55,10.68,10.53,10.60,60612
11-Sep-17,10.63,10.70,10.50,10.55,43011
8-Sep-17,11.10,11.15,10.52,10.66,79173
7-Sep-17,11.46,11.50,11.00,11.14,46621
6-Sep-17,11.53,11.65,11.40,11.46,27911
5-Sep-17,11.77,11.86,11.13,11.44,134002
4-Sep-17,11.24,12.12,11.24,11.72,376176
1-Sep-17,10.91,11.24,10.75,11.22,131215
31-Aug-17,10.84,10.92,10.77,10.92,39041
30-Aug-17,10.53,10.90,10.50,10.79,68655
29-Aug-17,10.55,10.61,10.51,10.59,8150
28-Aug-17,10.51,10.60,10.50,10.51,3810
25-Aug-17,10.60,10.60,10.45,10.59,9480
24-Aug-17,10.58,10.61,10.50,10.60,17529
23-Aug-17,10.60,10.60,10.49,10.58,3702
22-Aug-17,10.42,10.61,10.35,10.60,32737
21-Aug-17,10.55,10.55,10.42,10.54,4798
18-Aug-17,10.41,10.60,10.34,10.49,8974
17-Aug-17,10.65,10.65,10.40,10.55,2456
16-Aug-17,10.62,10.71,10.62,10.65,26644
14-Aug-17,10.50,10.60,10.40,10.60,2569
11-Aug-17,10.46,10.50,10.39,10.50,3754
10-Aug-17,10.58,10.58,10.38,10.50,4109
9-Aug-17,10.46,10.60,10.42,10.50,3393
8-Aug-17,10.60,10.60,10.38,10.50,14974
7-Aug-17,10.62,10.63,10.55,10.60,17344
4-Aug-17,10.65,10.65,10.58,10.59,11838
3-Aug-17,10.51,10.68,10.51,10.58,5393
2-Aug-17,10.69,10.69,10.55,10.56,19117
1-Aug-17,10.65,10.68,10.53,10.67,11953
31-Jul-17,10.60,10.70,10.60,10.65,15032
28-Jul-17,10.47,10.61,10.46,10.60,10998
27-Jul-17,10.60,10.65,10.53,10.53,4991
26-Jul-17,10.59,10.67,10.54,10.60,9337
25-Jul-17,10.54,10.65,10.44,10.60,2740
24-Jul-17,10.64,10.64,10.48,10.58,5407
21-Jul-17,10.65,10.67,10.48,10.63,7176
20-Jul-17,10.60,10.67,10.41,10.65,12185
19-Jul-17,10.70,10.70,10.60,10.60,9635
18-Jul-17,10.74,10.80,10.70,10.75,13598
17-Jul-17,10.74,10.86,10.73,10.74,26680
14-Jul-17,10.66,10.75,10.65,10.74,9240
13-Jul-17,10.60,10.66,10.50,10.66,5484
12-Jul-17,10.64,10.68,10.50,10.64,11783
11-Jul-17,10.54,10.61,10.50,10.61,4725
10-Jul-17,10.35,10.54,10.35,10.50,1873
7-Jul-17,10.35,10.54,10.35,10.35,2466
6-Jul-17,10.50,10.50,10.34,10.37,6562
5-Jul-17,10.35,10.50,10.35,10.50,4669
4-Jul-17,10.52,10.55,10.35,10.45,10604
3-Jul-17,10.52,10.62,10.51,10.60,4644
30-Jun-17,10.56,10.67,10.56,10.60,1345
29-Jun-17,10.68,10.69,10.55,10.61,5269
28-Jun-17,10.68,10.68,10.60,10.60,6524
27-Jun-17,10.70,10.77,10.33,10.65,28722
26-Jun-17,10.75,10.84,10.71,10.71,14525
23-Jun-17,10.80,10.84,10.75,10.75,3612
22-Jun-17,10.75,10.85,10.66,10.84,2338
21-Jun-17,10.63,10.86,10.63,10.82,7369
20-Jun-17,10.78,10.86,10.63,10.70,2427
19-Jun-17,10.84,10.89,10.77,10.78,3652
16-Jun-17,10.70,10.89,10.70,10.84,2340
14-Jun-17,10.84,10.84,10.65,10.65,1502
13-Jun-17,10.59,10.84,10.59,10.84,3995
12-Jun-17,10.76,10.88,10.60,10.61,13543
9-Jun-17,10.74,10.76,10.74,10.76,4876
8-Jun-17,10.39,10.76,10.35,10.74,19855
