b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,12.65,12.65,12.01,12.33,21930
14-Sep-17,12.56,12.67,12.42,12.65,12142
13-Sep-17,13.13,13.13,12.56,12.68,11209
12-Sep-17,12.52,13.34,12.50,12.89,21364
11-Sep-17,12.94,12.94,12.45,12.52,38165
8-Sep-17,13.19,13.19,12.85,12.95,17996
7-Sep-17,13.25,13.36,13.10,13.12,9766
6-Sep-17,13.47,13.51,13.22,13.22,11126
5-Sep-17,13.31,13.51,13.31,13.41,13472
4-Sep-17,13.20,13.49,13.10,13.31,8517
1-Sep-17,13.36,13.49,13.27,13.31,6128
31-Aug-17,13.49,13.50,13.13,13.42,11221
30-Aug-17,13.48,13.69,13.30,13.45,21605
29-Aug-17,13.90,13.90,13.10,13.56,66287
28-Aug-17,14.80,14.85,14.52,14.52,6920
25-Aug-17,14.40,14.90,14.20,14.82,40599
24-Aug-17,13.90,14.44,13.69,14.25,21207
23-Aug-17,13.83,13.98,13.60,13.90,6220
22-Aug-17,14.00,14.00,13.60,13.79,7923
21-Aug-17,14.20,14.20,13.80,13.98,13797
18-Aug-17,13.14,14.20,13.00,14.20,30786
17-Aug-17,13.23,13.23,12.75,13.19,5169
16-Aug-17,12.50,13.25,12.45,13.23,20434
14-Aug-17,12.42,12.55,12.13,12.45,19621
11-Aug-17,12.95,13.05,12.42,12.42,43141
10-Aug-17,13.35,13.45,12.88,12.97,34786
9-Aug-17,13.91,13.91,13.06,13.34,43619
8-Aug-17,13.85,14.01,13.80,13.81,13158
7-Aug-17,14.00,14.06,13.85,13.91,2138
4-Aug-17,13.92,13.92,13.75,13.91,4027
3-Aug-17,13.73,13.85,13.70,13.75,5284
2-Aug-17,13.89,13.89,13.60,13.72,7196
1-Aug-17,13.95,14.10,13.80,13.89,5533
31-Jul-17,13.66,14.00,13.65,14.00,7533
28-Jul-17,13.85,13.86,13.50,13.86,15977
27-Jul-17,13.80,13.96,13.75,13.87,28273
26-Jul-17,13.92,13.97,13.79,13.80,7777
25-Jul-17,13.92,14.20,13.86,13.98,16299
24-Jul-17,14.17,14.36,13.95,14.06,12653
21-Jul-17,14.15,14.16,13.92,14.09,11769
20-Jul-17,14.30,14.60,13.90,14.10,25874
19-Jul-17,13.95,14.60,13.64,14.35,202619
18-Jul-17,16.19,16.19,15.80,15.80,5903
17-Jul-17,16.00,16.19,15.70,16.19,9940
14-Jul-17,16.00,16.10,15.95,16.00,19680
13-Jul-17,16.28,16.28,15.85,15.98,156119
12-Jul-17,15.80,16.30,15.80,16.10,20381
11-Jul-17,14.99,16.13,14.95,15.85,24372
10-Jul-17,15.12,15.30,14.83,14.97,34297
7-Jul-17,16.50,16.70,15.48,15.52,40030
6-Jul-17,15.62,15.70,15.45,15.70,26016
5-Jul-17,15.52,15.54,15.41,15.50,37712
4-Jul-17,15.77,15.77,15.41,15.50,37629
3-Jul-17,15.15,16.35,15.15,15.50,82812
30-Jun-17,15.30,15.30,15.02,15.03,26759
29-Jun-17,15.62,15.62,15.14,15.36,15390
28-Jun-17,15.70,15.72,15.35,15.59,18670
27-Jun-17,15.49,15.81,14.83,15.41,15279
26-Jun-17,14.95,15.97,14.90,15.50,32763
23-Jun-17,14.90,15.25,14.90,15.01,3745
22-Jun-17,14.98,15.28,14.90,15.08,7907
21-Jun-17,14.80,14.97,14.75,14.85,5038
20-Jun-17,15.05,15.19,14.70,14.80,12594
19-Jun-17,15.56,15.56,14.98,15.12,12375
16-Jun-17,15.07,15.56,15.00,15.54,8604
14-Jun-17,15.50,15.50,15.17,15.17,4669
13-Jun-17,15.45,15.70,15.32,15.46,4381
12-Jun-17,16.29,16.43,15.20,15.31,36722
9-Jun-17,16.73,17.34,16.42,16.43,30132
8-Jun-17,16.00,17.19,15.99,16.88,83380
7-Jun-17,15.38,16.00,15.37,15.88,24732
6-Jun-17,15.49,15.49,15.27,15.48,3310
5-Jun-17,15.70,15.70,15.34,15.53,3669
2-Jun-17,15.63,15.77,15.23,15.76,7684
1-Jun-17,15.80,15.80,15.39,15.58,4058
