b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,9.88,9.99,9.87,9.98,79380
14-Sep-17,9.90,10.00,9.90,9.96,54217
13-Sep-17,9.90,10.00,9.90,10.00,147781
12-Sep-17,10.00,10.04,9.83,9.96,224896
11-Sep-17,10.06,10.16,9.80,9.99,57686
8-Sep-17,10.26,10.30,10.07,10.07,70621
7-Sep-17,10.48,10.50,10.21,10.27,65427
6-Sep-17,10.48,10.53,10.40,10.45,44052
5-Sep-17,10.48,10.55,10.20,10.49,97834
4-Sep-17,10.55,10.55,10.42,10.48,89105
1-Sep-17,10.40,10.50,10.40,10.50,100301
31-Aug-17,10.34,10.38,10.20,10.35,127075
30-Aug-17,10.23,10.32,10.11,10.28,55015
29-Aug-17,10.38,10.38,10.03,10.23,39462
28-Aug-17,10.19,10.35,10.11,10.25,36069
25-Aug-17,10.05,10.18,10.00,10.12,55825
24-Aug-17,9.87,9.95,9.81,9.95,105949
23-Aug-17,10.07,10.08,9.80,9.90,101930
22-Aug-17,10.20,10.20,9.93,10.07,97751
21-Aug-17,10.10,10.20,10.10,10.16,37729
18-Aug-17,10.05,10.11,10.04,10.10,61231
17-Aug-17,10.25,10.25,9.90,10.10,137166
16-Aug-17,10.25,10.25,10.01,10.25,27203
14-Aug-17,10.14,10.28,9.93,10.22,40748
11-Aug-17,10.22,10.36,10.15,10.15,97783
10-Aug-17,10.72,10.72,10.22,10.22,144641
9-Aug-17,10.83,10.83,10.52,10.56,31701
8-Aug-17,10.88,10.88,10.57,10.80,43427
7-Aug-17,10.71,10.88,10.71,10.86,28630
4-Aug-17,10.81,10.83,10.46,10.83,41456
3-Aug-17,10.99,10.99,10.70,10.80,53803
2-Aug-17,10.86,10.95,10.75,10.85,72875
1-Aug-17,10.99,11.05,10.84,10.85,56895
31-Jul-17,10.98,10.98,10.57,10.90,79769
28-Jul-17,10.72,10.92,10.58,10.92,98940
27-Jul-17,10.84,10.84,10.37,10.73,14387
26-Jul-17,10.75,10.86,10.64,10.67,28744
25-Jul-17,10.62,10.70,10.44,10.64,81980
24-Jul-17,10.70,10.72,10.60,10.66,30867
21-Jul-17,10.70,10.72,10.61,10.69,54543
20-Jul-17,10.92,10.92,10.61,10.65,24714
19-Jul-17,10.90,10.92,10.67,10.92,78998
18-Jul-17,10.95,11.06,10.80,10.90,38493
17-Jul-17,11.05,11.08,10.95,11.05,28555
14-Jul-17,11.10,11.14,11.05,11.12,55784
13-Jul-17,11.17,11.24,11.04,11.10,30433
12-Jul-17,11.16,11.24,11.16,11.22,39211
11-Jul-17,11.24,11.24,11.15,11.21,25378
10-Jul-17,11.20,11.20,11.11,11.20,20804
7-Jul-17,11.10,11.15,11.01,11.15,27772
6-Jul-17,11.03,11.15,11.03,11.14,28124
5-Jul-17,11.29,11.33,11.18,11.18,33855
4-Jul-17,11.35,11.37,11.12,11.30,112010
3-Jul-17,11.31,11.40,11.25,11.35,61920
30-Jun-17,11.40,11.40,11.12,11.38,178499
29-Jun-17,11.44,11.44,11.30,11.41,60960
28-Jun-17,11.45,11.45,11.30,11.40,74537
27-Jun-17,11.47,11.47,11.35,11.45,74330
26-Jun-17,10.85,11.46,10.85,11.35,330743
23-Jun-17,10.66,11.00,10.66,10.81,132449
22-Jun-17,10.90,11.00,10.60,10.77,3259752
21-Jun-17,10.65,10.80,10.52,10.80,2939237
20-Jun-17,10.60,10.74,10.50,10.63,116948
19-Jun-17,10.40,10.58,10.40,10.57,112336
16-Jun-17,10.03,10.44,10.03,10.44,446652
14-Jun-17,10.29,10.35,10.02,10.17,136720
13-Jun-17,10.30,10.44,10.24,10.25,135010
12-Jun-17,10.25,10.45,10.22,10.33,262320
9-Jun-17,10.52,10.53,9.89,10.30,757569
8-Jun-17,10.90,10.95,10.52,10.64,210168
7-Jun-17,11.02,11.08,10.78,10.95,156597
6-Jun-17,11.05,11.13,10.92,11.04,254155
