b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,2.65,2.71,2.65,2.69,34058
14-Sep-17,2.66,2.68,2.65,2.68,8504
13-Sep-17,2.64,2.68,2.64,2.67,5067
12-Sep-17,2.68,2.69,2.65,2.67,7449
11-Sep-17,2.61,2.68,2.61,2.68,26792
8-Sep-17,2.60,2.68,2.60,2.64,47081
7-Sep-17,2.64,2.65,2.60,2.63,122213
6-Sep-17,2.65,2.68,2.65,2.66,26570
5-Sep-17,2.71,2.71,2.62,2.62,272658
4-Sep-17,2.71,2.74,2.71,2.72,83123
1-Sep-17,2.70,2.74,2.69,2.71,95360
31-Aug-17,2.80,2.83,2.70,2.70,90641
30-Aug-17,2.63,2.83,2.56,2.78,499183
29-Aug-17,2.58,2.65,2.56,2.60,342842
28-Aug-17,2.35,2.42,2.34,2.39,387954
25-Aug-17,2.36,2.44,2.35,2.36,76425
24-Aug-17,2.36,2.37,2.33,2.37,14981
23-Aug-17,2.36,2.38,2.33,2.37,17293
22-Aug-17,2.38,2.39,2.35,2.39,21745
21-Aug-17,2.36,2.40,2.35,2.39,35468
18-Aug-17,2.40,2.41,2.37,2.41,31715
17-Aug-17,2.45,2.45,2.41,2.44,14207
16-Aug-17,2.44,2.45,2.43,2.45,4311
14-Aug-17,2.46,2.46,2.39,2.45,36799
11-Aug-17,2.45,2.46,2.40,2.46,28596
10-Aug-17,2.46,2.48,2.44,2.48,8620
9-Aug-17,2.45,2.45,2.44,2.44,10179
8-Aug-17,2.48,2.48,2.44,2.46,10536
7-Aug-17,2.48,2.48,2.45,2.48,1571
4-Aug-17,2.49,2.49,2.45,2.48,34613
3-Aug-17,2.49,2.49,2.46,2.48,31149
2-Aug-17,2.50,2.51,2.48,2.48,11166
1-Aug-17,2.49,2.51,2.49,2.51,30493
31-Jul-17,2.48,2.48,2.46,2.48,17079
28-Jul-17,2.48,2.48,2.45,2.48,10887
27-Jul-17,2.45,2.49,2.45,2.48,12292
26-Jul-17,2.49,2.49,2.46,2.48,25757
25-Jul-17,2.52,2.54,2.46,2.51,31096
24-Jul-17,2.52,2.53,2.48,2.52,14050
21-Jul-17,2.53,2.53,2.50,2.52,14500
20-Jul-17,2.51,2.53,2.51,2.53,2076
19-Jul-17,2.52,2.53,2.50,2.51,28657
18-Jul-17,2.53,2.55,2.52,2.55,22781
17-Jul-17,2.58,2.58,2.51,2.55,56854
14-Jul-17,2.54,2.58,2.52,2.58,22900
13-Jul-17,2.57,2.57,2.53,2.56,33700
12-Jul-17,2.53,2.59,2.53,2.57,32669
11-Jul-17,2.60,2.60,2.54,2.54,27985
10-Jul-17,2.66,2.67,2.56,2.62,17929
7-Jul-17,2.68,2.68,2.62,2.62,13597
6-Jul-17,2.59,2.69,2.59,2.68,64973
5-Jul-17,2.61,2.61,2.57,2.59,5027
4-Jul-17,2.63,2.63,2.55,2.60,55083
3-Jul-17,2.65,2.65,2.56,2.63,6473
30-Jun-17,2.59,2.65,2.53,2.65,27015
29-Jun-17,2.58,2.63,2.57,2.61,16287
28-Jun-17,2.67,2.67,2.56,2.59,70434
27-Jun-17,2.62,2.65,2.60,2.65,78026
26-Jun-17,2.55,2.62,2.55,2.62,31086
23-Jun-17,2.54,2.57,2.53,2.57,18117
22-Jun-17,2.50,2.57,2.46,2.54,18863
21-Jun-17,2.50,2.50,2.45,2.50,34863
20-Jun-17,2.47,2.50,2.43,2.50,60371
19-Jun-17,2.56,2.57,2.46,2.50,70364
16-Jun-17,2.60,2.60,2.50,2.56,23511
14-Jun-17,2.58,2.60,2.55,2.60,25403
13-Jun-17,2.58,2.61,2.53,2.58,59003
12-Jun-17,2.59,2.62,2.58,2.58,125644
9-Jun-17,2.60,2.62,2.56,2.59,43690
8-Jun-17,2.67,2.67,2.60,2.61,216295
7-Jun-17,2.64,2.69,2.62,2.62,42850
6-Jun-17,2.73,2.73,2.54,2.68,113842
5-Jun-17,2.79,2.79,2.73,2.73,48584
2-Jun-17,2.80,2.80,2.75,2.79,38653
1-Jun-17,2.80,2.80,2.73,2.79,377041
31-May-17,2.77,2.80,2.72,2.80,282114
30-May-17,2.80,2.82,2.70,2.79,81147
29-May-17,2.78,2.82,2.78,2.79,19516
26-May-17,2.75,2.82,2.73,2.82,82574
25-May-17,2.74,2.76,2.71,2.75,19161
24-May-17,2.74,2.78,2.70,2.74,43963
23-May-17,2.67,2.74,2.67,2.74,46756
22-May-17,2.74,2.75,2.63,2.74,55230
19-May-17,2.66,2.77,2.62,2.75,58296
18-May-17,2.62,2.74,2.61,2.67,120349
17-May-17,2.72,2.77,2.62,2.62,193454
16-May-17,2.71,2.79,2.70,2.76,158339
15-May-17,2.81,2.85,2.75,2.79,192199
12-May-17,2.67,2.82,2.67,2.81,1441700
11-May-17,2.67,2.70,2.66,2.67,76984
10-May-17,2.62,2.71,2.62,2.68,98330
9-May-17,2.70,2.74,2.62,2.63,64896
8-May-17,2.69,2.79,2.69,2.70,185730
5-May-17,2.70,2.72,2.67,2.72,69694
4-May-17,2.68,2.78,2.67,2.73,492199
2-May-17,2.68,2.68,2.64,2.68,27439
28-Apr-17,2.69,2.70,2.64,2.70,248812
27-Apr-17,2.66,2.69,2.60,2.69,151908
26-Apr-17,2.67,2.68,2.63,2.68,206254
25-Apr-17,2.60,2.67,2.55,2.67,457001
24-Apr-17,2.57,2.60,2.57,2.60,198314
21-Apr-17,2.49,2.60,2.48,2.56,897835
20-Apr-17,2.28,2.45,2.28,2.45,241813
19-Apr-17,2.29,2.32,2.28,2.31,21244
18-Apr-17,2.33,2.33,2.27,2.29,57383
13-Apr-17,2.29,2.30,2.26,2.28,63941
12-Apr-17,2.33,2.33,2.27,2.28,65045
11-Apr-17,2.38,2.38,2.30,2.33,71364
10-Apr-17,2.36,2.41,2.36,2.38,54922
7-Apr-17,2.38,2.41,2.38,2.38,49835
6-Apr-17,2.45,2.45,2.40,2.40,76656
5-Apr-17,2.55,2.55,2.37,2.45,548929
4-Apr-17,2.32,2.58,2.29,2.52,920405
3-Apr-17,2.30,2.32,2.28,2.32,53197
31-Mar-17,2.32,2.33,2.29,2.30,34445
30-Mar-17,2.32,2.32,2.29,2.32,28798
29-Mar-17,2.28,2.31,2.28,2.31,93462
28-Mar-17,2.29,2.29,2.26,2.28,31600
27-Mar-17,2.29,2.29,2.26,2.26,35313
24-Mar-17,2.28,2.30,2.25,2.29,42298
23-Mar-17,2.27,2.29,2.25,2.28,23259
22-Mar-17,2.25,2.27,2.22,2.27,47837
21-Mar-17,2.30,2.33,2.23,2.27,71630
20-Mar-17,2.30,2.32,2.29,2.30,101821
17-Mar-17,2.24,2.30,2.20,2.30,190753
16-Mar-17,2.23,2.25,2.22,2.24,62456
15-Mar-17,2.25,2.25,2.20,2.23,186969
14-Mar-17,2.29,2.31,2.26,2.27,72273
13-Mar-17,2.28,2.29,2.24,2.28,96341
10-Mar-17,2.21,2.27,2.21,2.26,44825
9-Mar-17,2.28,2.29,2.19,2.20,248482
8-Mar-17,2.23,2.30,2.23,2.27,99835
7-Mar-17,2.28,2.29,2.20,2.22,377557
6-Mar-17,2.29,2.35,2.24,2.30,468939
3-Mar-17,2.53,2.53,2.30,2.34,499352
2-Mar-17,2.51,2.55,2.50,2.51,92310
1-Mar-17,2.44,2.50,2.42,2.50,109042
28-Feb-17,2.48,2.48,2.43,2.45,68652
27-Feb-17,2.49,2.49,2.47,2.48,50032
24-Feb-17,2.43,2.47,2.43,2.47,97372
23-Feb-17,2.43,2.46,2.41,2.46,126744
22-Feb-17,2.45,2.47,2.43,2.43,175154
21-Feb-17,2.45,2.47,2.41,2.45,152514
20-Feb-17,2.48,2.48,2.42,2.45,133074
17-Feb-17,2.51,2.52,2.45,2.48,129757
