b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,359.00,365.50,355.20,359.15,123758
14-Sep-17,365.15,365.15,359.10,361.05,14202
13-Sep-17,360.00,367.15,360.00,366.60,39049
12-Sep-17,360.35,367.80,357.00,360.00,29224
11-Sep-17,361.00,361.60,358.40,360.00,36546
8-Sep-17,360.70,366.95,359.00,361.30,28917
7-Sep-17,367.80,369.45,360.45,361.00,54203
6-Sep-17,365.00,369.75,363.05,366.95,26708
5-Sep-17,369.90,373.45,362.00,363.00,28873
4-Sep-17,363.10,370.00,363.10,367.00,39926
1-Sep-17,368.00,372.25,364.05,366.50,25140
31-Aug-17,375.20,376.20,368.30,369.60,64960
30-Aug-17,369.30,379.80,366.90,375.20,44129
29-Aug-17,380.00,381.90,363.00,365.85,71185
28-Aug-17,373.80,382.00,369.30,382.00,37589
25-Aug-17,376.50,376.50,368.45,372.70,36256
24-Aug-17,359.00,378.00,356.50,375.95,44545
23-Aug-17,361.00,364.20,355.15,358.65,22265
22-Aug-17,358.00,363.85,354.95,360.85,25045
21-Aug-17,349.00,358.50,346.70,357.00,27277
18-Aug-17,348.00,350.85,345.40,349.00,32862
17-Aug-17,351.60,354.75,348.20,349.00,26303
16-Aug-17,359.00,362.10,351.50,351.50,36370
14-Aug-17,362.60,362.60,356.90,356.90,18214
11-Aug-17,363.70,363.70,355.00,358.15,56015
10-Aug-17,369.90,369.90,363.95,367.10,32741
9-Aug-17,367.00,370.90,365.40,368.90,26470
8-Aug-17,369.90,370.00,365.50,369.45,37286
7-Aug-17,374.00,375.10,366.30,370.00,44964
4-Aug-17,373.25,378.25,370.10,376.05,25256
3-Aug-17,364.00,374.10,364.00,370.00,75641
2-Aug-17,372.65,375.15,363.90,365.50,96599
1-Aug-17,380.00,380.00,369.75,371.95,43690
31-Jul-17,367.90,381.00,364.80,380.05,63791
28-Jul-17,365.00,369.95,361.05,368.75,69330
27-Jul-17,356.75,362.00,356.75,359.65,29297
26-Jul-17,360.00,361.55,356.65,358.00,47447
25-Jul-17,365.10,365.10,359.20,359.90,43152
24-Jul-17,363.75,365.95,359.00,361.10,31857
21-Jul-17,362.00,368.15,362.00,362.50,25436
20-Jul-17,373.60,373.60,358.00,362.50,66058
19-Jul-17,368.00,374.85,366.85,370.80,47334
18-Jul-17,363.10,370.95,360.35,368.70,43254
17-Jul-17,359.90,363.45,359.85,362.50,27423
14-Jul-17,359.20,359.20,352.35,358.15,27306
13-Jul-17,358.00,359.70,351.70,358.10,36845
12-Jul-17,351.90,359.15,351.45,358.95,43398
11-Jul-17,355.85,355.85,350.00,350.00,14594
10-Jul-17,356.50,356.50,350.95,354.10,13703
7-Jul-17,349.35,355.00,347.95,354.45,23633
6-Jul-17,352.20,356.00,346.05,348.35,27148
5-Jul-17,351.95,352.35,348.45,352.15,24236
4-Jul-17,345.05,351.90,344.45,351.90,49781
3-Jul-17,343.00,352.60,341.05,352.60,21978
30-Jun-17,345.40,346.60,341.15,342.30,59101
29-Jun-17,356.00,356.00,343.55,345.05,25688
28-Jun-17,353.70,357.70,350.10,355.70,19605
27-Jun-17,349.95,357.85,348.40,353.70,45259
26-Jun-17,343.00,352.00,342.20,350.00,60963
23-Jun-17,343.50,343.85,339.05,340.00,32120
22-Jun-17,340.55,343.60,338.90,343.60,47463
21-Jun-17,342.05,343.30,338.55,340.95,60789
20-Jun-17,346.95,347.60,339.05,346.70,38641
19-Jun-17,348.95,350.75,344.15,346.40,44302
16-Jun-17,337.30,350.55,337.25,346.10,174221
14-Jun-17,340.00,343.15,337.40,338.00,74236
13-Jun-17,341.05,344.15,338.60,338.60,56052
12-Jun-17,345.00,347.00,338.10,342.40,37666
9-Jun-17,346.55,352.00,344.35,349.00,39004
8-Jun-17,343.50,349.00,343.00,348.25,66344
7-Jun-17,341.00,346.20,337.55,344.70,77307
6-Jun-17,338.20,344.75,331.80,344.75,54744
5-Jun-17,343.15,347.90,339.65,340.00,27401
2-Jun-17,340.95,345.95,338.35,344.00,35187
1-Jun-17,341.00,342.35,336.80,336.80,44820
31-May-17,347.95,348.00,337.05,339.25,112462
30-May-17,348.00,351.00,343.40,345.00,77126
29-May-17,352.75,356.40,352.00,354.00,30836
26-May-17,353.30,357.35,350.00,355.05,52367
25-May-17,348.70,354.95,346.00,353.70,47919
24-May-17,345.00,347.05,341.35,345.60,85626
23-May-17,346.05,350.95,346.05,349.00,111207
22-May-17,346.00,347.95,341.25,347.50,38730
19-May-17,344.20,348.40,342.30,347.00,54890
18-May-17,351.95,352.95,341.30,343.55,90968
17-May-17,344.90,353.45,342.15,349.50,50306
16-May-17,354.05,357.40,344.20,346.75,71015
15-May-17,355.00,357.55,351.05,355.35,19812
12-May-17,353.35,354.70,350.40,352.90,43677
11-May-17,350.70,356.70,350.50,353.35,62955
10-May-17,359.10,360.70,350.35,350.70,66959
9-May-17,356.10,362.80,354.00,360.00,70885
8-May-17,352.85,356.70,348.75,354.10,25323
5-May-17,348.00,354.95,344.90,351.25,105925
4-May-17,360.00,366.50,350.30,350.30,121401
2-May-17,365.00,365.00,354.90,363.85,77560
28-Apr-17,363.00,367.90,356.20,356.20,112298
27-Apr-17,362.90,366.50,360.55,366.10,101718
26-Apr-17,368.00,372.75,358.20,360.20,117262
25-Apr-17,357.95,377.50,349.10,377.30,145002
24-Apr-17,365.00,365.00,352.25,356.40,45446
21-Apr-17,360.95,362.60,352.10,356.70,122892
20-Apr-17,355.65,360.75,352.35,360.75,91307
19-Apr-17,351.95,354.10,345.75,353.85,93455
18-Apr-17,356.95,356.95,349.05,349.05,74310
13-Apr-17,351.05,354.95,350.45,354.00,74909
12-Apr-17,344.95,353.00,344.95,353.00,129397
11-Apr-17,353.90,355.05,338.75,344.20,58508
10-Apr-17,355.30,357.10,352.75,354.00,113468
7-Apr-17,354.90,357.15,351.45,355.00,95360
6-Apr-17,349.00,354.80,347.65,354.80,58424
5-Apr-17,350.50,354.00,347.00,350.00,75786
4-Apr-17,343.30,350.65,343.25,350.50,56656
3-Apr-17,341.00,348.50,341.00,345.50,37553
31-Mar-17,346.10,346.90,342.50,342.50,90564
30-Mar-17,344.10,346.60,344.00,346.60,85216
29-Mar-17,344.20,347.45,342.60,345.80,45230
28-Mar-17,347.50,347.50,342.45,344.50,34659
27-Mar-17,336.60,344.95,336.60,344.50,19823
24-Mar-17,349.45,349.45,340.30,344.50,42634
23-Mar-17,344.00,349.45,336.50,349.45,53334
22-Mar-17,351.95,351.95,342.25,344.95,40443
21-Mar-17,357.00,367.85,351.80,353.10,72747
20-Mar-17,351.80,356.90,349.55,356.90,32247
17-Mar-17,352.80,358.60,349.40,349.40,170472
16-Mar-17,347.20,352.00,346.20,351.50,129477
15-Mar-17,348.95,348.95,343.00,343.85,53714
14-Mar-17,353.05,353.50,347.00,347.50,55850
13-Mar-17,345.05,352.60,343.45,352.60,70845
10-Mar-17,350.00,358.40,341.60,346.00,82386
9-Mar-17,359.30,359.50,345.10,349.95,55789
8-Mar-17,353.00,361.55,349.40,360.15,57024
7-Mar-17,355.00,355.00,348.00,348.00,53197
6-Mar-17,356.50,356.60,348.60,352.00,45841
3-Mar-17,359.05,363.60,357.20,358.00,62483
2-Mar-17,363.30,366.45,359.85,364.35,66658
1-Mar-17,353.90,363.90,353.00,360.60,61042
28-Feb-17,362.75,362.75,351.05,351.05,141862
27-Feb-17,365.95,368.00,360.00,361.00,38415
24-Feb-17,378.45,378.45,361.45,365.00,75111
23-Feb-17,370.90,379.45,370.40,378.50,74180
22-Feb-17,372.00,372.95,363.35,371.00,69210
21-Feb-17,351.30,370.60,350.15,370.60,60528
20-Feb-17,357.45,358.00,350.10,352.80,20022
17-Feb-17,354.95,362.70,351.70,354.85,142366
16-Feb-17,353.35,355.00,350.00,353.45,104154
15-Feb-17,354.95,355.00,349.25,352.60,59743
14-Feb-17,348.50,355.00,347.95,355.00,65142
13-Feb-17,348.70,353.90,345.75,350.00,39313
10-Feb-17,348.85,359.85,347.10,347.10,134270
9-Feb-17,338.20,347.00,338.20,344.00,76891
8-Feb-17,342.10,344.75,336.15,339.85,51072
7-Feb-17,342.00,346.85,340.55,344.75,45883
6-Feb-17,347.15,348.50,342.55,342.55,26726
3-Feb-17,347.00,352.70,344.70,346.90,44119
2-Feb-17,355.00,359.40,347.50,347.50,60692
1-Feb-17,349.75,359.00,346.85,356.00,69386
31-Jan-17,341.70,351.30,338.00,344.50,150937
30-Jan-17,344.45,348.50,336.10,336.10,34041
27-Jan-17,354.95,354.95,346.15,346.15,56013
26-Jan-17,353.05,357.50,350.00,355.00,145765
25-Jan-17,336.00,353.00,335.10,353.00,147243
24-Jan-17,327.15,331.45,321.40,330.00,76190
23-Jan-17,333.95,336.80,325.20,327.05,46438
20-Jan-17,328.05,339.70,328.05,336.40,55776
19-Jan-17,324.00,333.90,324.00,332.00,22178
18-Jan-17,333.95,334.20,324.20,324.30,25408
17-Jan-17,330.00,335.00,324.05,330.80,13472
16-Jan-17,325.85,332.00,315.05,332.00,77679
13-Jan-17,336.45,337.00,328.90,334.40,37738
12-Jan-17,325.15,336.85,325.15,336.85,49786
11-Jan-17,324.15,329.00,322.85,328.10,43716
10-Jan-17,323.85,329.50,323.05,324.05,43494
9-Jan-17,324.00,324.00,319.15,323.90,43896
5-Jan-17,322.70,324.00,318.15,322.50,63378
4-Jan-17,328.80,329.00,320.45,323.15,101470
3-Jan-17,320.05,329.00,319.35,328.40,50488
2-Jan-17,316.55,319.90,312.05,319.90,7678
30-Dec-16,315.05,316.20,313.95,316.00,24470
29-Dec-16,313.50,316.30,313.50,315.90,27401
28-Dec-16,315.05,316.30,310.80,315.50,39976
27-Dec-16,311.00,315.35,309.50,315.35,4156
23-Dec-16,315.05,318.45,309.50,311.50,50701
22-Dec-16,320.75,323.20,312.15,314.00,105271
21-Dec-16,323.50,327.20,321.10,322.00,61187
