b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,292.00,292.90,281.15,292.90,2304
14-Sep-17,296.00,296.00,290.95,292.00,5111
13-Sep-17,295.00,296.00,295.00,295.00,7880
12-Sep-17,294.80,295.00,292.00,295.00,11633
11-Sep-17,296.00,298.00,293.05,294.80,4631
8-Sep-17,298.00,299.00,296.00,296.00,6080
7-Sep-17,294.25,298.00,292.05,295.00,2673
6-Sep-17,295.45,300.55,291.00,292.00,26551
5-Sep-17,285.95,293.00,281.25,291.25,20588
4-Sep-17,282.00,286.00,278.10,286.00,11196
1-Sep-17,283.95,283.95,276.25,278.10,1455
31-Aug-17,279.00,286.00,278.05,286.00,1543
30-Aug-17,286.00,286.00,276.10,283.25,588
29-Aug-17,281.95,286.00,276.00,286.00,751
28-Aug-17,280.00,280.00,276.20,278.00,282
25-Aug-17,276.50,280.00,273.20,280.00,723
24-Aug-17,285.05,285.05,276.00,276.50,3317
23-Aug-17,283.00,286.00,282.50,286.00,142
22-Aug-17,276.50,285.65,276.50,279.00,5994
21-Aug-17,279.00,279.00,276.00,276.30,553
18-Aug-17,279.00,279.90,277.00,278.10,160
17-Aug-17,280.00,280.00,278.05,280.00,457
16-Aug-17,280.00,280.00,277.00,277.00,112
14-Aug-17,279.60,279.60,276.00,278.00,354
11-Aug-17,277.10,283.00,277.00,280.05,339
10-Aug-17,289.00,289.00,287.00,289.00,104
9-Aug-17,290.00,293.70,284.50,284.50,14015
8-Aug-17,276.75,286.00,276.65,285.90,9752
7-Aug-17,278.75,279.00,275.35,278.20,85
4-Aug-17,280.00,280.00,272.50,276.20,3364
3-Aug-17,277.20,279.65,277.20,279.00,3310
2-Aug-17,281.00,284.00,278.00,279.00,634
1-Aug-17,285.00,285.00,278.95,279.00,543
31-Jul-17,287.00,287.00,284.50,285.75,1186
28-Jul-17,286.00,287.00,284.50,287.00,64175
27-Jul-17,286.00,286.00,285.50,286.00,163
26-Jul-17,282.00,286.00,282.00,286.00,880
25-Jul-17,279.00,282.45,277.05,280.00,833
24-Jul-17,288.90,288.90,272.10,277.80,4264
21-Jul-17,285.00,289.50,283.50,285.05,51880
20-Jul-17,292.85,292.85,288.80,289.00,6227
19-Jul-17,291.50,294.15,288.55,291.75,3708
18-Jul-17,296.70,296.70,290.10,291.30,465
17-Jul-17,288.40,295.05,288.40,294.00,4461
14-Jul-17,280.00,287.50,278.10,287.50,30493
13-Jul-17,281.25,282.00,276.20,278.10,13152
12-Jul-17,285.80,286.15,281.00,282.60,1341
11-Jul-17,291.00,291.00,285.35,286.00,1439
10-Jul-17,293.00,293.00,288.00,288.10,586
7-Jul-17,300.00,300.00,295.30,295.50,82
6-Jul-17,295.05,298.00,295.05,295.10,465
5-Jul-17,297.10,298.95,295.00,295.05,521
4-Jul-17,303.00,303.05,297.20,297.30,2551
3-Jul-17,308.05,308.05,303.00,303.00,438
30-Jun-17,304.80,309.00,300.00,309.00,2094
29-Jun-17,300.00,305.00,298.00,305.00,1422
28-Jun-17,304.00,311.95,292.30,300.00,3596
27-Jun-17,314.00,314.00,304.60,308.30,375
26-Jun-17,314.45,314.45,305.20,309.05,179
23-Jun-17,315.50,315.50,304.95,312.95,398
22-Jun-17,312.65,313.75,310.05,313.00,464
21-Jun-17,304.95,315.10,304.05,314.60,905
20-Jun-17,304.00,308.90,304.00,307.00,2666
19-Jun-17,299.45,305.00,299.45,305.00,5261
16-Jun-17,301.90,301.90,291.00,299.45,879
14-Jun-17,306.00,306.00,299.00,299.00,1058
13-Jun-17,306.60,306.60,301.70,302.00,838
12-Jun-17,306.00,307.90,302.70,304.50,693
9-Jun-17,311.00,311.00,305.55,308.00,941
8-Jun-17,313.70,316.00,309.00,309.00,8382
7-Jun-17,321.35,321.35,308.00,309.00,2055
6-Jun-17,324.65,324.65,319.00,320.90,328
5-Jun-17,325.50,325.50,315.00,324.45,372
2-Jun-17,319.00,320.50,318.95,320.50,208
1-Jun-17,329.85,329.85,315.10,318.40,738
31-May-17,313.60,329.95,313.50,329.95,9855
30-May-17,316.45,318.00,311.00,314.95,18289
29-May-17,318.30,318.75,314.80,318.75,687
26-May-17,314.10,320.90,314.10,320.00,496
25-May-17,318.00,318.00,314.15,317.00,319
24-May-17,310.20,316.00,307.45,316.00,3107
23-May-17,312.25,312.25,308.95,312.25,1574
22-May-17,312.20,317.00,312.20,317.00,15079
19-May-17,306.90,311.90,306.85,311.90,240
18-May-17,307.50,308.95,296.00,306.70,1802
17-May-17,309.00,311.95,305.10,310.00,925
16-May-17,323.20,323.20,304.20,308.15,6968
15-May-17,323.95,326.05,320.25,321.90,908
12-May-17,332.00,332.00,321.65,323.95,183
11-May-17,326.00,332.15,321.55,324.10,2018
10-May-17,318.20,326.00,317.00,326.00,2257
9-May-17,330.00,344.90,326.00,326.00,4460
8-May-17,320.00,329.80,316.10,328.00,13217
5-May-17,316.50,318.85,315.00,318.75,629
4-May-17,319.85,319.85,315.00,316.00,3690
2-May-17,310.30,319.90,310.30,319.50,586
28-Apr-17,316.10,316.10,304.05,309.95,2162
27-Apr-17,310.00,311.95,304.00,309.25,1594
26-Apr-17,311.95,312.00,310.15,311.85,1469
25-Apr-17,316.00,316.00,310.10,310.50,789
24-Apr-17,314.00,315.95,309.25,314.00,7714
21-Apr-17,316.10,316.15,308.05,309.25,1931
20-Apr-17,313.50,315.35,311.50,315.35,293
19-Apr-17,312.00,315.20,309.05,314.50,1232
18-Apr-17,314.50,314.50,304.05,308.00,3767
13-Apr-17,305.55,313.00,305.55,305.65,159
12-Apr-17,310.05,310.05,305.50,305.50,227
11-Apr-17,315.85,316.20,306.00,306.00,1001
10-Apr-17,316.65,320.00,312.35,313.00,405
7-Apr-17,312.65,318.70,311.00,317.00,1460
6-Apr-17,310.00,311.80,308.00,310.50,1189
5-Apr-17,312.00,312.00,309.65,310.55,2566
4-Apr-17,310.00,312.60,309.35,309.50,2065
3-Apr-17,304.95,311.30,304.95,310.00,1139
31-Mar-17,310.95,310.95,304.00,305.00,333
30-Mar-17,306.80,306.80,303.50,305.05,548
29-Mar-17,309.45,313.60,306.80,307.00,2925
28-Mar-17,303.85,311.00,303.85,305.10,390
27-Mar-17,302.15,305.25,302.15,303.50,7672
24-Mar-17,306.45,306.45,300.40,301.95,4348
23-Mar-17,305.50,310.00,305.50,306.45,3364
22-Mar-17,305.50,311.45,302.20,305.50,3365
21-Mar-17,311.25,314.25,308.00,308.00,947
20-Mar-17,319.00,319.00,303.40,313.00,3585
17-Mar-17,324.50,325.10,313.25,314.55,1325
16-Mar-17,319.95,327.00,317.00,324.90,1227
15-Mar-17,304.00,315.35,304.00,311.10,728
14-Mar-17,309.95,309.95,302.00,304.95,512
