b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,280.00,282.90,274.45,278.30,144766
14-Sep-17,281.40,283.95,278.15,280.00,49688
13-Sep-17,278.90,288.25,275.90,279.60,102601
12-Sep-17,272.00,277.95,271.95,277.55,70637
11-Sep-17,274.00,275.30,270.65,271.80,55319
8-Sep-17,272.00,273.35,269.80,273.00,76235
7-Sep-17,275.00,278.30,268.15,272.25,225725
6-Sep-17,283.00,291.15,283.00,288.85,56793
5-Sep-17,288.00,294.25,287.10,287.10,84867
4-Sep-17,270.00,285.50,269.00,285.30,160919
1-Sep-17,265.00,271.15,262.70,271.00,89028
31-Aug-17,267.20,269.50,259.00,262.20,101062
30-Aug-17,263.00,266.00,260.00,263.90,80323
29-Aug-17,265.05,266.90,255.00,259.55,54992
28-Aug-17,255.00,265.00,254.30,264.90,49674
25-Aug-17,255.00,258.50,252.50,254.50,36233
24-Aug-17,247.00,254.95,247.00,254.95,32095
23-Aug-17,250.00,251.40,246.70,248.75,17212
22-Aug-17,248.30,252.90,246.00,251.45,19575
21-Aug-17,249.90,249.90,244.60,248.30,23557
18-Aug-17,247.40,249.90,242.00,248.45,30651
17-Aug-17,249.00,250.75,244.20,244.20,40584
16-Aug-17,251.00,251.95,247.10,249.00,40887
14-Aug-17,254.00,254.60,249.85,251.90,39289
11-Aug-17,248.00,248.00,243.00,244.90,32545
10-Aug-17,250.10,256.90,247.00,249.15,26985
9-Aug-17,251.35,252.35,249.30,251.35,30910
8-Aug-17,251.70,252.30,249.15,251.10,13170
7-Aug-17,249.20,252.60,248.00,250.65,22914
4-Aug-17,247.25,251.00,247.25,251.00,23147
3-Aug-17,249.05,250.40,246.40,246.40,40495
2-Aug-17,249.00,252.60,246.00,247.95,52451
1-Aug-17,244.85,251.00,243.00,250.70,126814
31-Jul-17,233.50,244.40,233.50,244.00,82530
28-Jul-17,235.60,238.00,234.05,237.90,57495
27-Jul-17,234.30,237.30,233.80,236.70,38796
26-Jul-17,230.00,234.00,230.00,233.65,29076
25-Jul-17,231.30,232.35,226.55,230.00,75496
24-Jul-17,235.00,237.10,230.95,232.90,44430
21-Jul-17,227.65,236.15,226.80,235.00,71565
20-Jul-17,232.00,232.00,226.40,227.50,59533
19-Jul-17,229.90,231.05,227.80,231.00,53602
18-Jul-17,231.70,231.70,227.95,229.30,20015
17-Jul-17,229.85,232.20,229.10,231.00,52117
14-Jul-17,227.80,228.50,222.75,228.40,80413
13-Jul-17,233.65,233.65,225.75,226.10,58147
12-Jul-17,233.90,233.95,230.45,233.85,93761
11-Jul-17,235.05,235.15,230.25,233.40,64986
10-Jul-17,239.90,239.90,231.25,234.90,91243
7-Jul-17,233.00,239.90,230.30,238.30,92174
6-Jul-17,235.60,235.90,233.00,235.60,74247
5-Jul-17,233.35,235.70,231.05,235.60,70221
4-Jul-17,231.05,234.90,229.80,230.90,65666
3-Jul-17,226.85,231.40,226.30,231.00,75583
30-Jun-17,227.95,227.95,223.00,225.00,76351
29-Jun-17,230.00,230.85,224.00,226.85,56332
28-Jun-17,228.60,230.85,228.15,230.00,21990
27-Jun-17,226.90,230.90,225.10,229.40,54654
26-Jun-17,225.00,228.95,222.30,225.00,51586
23-Jun-17,224.95,225.00,220.80,222.05,43902
22-Jun-17,223.95,226.10,222.90,225.00,39779
21-Jun-17,224.80,225.45,220.45,224.20,91006
20-Jun-17,225.05,226.75,222.40,226.25,63869
19-Jun-17,219.25,225.35,218.70,224.55,89902
16-Jun-17,217.45,219.45,214.90,217.25,100576
14-Jun-17,215.00,218.50,214.05,217.45,127884
13-Jun-17,213.40,218.60,213.40,215.00,40676
12-Jun-17,216.05,216.25,213.40,213.50,34683
9-Jun-17,214.75,216.90,213.35,216.20,74994
8-Jun-17,214.00,216.50,212.05,214.50,100121
7-Jun-17,213.55,216.10,212.25,214.00,140272
6-Jun-17,219.00,219.05,213.10,216.95,99516
5-Jun-17,221.00,222.00,219.35,219.40,40105
2-Jun-17,213.00,222.00,212.85,220.50,90483
1-Jun-17,210.05,215.90,210.05,211.80,110767
31-May-17,211.35,211.35,208.65,210.00,232890
30-May-17,212.55,214.00,208.55,210.00,81819
29-May-17,212.10,214.00,211.30,212.10,41297
26-May-17,213.55,214.85,212.00,212.10,63189
25-May-17,222.85,223.95,205.50,212.10,165495
24-May-17,224.20,226.90,219.20,220.75,78972
23-May-17,220.95,226.30,219.00,225.60,113640
22-May-17,216.50,221.00,214.65,221.00,59458
19-May-17,210.55,217.30,210.55,216.95,82411
18-May-17,213.60,214.50,206.00,209.85,49600
17-May-17,209.40,214.75,207.55,212.40,176879
16-May-17,204.10,209.30,204.10,209.30,159505
15-May-17,211.50,213.35,204.05,206.80,144769
12-May-17,215.00,222.95,212.95,218.00,80101
11-May-17,221.00,221.00,215.00,216.00,91602
10-May-17,223.70,224.00,218.35,220.00,51552
9-May-17,220.30,223.00,218.40,223.00,125839
8-May-17,223.55,224.20,220.20,221.80,63698
5-May-17,223.00,225.10,221.25,223.20,51924
4-May-17,227.00,227.50,218.70,223.00,188412
2-May-17,227.50,229.75,224.50,227.50,73967
28-Apr-17,227.20,227.20,222.80,224.40,101947
27-Apr-17,228.00,228.00,226.00,226.80,31100
26-Apr-17,231.70,232.50,225.00,228.00,44742
25-Apr-17,226.55,232.30,225.75,229.60,52299
24-Apr-17,224.00,228.00,224.00,226.10,60706
21-Apr-17,228.00,230.00,220.85,223.55,40936
20-Apr-17,226.05,227.65,224.60,227.40,70248
19-Apr-17,224.50,225.90,222.00,224.80,81483
18-Apr-17,228.40,232.65,224.05,224.05,34170
13-Apr-17,229.05,230.00,228.25,229.85,18479
12-Apr-17,229.00,232.20,228.05,228.75,40184
11-Apr-17,230.05,234.20,225.80,226.20,59358
10-Apr-17,234.00,234.15,230.00,231.55,15459
7-Apr-17,231.00,234.10,230.00,230.00,43328
6-Apr-17,233.55,234.95,229.45,231.00,24118
5-Apr-17,234.95,238.00,233.20,235.00,39369
4-Apr-17,237.25,237.25,233.50,234.95,31046
3-Apr-17,239.25,243.45,230.15,237.30,117341
31-Mar-17,229.80,239.45,229.00,238.00,107242
30-Mar-17,225.00,230.90,223.95,230.90,78518
29-Mar-17,225.45,225.50,223.00,224.70,72376
28-Mar-17,220.05,226.35,220.05,225.00,100378
27-Mar-17,228.00,233.90,227.15,229.40,55322
24-Mar-17,235.05,239.00,225.35,229.75,51846
23-Mar-17,232.45,238.90,232.00,235.90,26407
22-Mar-17,233.40,234.30,223.80,234.00,70676
21-Mar-17,241.00,244.50,234.05,235.00,87751
20-Mar-17,237.95,245.50,236.15,241.50,65040
17-Mar-17,242.20,246.95,237.00,237.00,262276
16-Mar-17,239.90,249.00,239.70,243.90,76618
15-Mar-17,237.60,240.00,237.60,238.50,141007
14-Mar-17,240.75,240.75,237.20,237.60,112196
13-Mar-17,238.95,240.65,234.80,239.50,269977
10-Mar-17,236.95,242.10,235.60,239.00,173365
9-Mar-17,229.70,235.00,226.50,235.00,172262
8-Mar-17,228.00,230.00,225.05,230.00,39174
7-Mar-17,227.50,228.00,225.15,226.50,67539
6-Mar-17,230.50,230.50,225.15,227.90,36152
3-Mar-17,229.00,230.10,226.85,230.10,77761
2-Mar-17,229.45,230.50,227.15,229.45,109796
1-Mar-17,223.95,229.90,222.00,229.45,164150
28-Feb-17,224.00,225.50,218.15,225.50,138246
27-Feb-17,225.05,225.95,218.50,225.50,75416
24-Feb-17,218.00,224.90,215.25,224.90,98451
23-Feb-17,217.00,218.00,215.00,218.00,52561
22-Feb-17,216.50,216.80,213.80,216.80,48820
21-Feb-17,214.35,216.95,212.00,216.00,128054
20-Feb-17,213.00,214.40,211.20,213.35,15952
17-Feb-17,216.40,218.45,210.50,212.00,74954
16-Feb-17,216.60,218.40,214.05,217.00,92628
15-Feb-17,215.70,216.35,213.05,215.40,68329
14-Feb-17,212.45,216.60,212.15,214.25,77045
13-Feb-17,216.15,216.75,210.60,213.10,60716
10-Feb-17,215.60,217.40,211.10,215.20,34972
9-Feb-17,215.75,217.00,213.20,217.00,48700
8-Feb-17,211.10,216.65,209.25,215.00,57901
7-Feb-17,207.45,212.30,205.65,211.10,42835
6-Feb-17,202.35,208.00,201.50,207.45,50345
3-Feb-17,202.75,205.10,201.05,203.45,27540
2-Feb-17,204.00,206.40,202.00,204.50,60135
