b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,106.40,107.00,102.50,103.90,1045428
14-Sep-17,107.00,109.30,105.00,106.60,369692
13-Sep-17,104.60,109.60,102.55,107.00,536512
12-Sep-17,101.45,106.60,98.01,104.60,655504
11-Sep-17,96.20,100.80,96.20,100.00,874801
8-Sep-17,90.50,95.25,90.20,94.65,870937
7-Sep-17,86.10,90.01,86.10,90.01,926848
6-Sep-17,83.80,84.39,81.40,82.01,190341
5-Sep-17,85.30,86.61,82.32,83.80,230563
4-Sep-17,84.10,86.00,83.03,85.55,112568
1-Sep-17,84.13,84.82,82.81,84.20,215247
31-Aug-17,82.00,84.13,82.00,83.40,228526
30-Aug-17,81.87,82.88,80.62,81.01,178137
29-Aug-17,84.99,84.99,80.04,80.52,334123
28-Aug-17,84.90,84.99,84.25,84.40,67552
25-Aug-17,85.00,85.60,84.10,84.90,68804
24-Aug-17,84.90,85.00,84.50,84.80,55004
23-Aug-17,85.98,85.98,84.20,84.71,347702
22-Aug-17,86.50,87.00,84.50,85.06,134068
21-Aug-17,86.20,86.99,85.79,86.50,50827
18-Aug-17,86.60,86.80,85.50,86.50,34410
17-Aug-17,86.98,87.20,86.10,86.80,175867
16-Aug-17,85.00,87.20,84.34,87.00,109510
14-Aug-17,84.00,84.78,83.22,84.61,37609
11-Aug-17,84.00,84.44,83.10,84.00,95120
10-Aug-17,84.20,86.10,84.11,84.84,52960
9-Aug-17,85.00,85.00,84.13,84.20,69144
8-Aug-17,86.19,86.78,84.02,84.81,112646
7-Aug-17,86.20,86.60,85.51,85.70,85541
4-Aug-17,85.00,86.87,85.00,85.32,76422
3-Aug-17,86.10,86.48,85.01,85.65,102464
2-Aug-17,87.24,87.99,86.00,86.69,108079
1-Aug-17,86.80,87.45,86.27,87.20,73552
31-Jul-17,88.00,88.00,85.82,86.50,110562
28-Jul-17,88.00,88.00,85.50,86.78,86920
27-Jul-17,87.50,88.50,87.00,87.39,104058
26-Jul-17,87.66,88.00,86.70,87.28,74539
25-Jul-17,87.00,88.20,84.05,87.20,125057
24-Jul-17,87.00,87.20,86.58,87.00,75549
21-Jul-17,86.49,88.00,86.49,87.00,135020
20-Jul-17,83.20,86.49,83.20,86.49,225986
19-Jul-17,82.39,83.20,82.20,83.20,71823
18-Jul-17,81.11,82.59,81.11,82.50,104374
17-Jul-17,82.64,82.64,81.25,81.91,71453
14-Jul-17,83.70,83.70,81.10,81.85,79306
13-Jul-17,83.00,83.40,82.20,83.40,162257
12-Jul-17,81.03,82.90,81.03,82.79,85819
11-Jul-17,82.00,82.89,80.62,81.03,105729
10-Jul-17,79.90,81.89,79.90,81.40,86082
7-Jul-17,81.10,81.99,79.70,79.70,82170
6-Jul-17,82.70,82.70,80.43,81.50,321310
5-Jul-17,83.63,83.89,78.02,82.70,506062
4-Jul-17,85.31,85.31,83.21,83.63,71421
3-Jul-17,86.04,86.10,84.51,85.31,156263
30-Jun-17,85.95,86.49,85.01,86.04,97600
29-Jun-17,85.51,86.00,85.34,86.00,60258
28-Jun-17,86.00,86.76,85.50,85.50,112065
27-Jun-17,86.20,86.86,85.21,86.00,108802
26-Jun-17,83.35,86.00,83.35,86.00,204122
23-Jun-17,82.50,83.80,82.50,83.62,45848
22-Jun-17,82.70,84.18,82.50,82.50,207983
21-Jun-17,83.78,84.25,82.58,82.96,193493
20-Jun-17,84.00,84.39,82.51,83.37,130359
19-Jun-17,83.80,84.50,83.50,83.99,161372
16-Jun-17,81.30,83.98,81.30,82.60,151045
14-Jun-17,83.99,84.89,81.74,81.74,243343
13-Jun-17,80.60,84.00,80.50,83.99,399841
12-Jun-17,81.99,81.99,80.05,81.70,237484
9-Jun-17,81.60,82.89,80.51,82.22,266929
8-Jun-17,80.58,81.85,79.50,81.69,235180
7-Jun-17,80.50,81.98,78.62,80.20,194476
6-Jun-17,78.10,80.00,76.80,80.00,355533
5-Jun-17,82.48,83.00,80.00,80.00,195868
2-Jun-17,82.20,82.89,81.00,82.00,239235
1-Jun-17,78.90,82.00,78.20,82.00,505589
31-May-17,77.07,78.99,76.34,78.93,499969
30-May-17,74.78,78.49,74.50,77.60,603892
29-May-17,72.80,74.72,72.21,74.50,367008
26-May-17,73.85,74.49,72.33,73.00,163910
25-May-17,74.01,75.90,73.60,73.60,505912
24-May-17,70.20,72.90,70.20,71.49,658186
23-May-17,69.49,69.49,67.95,69.00,169572
22-May-17,66.50,69.48,66.50,68.90,234094
19-May-17,66.15,66.59,65.56,66.19,179344
18-May-17,65.55,66.71,64.50,65.50,196594
17-May-17,66.00,66.25,64.50,65.60,223115
16-May-17,66.11,67.54,66.00,66.33,147673
15-May-17,68.80,68.80,66.63,67.10,199121
12-May-17,67.26,68.49,67.10,67.30,92269
11-May-17,68.92,69.20,67.53,68.01,75696
10-May-17,66.00,68.74,65.65,68.74,207352
9-May-17,66.58,67.49,65.62,66.00,192903
8-May-17,68.00,68.50,66.50,66.50,88085
5-May-17,66.20,68.49,66.04,67.41,188579
4-May-17,69.98,70.28,66.03,67.63,177668
2-May-17,68.47,71.20,67.81,69.00,176851
28-Apr-17,67.69,68.15,67.40,67.79,192905
27-Apr-17,65.00,67.63,64.71,67.44,169395
26-Apr-17,65.50,65.50,63.50,65.10,333714
25-Apr-17,67.00,67.40,64.90,65.80,270967
24-Apr-17,67.30,67.85,65.80,66.75,130870
21-Apr-17,68.58,69.20,66.55,66.71,237758
20-Apr-17,71.00,71.90,68.10,68.61,188586
19-Apr-17,67.00,70.05,66.80,70.05,227936
18-Apr-17,65.30,68.89,65.03,66.50,315206
13-Apr-17,66.30,66.88,62.21,64.80,508057
12-Apr-17,65.91,67.80,65.90,66.25,420625
11-Apr-17,69.00,69.64,65.78,66.40,945384
10-Apr-17,71.80,72.00,68.69,68.91,288361
7-Apr-17,72.25,72.47,71.00,72.00,114318
6-Apr-17,70.50,73.50,70.50,72.25,113951
5-Apr-17,73.80,74.78,73.29,73.30,124212
4-Apr-17,73.40,74.40,73.40,73.69,88390
3-Apr-17,74.89,74.89,73.41,73.78,90891
31-Mar-17,75.50,75.79,73.70,74.20,136353
30-Mar-17,74.55,77.29,73.02,74.50,385369
29-Mar-17,73.20,73.98,72.50,72.61,122937
28-Mar-17,74.66,75.25,72.60,73.20,171531
27-Mar-17,74.51,75.60,73.65,74.10,81060
24-Mar-17,75.75,76.25,74.78,75.70,107131
23-Mar-17,73.51,76.30,73.51,75.76,102956
22-Mar-17,75.40,75.40,72.50,73.90,278182
21-Mar-17,76.49,76.49,75.49,76.28,190343
20-Mar-17,77.00,77.40,76.00,76.49,137332
17-Mar-17,76.50,77.00,76.00,77.00,234450
16-Mar-17,75.20,76.40,74.90,76.00,182911
15-Mar-17,74.50,75.99,73.57,73.98,295806
14-Mar-17,73.50,74.10,73.10,74.10,163230
13-Mar-17,73.70,74.09,72.18,73.00,126023
10-Mar-17,72.50,74.36,72.50,73.18,130422
9-Mar-17,73.18,73.20,71.18,72.50,131812
8-Mar-17,73.50,74.00,72.10,73.18,229671
7-Mar-17,70.80,73.90,68.61,73.27,413516
6-Mar-17,73.00,73.28,71.05,71.10,150604
3-Mar-17,73.98,74.00,72.50,73.00,139002
2-Mar-17,74.50,75.94,73.00,73.68,227187
1-Mar-17,71.00,74.15,70.55,74.10,347862
28-Feb-17,72.50,73.00,66.10,70.45,1000402
27-Feb-17,71.00,72.80,70.99,72.20,202823
24-Feb-17,74.84,75.00,70.41,71.00,316903
23-Feb-17,73.50,75.18,72.80,74.34,187370
22-Feb-17,77.00,77.76,71.12,72.60,505657
21-Feb-17,69.90,74.45,69.89,74.23,316980
20-Feb-17,69.49,69.90,69.30,69.90,112322
17-Feb-17,69.50,70.00,69.20,69.20,147002
16-Feb-17,69.60,69.60,69.00,69.50,109289
15-Feb-17,69.70,69.70,68.61,69.50,108956
14-Feb-17,69.50,70.11,68.50,69.30,160414
13-Feb-17,67.00,69.49,67.00,69.44,231554
10-Feb-17,64.90,67.33,64.69,66.66,253378
9-Feb-17,64.80,65.09,64.10,64.69,184739
8-Feb-17,61.80,65.98,61.80,63.50,375168
7-Feb-17,59.99,61.80,59.88,61.80,215361
6-Feb-17,58.80,59.98,58.80,59.70,126051
3-Feb-17,59.00,59.38,58.27,58.77,98060
2-Feb-17,59.00,59.83,57.62,59.00,250409
1-Feb-17,58.90,59.49,58.80,59.00,113341
31-Jan-17,58.80,58.95,57.50,58.65,125858
30-Jan-17,59.00,59.16,58.75,59.00,106573
27-Jan-17,59.69,59.69,58.52,59.25,75201
26-Jan-17,60.00,60.10,59.00,59.51,240055
25-Jan-17,59.50,60.18,58.63,59.63,128595
24-Jan-17,59.20,59.56,58.20,59.50,133411
23-Jan-17,58.61,60.50,57.21,59.15,347712
20-Jan-17,56.59,58.49,56.30,58.44,240893
19-Jan-17,55.10,56.23,54.91,56.23,249944
18-Jan-17,55.59,55.59,54.82,55.07,142877
17-Jan-17,55.25,55.49,54.76,55.16,164311
16-Jan-17,53.91,55.37,53.91,54.99,159824
13-Jan-17,55.50,55.70,53.25,53.91,170346
12-Jan-17,54.99,56.13,54.58,54.85,269707
11-Jan-17,53.19,55.88,53.19,54.45,395581
10-Jan-17,52.20,53.80,52.20,53.00,186092
9-Jan-17,52.25,52.69,51.53,52.69,130706
