b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,70.11,71.30,70.11,71.30,24267
14-Sep-17,69.75,70.75,69.75,70.11,20716
13-Sep-17,68.88,69.70,68.88,69.66,18024
12-Sep-17,68.99,68.99,68.06,68.93,2456
11-Sep-17,68.50,68.86,68.10,68.13,330
8-Sep-17,67.50,68.00,67.50,68.00,226
7-Sep-17,67.47,67.75,67.27,67.27,166
6-Sep-17,67.67,67.67,67.32,67.63,490
5-Sep-17,68.00,68.00,67.63,67.63,3409
4-Sep-17,68.25,68.68,67.85,68.00,11791
1-Sep-17,69.31,69.31,67.42,68.23,5270
31-Aug-17,68.20,68.20,67.40,67.95,420
30-Aug-17,68.34,69.21,68.31,68.38,768
29-Aug-17,69.10,69.18,68.00,68.00,9880
28-Aug-17,69.00,69.50,69.00,69.50,15333
25-Aug-17,69.50,69.69,68.81,68.81,424
24-Aug-17,69.98,69.98,69.03,69.03,1115
23-Aug-17,69.74,69.98,69.74,69.75,3357
22-Aug-17,69.30,69.77,69.25,69.74,3533
21-Aug-17,69.38,69.55,69.17,69.55,7327
18-Aug-17,68.97,69.49,68.78,69.10,6592
17-Aug-17,68.00,68.99,68.00,68.98,3306
16-Aug-17,66.80,68.88,66.80,68.29,10302
14-Aug-17,67.45,68.09,67.45,67.53,5874
11-Aug-17,67.70,67.97,67.00,67.45,1205
10-Aug-17,67.80,68.20,67.00,67.01,36352
9-Aug-17,67.97,67.98,67.28,67.28,4227
8-Aug-17,65.90,67.64,65.90,67.50,50244
7-Aug-17,64.65,65.25,64.64,65.25,505
4-Aug-17,64.94,65.03,64.63,64.63,463
3-Aug-17,65.26,65.26,64.95,65.18,337
2-Aug-17,65.08,65.08,64.82,64.82,9858
1-Aug-17,65.52,65.52,64.88,64.88,251
31-Jul-17,65.99,65.99,64.76,65.09,313
28-Jul-17,64.87,65.65,64.87,65.01,1528
27-Jul-17,65.30,65.30,64.47,64.47,4692
26-Jul-17,65.35,65.50,65.35,65.39,557
25-Jul-17,65.10,65.32,64.80,65.30,936
24-Jul-17,66.17,66.17,65.10,65.10,3341
21-Jul-17,65.00,66.11,64.99,66.11,6068
20-Jul-17,64.87,64.99,64.46,64.46,425
19-Jul-17,64.49,64.63,64.22,64.63,287
18-Jul-17,64.43,65.00,64.39,64.52,251
17-Jul-17,64.70,64.73,64.37,64.37,240
14-Jul-17,64.60,64.73,64.30,64.37,995
13-Jul-17,64.76,64.85,64.60,64.79,494
12-Jul-17,64.45,64.99,64.45,64.60,310
11-Jul-17,64.46,64.57,64.10,64.10,645
10-Jul-17,64.01,64.83,64.01,64.46,375
7-Jul-17,64.45,64.50,63.48,64.50,4505
6-Jul-17,64.50,64.60,64.45,64.45,117
5-Jul-17,64.97,64.97,64.39,64.39,60
