b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,64.45,67.73,64.30,67.01,204249
14-Sep-17,64.50,65.00,64.01,64.30,161583
13-Sep-17,64.00,64.50,63.20,64.50,209348
12-Sep-17,64.23,64.70,63.90,64.45,102172
11-Sep-17,63.84,64.75,63.84,64.23,165174
8-Sep-17,63.55,64.35,62.79,63.84,141428
7-Sep-17,64.60,65.00,62.76,63.49,112694
6-Sep-17,65.25,65.25,64.02,64.59,46317
5-Sep-17,65.50,65.96,64.03,64.35,106558
4-Sep-17,65.40,66.28,64.00,65.55,140969
1-Sep-17,62.80,65.44,62.80,65.06,145555
31-Aug-17,62.00,63.45,61.85,62.73,186799
30-Aug-17,60.90,62.17,60.30,62.15,156001
29-Aug-17,60.80,60.95,60.10,60.33,53541
28-Aug-17,60.00,60.57,60.00,60.55,19066
25-Aug-17,61.95,62.03,59.92,60.00,125349
24-Aug-17,61.01,62.19,61.00,62.00,70405
23-Aug-17,61.00,61.90,60.95,60.95,26862
22-Aug-17,60.20,61.34,60.00,61.00,52753
21-Aug-17,60.20,60.29,59.58,60.19,33664
18-Aug-17,61.00,61.38,59.61,60.00,65534
17-Aug-17,61.00,61.99,60.22,60.85,66503
16-Aug-17,62.30,62.49,60.55,61.00,58084
14-Aug-17,62.00,62.49,61.03,61.90,57967
11-Aug-17,61.00,62.21,59.63,61.32,93816
10-Aug-17,62.50,62.50,61.00,61.14,118541
9-Aug-17,63.30,63.68,61.88,62.50,108279
8-Aug-17,64.05,64.50,62.96,63.28,148978
7-Aug-17,63.44,64.35,62.70,64.00,116075
4-Aug-17,62.64,63.29,61.88,63.10,99484
3-Aug-17,60.36,62.50,60.36,62.50,135511
2-Aug-17,59.69,61.40,59.44,60.36,81523
1-Aug-17,58.00,59.47,57.40,59.14,151230
31-Jul-17,57.40,58.70,57.30,57.80,147769
28-Jul-17,57.57,58.16,57.38,57.40,75362
27-Jul-17,60.60,60.71,57.40,57.88,130895
26-Jul-17,60.43,60.85,60.38,60.59,51171
25-Jul-17,61.00,61.13,60.10,60.11,58261
24-Jul-17,61.20,61.49,60.80,61.00,26656
21-Jul-17,61.55,61.83,61.20,61.20,27357
20-Jul-17,62.22,63.23,61.43,61.50,33860
19-Jul-17,62.50,62.50,61.65,62.23,50570
18-Jul-17,64.88,64.88,61.55,62.35,69569
17-Jul-17,65.35,65.84,64.22,64.74,26245
14-Jul-17,63.85,65.50,63.81,65.19,132796
13-Jul-17,62.70,63.50,61.62,63.50,74345
12-Jul-17,62.37,62.90,61.02,62.51,76234
11-Jul-17,62.90,63.04,60.62,61.74,112619
10-Jul-17,64.00,64.00,62.43,62.48,83551
7-Jul-17,61.84,64.19,61.01,63.80,74666
6-Jul-17,61.42,61.93,60.10,61.84,161378
5-Jul-17,60.70,62.24,59.10,61.38,212088
4-Jul-17,61.01,61.13,59.10,60.00,86473
3-Jul-17,61.16,61.74,60.60,61.26,12642
30-Jun-17,62.01,62.40,60.53,61.05,97788
29-Jun-17,61.16,62.00,60.70,62.00,55756
28-Jun-17,62.05,62.84,61.04,61.07,44655
27-Jun-17,63.80,63.90,62.07,62.11,39002
26-Jun-17,62.67,63.94,62.67,63.61,22295
23-Jun-17,63.05,63.62,62.38,62.50,65719
22-Jun-17,63.50,63.50,62.02,62.60,41440
21-Jun-17,64.00,64.19,61.30,63.42,62092
20-Jun-17,64.20,64.30,63.20,63.72,34514
19-Jun-17,63.00,64.72,62.91,64.00,37952
16-Jun-17,64.16,64.82,62.62,62.62,29096
14-Jun-17,66.41,66.65,62.75,64.16,47895
13-Jun-17,65.32,66.79,65.30,66.14,30586
12-Jun-17,66.00,66.78,65.21,65.37,33732
9-Jun-17,68.21,69.48,65.01,65.21,75782
8-Jun-17,68.30,69.59,67.66,68.06,53469
7-Jun-17,70.50,70.50,67.24,68.86,87065
6-Jun-17,68.50,70.50,68.50,70.44,39582
5-Jun-17,68.60,69.35,68.36,69.00,14068
2-Jun-17,69.75,70.59,69.01,69.59,39777
1-Jun-17,67.80,69.89,67.80,69.69,43437
31-May-17,70.50,70.53,67.55,67.55,76664
30-May-17,69.60,70.37,69.28,70.37,8762
29-May-17,70.60,70.65,69.51,69.75,6292
26-May-17,70.29,70.65,69.63,70.65,21753
25-May-17,69.90,70.68,69.69,69.97,55314
24-May-17,70.68,72.29,69.00,69.00,40547
23-May-17,72.27,73.20,70.20,70.65,46343
22-May-17,74.50,76.20,72.02,72.20,99224
19-May-17,71.15,74.90,70.64,74.61,92084
18-May-17,72.00,72.30,69.00,71.20,59573
17-May-17,72.40,72.99,72.01,72.19,38466
16-May-17,72.50,73.40,71.12,72.60,112070
15-May-17,74.50,74.53,72.50,74.00,68284
12-May-17,75.25,76.27,74.04,74.50,76453
11-May-17,74.94,76.69,74.04,74.60,88858
10-May-17,73.00,74.94,72.88,74.94,115242
9-May-17,75.00,75.50,72.21,73.42,78093
8-May-17,78.70,78.70,74.11,75.68,68008
5-May-17,79.60,79.72,78.02,78.54,75580
4-May-17,80.00,80.00,78.78,79.50,146922
2-May-17,78.90,80.00,77.85,79.67,34293
28-Apr-17,77.91,78.90,77.61,77.61,42490
27-Apr-17,77.70,78.95,77.64,78.39,95557
26-Apr-17,78.50,78.79,77.67,77.70,27677
25-Apr-17,78.50,78.80,78.01,78.50,123927
24-Apr-17,78.50,78.65,77.35,78.20,60634
21-Apr-17,77.78,78.95,76.86,77.75,94346
20-Apr-17,77.50,77.98,76.56,77.33,87850
19-Apr-17,79.05,79.05,76.55,76.70,41881
18-Apr-17,79.19,79.21,78.23,78.94,35092
13-Apr-17,78.00,79.21,77.48,78.40,38714
12-Apr-17,79.16,79.21,78.51,78.61,57867
11-Apr-17,79.50,80.00,78.60,78.82,107573
10-Apr-17,79.50,79.90,78.61,79.00,35163
7-Apr-17,79.80,81.00,77.90,79.00,84045
6-Apr-17,77.16,80.20,77.16,80.00,57624
5-Apr-17,77.89,80.23,77.09,80.23,94359
4-Apr-17,78.16,78.23,76.15,77.00,95796
3-Apr-17,79.98,80.00,77.40,78.00,44293
31-Mar-17,79.85,80.91,79.14,80.00,76990
30-Mar-17,80.05,80.05,79.57,79.87,16904
29-Mar-17,80.00,80.90,79.50,80.08,34333
28-Mar-17,79.50,80.44,79.50,79.95,38159
27-Mar-17,80.00,80.54,79.42,79.50,81354
24-Mar-17,81.49,81.49,80.60,81.13,22196
23-Mar-17,81.00,81.36,80.16,81.00,23523
22-Mar-17,79.10,80.76,78.77,80.76,46955
21-Mar-17,79.80,80.98,79.30,80.70,94587
20-Mar-17,80.90,83.94,77.20,80.75,149706
17-Mar-17,83.00,84.68,81.13,82.70,141831
16-Mar-17,81.50,82.98,81.50,82.63,90331
15-Mar-17,79.95,81.50,79.52,81.50,75797
14-Mar-17,79.00,80.00,78.51,79.35,120059
13-Mar-17,77.50,78.51,76.19,78.51,101412
10-Mar-17,77.40,77.50,77.00,77.31,67050
