b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,1.21,1.22,1.15,1.16,1984758
14-Sep-17,1.23,1.25,1.20,1.21,570698
13-Sep-17,1.22,1.26,1.20,1.22,1466064
12-Sep-17,1.23,1.24,1.17,1.21,3290711
11-Sep-17,1.28,1.30,1.21,1.23,2544480
8-Sep-17,1.33,1.38,1.23,1.27,11778046
7-Sep-17,1.14,1.18,1.12,1.16,2976388
6-Sep-17,1.06,1.19,1.06,1.13,5231404
5-Sep-17,1.03,1.05,1.02,1.05,731055
4-Sep-17,1.04,1.05,1.02,1.02,578452
1-Sep-17,1.04,1.06,1.03,1.05,439120
31-Aug-17,1.06,1.07,1.04,1.05,1091760
30-Aug-17,1.02,1.08,1.01,1.05,3531537
29-Aug-17,0.98,1.01,0.95,0.99,2567268
28-Aug-17,1.11,1.13,0.99,0.99,5427298
25-Aug-17,1.16,1.17,1.11,1.13,3452153
24-Aug-17,1.18,1.20,1.14,1.17,1956585
23-Aug-17,1.16,1.20,1.16,1.18,688951
22-Aug-17,1.20,1.23,1.16,1.16,1255909
21-Aug-17,1.15,1.19,1.14,1.19,900325
18-Aug-17,1.20,1.20,1.15,1.16,1811761
17-Aug-17,1.23,1.23,1.20,1.20,489567
16-Aug-17,1.23,1.29,1.20,1.21,2417928
14-Aug-17,1.19,1.27,1.19,1.22,2356909
11-Aug-17,1.19,1.23,1.14,1.20,3273672
10-Aug-17,1.26,1.27,1.19,1.20,4010568
9-Aug-17,1.28,1.30,1.23,1.26,2769795
8-Aug-17,1.36,1.38,1.28,1.29,3942233
7-Aug-17,1.33,1.42,1.30,1.34,6726215
4-Aug-17,1.35,1.50,1.27,1.29,15364974
3-Aug-17,1.19,1.35,1.18,1.34,11078934
2-Aug-17,1.13,1.22,1.10,1.19,8017543
1-Aug-17,1.04,1.12,1.04,1.12,4687080
31-Jul-17,1.01,1.05,1.00,1.03,2300883
28-Jul-17,1.06,1.10,1.00,1.00,6882711
27-Jul-17,0.92,1.07,0.90,1.01,8383726
26-Jul-17,0.91,0.92,0.90,0.92,536026
25-Jul-17,0.93,0.93,0.90,0.91,741676
24-Jul-17,0.92,0.93,0.91,0.92,218729
21-Jul-17,0.93,0.95,0.91,0.92,788368
20-Jul-17,0.91,0.95,0.90,0.93,1038706
19-Jul-17,0.94,0.94,0.90,0.91,1378164
18-Jul-17,0.95,0.96,0.91,0.93,999813
17-Jul-17,0.94,0.96,0.93,0.95,417472
14-Jul-17,0.97,0.97,0.93,0.94,853219
13-Jul-17,0.96,0.97,0.95,0.96,394643
12-Jul-17,0.96,0.97,0.95,0.96,306090
11-Jul-17,0.98,0.99,0.95,0.96,624275
10-Jul-17,0.98,0.98,0.97,0.98,245994
7-Jul-17,0.99,0.99,0.97,0.98,305334
6-Jul-17,0.98,0.99,0.96,0.98,477170
5-Jul-17,0.98,0.99,0.96,0.97,716696
4-Jul-17,0.99,1.00,0.97,0.98,574195
3-Jul-17,1.01,1.01,0.97,0.98,549587
30-Jun-17,1.00,1.01,0.99,1.01,1397581
29-Jun-17,1.02,1.03,0.97,0.99,1345370
28-Jun-17,0.93,1.02,0.92,1.00,3343080
27-Jun-17,1.04,1.08,0.95,0.95,10006568
26-Jun-17,0.96,1.04,0.96,1.02,4266684
23-Jun-17,0.95,0.95,0.93,0.95,305131
22-Jun-17,0.96,0.96,0.94,0.95,956081
21-Jun-17,0.95,0.97,0.94,0.96,961783
20-Jun-17,0.99,1.00,0.95,0.95,1558736
19-Jun-17,0.99,1.03,0.96,0.99,2452469
16-Jun-17,0.96,0.99,0.96,0.98,1205613
14-Jun-17,0.91,1.03,0.90,0.95,6909685
13-Jun-17,0.90,0.91,0.89,0.91,1118186
12-Jun-17,0.92,0.93,0.89,0.89,1445423
9-Jun-17,0.94,0.94,0.90,0.92,1235717
8-Jun-17,0.91,0.95,0.90,0.94,1540652
7-Jun-17,0.93,0.94,0.90,0.90,2032633
6-Jun-17,0.97,0.98,0.93,0.95,1453886
5-Jun-17,1.00,1.01,0.96,0.98,1565436
2-Jun-17,0.91,0.99,0.87,0.99,4806866
1-Jun-17,0.92,0.95,0.86,0.90,2587104
31-May-17,0.99,1.00,0.90,0.91,4187529
30-May-17,1.08,1.09,0.98,1.01,3653086
29-May-17,1.11,1.11,1.05,1.07,1456249
26-May-17,1.13,1.14,1.10,1.11,1400086
25-May-17,1.10,1.14,1.07,1.10,978262
24-May-17,1.00,1.15,0.99,1.09,3769724
23-May-17,1.10,1.15,1.08,1.08,2733875
22-May-17,1.15,1.15,1.09,1.11,1331993
19-May-17,1.16,1.17,1.10,1.13,2953001
18-May-17,1.00,1.15,1.00,1.12,4952825
17-May-17,1.09,1.15,0.99,0.99,4801748
16-May-17,1.27,1.27,1.04,1.07,9090988
15-May-17,1.31,1.31,1.25,1.29,1196656
12-May-17,1.31,1.33,1.30,1.31,1058923
11-May-17,1.34,1.35,1.30,1.32,2112401
10-May-17,1.27,1.38,1.27,1.28,5951956
9-May-17,1.27,1.34,1.16,1.25,19984986
8-May-17,1.79,1.79,1.56,1.58,5186455
5-May-17,1.83,1.83,1.78,1.80,721689
4-May-17,1.82,1.88,1.80,1.82,1912868
2-May-17,1.76,1.83,1.76,1.79,861636
28-Apr-17,1.89,1.89,1.75,1.83,4388356
27-Apr-17,1.76,1.97,1.72,1.91,12547415
26-Apr-17,1.66,1.88,1.35,1.73,24878104
25-Apr-17,2.61,2.61,1.87,1.88,17269475
24-Apr-17,2.82,2.89,2.64,2.67,2220271
21-Apr-17,2.64,2.79,2.63,2.77,1593195
20-Apr-17,2.63,2.67,2.61,2.61,1656934
19-Apr-17,2.73,2.76,2.59,2.62,2642705
18-Apr-17,2.93,2.93,2.69,2.73,1523667
13-Apr-17,2.94,2.94,2.85,2.87,444914
12-Apr-17,2.93,2.99,2.85,2.92,868794
11-Apr-17,3.07,3.12,2.93,2.93,2497009
10-Apr-17,3.05,3.12,2.97,3.05,3095357
7-Apr-17,2.96,3.07,2.91,2.99,3827870
6-Apr-17,2.83,3.09,2.79,2.94,6636479
5-Apr-17,2.80,2.81,2.74,2.78,506125
4-Apr-17,2.80,2.81,2.76,2.77,311136
3-Apr-17,2.79,2.81,2.75,2.79,362807
31-Mar-17,2.80,2.82,2.75,2.81,189435
30-Mar-17,2.80,2.80,2.73,2.80,260171
29-Mar-17,2.88,2.90,2.79,2.80,567926
28-Mar-17,2.76,2.85,2.71,2.85,956898
27-Mar-17,2.75,2.78,2.71,2.74,818148
24-Mar-17,2.76,2.76,2.73,2.75,247801
23-Mar-17,2.81,2.82,2.73,2.74,363678
22-Mar-17,2.78,2.81,2.71,2.78,683971
21-Mar-17,2.75,2.76,2.66,2.71,206201
20-Mar-17,2.78,2.84,2.71,2.73,862490
17-Mar-17,2.77,2.78,2.75,2.78,417255
16-Mar-17,2.78,2.79,2.70,2.77,634664
15-Mar-17,2.65,2.71,2.60,2.70,691378
14-Mar-17,2.59,2.59,2.54,2.59,138556
13-Mar-17,2.60,2.65,2.57,2.57,270536
10-Mar-17,2.48,2.65,2.47,2.59,474141
