b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,36.50,36.50,35.55,35.55,8857
14-Sep-17,36.58,37.10,36.11,36.21,28711
13-Sep-17,36.49,36.49,36.05,36.05,42476
12-Sep-17,37.32,37.32,36.05,36.49,4277
11-Sep-17,37.32,37.32,36.50,37.30,1913
8-Sep-17,36.90,37.12,36.10,37.00,115886
7-Sep-17,37.20,37.20,36.05,36.06,2129
6-Sep-17,35.81,37.00,35.81,36.55,7918
5-Sep-17,36.22,36.25,35.63,35.81,20261
4-Sep-17,37.45,37.45,36.33,36.33,2997
1-Sep-17,37.70,37.70,36.62,37.00,13913
31-Aug-17,37.90,37.90,37.00,37.66,3268
30-Aug-17,37.69,38.00,37.69,37.72,3522
29-Aug-17,37.90,38.00,36.00,37.69,12356
28-Aug-17,38.20,38.50,37.79,37.90,7415
25-Aug-17,37.89,38.19,37.79,38.15,39783
24-Aug-17,37.80,38.27,37.78,37.89,18293
23-Aug-17,37.98,38.20,37.26,37.90,87597
22-Aug-17,36.35,38.00,36.32,38.00,134101
21-Aug-17,35.13,36.39,35.13,36.31,91200
18-Aug-17,34.99,35.07,34.40,35.05,6795
17-Aug-17,34.93,35.18,34.25,35.09,4802
16-Aug-17,34.40,34.94,34.00,34.90,10140
14-Aug-17,34.51,34.85,33.60,34.67,25407
11-Aug-17,35.61,35.80,34.50,34.85,46006
10-Aug-17,34.42,35.60,34.05,35.60,102253
9-Aug-17,35.29,35.40,33.80,34.50,11651
8-Aug-17,35.12,35.50,34.53,35.35,4894
7-Aug-17,35.74,35.80,35.25,35.69,2222
4-Aug-17,34.40,35.78,34.01,35.74,24220
3-Aug-17,34.96,34.96,33.70,34.50,73082
2-Aug-17,36.80,36.80,33.20,34.98,60239
1-Aug-17,36.10,36.80,35.50,36.50,57636
31-Jul-17,36.39,36.50,35.80,36.50,6898
28-Jul-17,36.00,36.90,35.80,36.50,5188
27-Jul-17,36.01,36.93,36.01,36.70,3158
26-Jul-17,35.44,36.58,35.15,36.12,15921
25-Jul-17,36.89,36.89,35.05,35.44,28485
24-Jul-17,36.69,37.47,36.50,36.89,2024
21-Jul-17,37.80,37.80,36.80,37.10,7063
20-Jul-17,37.50,38.20,37.50,37.86,111249
19-Jul-17,37.30,37.30,36.65,37.30,28371
18-Jul-17,37.40,38.28,37.30,37.30,40038
17-Jul-17,36.63,37.50,36.20,37.40,16473
14-Jul-17,37.26,37.44,36.50,37.35,8657
13-Jul-17,36.83,37.00,35.80,37.00,66487
12-Jul-17,36.87,36.87,35.51,36.50,5311
11-Jul-17,37.20,37.25,35.46,36.16,29957
10-Jul-17,36.60,37.25,36.60,37.20,23611
7-Jul-17,36.25,37.00,36.25,36.61,64069
6-Jul-17,35.38,37.00,35.00,36.72,22481
5-Jul-17,36.10,36.10,34.70,35.00,27419
4-Jul-17,36.91,37.00,35.82,36.10,26833
3-Jul-17,37.36,37.73,36.91,36.91,7307
30-Jun-17,37.00,37.84,36.86,37.70,110965
29-Jun-17,36.67,37.40,36.66,37.10,8800
28-Jun-17,37.49,37.49,36.66,36.94,5204
27-Jun-17,37.50,37.95,37.21,37.70,134436
26-Jun-17,37.20,37.50,36.80,37.50,20588
23-Jun-17,36.51,37.30,36.50,37.15,40527
22-Jun-17,36.19,36.67,36.19,36.50,9182
21-Jun-17,36.40,36.50,35.43,36.19,9268
20-Jun-17,36.30,36.49,35.80,36.30,74435
19-Jun-17,36.00,36.25,35.40,36.25,36096
16-Jun-17,36.65,36.65,35.66,36.00,4506
14-Jun-17,35.98,36.70,35.98,36.70,111998
13-Jun-17,35.01,36.50,35.01,35.98,9335
12-Jun-17,36.95,37.50,34.60,35.50,89875
9-Jun-17,37.00,37.70,36.55,36.95,96592
8-Jun-17,37.19,37.19,36.88,36.90,12523
