b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,59.70,59.71,58.00,58.00,5350
14-Sep-17,60.48,60.49,59.70,59.70,231
13-Sep-17,60.97,60.97,60.97,60.97,1
12-Sep-17,59.49,60.97,59.49,60.97,51
11-Sep-17,61.68,61.68,59.50,59.51,1580
8-Sep-17,61.79,61.79,58.35,58.35,308
7-Sep-17,61.00,61.77,61.00,61.77,400
6-Sep-17,61.79,61.79,61.79,61.79,1
5-Sep-17,61.79,61.79,61.79,61.79,9
4-Sep-17,61.83,61.83,61.79,61.79,4
1-Sep-17,62.10,65.99,58.20,61.70,645
31-Aug-17,60.19,60.19,60.18,60.18,201
30-Aug-17,59.20,60.19,59.00,60.19,27061
29-Aug-17,58.21,58.72,57.50,57.51,1948
28-Aug-17,59.25,59.25,59.25,59.25,1
25-Aug-17,-,-,-,59.30,0
24-Aug-17,59.30,59.30,59.30,59.30,398
23-Aug-17,-,-,-,59.39,0
22-Aug-17,-,-,-,59.39,0
21-Aug-17,-,-,-,59.39,0
18-Aug-17,59.39,59.39,59.39,59.39,45
17-Aug-17,-,-,-,59.44,0
16-Aug-17,59.44,59.44,59.44,59.44,1
14-Aug-17,-,-,-,59.45,0
11-Aug-17,-,-,-,59.45,0
10-Aug-17,-,-,-,59.45,0
9-Aug-17,-,-,-,59.45,0
8-Aug-17,-,-,-,59.45,0
7-Aug-17,57.60,59.45,57.60,59.45,369
4-Aug-17,60.96,60.96,57.50,59.49,5
3-Aug-17,58.55,58.55,57.60,57.60,89
2-Aug-17,60.00,60.00,58.55,58.55,101
1-Aug-17,-,-,-,60.50,0
31-Jul-17,60.00,60.50,58.41,60.50,366
28-Jul-17,58.50,62.00,58.40,62.00,487
27-Jul-17,58.50,59.50,58.50,59.50,385
26-Jul-17,58.39,58.40,58.39,58.40,138
25-Jul-17,56.00,58.00,56.00,58.00,6451
24-Jul-17,57.00,57.00,55.41,56.65,408
21-Jul-17,57.50,57.50,57.00,57.40,1054
20-Jul-17,58.00,58.40,57.50,57.50,5886
19-Jul-17,-,-,-,59.70,0
18-Jul-17,-,-,-,59.70,0
17-Jul-17,59.50,60.00,58.50,59.70,936
14-Jul-17,59.16,59.90,59.15,59.90,346
13-Jul-17,61.00,61.00,61.00,61.00,1
12-Jul-17,59.00,64.45,59.00,59.80,1467
11-Jul-17,60.80,60.80,59.30,59.95,544
10-Jul-17,62.80,62.80,61.41,62.00,13
7-Jul-17,61.41,62.96,61.40,61.40,55
6-Jul-17,62.09,63.00,62.09,63.00,606
5-Jul-17,63.50,63.50,62.06,62.09,682
4-Jul-17,62.15,63.90,61.50,63.90,498
3-Jul-17,64.70,64.70,64.70,64.70,2
30-Jun-17,62.32,64.85,62.32,62.36,2505
29-Jun-17,62.01,63.50,62.01,63.50,232
28-Jun-17,63.15,63.15,61.50,62.01,3030
27-Jun-17,62.00,64.85,62.00,63.05,1220
26-Jun-17,61.00,62.00,60.99,62.00,266
23-Jun-17,61.00,61.00,60.00,60.00,10057
22-Jun-17,-,-,-,60.00,0
21-Jun-17,61.00,61.00,59.50,60.00,521
20-Jun-17,61.99,61.99,61.99,61.99,3
19-Jun-17,60.10,60.10,60.10,60.10,48
16-Jun-17,60.10,60.10,60.10,60.10,2
14-Jun-17,60.06,61.00,60.06,61.00,72
13-Jun-17,60.00,61.99,60.00,61.99,1001
12-Jun-17,59.61,61.99,59.61,61.99,6009
9-Jun-17,-,-,-,62.38,0
8-Jun-17,62.50,62.50,59.61,62.38,309
7-Jun-17,62.20,62.20,60.01,60.06,980
6-Jun-17,63.50,63.50,63.50,63.50,53
5-Jun-17,65.40,65.40,63.50,63.99,422
2-Jun-17,64.99,67.00,64.99,65.49,299
1-Jun-17,65.00,65.00,65.00,65.00,50
31-May-17,62.00,65.00,60.40,65.00,2354
