b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,168.00,169.00,168.00,168.80,1530
14-Sep-17,173.90,173.90,166.05,169.95,19027
13-Sep-17,179.50,179.50,167.60,171.45,1880
12-Sep-17,177.60,180.00,177.00,177.90,7484
11-Sep-17,177.00,178.95,177.00,177.00,683
8-Sep-17,179.00,179.00,177.50,178.00,152
7-Sep-17,180.10,180.10,178.00,179.00,3350
6-Sep-17,180.35,181.35,178.60,179.80,1508
5-Sep-17,180.00,180.00,178.50,179.30,7476
4-Sep-17,180.00,180.00,177.00,178.45,4143
1-Sep-17,182.00,182.00,176.00,180.00,33937
31-Aug-17,190.00,195.00,184.10,195.00,21315
30-Aug-17,196.35,196.35,183.00,191.40,2278
29-Aug-17,199.85,199.90,196.90,197.00,627
28-Aug-17,202.75,202.75,198.00,201.20,561
25-Aug-17,202.00,204.95,200.00,203.95,485
24-Aug-17,205.90,206.00,202.10,205.95,131
23-Aug-17,205.95,205.95,202.10,205.90,72
22-Aug-17,204.20,205.00,204.00,205.00,198
21-Aug-17,208.50,208.50,204.80,204.90,100
18-Aug-17,208.00,210.00,201.55,209.00,198
17-Aug-17,200.00,213.00,199.50,213.00,2545
16-Aug-17,200.00,200.00,196.00,200.00,70
14-Aug-17,196.80,200.00,196.80,200.00,165
11-Aug-17,198.85,198.85,194.45,198.80,68
10-Aug-17,197.00,200.00,197.00,200.00,232
9-Aug-17,195.95,196.90,194.10,196.90,200
8-Aug-17,194.00,195.10,192.50,195.00,200
7-Aug-17,194.00,196.00,191.40,193.00,1026
4-Aug-17,202.90,202.90,195.55,200.00,1369
3-Aug-17,200.50,200.60,192.20,200.00,3167
2-Aug-17,203.75,203.75,200.50,200.95,325
1-Aug-17,204.50,204.50,200.10,203.65,464
31-Jul-17,206.20,207.00,201.50,203.50,1038
28-Jul-17,199.90,206.20,199.65,205.00,424
27-Jul-17,207.00,209.00,200.70,201.00,11602
26-Jul-17,208.05,208.10,203.10,204.55,1133
25-Jul-17,204.75,208.00,204.75,208.00,178
24-Jul-17,208.45,209.00,204.00,204.00,6521
21-Jul-17,208.95,208.95,207.00,207.90,761
