b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,3.13,3.26,3.13,3.25,18568
14-Sep-17,3.16,3.26,3.15,3.16,3953
13-Sep-17,3.16,3.26,3.10,3.25,38525
12-Sep-17,3.23,3.29,3.17,3.17,17034
11-Sep-17,3.25,3.36,3.21,3.23,34949
8-Sep-17,3.17,3.28,3.16,3.28,47506
7-Sep-17,3.23,3.25,3.13,3.17,44800
6-Sep-17,3.13,3.24,3.13,3.23,35417
5-Sep-17,3.18,3.19,3.13,3.13,28468
4-Sep-17,3.09,3.17,3.06,3.11,22368
1-Sep-17,3.09,3.17,3.09,3.15,12973
31-Aug-17,3.16,3.18,3.09,3.11,10252
30-Aug-17,3.18,3.18,3.11,3.11,7212
29-Aug-17,3.16,3.20,3.10,3.12,22565
28-Aug-17,3.13,3.16,3.10,3.15,7411
25-Aug-17,3.10,3.16,3.08,3.14,19510
24-Aug-17,3.10,3.16,3.06,3.14,15945
23-Aug-17,3.13,3.13,2.90,3.10,28832
22-Aug-17,2.96,3.14,2.96,3.13,411
21-Aug-17,3.06,3.14,2.97,3.14,13201
18-Aug-17,3.14,3.14,3.06,3.06,501
17-Aug-17,3.13,3.14,3.05,3.14,2566
16-Aug-17,-,-,-,3.15,0
14-Aug-17,3.15,3.15,3.06,3.15,3603
11-Aug-17,3.20,3.22,3.11,3.15,17238
10-Aug-17,3.20,3.22,3.10,3.20,5471
9-Aug-17,3.04,3.20,3.02,3.20,14571
8-Aug-17,3.15,3.18,3.03,3.10,5026
7-Aug-17,3.10,3.20,3.05,3.05,1004
4-Aug-17,3.17,3.19,3.07,3.19,4173
3-Aug-17,3.22,3.22,3.17,3.22,2308
2-Aug-17,3.02,3.32,3.02,3.19,132877
1-Aug-17,2.65,2.70,2.65,2.70,112
31-Jul-17,2.70,2.70,2.70,2.70,1
28-Jul-17,2.67,2.70,2.65,2.67,8937
27-Jul-17,2.65,2.72,2.65,2.70,2768
26-Jul-17,2.72,2.72,2.65,2.65,11704
25-Jul-17,2.70,2.73,2.70,2.73,667
24-Jul-17,-,-,-,2.73,0
