b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,25.93,26.24,25.53,25.53,1204280
14-Sep-17,26.40,26.46,25.92,25.92,844014
13-Sep-17,26.65,26.65,26.30,26.30,383033
12-Sep-17,26.48,26.68,26.35,26.43,486472
11-Sep-17,26.42,26.58,26.19,26.35,345225
8-Sep-17,26.42,26.55,26.15,26.48,521193
7-Sep-17,26.26,26.53,26.21,26.24,361482
6-Sep-17,26.49,26.59,26.03,26.21,524603
5-Sep-17,26.79,26.80,26.13,26.46,342333
4-Sep-17,26.10,26.80,26.05,26.71,411006
1-Sep-17,26.66,26.78,26.40,26.40,241241
31-Aug-17,26.59,26.80,26.46,26.80,462124
30-Aug-17,26.98,27.00,26.30,26.59,527560
29-Aug-17,27.55,27.63,26.56,26.80,863132
28-Aug-17,26.60,28.00,26.60,27.80,357346
25-Aug-17,27.13,27.13,26.50,26.60,195528
24-Aug-17,26.77,27.12,26.77,27.10,223555
23-Aug-17,26.22,26.45,26.22,26.40,200090
22-Aug-17,25.93,26.53,25.93,26.45,257287
21-Aug-17,26.49,26.49,25.92,26.10,217124
18-Aug-17,26.11,26.54,25.91,26.49,168076
17-Aug-17,25.79,26.54,25.48,26.11,419112
16-Aug-17,26.03,26.30,25.76,25.96,316386
14-Aug-17,26.43,26.44,25.93,26.11,197673
11-Aug-17,26.29,26.44,25.74,26.36,170947
10-Aug-17,26.27,26.41,26.02,26.11,199242
9-Aug-17,26.17,26.27,26.00,26.27,205988
8-Aug-17,26.17,26.44,26.00,26.35,190644
7-Aug-17,26.54,26.56,26.15,26.20,272826
4-Aug-17,26.10,26.54,25.91,26.53,229978
3-Aug-17,26.24,26.28,25.90,26.00,184495
2-Aug-17,26.04,26.40,25.82,26.22,646935
1-Aug-17,25.55,26.18,25.32,26.04,315393
31-Jul-17,26.00,26.05,25.55,25.60,433675
28-Jul-17,26.00,26.04,25.40,26.00,340082
27-Jul-17,25.81,26.00,25.65,26.00,291135
26-Jul-17,25.52,25.83,25.29,25.80,217042
25-Jul-17,26.10,26.10,25.41,25.41,446616
24-Jul-17,26.26,26.26,25.72,26.00,435841
21-Jul-17,26.30,26.37,26.03,26.07,333684
20-Jul-17,26.08,26.38,25.79,26.38,620946
19-Jul-17,25.50,25.94,25.44,25.80,537616
18-Jul-17,25.90,25.91,25.52,25.60,276597
17-Jul-17,26.17,26.28,25.70,25.85,658645
14-Jul-17,25.59,26.18,25.59,26.00,610652
13-Jul-17,25.38,25.59,25.19,25.59,889625
12-Jul-17,25.16,25.37,25.02,25.37,744169
11-Jul-17,25.06,25.26,24.82,25.00,788999
10-Jul-17,25.11,25.22,24.73,25.07,407549
7-Jul-17,24.98,25.08,24.65,24.78,553547
6-Jul-17,24.75,25.38,24.61,25.09,406098
5-Jul-17,24.43,24.77,24.11,24.77,1638319
4-Jul-17,24.83,24.89,24.22,24.50,238627
3-Jul-17,24.97,24.97,24.52,24.85,178559
30-Jun-17,24.40,24.97,24.17,24.67,566644
29-Jun-17,25.00,25.13,23.84,24.14,681834
28-Jun-17,25.30,25.67,24.99,25.00,334989
27-Jun-17,25.55,25.70,25.36,25.40,1072475
26-Jun-17,25.49,25.72,25.15,25.44,335834
23-Jun-17,25.59,25.63,25.15,25.19,380771
22-Jun-17,25.33,25.67,25.33,25.66,210731
21-Jun-17,25.23,25.71,24.87,25.40,540247
20-Jun-17,25.27,25.65,25.15,25.40,702298
19-Jun-17,25.88,25.94,25.30,25.35,548884
16-Jun-17,25.70,26.24,25.40,25.64,669479
14-Jun-17,25.66,26.19,25.27,25.85,474095
13-Jun-17,25.31,26.32,24.44,25.95,438486
12-Jun-17,26.00,26.19,25.65,25.90,747525
9-Jun-17,25.98,26.48,25.98,26.20,262611
8-Jun-17,25.96,26.24,25.88,26.20,628075
7-Jun-17,26.15,26.49,25.74,26.10,1127245
6-Jun-17,26.16,26.49,25.86,25.87,766391
5-Jun-17,27.14,27.29,26.01,26.28,422359
2-Jun-17,27.34,27.39,26.68,27.14,271536
1-Jun-17,26.54,27.04,26.54,26.99,323219
31-May-17,27.19,27.46,26.40,26.72,2535008
30-May-17,26.63,27.09,26.16,27.09,496873
29-May-17,26.70,27.00,26.35,26.50,364907
26-May-17,27.60,27.79,26.41,26.65,475753
25-May-17,27.30,27.99,27.04,27.78,901860
24-May-17,27.15,27.58,26.92,27.22,1014985
23-May-17,26.50,27.38,26.37,27.00,958967
22-May-17,26.66,26.87,26.02,26.70,820723
19-May-17,27.11,27.11,26.17,26.30,771229
18-May-17,27.10,27.19,26.12,26.95,767883
17-May-17,27.09,27.28,26.60,27.08,805040
16-May-17,26.71,27.48,26.71,27.40,1381747
15-May-17,25.67,26.67,25.50,26.55,545801
12-May-17,26.20,26.50,26.03,26.25,866895
11-May-17,25.60,26.84,25.39,25.90,2520407
10-May-17,25.10,25.45,24.98,25.03,700985
9-May-17,24.70,25.15,24.50,24.99,739801
8-May-17,24.66,24.88,24.59,24.72,211241
5-May-17,23.96,24.85,23.96,24.71,504915
4-May-17,24.55,24.95,23.95,24.34,561333
2-May-17,24.43,24.94,24.32,24.81,699105
28-Apr-17,24.10,24.45,24.02,24.29,543517
27-Apr-17,23.60,24.25,23.60,24.25,410157
26-Apr-17,23.75,24.15,23.55,23.83,460556
25-Apr-17,23.48,24.04,23.44,23.85,478134
24-Apr-17,24.20,24.20,23.13,23.25,889694
21-Apr-17,24.50,24.50,23.84,23.85,463059
20-Apr-17,24.44,24.65,24.19,24.50,430767
19-Apr-17,24.30,24.83,24.11,24.53,675801
18-Apr-17,24.39,24.39,23.94,24.16,424856
13-Apr-17,24.26,24.36,24.10,24.15,150088
12-Apr-17,24.12,24.50,24.12,24.26,752172
11-Apr-17,24.24,24.45,23.85,24.12,458513
10-Apr-17,24.40,24.50,24.09,24.50,170354
7-Apr-17,24.10,24.44,23.91,24.38,234317
6-Apr-17,24.15,24.21,23.86,24.14,172313
5-Apr-17,24.40,24.50,24.19,24.50,433560
4-Apr-17,23.89,24.35,23.89,24.35,356730
3-Apr-17,24.20,24.24,23.69,24.06,190699
31-Mar-17,24.16,24.23,23.69,24.20,416519
30-Mar-17,23.81,24.15,23.65,24.15,331318
29-Mar-17,23.97,24.03,23.62,23.85,367314
28-Mar-17,24.00,24.05,23.66,23.97,153268
27-Mar-17,23.52,23.95,23.47,23.84,259451
24-Mar-17,23.71,24.13,23.67,24.13,239615
23-Mar-17,23.50,23.81,23.45,23.60,758587
22-Mar-17,23.46,23.72,23.41,23.41,366280
21-Mar-17,24.42,24.53,23.46,23.50,375189
20-Mar-17,24.41,24.53,24.10,24.23,213743
17-Mar-17,24.29,24.70,24.24,24.48,960505
16-Mar-17,23.76,24.28,23.73,24.25,902694
15-Mar-17,23.15,23.72,23.15,23.44,319256
14-Mar-17,23.17,23.43,23.17,23.38,317182
13-Mar-17,23.09,23.16,22.91,23.16,342141
10-Mar-17,23.33,23.52,23.05,23.09,554821
9-Mar-17,23.71,23.71,23.16,23.46,489326
8-Mar-17,23.36,23.76,23.36,23.76,250187
7-Mar-17,23.59,23.70,23.37,23.43,583877
6-Mar-17,23.90,23.94,23.57,23.70,387477
3-Mar-17,23.38,24.08,23.35,24.08,1295837
2-Mar-17,23.80,23.80,23.38,23.55,442153
1-Mar-17,23.30,23.62,23.29,23.50,308991
28-Feb-17,23.50,23.50,23.16,23.16,348587
27-Feb-17,23.50,23.63,23.27,23.36,102064
24-Feb-17,23.80,24.00,23.22,23.50,367977
23-Feb-17,24.09,24.10,23.64,24.03,424308
22-Feb-17,23.70,24.09,23.70,24.09,543999
21-Feb-17,23.50,23.60,23.21,23.60,1189460
20-Feb-17,23.42,23.56,23.35,23.45,729032
17-Feb-17,23.61,23.61,23.07,23.25,1150629
16-Feb-17,23.70,23.84,23.50,23.52,1124003
15-Feb-17,24.13,24.19,23.65,23.70,751750
14-Feb-17,23.93,24.14,23.57,24.14,890513
13-Feb-17,23.96,23.98,23.68,23.94,188204
10-Feb-17,24.00,24.00,23.62,23.88,459942
9-Feb-17,23.82,24.16,23.73,23.93,1010776
8-Feb-17,24.05,24.09,23.56,23.75,1074438
7-Feb-17,24.00,24.32,23.89,24.25,409994
6-Feb-17,23.32,24.14,23.32,24.08,712846
3-Feb-17,23.40,23.67,23.31,23.31,525087
2-Feb-17,23.99,23.99,23.27,23.40,952122
1-Feb-17,24.28,24.40,23.87,23.99,759697
31-Jan-17,24.30,24.46,24.19,24.19,540389
30-Jan-17,24.41,24.56,24.22,24.49,236093
27-Jan-17,24.65,24.98,24.40,24.49,260274
26-Jan-17,24.70,24.89,24.42,24.65,651280
25-Jan-17,24.54,24.83,24.42,24.60,848911
24-Jan-17,24.13,24.52,24.13,24.47,948236
