b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,1.99,2.39,1.94,2.38,2890648
14-Sep-17,2.12,2.22,2.02,2.02,808223
13-Sep-17,2.32,2.35,1.99,2.11,2611014
12-Sep-17,2.61,2.61,2.29,2.35,962162
11-Sep-17,2.70,2.70,2.43,2.61,601025
8-Sep-17,2.71,2.73,2.67,2.70,24308
7-Sep-17,2.72,2.78,2.66,2.73,69411
6-Sep-17,2.73,2.76,2.63,2.70,90891
5-Sep-17,2.77,2.77,2.72,2.73,73038
4-Sep-17,2.75,2.87,2.74,2.77,103215
1-Sep-17,2.79,2.84,2.70,2.79,253608
31-Aug-17,2.94,2.94,2.85,2.88,96766
30-Aug-17,2.82,2.93,2.82,2.92,292611
29-Aug-17,2.75,2.87,2.75,2.85,226507
28-Aug-17,2.68,2.81,2.63,2.76,184274
25-Aug-17,2.67,2.71,2.63,2.64,134586
24-Aug-17,2.69,2.75,2.65,2.67,83590
23-Aug-17,2.71,2.72,2.64,2.69,42735
22-Aug-17,2.69,2.75,2.62,2.71,119640
21-Aug-17,2.84,2.85,2.69,2.69,218608
18-Aug-17,2.69,2.88,2.69,2.80,310719
17-Aug-17,2.58,2.76,2.43,2.72,455328
16-Aug-17,2.71,2.71,2.54,2.58,211787
14-Aug-17,2.71,2.74,2.60,2.65,140832
11-Aug-17,2.62,2.70,2.62,2.69,50035
10-Aug-17,2.67,2.77,2.63,2.64,175530
9-Aug-17,2.83,2.83,2.64,2.66,400285
8-Aug-17,2.91,2.93,2.79,2.80,257062
7-Aug-17,2.92,2.94,2.82,2.93,214378
4-Aug-17,2.97,2.97,2.92,2.94,42594
3-Aug-17,2.97,2.98,2.86,2.96,126567
2-Aug-17,2.94,3.00,2.90,2.95,91772
1-Aug-17,2.97,3.02,2.89,2.91,183100
31-Jul-17,2.95,3.07,2.95,3.01,93060
28-Jul-17,3.06,3.06,2.92,2.98,73980
27-Jul-17,3.10,3.11,2.97,2.99,201254
26-Jul-17,3.00,3.16,2.95,3.10,1006212
25-Jul-17,2.93,2.95,2.87,2.91,149588
24-Jul-17,2.85,2.96,2.75,2.96,252339
21-Jul-17,2.90,2.94,2.76,2.80,194395
20-Jul-17,3.02,3.09,2.89,2.89,373494
19-Jul-17,2.96,3.03,2.89,3.02,210132
18-Jul-17,3.11,3.17,2.95,2.95,657833
17-Jul-17,2.72,3.16,2.72,3.08,2213741
14-Jul-17,2.68,2.68,2.63,2.65,83274
13-Jul-17,2.65,2.72,2.61,2.63,155862
12-Jul-17,2.65,2.70,2.61,2.63,124140
11-Jul-17,2.63,2.74,2.63,2.64,53860
10-Jul-17,2.65,2.65,2.60,2.65,82961
7-Jul-17,2.70,2.74,2.69,2.70,30415
6-Jul-17,2.77,2.79,2.72,2.74,30578
5-Jul-17,2.77,2.80,2.73,2.74,45123
4-Jul-17,2.84,2.84,2.76,2.79,30364
3-Jul-17,2.84,2.84,2.72,2.84,48453
30-Jun-17,2.71,2.88,2.68,2.78,410235
29-Jun-17,2.81,2.87,2.73,2.73,59467
28-Jun-17,2.92,2.92,2.83,2.85,99684
27-Jun-17,2.80,2.94,2.80,2.92,280214
26-Jun-17,2.58,2.79,2.58,2.79,233734
23-Jun-17,2.58,2.66,2.55,2.58,197976
22-Jun-17,2.63,2.63,2.52,2.63,191599
21-Jun-17,2.70,2.70,2.64,2.66,81894
20-Jun-17,2.66,2.75,2.58,2.70,103919
19-Jun-17,2.71,2.79,2.67,2.68,106434
16-Jun-17,2.90,2.92,2.67,2.78,515582
14-Jun-17,2.84,2.92,2.83,2.90,62613
13-Jun-17,2.85,2.94,2.84,2.89,34865
12-Jun-17,2.91,2.96,2.88,2.90,87380
9-Jun-17,3.04,3.05,2.90,2.98,71342
8-Jun-17,2.99,3.00,2.92,2.98,25072
7-Jun-17,2.95,3.04,2.91,2.96,82185
6-Jun-17,2.97,3.00,2.85,2.96,137396
5-Jun-17,2.98,3.05,2.81,2.96,116621
2-Jun-17,2.92,2.99,2.86,2.98,165715
1-Jun-17,2.70,2.87,2.61,2.84,288708
31-May-17,3.01,3.07,2.58,2.69,589004
30-May-17,2.97,3.02,2.90,2.90,62999
29-May-17,3.03,3.10,2.92,2.97,87731
26-May-17,3.08,3.09,2.94,3.09,69336
