b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,1.69,1.69,1.57,1.60,80306
14-Sep-17,1.70,1.72,1.57,1.66,92971
13-Sep-17,1.72,1.74,1.67,1.70,69877
12-Sep-17,1.74,1.83,1.67,1.71,93821
11-Sep-17,1.70,1.73,1.65,1.73,78197
8-Sep-17,1.78,1.78,1.67,1.68,82803
7-Sep-17,1.83,1.83,1.74,1.79,41692
6-Sep-17,1.85,1.86,1.77,1.83,93034
5-Sep-17,1.73,1.88,1.70,1.85,317585
4-Sep-17,1.60,1.76,1.60,1.71,116291
1-Sep-17,1.68,1.69,1.55,1.64,167141
31-Aug-17,1.78,1.84,1.62,1.63,200834
30-Aug-17,1.80,1.90,1.72,1.77,313903
29-Aug-17,1.88,2.04,1.70,1.75,723479
28-Aug-17,1.69,1.95,1.65,1.89,654608
25-Aug-17,1.87,1.87,1.69,1.70,685927
24-Aug-17,1.40,1.95,1.40,1.76,1788581
23-Aug-17,1.45,1.49,1.35,1.39,72156
22-Aug-17,1.43,1.59,1.32,1.45,197507
21-Aug-17,1.63,1.63,1.50,1.53,18892
18-Aug-17,1.63,1.72,1.54,1.63,29207
17-Aug-17,1.78,1.78,1.55,1.61,123971
16-Aug-17,1.84,1.84,1.74,1.78,22300
14-Aug-17,1.86,1.86,1.86,1.86,400
11-Aug-17,1.99,1.99,1.80,1.86,16416
10-Aug-17,2.00,2.00,1.82,1.92,53079
9-Aug-17,2.12,2.12,1.91,1.99,19574
8-Aug-17,2.19,2.20,2.05,2.05,38375
7-Aug-17,2.28,2.28,2.12,2.18,11958
4-Aug-17,2.10,2.24,2.10,2.24,21982
3-Aug-17,2.15,2.26,2.02,2.25,43162
2-Aug-17,2.28,2.28,2.13,2.13,81157
1-Aug-17,2.05,2.24,1.96,2.23,52267
31-Jul-17,1.86,2.04,1.72,2.04,106741
28-Jul-17,1.90,1.96,1.84,1.94,36012
27-Jul-17,2.05,2.07,1.89,1.89,34855
26-Jul-17,1.95,2.25,1.95,2.05,90367
25-Jul-17,2.00,2.00,1.89,1.99,30488
24-Jul-17,2.01,2.05,1.96,2.02,18045
21-Jul-17,2.10,2.12,1.91,2.00,100010
20-Jul-17,2.30,2.30,2.07,2.15,309379
19-Jul-17,2.52,2.52,2.27,2.27,20972
18-Jul-17,2.63,2.66,2.46,2.52,111406
17-Jul-17,2.70,2.70,2.44,2.63,35944
14-Jul-17,3.00,3.00,2.59,2.70,31465
13-Jul-17,3.07,3.07,3.07,3.07,1
12-Jul-17,3.03,3.04,3.03,3.04,31
11-Jul-17,3.02,3.03,3.02,3.03,941
10-Jul-17,3.02,3.02,2.93,2.96,1952
7-Jul-17,3.02,3.02,3.02,3.02,1
6-Jul-17,3.02,3.02,3.02,3.02,1
5-Jul-17,3.02,3.02,2.99,2.99,72539
4-Jul-17,3.01,3.02,2.90,3.02,5392
3-Jul-17,2.95,3.08,2.82,3.08,7516
30-Jun-17,3.33,3.33,2.87,3.07,48116
29-Jun-17,3.45,3.45,3.20,3.35,36743
28-Jun-17,3.47,3.60,3.34,3.45,18289
27-Jun-17,3.64,3.64,3.48,3.60,5885
26-Jun-17,3.52,3.63,3.48,3.63,50868
23-Jun-17,3.63,3.64,3.51,3.64,9169
22-Jun-17,3.51,3.66,3.51,3.64,3335
21-Jun-17,3.62,3.68,3.41,3.67,8952
20-Jun-17,3.74,3.81,3.56,3.62,9688
19-Jun-17,3.89,3.89,3.65,3.82,20361
16-Jun-17,3.70,4.04,3.60,3.90,88266
14-Jun-17,3.76,4.09,3.54,4.09,33012
13-Jun-17,3.84,3.95,3.65,3.77,2791
12-Jun-17,3.98,4.00,3.60,3.96,30824
9-Jun-17,4.23,4.33,3.90,3.99,18097
8-Jun-17,3.59,4.22,3.59,4.22,34566
7-Jun-17,3.90,3.99,3.81,3.98,1450
6-Jun-17,3.87,4.00,3.78,4.00,14548
5-Jun-17,4.00,4.21,3.90,4.00,20835
2-Jun-17,4.86,4.86,4.10,4.30,22672
1-Jun-17,4.87,4.87,4.71,4.87,104
31-May-17,4.71,4.89,4.71,4.88,1006
30-May-17,4.81,4.90,4.71,4.90,732
29-May-17,5.01,5.01,4.70,4.92,4887
26-May-17,4.92,5.13,4.92,5.09,422
25-May-17,5.02,5.09,5.02,5.09,1243
24-May-17,5.30,5.30,5.02,5.19,9152
23-May-17,5.05,5.30,4.83,5.29,11355
22-May-17,4.81,4.97,4.81,4.97,12
19-May-17,4.99,5.10,4.72,5.05,8229
18-May-17,4.95,4.95,4.80,4.93,4130
17-May-17,4.81,4.97,4.70,4.97,3631
16-May-17,4.96,4.96,4.78,4.94,695
15-May-17,5.08,5.08,4.78,4.97,5572
12-May-17,4.92,5.10,4.48,5.10,19888
11-May-17,5.20,5.20,5.01,5.05,11355
10-May-17,5.23,5.31,5.01,5.25,15826
9-May-17,5.47,5.47,5.23,5.39,3358
8-May-17,5.56,5.56,5.46,5.46,301
5-May-17,5.50,5.51,5.44,5.50,1290
4-May-17,5.56,5.56,5.41,5.56,941
2-May-17,5.56,5.56,5.40,5.55,1003
28-Apr-17,5.46,5.56,5.45,5.56,2089
