b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,65.40,65.60,65.00,65.57,95150
14-Sep-17,65.49,65.49,65.09,65.25,38124
13-Sep-17,64.29,65.59,63.35,64.98,137440
12-Sep-17,62.75,63.88,62.52,63.26,53186
11-Sep-17,62.50,63.29,62.35,62.50,46027
8-Sep-17,62.00,63.99,61.99,62.35,231994
7-Sep-17,59.75,64.30,59.26,61.50,330047
6-Sep-17,58.88,59.50,58.65,59.50,114321
5-Sep-17,59.05,59.20,58.10,59.00,80663
4-Sep-17,58.00,59.00,58.00,58.95,45244
1-Sep-17,59.45,59.45,58.04,58.60,153220
31-Aug-17,58.20,59.47,58.20,58.98,430478
30-Aug-17,55.05,57.68,55.05,57.45,453641
29-Aug-17,53.61,54.30,53.00,54.28,77876
28-Aug-17,53.11,53.70,53.01,53.60,14339
25-Aug-17,52.75,53.78,52.64,53.45,21767
24-Aug-17,52.18,53.00,52.18,53.00,46324
23-Aug-17,52.39,52.50,52.01,52.17,398607
22-Aug-17,50.50,52.85,50.10,52.48,48993
21-Aug-17,50.10,50.50,50.10,50.48,11615
18-Aug-17,50.10,50.39,49.99,50.15,46944
17-Aug-17,50.05,50.50,50.00,50.10,88187
16-Aug-17,50.41,50.89,49.60,50.65,179528
14-Aug-17,50.92,50.92,49.37,50.39,49237
11-Aug-17,50.81,50.99,50.60,50.80,26404
10-Aug-17,51.00,51.19,50.75,51.00,73641
9-Aug-17,50.90,51.28,50.50,50.77,15599
8-Aug-17,50.99,51.39,50.50,50.99,146353
7-Aug-17,51.45,51.50,49.15,50.40,169069
4-Aug-17,52.00,52.76,51.50,51.50,98528
3-Aug-17,53.11,53.38,52.37,52.37,133448
2-Aug-17,53.00,53.50,52.76,53.00,71126
1-Aug-17,53.00,53.50,52.57,52.75,131873
31-Jul-17,53.00,53.60,52.47,53.40,409806
28-Jul-17,50.80,52.77,50.80,52.38,322844
27-Jul-17,50.20,51.10,50.06,50.80,49673
26-Jul-17,50.20,50.20,50.00,50.05,90477
25-Jul-17,50.39,50.39,50.00,50.15,22890
24-Jul-17,50.98,50.98,49.88,50.00,347122
21-Jul-17,50.00,51.44,49.90,50.04,285341
20-Jul-17,48.94,50.29,48.89,50.00,117036
19-Jul-17,49.80,49.90,47.15,48.90,500600
18-Jul-17,48.45,49.20,48.10,48.50,66410
17-Jul-17,46.11,50.20,46.11,48.41,225916
14-Jul-17,48.30,48.49,47.70,48.20,88014
13-Jul-17,48.25,48.30,47.53,48.30,308413
12-Jul-17,47.16,48.46,47.15,48.24,268872
11-Jul-17,47.20,47.20,47.00,47.15,90492
10-Jul-17,46.20,47.20,46.20,47.20,462388
7-Jul-17,47.20,47.78,46.03,46.20,242915
6-Jul-17,46.12,47.00,46.00,47.00,7936
5-Jul-17,47.30,47.30,45.25,46.50,41905
4-Jul-17,47.10,47.75,46.83,46.97,139571
3-Jul-17,47.13,47.32,46.52,47.10,13975
30-Jun-17,45.85,46.89,45.83,46.89,121770
29-Jun-17,45.90,46.00,45.80,46.00,68021
28-Jun-17,45.40,45.60,45.00,45.60,21496
27-Jun-17,45.80,45.80,45.40,45.40,13291
26-Jun-17,45.79,45.93,45.51,45.80,99575
23-Jun-17,45.50,45.79,45.12,45.48,56530
22-Jun-17,45.19,45.19,45.00,45.10,655945
21-Jun-17,45.95,45.95,45.19,45.19,28979
20-Jun-17,45.17,45.60,45.17,45.31,84724
19-Jun-17,44.99,45.30,44.56,44.90,543931
16-Jun-17,43.35,44.00,43.10,43.75,203057
14-Jun-17,44.05,44.05,43.35,43.35,271799
13-Jun-17,43.88,43.90,43.60,43.85,8015
12-Jun-17,44.00,44.00,43.21,43.88,13507
9-Jun-17,43.99,44.00,43.70,43.85,8917
8-Jun-17,44.68,44.68,43.50,43.76,193194
7-Jun-17,44.71,45.00,43.95,44.39,76436
6-Jun-17,44.60,44.70,44.23,44.49,46305
5-Jun-17,45.00,45.80,43.92,45.00,89875
2-Jun-17,43.70,46.22,43.70,45.00,457453
1-Jun-17,41.29,43.18,41.29,43.01,182903
31-May-17,40.70,41.13,40.70,41.13,239122
30-May-17,41.69,41.69,40.65,40.65,143936
29-May-17,41.38,41.50,41.24,41.48,5600
26-May-17,40.75,41.50,40.75,41.45,126791
25-May-17,41.53,41.53,40.36,40.83,267990
24-May-17,41.00,42.03,40.35,41.48,581839
23-May-17,40.65,40.65,40.00,40.35,134415
22-May-17,39.79,40.56,39.30,40.50,250581
19-May-17,38.05,39.95,38.05,39.80,233673
18-May-17,38.31,38.59,37.76,38.23,39541
17-May-17,38.75,39.00,38.30,38.71,24182
16-May-17,39.00,39.28,38.87,38.98,190881
15-May-17,38.50,39.15,38.50,39.00,481057
12-May-17,38.00,38.79,37.79,38.79,98143
11-May-17,38.40,38.40,37.60,38.00,246320
10-May-17,38.50,38.50,38.05,38.40,71885
9-May-17,39.03,39.33,38.21,38.60,85999
8-May-17,39.00,39.35,37.95,39.01,146641
5-May-17,38.99,39.30,38.81,38.84,127879
4-May-17,39.00,39.48,38.70,38.80,168665
2-May-17,38.55,38.70,38.08,38.70,45397
28-Apr-17,38.69,38.76,37.77,38.76,181393
27-Apr-17,38.69,38.69,38.18,38.55,66596
26-Apr-17,39.20,39.46,37.51,38.69,472193
25-Apr-17,38.86,39.94,38.72,39.15,920443
24-Apr-17,39.50,39.50,38.60,39.36,664260
21-Apr-17,38.14,39.50,38.08,39.19,1513875
20-Apr-17,37.45,38.20,37.20,38.00,1361524
19-Apr-17,36.15,37.88,36.15,37.50,10267297
