b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,84.15,85.50,84.15,84.90,5808
14-Sep-17,83.90,84.00,83.90,84.00,1498
13-Sep-17,83.80,84.00,83.80,83.90,1369
12-Sep-17,83.90,84.00,83.85,84.00,1194
11-Sep-17,84.00,84.00,83.80,84.00,436
8-Sep-17,84.00,84.00,83.50,83.89,1832
7-Sep-17,83.98,84.30,83.30,84.00,3924
6-Sep-17,83.50,83.99,83.21,83.25,977
5-Sep-17,84.00,84.00,82.90,83.50,795
4-Sep-17,84.20,84.48,83.00,83.00,5718
1-Sep-17,82.50,85.00,82.00,84.00,2128
31-Aug-17,81.02,82.50,81.02,82.25,872
30-Aug-17,81.03,81.56,80.91,81.49,4013
29-Aug-17,81.99,81.99,80.17,80.17,230
28-Aug-17,82.00,83.88,81.56,81.56,3714
25-Aug-17,81.28,84.39,81.28,82.00,3539
24-Aug-17,80.50,81.47,80.50,80.90,29889
23-Aug-17,78.00,78.47,78.00,78.47,7299
22-Aug-17,78.15,78.20,77.43,78.20,1278
21-Aug-17,77.99,78.10,77.99,78.10,464
18-Aug-17,77.43,78.00,77.43,77.94,1577
17-Aug-17,77.50,77.50,77.43,77.50,1274
16-Aug-17,77.43,77.50,77.43,77.43,1273
14-Aug-17,77.00,77.50,76.66,77.43,864
11-Aug-17,77.43,77.49,77.43,77.49,641
10-Aug-17,78.00,78.00,77.44,77.50,383
9-Aug-17,77.52,77.53,77.43,77.53,10682
8-Aug-17,77.44,77.52,77.44,77.51,477
7-Aug-17,78.00,78.00,77.00,77.50,2879
4-Aug-17,78.00,78.19,76.55,77.55,703
3-Aug-17,78.19,78.20,76.90,78.20,1373
2-Aug-17,78.20,78.20,77.00,77.00,6861
1-Aug-17,76.25,78.20,75.00,78.20,46671
31-Jul-17,73.16,76.40,73.16,76.40,1896
28-Jul-17,75.58,75.58,74.50,75.49,2009
27-Jul-17,75.28,76.40,75.28,75.80,11703
26-Jul-17,74.50,75.45,74.50,75.45,5411
25-Jul-17,75.15,75.15,74.10,74.50,869
24-Jul-17,75.00,75.00,73.00,75.00,103644
21-Jul-17,73.50,75.43,72.51,75.00,12119
20-Jul-17,75.02,75.50,73.60,73.69,2878
19-Jul-17,75.47,75.47,75.02,75.02,625
18-Jul-17,74.99,75.50,74.98,75.50,1297
17-Jul-17,75.99,75.99,75.10,75.15,672
14-Jul-17,74.62,75.99,74.62,75.99,195
13-Jul-17,76.08,76.09,74.00,74.55,1478
12-Jul-17,76.00,77.29,75.71,76.40,408
11-Jul-17,77.35,77.35,75.67,75.70,237
10-Jul-17,77.40,77.47,74.40,77.35,1687
7-Jul-17,74.13,77.50,74.13,77.50,2844
6-Jul-17,74.99,75.29,74.10,74.13,535
5-Jul-17,76.50,76.50,73.94,74.00,2649
4-Jul-17,76.49,76.50,75.95,76.50,1695
3-Jul-17,76.00,76.50,76.00,76.50,1260
30-Jun-17,75.97,76.50,75.50,76.50,3923
29-Jun-17,74.70,76.36,74.00,75.00,12008
28-Jun-17,74.80,74.80,74.70,74.70,1414
27-Jun-17,74.62,74.80,74.45,74.76,1243
26-Jun-17,74.40,74.62,74.40,74.50,1051
23-Jun-17,74.80,74.80,73.70,74.40,5125
22-Jun-17,79.00,79.00,78.50,78.71,5539
21-Jun-17,78.00,79.00,76.61,78.80,4587
20-Jun-17,76.58,77.50,76.00,77.40,29002
19-Jun-17,76.58,76.58,76.00,76.45,7356
16-Jun-17,77.00,78.10,76.00,76.00,6574
14-Jun-17,77.00,77.00,75.75,76.00,5696
13-Jun-17,76.00,76.45,75.62,76.45,4661
