b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,15.25,15.35,13.58,14.05,24412
14-Sep-17,14.84,15.23,14.71,14.90,1694
13-Sep-17,15.35,15.35,14.85,14.85,1220
12-Sep-17,14.91,15.77,14.30,15.35,4967
11-Sep-17,14.40,14.92,14.27,14.79,568
8-Sep-17,14.88,14.88,14.27,14.40,5113
7-Sep-17,15.18,15.20,14.22,14.88,7127
6-Sep-17,15.44,16.00,15.02,15.20,9525
5-Sep-17,14.67,15.40,14.35,15.40,20783
4-Sep-17,15.38,15.38,14.03,14.70,24255
1-Sep-17,13.19,15.40,12.50,14.98,39610
31-Aug-17,13.23,13.23,12.46,12.86,1328
30-Aug-17,13.17,13.17,12.37,12.79,5302
29-Aug-17,11.04,13.30,11.00,13.24,69852
28-Aug-17,11.60,11.60,10.55,11.04,4891
25-Aug-17,11.00,11.04,10.75,11.04,116
24-Aug-17,11.28,11.46,10.19,11.00,21568
23-Aug-17,11.41,11.41,11.22,11.28,179
22-Aug-17,11.29,11.55,10.84,11.20,569
21-Aug-17,11.56,11.87,10.84,11.10,4767
18-Aug-17,11.29,11.87,11.00,11.54,15806
17-Aug-17,11.40,11.40,10.96,11.36,12630
16-Aug-17,11.54,11.54,11.07,11.47,213
14-Aug-17,11.28,11.65,11.10,11.54,2099
11-Aug-17,11.24,11.28,10.60,11.28,1515
10-Aug-17,11.57,11.57,10.60,11.07,1625
9-Aug-17,11.59,11.59,10.46,10.79,3169
8-Aug-17,10.75,11.41,10.70,11.25,1751
7-Aug-17,10.77,10.86,10.69,10.75,1090
4-Aug-17,10.10,10.98,9.95,10.78,46358
3-Aug-17,11.30,11.30,9.81,10.28,8084
2-Aug-17,11.65,11.65,10.77,11.50,1577
1-Aug-17,11.65,11.65,10.78,11.20,284
31-Jul-17,11.30,11.65,11.30,11.65,1503
28-Jul-17,11.65,11.65,10.78,11.20,28
27-Jul-17,11.14,11.65,11.14,11.65,32
26-Jul-17,11.17,11.22,10.83,11.15,902
25-Jul-17,11.10,11.28,10.77,11.00,904
24-Jul-17,10.80,11.34,10.77,11.10,309
21-Jul-17,11.34,11.34,11.30,11.30,2
20-Jul-17,11.34,11.34,10.90,11.34,24
19-Jul-17,11.34,11.34,11.34,11.34,5
18-Jul-17,11.34,11.34,10.90,11.34,51
17-Jul-17,11.34,11.34,11.00,11.33,530
14-Jul-17,11.35,11.35,11.05,11.23,23
13-Jul-17,11.36,11.36,11.05,11.35,62
12-Jul-17,11.36,11.36,11.00,11.35,40
11-Jul-17,11.77,11.77,11.35,11.35,14
10-Jul-17,11.85,11.85,10.85,11.40,7
7-Jul-17,11.63,11.85,11.30,11.35,403
6-Jul-17,11.65,11.65,11.30,11.63,76
5-Jul-17,11.77,11.77,11.30,11.65,370
4-Jul-17,11.81,11.81,11.30,11.72,315
3-Jul-17,11.85,11.85,11.85,11.85,12
30-Jun-17,11.80,11.85,11.80,11.85,657
29-Jun-17,11.81,11.81,11.30,11.59,18
28-Jun-17,12.00,12.00,11.02,11.70,3540
27-Jun-17,12.35,12.35,11.55,12.00,2491
26-Jun-17,12.35,12.35,12.35,12.35,12
23-Jun-17,12.35,12.35,12.10,12.29,14557
22-Jun-17,12.37,12.37,11.95,12.28,408
21-Jun-17,12.10,12.38,11.80,12.34,3076
20-Jun-17,12.14,12.40,12.10,12.10,1227
19-Jun-17,12.30,12.66,11.85,12.14,7624
16-Jun-17,11.21,12.30,11.01,12.30,4610
14-Jun-17,11.14,11.14,10.90,11.14,2977
13-Jun-17,10.95,10.95,10.90,10.95,1970
12-Jun-17,11.25,11.25,10.70,10.95,2317
9-Jun-17,10.39,11.42,10.36,11.15,18260
8-Jun-17,10.39,10.39,10.39,10.39,23
7-Jun-17,10.39,10.39,10.39,10.39,62
6-Jun-17,10.39,10.39,10.15,10.30,121
5-Jun-17,10.40,10.40,10.39,10.39,506
2-Jun-17,10.68,10.68,10.01,10.40,260
1-Jun-17,10.50,10.79,9.85,10.35,7984
31-May-17,9.41,10.90,9.41,10.79,19778
30-May-17,9.40,9.40,9.34,9.34,213
29-May-17,9.35,9.35,9.34,9.34,3
26-May-17,9.40,9.40,9.05,9.35,3544
25-May-17,9.44,9.44,9.39,9.39,162
24-May-17,9.43,9.43,9.07,9.39,286
23-May-17,9.29,9.45,9.05,9.38,320
22-May-17,9.64,9.64,9.04,9.29,1730
19-May-17,9.73,9.73,9.33,9.33,502
18-May-17,9.75,9.75,9.33,9.64,2408
17-May-17,9.79,9.79,8.83,9.76,8436
16-May-17,9.79,9.85,9.79,9.80,2349
15-May-17,9.79,9.79,9.79,9.79,2
12-May-17,9.80,9.80,9.51,9.79,796
11-May-17,9.78,9.92,9.51,9.88,748
10-May-17,9.95,9.95,9.51,9.78,1390
9-May-17,10.13,10.13,9.70,9.75,1909
8-May-17,10.10,10.21,9.91,10.13,2325
5-May-17,9.72,10.11,9.72,10.11,218
4-May-17,10.03,10.17,9.71,9.71,2126
2-May-17,9.87,9.87,9.70,9.87,322
28-Apr-17,10.04,10.04,9.70,9.90,3535
27-Apr-17,10.05,10.20,10.00,10.04,3921
26-Apr-17,9.99,10.30,9.84,10.14,15454
25-Apr-17,9.83,9.90,9.83,9.90,1243
24-Apr-17,9.83,9.83,9.50,9.80,3907
21-Apr-17,9.83,9.83,9.83,9.83,23
20-Apr-17,9.85,9.85,9.80,9.83,271
19-Apr-17,10.10,10.10,9.51,9.85,2808
18-Apr-17,10.19,10.19,9.80,10.02,1420
13-Apr-17,10.19,10.19,9.80,10.00,907
12-Apr-17,10.20,10.20,10.15,10.15,2
11-Apr-17,10.22,10.22,9.62,10.20,1061
10-Apr-17,10.28,10.28,9.85,10.22,2625
7-Apr-17,10.29,10.29,10.00,10.28,844
6-Apr-17,10.31,10.31,9.92,10.29,1605
5-Apr-17,10.29,10.31,10.03,10.31,371
4-Apr-17,10.39,10.39,10.00,10.29,251
3-Apr-17,10.16,10.39,9.92,10.39,7665
31-Mar-17,10.42,10.42,9.92,10.16,2150
30-Mar-17,10.49,10.49,10.23,10.42,145
29-Mar-17,10.61,10.61,10.30,10.39,1671
28-Mar-17,10.79,10.79,10.23,10.62,1385
27-Mar-17,10.80,10.80,10.72,10.72,48
24-Mar-17,10.18,10.82,9.90,10.82,6444
23-Mar-17,9.89,10.20,9.89,10.18,5634
22-Mar-17,9.90,9.90,9.72,9.89,2008
21-Mar-17,10.22,10.22,9.71,9.77,3885
20-Mar-17,10.08,10.08,9.70,9.80,3945
17-Mar-17,10.25,10.25,9.81,10.08,5310
16-Mar-17,10.23,10.23,9.87,10.15,4292
15-Mar-17,10.23,10.23,9.82,10.23,2010
14-Mar-17,10.57,10.57,9.70,10.23,1713
13-Mar-17,10.45,10.60,10.00,10.46,4033
10-Mar-17,10.50,10.50,10.45,10.45,192
9-Mar-17,10.45,10.45,10.20,10.45,1946
8-Mar-17,10.50,10.50,10.00,10.38,4679
7-Mar-17,10.84,10.84,10.12,10.50,11893
6-Mar-17,10.95,11.47,10.60,10.89,25786
3-Mar-17,10.88,10.89,10.53,10.89,5083
2-Mar-17,10.96,10.96,10.70,10.88,5643
1-Mar-17,10.30,10.97,10.30,10.97,15458
28-Feb-17,10.20,10.32,10.00,10.29,3326
27-Feb-17,10.00,10.12,9.91,10.12,6020
24-Feb-17,10.02,10.04,9.81,10.04,4889
23-Feb-17,10.03,10.08,9.84,10.02,5241
22-Feb-17,10.07,10.07,9.60,10.03,9081
21-Feb-17,9.50,10.09,9.42,10.05,7238
20-Feb-17,10.11,10.12,9.52,9.52,3477
17-Feb-17,10.17,10.17,9.75,9.75,3809
16-Feb-17,10.10,10.20,9.76,10.17,5490
15-Feb-17,10.19,10.19,9.97,10.15,1810
14-Feb-17,10.06,10.28,9.91,10.19,3976
13-Feb-17,10.09,10.09,9.75,10.06,2183
