b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,344.00,352.00,338.00,349.40,41520
14-Sep-17,335.00,337.95,332.40,334.95,25998
13-Sep-17,335.00,343.95,327.00,335.00,14254
12-Sep-17,342.30,347.50,340.10,341.00,1877
11-Sep-17,345.00,352.20,340.00,347.50,24468
8-Sep-17,357.10,358.25,346.25,352.20,4684
7-Sep-17,357.00,364.00,357.00,360.25,980
6-Sep-17,365.50,367.45,357.00,364.00,3967
5-Sep-17,363.20,369.60,363.20,365.00,9742
4-Sep-17,368.00,368.00,361.55,363.20,4539
1-Sep-17,361.50,370.00,361.50,368.00,8032
31-Aug-17,354.10,359.20,353.00,357.00,16559
30-Aug-17,360.00,362.50,354.00,356.00,19657
29-Aug-17,370.00,370.60,360.50,362.00,4849
28-Aug-17,379.35,379.35,370.00,373.95,5600
25-Aug-17,385.00,385.00,377.50,379.35,2871
24-Aug-17,384.00,384.00,380.00,382.50,33079
23-Aug-17,373.00,380.00,373.00,380.00,6532
22-Aug-17,368.00,372.45,366.05,372.45,8507
21-Aug-17,367.90,367.90,365.00,366.00,5284
18-Aug-17,365.00,367.95,365.00,365.05,4291
17-Aug-17,363.20,368.00,361.05,365.05,5110
16-Aug-17,367.70,367.70,361.30,365.95,11174
14-Aug-17,368.00,368.00,360.45,367.00,8438
11-Aug-17,354.50,359.00,350.50,359.00,8015
10-Aug-17,352.00,359.95,352.00,355.00,1667
9-Aug-17,359.00,370.85,350.00,353.00,4401
8-Aug-17,367.95,369.95,365.10,365.10,8296
7-Aug-17,371.00,371.05,362.20,367.95,9322
4-Aug-17,360.00,371.00,360.00,371.00,3154
3-Aug-17,366.00,371.95,360.00,365.20,4750
2-Aug-17,373.00,373.00,366.05,369.40,3942
1-Aug-17,371.00,371.00,367.60,369.45,1627
31-Jul-17,372.00,372.00,367.55,369.85,1904
28-Jul-17,374.85,374.85,369.00,372.30,864
27-Jul-17,375.00,375.25,373.50,374.90,3604
26-Jul-17,374.00,379.00,371.00,377.00,8412
25-Jul-17,364.10,374.70,364.10,374.00,4336
24-Jul-17,369.00,374.00,368.60,368.90,4819
21-Jul-17,365.50,368.15,362.05,363.50,11155
20-Jul-17,372.95,372.95,356.00,359.95,8077
19-Jul-17,372.95,372.95,367.55,371.55,10955
18-Jul-17,366.40,373.80,366.40,372.05,14233
17-Jul-17,365.10,367.00,365.00,367.00,8706
14-Jul-17,365.75,366.00,360.25,365.10,7748
13-Jul-17,360.90,365.50,360.90,365.50,23823
12-Jul-17,354.00,360.90,351.95,360.90,1578
11-Jul-17,347.80,352.70,346.55,349.10,2507
10-Jul-17,356.10,356.10,348.10,352.90,1570
7-Jul-17,343.50,358.00,343.00,350.00,24484
6-Jul-17,335.00,345.00,335.00,342.50,50372
5-Jul-17,345.00,345.00,335.10,335.60,4874
4-Jul-17,348.00,348.00,340.30,342.05,648
3-Jul-17,356.95,356.95,348.15,348.40,2970
30-Jun-17,349.45,355.00,346.25,355.00,3253
29-Jun-17,346.10,351.75,346.10,349.45,2514
28-Jun-17,354.00,354.00,346.10,349.20,12200
27-Jun-17,366.00,366.00,353.00,353.00,1942
26-Jun-17,361.60,366.00,361.60,366.00,994
23-Jun-17,364.90,366.10,363.00,366.10,1271
22-Jun-17,366.00,366.00,360.15,363.95,11282
21-Jun-17,362.00,369.90,360.00,366.00,5817
20-Jun-17,359.70,362.85,354.55,362.00,2509
19-Jun-17,359.90,359.90,354.00,359.70,1895
16-Jun-17,355.00,359.90,355.00,359.90,1453
14-Jun-17,356.50,358.00,355.00,355.00,30335
13-Jun-17,355.00,357.50,355.00,356.50,14501
12-Jun-17,360.50,360.50,354.60,357.50,2534
9-Jun-17,360.00,363.10,358.45,360.50,3167
8-Jun-17,368.75,368.75,358.90,362.00,25382
7-Jun-17,364.20,369.95,357.10,369.95,3879
6-Jun-17,365.00,366.95,363.20,364.20,7820
5-Jun-17,357.00,367.15,356.00,364.50,11808
2-Jun-17,346.00,357.00,346.00,357.00,6668
1-Jun-17,339.70,347.95,337.05,347.95,2049
31-May-17,344.00,349.45,338.00,340.00,9520
30-May-17,338.20,344.00,338.20,344.00,5873
29-May-17,340.00,341.20,339.95,340.00,12211
26-May-17,342.45,342.45,339.20,340.00,6137
25-May-17,339.90,340.00,332.00,339.20,2060
24-May-17,339.00,339.00,334.95,338.55,22203
23-May-17,335.90,338.00,333.40,337.00,19806
22-May-17,330.05,335.00,330.05,331.75,18352
19-May-17,330.00,340.00,317.15,330.00,64102
18-May-17,341.50,344.50,331.35,343.30,3035
17-May-17,349.70,349.70,325.05,341.50,3529
16-May-17,352.90,352.90,344.00,348.00,20487
15-May-17,353.00,358.00,345.25,350.00,1396
12-May-17,355.00,357.40,350.15,357.40,21524
11-May-17,353.00,358.95,349.95,352.00,5448
10-May-17,355.00,355.00,350.00,351.00,32095
9-May-17,345.00,359.40,345.00,359.40,3731
8-May-17,357.80,360.00,341.00,341.10,2511
5-May-17,368.00,368.00,358.00,359.00,5574
4-May-17,366.50,368.85,363.05,366.00,10389
2-May-17,362.00,367.50,362.00,367.50,717
28-Apr-17,362.00,368.00,361.00,367.50,3864
27-Apr-17,370.00,378.85,367.90,367.90,10282
26-Apr-17,365.00,380.10,362.00,372.45,19434
25-Apr-17,350.00,369.95,350.00,361.90,20006
24-Apr-17,346.00,348.90,342.05,348.90,8079
21-Apr-17,345.00,346.00,341.50,343.00,40365
20-Apr-17,344.80,345.00,341.50,343.05,10767
19-Apr-17,341.20,344.90,339.95,344.80,9401
18-Apr-17,347.80,349.40,340.25,344.75,3577
