b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,5.69,5.69,5.30,5.30,133275
14-Sep-17,5.76,5.79,5.59,5.65,535994
13-Sep-17,5.56,5.76,5.56,5.76,283517
12-Sep-17,5.35,5.59,5.35,5.48,88722
11-Sep-17,5.31,5.35,5.28,5.31,63487
8-Sep-17,5.32,5.33,5.27,5.28,20845
7-Sep-17,5.33,5.33,5.25,5.27,18568
6-Sep-17,5.31,5.33,5.30,5.33,20123
5-Sep-17,5.27,5.29,5.22,5.23,17915
4-Sep-17,5.22,5.26,5.22,5.26,7233
1-Sep-17,5.24,5.27,5.20,5.22,22803
31-Aug-17,5.27,5.27,5.20,5.21,28630
30-Aug-17,5.23,5.27,5.22,5.25,61732
29-Aug-17,5.30,5.30,5.20,5.25,250504
28-Aug-17,5.27,5.32,5.27,5.30,14708
25-Aug-17,5.30,5.31,5.26,5.27,20970
24-Aug-17,5.31,5.33,5.27,5.28,33017
23-Aug-17,5.33,5.33,5.27,5.31,121744
22-Aug-17,5.31,5.35,5.31,5.32,41673
21-Aug-17,5.40,5.40,5.31,5.31,53345
18-Aug-17,5.41,5.44,5.39,5.40,27318
17-Aug-17,5.41,5.44,5.41,5.42,9504
16-Aug-17,5.41,5.45,5.40,5.41,10237
14-Aug-17,5.40,5.41,5.39,5.39,5066
11-Aug-17,5.39,5.40,5.35,5.40,14955
10-Aug-17,5.40,5.42,5.39,5.42,8111
9-Aug-17,5.40,5.41,5.36,5.39,36616
8-Aug-17,5.41,5.44,5.41,5.42,37126
7-Aug-17,5.43,5.44,5.40,5.41,20242
4-Aug-17,5.40,5.44,5.38,5.43,21709
3-Aug-17,5.39,5.43,5.38,5.40,26392
2-Aug-17,5.45,5.45,5.38,5.39,33474
1-Aug-17,5.41,5.45,5.40,5.43,57436
31-Jul-17,5.50,5.50,5.40,5.43,74082
28-Jul-17,5.57,5.57,5.49,5.50,39233
27-Jul-17,5.65,5.65,5.57,5.57,31034
26-Jul-17,5.69,5.69,5.63,5.65,21616
25-Jul-17,5.70,5.70,5.63,5.63,7352
24-Jul-17,5.70,5.70,5.61,5.62,16712
21-Jul-17,5.72,5.74,5.64,5.65,26541
20-Jul-17,5.65,5.79,5.65,5.75,23461
19-Jul-17,5.63,5.66,5.61,5.64,8484
18-Jul-17,5.62,5.65,5.61,5.61,11362
17-Jul-17,5.61,5.70,5.61,5.62,11781
14-Jul-17,5.62,5.65,5.59,5.62,13335
13-Jul-17,5.56,5.69,5.56,5.61,33105
12-Jul-17,5.58,5.67,5.55,5.60,72228
11-Jul-17,5.51,5.56,5.49,5.54,16146
10-Jul-17,5.51,5.51,5.45,5.50,12848
7-Jul-17,5.49,5.52,5.45,5.51,21483
6-Jul-17,5.60,5.60,5.48,5.50,61669
5-Jul-17,5.70,5.71,5.56,5.60,30765
4-Jul-17,5.75,5.85,5.54,5.70,153593
3-Jul-17,6.26,6.28,6.10,6.12,173952
30-Jun-17,6.32,6.54,6.22,6.26,298505
29-Jun-17,6.49,6.68,6.46,6.54,201708
28-Jun-17,6.26,6.46,6.21,6.45,301886
27-Jun-17,6.17,6.30,6.15,6.28,193089
26-Jun-17,6.14,6.21,6.05,6.15,397880
23-Jun-17,5.46,6.16,5.46,6.15,1006856
22-Jun-17,5.40,5.43,5.40,5.43,25358
21-Jun-17,5.40,5.43,5.33,5.42,33427
20-Jun-17,5.43,5.43,5.40,5.42,16199
19-Jun-17,5.40,5.44,5.40,5.44,12903
16-Jun-17,5.39,5.47,5.38,5.40,30159
14-Jun-17,5.36,5.42,5.36,5.40,11627
13-Jun-17,5.42,5.43,5.40,5.42,10602
12-Jun-17,5.49,5.49,5.40,5.44,27290
9-Jun-17,5.45,5.49,5.45,5.45,7254
8-Jun-17,5.49,5.50,5.43,5.45,24741
7-Jun-17,5.50,5.51,5.42,5.45,10362
6-Jun-17,5.40,5.50,5.40,5.45,19582
5-Jun-17,5.40,5.48,5.39,5.45,30766
2-Jun-17,5.39,5.42,5.34,5.38,51107
1-Jun-17,5.44,5.44,5.27,5.35,35232
31-May-17,5.59,5.59,5.27,5.40,204518
30-May-17,5.51,5.63,5.45,5.50,62071
29-May-17,5.57,5.57,5.41,5.50,27936
26-May-17,5.62,5.62,5.45,5.46,49260
25-May-17,5.53,5.62,5.50,5.55,39113
24-May-17,5.56,5.61,5.52,5.55,27588
23-May-17,5.55,5.64,5.51,5.56,14404
22-May-17,5.60,5.68,5.54,5.60,40583
19-May-17,5.40,5.57,5.40,5.55,93039
18-May-17,5.44,5.44,5.29,5.40,63239
17-May-17,5.59,5.59,5.48,5.48,50250
16-May-17,5.60,5.70,5.51,5.51,67454
15-May-17,5.53,5.64,5.52,5.64,58743
12-May-17,5.46,5.59,5.42,5.52,90868
11-May-17,5.44,5.45,5.40,5.42,42978
10-May-17,5.42,5.42,5.40,5.41,47957
9-May-17,5.41,5.44,5.37,5.44,18950
8-May-17,5.41,5.45,5.40,5.42,37820
5-May-17,5.37,5.42,5.33,5.41,24672
4-May-17,5.47,5.47,5.37,5.37,163060
2-May-17,5.47,5.47,5.34,5.47,27261
28-Apr-17,5.43,5.47,5.40,5.44,83418
27-Apr-17,5.43,5.46,5.40,5.43,118924
26-Apr-17,5.73,5.73,5.16,5.43,635217
25-Apr-17,5.84,5.85,5.75,5.83,47543
24-Apr-17,5.85,5.85,5.77,5.82,34334
21-Apr-17,5.94,5.94,5.72,5.75,79042
20-Apr-17,5.91,5.93,5.90,5.92,19096
19-Apr-17,5.91,5.94,5.90,5.91,24139
18-Apr-17,5.90,5.98,5.90,5.91,26168
13-Apr-17,5.86,5.92,5.86,5.91,18945
12-Apr-17,5.86,5.92,5.85,5.87,39743
11-Apr-17,5.95,5.95,5.85,5.86,44167
10-Apr-17,6.00,6.05,5.81,5.95,81590
7-Apr-17,6.04,6.13,6.01,6.02,149897
6-Apr-17,5.85,6.06,5.83,6.01,264265
5-Apr-17,5.71,5.84,5.65,5.83,96786
4-Apr-17,5.65,5.72,5.60,5.65,68428
3-Apr-17,5.60,5.67,5.60,5.60,32688
