b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,11.67,11.67,11.46,11.61,2772
14-Sep-17,11.70,11.79,11.60,11.67,1374
13-Sep-17,11.66,11.92,11.50,11.65,16377
12-Sep-17,11.81,11.95,11.71,11.71,4872
11-Sep-17,11.84,11.94,11.64,11.87,6912
8-Sep-17,11.89,12.00,11.80,11.95,9217
7-Sep-17,11.81,11.95,11.72,11.88,4525
6-Sep-17,12.07,12.09,11.81,11.81,4184
5-Sep-17,12.12,12.12,11.77,11.89,5449
4-Sep-17,12.20,12.33,12.05,12.12,10225
1-Sep-17,11.85,12.43,11.85,12.25,25864
31-Aug-17,11.24,11.75,11.20,11.75,18618
30-Aug-17,10.62,11.25,10.60,11.22,37231
29-Aug-17,10.75,11.00,10.61,10.63,59744
28-Aug-17,11.07,11.20,10.77,10.77,14470
25-Aug-17,11.25,11.47,11.05,11.08,10896
24-Aug-17,11.50,11.50,11.20,11.30,66595
23-Aug-17,11.33,11.47,11.11,11.47,3212
22-Aug-17,11.75,11.75,11.33,11.40,12647
21-Aug-17,11.36,11.75,11.36,11.75,13889
18-Aug-17,11.32,11.60,11.30,11.49,9874
17-Aug-17,11.32,11.35,11.07,11.30,49968
16-Aug-17,11.41,11.42,11.03,11.31,24301
14-Aug-17,11.60,11.64,11.43,11.49,13503
11-Aug-17,11.78,11.78,11.52,11.60,22004
10-Aug-17,11.75,11.80,11.59,11.79,6410
9-Aug-17,11.99,11.99,11.78,11.83,11580
8-Aug-17,12.10,12.10,11.87,11.94,8601
7-Aug-17,12.03,12.18,11.94,12.00,5287
4-Aug-17,12.14,12.31,11.98,12.25,5056
3-Aug-17,12.33,12.39,12.18,12.39,1937
2-Aug-17,12.38,12.39,12.22,12.33,6172
1-Aug-17,12.35,12.38,12.14,12.38,4989
31-Jul-17,11.90,12.40,11.80,12.40,12216
28-Jul-17,12.05,12.07,11.51,11.89,34798
27-Jul-17,12.01,12.14,12.01,12.12,3855
26-Jul-17,12.05,12.05,11.95,12.02,3111
25-Jul-17,12.06,12.30,12.06,12.10,8487
24-Jul-17,11.87,12.08,11.87,12.05,5694
21-Jul-17,12.14,12.14,11.83,12.08,4850
20-Jul-17,12.19,12.25,11.40,12.14,10939
19-Jul-17,12.34,12.34,12.12,12.25,6635
18-Jul-17,12.48,12.48,12.31,12.43,2882
17-Jul-17,12.50,12.50,12.29,12.48,7226
14-Jul-17,12.46,12.50,12.34,12.50,4914
13-Jul-17,12.75,12.75,12.22,12.50,22798
12-Jul-17,12.77,12.78,12.71,12.74,19818
11-Jul-17,12.51,12.77,12.51,12.77,22711
10-Jul-17,12.68,12.68,12.50,12.51,17729
7-Jul-17,12.47,12.68,12.47,12.68,5264
6-Jul-17,12.43,12.74,12.43,12.63,11020
5-Jul-17,12.40,12.43,12.22,12.42,15409
4-Jul-17,12.57,12.68,12.04,12.42,24265
3-Jul-17,13.00,13.04,12.57,12.57,18046
30-Jun-17,12.88,13.22,12.87,12.98,44121
29-Jun-17,12.79,12.79,12.56,12.69,8803
28-Jun-17,12.70,12.79,12.66,12.77,46354
27-Jun-17,12.61,12.94,12.52,12.66,39254
26-Jun-17,13.00,13.00,12.60,12.70,6161
23-Jun-17,13.07,13.08,12.94,12.95,4985
22-Jun-17,13.13,13.13,12.80,12.95,4780
21-Jun-17,13.10,13.15,12.80,13.10,7097
20-Jun-17,13.01,13.16,12.90,13.10,2557
19-Jun-17,13.09,13.25,12.90,13.00,6032
16-Jun-17,13.00,13.30,13.00,13.09,4473
14-Jun-17,13.25,13.37,12.84,12.99,9641
13-Jun-17,13.50,13.55,13.20,13.37,6461
12-Jun-17,13.90,13.96,13.36,13.49,6217
9-Jun-17,13.80,13.95,13.66,13.90,6306
8-Jun-17,13.66,13.80,13.45,13.80,8686
7-Jun-17,13.19,13.64,13.10,13.60,12126
6-Jun-17,13.19,13.19,13.00,13.15,1870
5-Jun-17,13.19,13.23,13.04,13.19,908
2-Jun-17,12.99,13.19,12.62,13.19,5679
1-Jun-17,13.03,13.03,12.81,12.97,5558
31-May-17,12.99,12.99,12.71,12.99,9148
30-May-17,13.06,13.17,12.50,12.89,21353
29-May-17,13.12,13.37,12.87,13.06,22957
26-May-17,13.83,14.01,13.67,13.99,2731
25-May-17,13.90,14.10,13.78,13.85,8664
24-May-17,13.91,14.05,13.78,13.91,4354
23-May-17,13.56,13.90,13.55,13.88,4909
22-May-17,13.61,13.79,13.47,13.79,3422
19-May-17,13.39,13.90,13.38,13.60,6542
18-May-17,13.14,13.52,13.00,13.40,4266
17-May-17,13.89,13.89,13.37,13.41,16101
16-May-17,14.09,14.20,13.55,14.00,21042
15-May-17,13.17,14.09,13.15,14.09,36943
12-May-17,13.07,13.19,12.90,13.17,5662
11-May-17,12.96,13.06,12.30,13.06,32736
10-May-17,13.16,13.16,12.60,12.95,24757
9-May-17,13.42,13.42,13.19,13.36,11379
8-May-17,13.20,13.45,13.03,13.45,11282
5-May-17,13.30,13.30,13.02,13.19,17660
4-May-17,12.73,13.37,12.70,13.27,36806
2-May-17,12.50,12.85,12.40,12.70,9968
28-Apr-17,12.20,12.50,12.20,12.50,18322
27-Apr-17,11.60,12.29,11.60,12.15,39768
26-Apr-17,12.00,12.00,11.02,11.70,114842
25-Apr-17,12.77,12.80,11.83,12.10,72265
24-Apr-17,13.25,13.25,12.50,12.73,23620
21-Apr-17,13.27,13.46,13.11,13.25,7525
20-Apr-17,13.40,13.40,13.25,13.40,9752
19-Apr-17,13.45,13.50,13.35,13.45,6042
18-Apr-17,13.82,13.87,13.45,13.55,8157
13-Apr-17,13.88,13.94,13.45,13.60,11216
12-Apr-17,13.90,13.92,13.76,13.89,2436
11-Apr-17,13.73,13.94,13.73,13.90,3164
10-Apr-17,13.86,13.95,13.71,13.95,5315
7-Apr-17,14.31,14.31,13.70,13.99,8465
6-Apr-17,14.10,14.38,13.86,14.16,5590
5-Apr-17,14.21,14.39,13.83,14.35,15490
4-Apr-17,14.18,14.49,14.14,14.20,25541
3-Apr-17,13.80,14.24,13.35,14.17,30382
31-Mar-17,14.10,14.28,13.53,13.74,20295
30-Mar-17,13.32,14.32,12.86,14.00,97693
29-Mar-17,13.95,13.96,13.41,13.42,31080
28-Mar-17,14.25,14.29,13.77,13.95,15257
27-Mar-17,13.65,14.20,13.14,14.08,76161
24-Mar-17,14.26,14.75,14.26,14.50,14480
23-Mar-17,14.59,14.86,14.40,14.55,27223
22-Mar-17,14.87,15.00,14.21,14.65,48981
21-Mar-17,15.42,15.50,14.60,15.17,46180
20-Mar-17,15.66,15.66,15.35,15.49,10452
17-Mar-17,15.60,15.60,15.31,15.59,6864
16-Mar-17,15.81,15.81,15.50,15.60,7746
15-Mar-17,15.65,16.00,15.50,15.51,14679
14-Mar-17,15.85,15.95,15.40,15.67,17559
13-Mar-17,15.60,16.16,15.44,15.87,17488
10-Mar-17,15.45,15.70,15.42,15.57,9208
9-Mar-17,15.39,15.80,15.17,15.37,13789
8-Mar-17,15.80,16.36,15.37,15.55,27067
7-Mar-17,16.33,16.45,15.37,15.88,69617
6-Mar-17,16.50,16.60,16.16,16.33,49047
3-Mar-17,15.38,16.91,15.15,16.39,172118
