b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,105.70,105.70,98.50,102.50,2993
14-Sep-17,106.00,106.00,105.95,105.95,58
13-Sep-17,107.00,107.05,106.10,106.10,601
12-Sep-17,108.45,108.45,106.15,107.45,361
11-Sep-17,109.00,109.00,108.00,108.00,467
8-Sep-17,109.70,109.70,108.15,108.25,705
7-Sep-17,108.90,110.00,108.50,109.65,272
6-Sep-17,111.00,111.90,108.50,108.90,1003
5-Sep-17,109.50,111.45,109.00,111.45,514
4-Sep-17,110.45,110.45,109.00,109.00,89
1-Sep-17,110.00,110.00,109.90,110.00,299
31-Aug-17,111.10,111.10,109.50,109.50,1063
30-Aug-17,110.05,112.00,110.00,110.20,613
29-Aug-17,111.50,111.50,109.00,110.00,835
28-Aug-17,113.00,113.00,110.20,110.95,757
25-Aug-17,110.45,114.00,110.00,113.65,390
24-Aug-17,109.50,110.65,109.20,110.60,296
23-Aug-17,110.00,110.00,109.80,110.00,403
22-Aug-17,109.75,110.10,109.50,109.80,509
21-Aug-17,110.05,111.65,110.00,110.00,81
18-Aug-17,110.05,110.20,109.15,110.00,106
17-Aug-17,111.90,111.90,109.95,110.00,395
16-Aug-17,111.95,111.95,111.50,111.50,66
14-Aug-17,112.00,112.40,112.00,112.00,267
11-Aug-17,112.00,112.85,112.00,112.50,265
10-Aug-17,113.30,113.40,113.30,113.40,50
9-Aug-17,113.50,113.50,113.35,113.35,26
8-Aug-17,111.85,112.95,111.85,112.95,337
7-Aug-17,110.00,111.90,110.00,111.85,133
4-Aug-17,109.75,111.90,109.75,111.50,375
3-Aug-17,110.00,111.75,109.75,111.75,236
2-Aug-17,109.00,109.55,108.95,109.50,511
1-Aug-17,108.50,111.50,108.50,108.95,6129
31-Jul-17,108.40,109.00,107.50,108.50,2915
28-Jul-17,108.60,109.00,108.00,108.00,901
27-Jul-17,109.20,109.40,109.10,109.40,246
26-Jul-17,112.20,112.20,106.55,109.20,1175
25-Jul-17,112.40,113.05,112.35,112.40,2546
24-Jul-17,116.00,116.00,112.35,112.35,594
21-Jul-17,117.00,118.50,116.10,117.00,994
20-Jul-17,118.00,118.60,117.85,117.90,935
19-Jul-17,117.95,118.50,117.50,117.50,23228
18-Jul-17,128.40,129.45,125.50,127.00,11731
17-Jul-17,128.30,129.75,128.20,128.20,4608
14-Jul-17,125.00,128.20,124.95,128.15,4601
13-Jul-17,123.50,125.00,123.50,124.90,1925
12-Jul-17,121.30,124.00,121.20,123.55,1931
11-Jul-17,121.30,121.30,121.05,121.30,358
10-Jul-17,121.30,121.30,121.00,121.30,926
7-Jul-17,121.30,121.30,121.00,121.30,601
6-Jul-17,121.30,121.30,120.75,121.30,748
5-Jul-17,121.05,121.05,120.50,120.70,195
4-Jul-17,122.25,123.20,120.50,120.50,785
3-Jul-17,121.30,122.25,121.00,121.90,651
30-Jun-17,121.20,121.30,120.50,120.50,520
29-Jun-17,120.00,121.00,120.00,120.95,1065
28-Jun-17,119.45,120.00,118.80,118.80,1554
27-Jun-17,117.20,119.45,117.20,119.35,996
26-Jun-17,116.50,117.20,116.50,117.20,1003
23-Jun-17,116.05,116.50,116.05,116.50,392
22-Jun-17,114.35,116.05,114.35,116.05,157
21-Jun-17,115.00,116.00,114.20,115.00,236
20-Jun-17,115.05,115.95,114.20,115.00,722
19-Jun-17,115.65,116.20,115.00,115.00,2411
16-Jun-17,120.00,120.00,112.25,116.20,2885
14-Jun-17,120.50,120.70,118.80,118.80,1493
13-Jun-17,118.85,118.85,118.80,118.85,586
12-Jun-17,120.50,120.50,118.80,118.80,562
9-Jun-17,120.50,120.50,119.50,120.00,592
8-Jun-17,120.00,120.50,119.00,120.50,569
7-Jun-17,120.50,120.55,120.00,120.55,866
6-Jun-17,120.00,120.75,120.00,120.65,779
5-Jun-17,119.75,120.90,119.70,120.85,607
2-Jun-17,120.80,121.00,119.20,121.00,1250
1-Jun-17,120.10,120.80,120.10,120.80,324
31-May-17,119.25,121.00,119.10,120.80,2094
30-May-17,119.30,120.90,119.15,119.25,1294
29-May-17,120.90,120.90,119.50,120.80,1076
26-May-17,121.95,121.95,119.85,120.85,817
25-May-17,120.50,121.50,120.00,120.50,1438
24-May-17,122.00,122.00,120.00,120.10,2341
23-May-17,120.50,122.10,119.80,122.10,1592
22-May-17,120.50,122.40,119.00,120.40,2569
19-May-17,122.00,122.00,120.60,121.00,1279
18-May-17,123.00,123.50,121.90,122.10,701
17-May-17,121.90,123.40,121.90,123.25,880
16-May-17,122.50,123.20,121.85,123.20,700
15-May-17,122.50,122.50,122.50,122.50,425
