b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,2.32,2.35,2.28,2.35,91307
14-Sep-17,2.41,2.41,2.30,2.32,324935
13-Sep-17,2.44,2.44,2.37,2.42,413869
12-Sep-17,2.53,2.53,2.40,2.44,135443
11-Sep-17,2.54,2.54,2.51,2.53,68539
8-Sep-17,2.55,2.55,2.51,2.54,50386
7-Sep-17,2.61,2.61,2.53,2.54,48183
6-Sep-17,2.52,2.61,2.49,2.55,224789
5-Sep-17,2.59,2.63,2.44,2.49,621717
4-Sep-17,2.70,2.70,2.56,2.56,79092
1-Sep-17,2.71,2.75,2.62,2.70,55879
31-Aug-17,2.53,2.74,2.53,2.70,185734
30-Aug-17,2.59,2.62,2.45,2.55,657926
29-Aug-17,2.91,2.95,2.51,2.59,1462063
28-Aug-17,3.00,3.00,2.91,2.91,70959
25-Aug-17,3.09,3.09,2.99,2.99,35869
24-Aug-17,3.12,3.14,3.05,3.09,40625
23-Aug-17,3.04,3.12,3.00,3.12,74110
22-Aug-17,2.89,3.03,2.86,3.02,105797
21-Aug-17,2.91,2.91,2.87,2.89,29904
18-Aug-17,2.84,2.91,2.80,2.91,193763
17-Aug-17,2.92,2.92,2.76,2.83,929822
16-Aug-17,2.94,2.94,2.87,2.90,33859
14-Aug-17,2.95,2.96,2.88,2.92,109743
11-Aug-17,3.03,3.03,2.94,2.95,57835
10-Aug-17,3.05,3.05,2.98,3.02,93557
9-Aug-17,3.05,3.08,3.02,3.02,49782
8-Aug-17,3.10,3.10,3.05,3.07,50340
7-Aug-17,3.08,3.10,3.04,3.06,37427
4-Aug-17,3.11,3.11,3.05,3.08,227045
3-Aug-17,3.10,3.11,3.06,3.11,214415
2-Aug-17,3.17,3.17,3.02,3.08,159978
1-Aug-17,3.22,3.22,3.15,3.17,49539
31-Jul-17,3.21,3.21,3.18,3.19,83382
28-Jul-17,3.22,3.22,3.17,3.21,69657
27-Jul-17,3.23,3.23,3.19,3.20,74247
26-Jul-17,3.22,3.22,3.21,3.22,28748
25-Jul-17,3.16,3.22,3.16,3.19,459197
24-Jul-17,3.22,3.23,3.16,3.18,24718
21-Jul-17,3.27,3.27,3.16,3.19,214783
20-Jul-17,3.27,3.27,3.20,3.26,81656
19-Jul-17,3.28,3.29,3.25,3.27,236943
18-Jul-17,3.25,3.28,3.25,3.25,100022
17-Jul-17,3.29,3.29,3.25,3.26,86962
14-Jul-17,3.25,3.36,3.25,3.29,256319
13-Jul-17,3.25,3.26,3.24,3.25,136245
12-Jul-17,3.28,3.29,3.25,3.26,57384
11-Jul-17,3.30,3.30,3.28,3.30,37103
10-Jul-17,3.36,3.36,3.26,3.30,31047
7-Jul-17,3.41,3.41,3.30,3.36,79274
6-Jul-17,3.15,3.37,3.10,3.34,427171
5-Jul-17,3.21,3.23,3.19,3.20,110489
4-Jul-17,3.25,3.25,3.20,3.21,54051
3-Jul-17,3.29,3.29,3.22,3.25,28090
30-Jun-17,3.23,3.30,3.20,3.30,34780
29-Jun-17,3.23,3.25,3.18,3.20,43016
28-Jun-17,3.23,3.24,3.18,3.20,30826
27-Jun-17,3.23,3.23,3.17,3.20,35226
26-Jun-17,3.23,3.24,3.20,3.20,27371
23-Jun-17,3.22,3.24,3.22,3.24,12223
22-Jun-17,3.27,3.27,3.18,3.20,237365
21-Jun-17,3.17,3.27,3.17,3.25,106119
20-Jun-17,3.19,3.19,3.08,3.16,139059
19-Jun-17,3.23,3.23,3.14,3.19,92195
16-Jun-17,3.25,3.26,3.22,3.23,133824
14-Jun-17,3.31,3.31,3.24,3.24,119376
13-Jun-17,3.31,3.31,3.29,3.30,60446
12-Jun-17,3.43,3.43,3.22,3.29,233380
9-Jun-17,3.43,3.45,3.40,3.42,261727
8-Jun-17,3.53,3.53,3.38,3.41,194781
7-Jun-17,3.45,3.47,3.42,3.44,11350
6-Jun-17,3.48,3.49,3.43,3.45,37153
5-Jun-17,3.42,3.48,3.42,3.47,42159
2-Jun-17,3.53,3.53,3.37,3.42,240746
1-Jun-17,3.53,3.53,3.46,3.51,19786
31-May-17,3.50,3.53,3.49,3.50,61707
30-May-17,3.58,3.58,3.50,3.50,97942
29-May-17,3.58,3.60,3.57,3.58,25448
26-May-17,3.59,3.59,3.56,3.58,63903
25-May-17,3.59,3.59,3.55,3.59,14096
24-May-17,3.59,3.59,3.57,3.58,39889
23-May-17,3.59,3.59,3.57,3.59,35699
22-May-17,3.59,3.59,3.55,3.58,44974
19-May-17,3.57,3.59,3.56,3.58,35585
18-May-17,3.56,3.59,3.51,3.56,50895
17-May-17,3.60,3.60,3.57,3.58,34025
16-May-17,3.64,3.64,3.57,3.60,62827
15-May-17,3.64,3.65,3.62,3.64,119748
12-May-17,3.65,3.65,3.62,3.64,41057
11-May-17,3.64,3.65,3.63,3.65,173061
10-May-17,3.65,3.65,3.62,3.64,226114
9-May-17,3.66,3.66,3.63,3.65,118590
8-May-17,3.67,3.67,3.62,3.65,321085
5-May-17,3.69,3.69,3.61,3.64,315618
4-May-17,3.68,3.69,3.65,3.67,25506
2-May-17,3.70,3.70,3.62,3.68,35823
28-Apr-17,3.70,3.70,3.64,3.64,104960
27-Apr-17,3.68,3.69,3.63,3.67,247188
26-Apr-17,3.59,3.74,3.57,3.64,157824
25-Apr-17,3.65,3.67,3.59,3.60,239926
24-Apr-17,3.65,3.66,3.61,3.64,22404
21-Apr-17,3.67,3.67,3.63,3.66,8864
20-Apr-17,3.69,3.69,3.62,3.62,269340
19-Apr-17,3.63,3.68,3.63,3.68,87925
18-Apr-17,3.59,3.66,3.58,3.63,140669
13-Apr-17,3.50,3.59,3.49,3.59,937693
12-Apr-17,3.77,3.80,3.50,3.50,3534284
11-Apr-17,3.83,3.83,3.76,3.77,141550
10-Apr-17,3.77,3.83,3.77,3.80,303123
7-Apr-17,3.77,3.77,3.69,3.76,261465
6-Apr-17,3.75,3.78,3.73,3.77,33408
5-Apr-17,3.78,3.78,3.74,3.77,30264
4-Apr-17,3.71,3.78,3.71,3.77,608183
3-Apr-17,3.89,3.89,3.67,3.75,1041380
31-Mar-17,3.87,3.93,3.83,3.90,667025
30-Mar-17,3.84,3.87,3.77,3.86,426909
29-Mar-17,3.77,3.85,3.76,3.80,49374
28-Mar-17,3.76,3.88,3.76,3.77,91391
27-Mar-17,3.90,3.90,3.71,3.81,288328
24-Mar-17,3.90,3.95,3.86,3.88,2631791
23-Mar-17,3.81,3.98,3.81,3.89,1773115
22-Mar-17,3.80,3.87,3.75,3.80,118584
21-Mar-17,3.77,4.02,3.75,3.82,3837852
20-Mar-17,3.73,3.80,3.71,3.77,823515
17-Mar-17,3.75,3.75,3.71,3.73,410480
16-Mar-17,3.74,3.77,3.73,3.75,881710
15-Mar-17,3.73,3.76,3.71,3.75,224380
14-Mar-17,3.70,3.78,3.70,3.70,196903
13-Mar-17,3.78,3.78,3.71,3.74,32798
10-Mar-17,3.78,3.79,3.73,3.76,56722
9-Mar-17,3.74,3.79,3.72,3.79,496853
8-Mar-17,3.70,3.74,3.66,3.70,184157
7-Mar-17,3.66,3.74,3.66,3.70,97843
6-Mar-17,3.74,3.74,3.66,3.70,161631
3-Mar-17,3.79,3.79,3.71,3.74,54382
2-Mar-17,3.80,3.80,3.73,3.79,159152
1-Mar-17,3.78,3.83,3.76,3.80,86779
28-Feb-17,3.72,3.80,3.70,3.77,95226
27-Feb-17,3.74,3.75,3.70,3.73,31095
24-Feb-17,3.86,3.86,3.63,3.75,160048
23-Feb-17,3.85,3.89,3.81,3.84,505663
22-Feb-17,4.02,4.03,3.82,3.85,327888
21-Feb-17,3.90,4.02,3.90,3.93,103488
20-Feb-17,3.86,3.96,3.86,3.88,86241
17-Feb-17,3.96,4.03,3.85,3.85,859502
16-Feb-17,3.74,3.95,3.71,3.93,2035567
15-Feb-17,3.73,3.74,3.71,3.74,113047
14-Feb-17,3.78,3.78,3.71,3.71,176732
13-Feb-17,3.79,3.79,3.76,3.78,118391
10-Feb-17,3.79,3.80,3.75,3.80,208630
9-Feb-17,3.80,3.80,3.74,3.78,469012
8-Feb-17,3.80,3.80,3.71,3.76,139030
7-Feb-17,3.80,3.80,3.78,3.80,205695
6-Feb-17,3.79,3.80,3.77,3.80,219730
3-Feb-17,3.79,3.80,3.75,3.79,258013
2-Feb-17,3.75,3.79,3.75,3.79,283474
1-Feb-17,3.79,3.80,3.68,3.75,178363
31-Jan-17,3.76,3.82,3.76,3.77,36985
30-Jan-17,3.79,3.81,3.70,3.72,248582
27-Jan-17,3.85,3.86,3.74,3.79,174414
26-Jan-17,3.88,3.92,3.80,3.81,122843
25-Jan-17,3.88,3.92,3.86,3.87,81655
24-Jan-17,3.94,3.94,3.85,3.88,100596
23-Jan-17,3.79,3.95,3.78,3.90,246358
20-Jan-17,3.79,3.80,3.75,3.79,340004
19-Jan-17,3.76,3.79,3.75,3.79,78550
18-Jan-17,3.79,3.79,3.75,3.75,65281
17-Jan-17,3.80,3.80,3.75,3.79,154239
16-Jan-17,3.75,3.82,3.75,3.78,285875
13-Jan-17,3.55,3.83,3.52,3.79,793453
12-Jan-17,3.49,3.60,3.47,3.49,7929835
11-Jan-17,3.57,3.59,3.49,3.49,453932
10-Jan-17,3.59,3.59,3.55,3.57,397389
9-Jan-17,3.58,3.63,3.58,3.59,311561
5-Jan-17,3.62,3.62,3.60,3.60,39890
4-Jan-17,3.62,3.62,3.55,3.60,27559
3-Jan-17,3.63,3.63,3.57,3.62,17533
2-Jan-17,3.63,3.63,3.57,3.63,25353
30-Dec-16,3.60,3.60,3.55,3.59,76128
29-Dec-16,3.47,3.63,3.44,3.60,101598
28-Dec-16,3.45,3.52,3.43,3.47,83160
27-Dec-16,3.45,3.45,3.42,3.45,83426
23-Dec-16,3.45,3.45,3.37,3.45,89470
22-Dec-16,3.47,3.50,3.37,3.45,126957
21-Dec-16,3.49,3.49,3.44,3.47,10294
20-Dec-16,3.49,3.49,3.46,3.49,55239
19-Dec-16,3.48,3.52,3.44,3.47,29519
16-Dec-16,3.54,3.54,3.51,3.51,10866
15-Dec-16,3.58,3.58,3.50,3.55,51487
14-Dec-16,3.52,3.58,3.50,3.58,147440
13-Dec-16,3.49,3.53,3.46,3.52,70516
12-Dec-16,3.56,3.60,3.43,3.50,192692
9-Dec-16,3.60,3.60,3.50,3.56,66835
8-Dec-16,3.63,3.63,3.56,3.56,16715
7-Dec-16,3.60,3.61,3.60,3.60,48749
6-Dec-16,3.63,3.63,3.58,3.60,23959
5-Dec-16,3.58,3.64,3.55,3.63,18725
2-Dec-16,3.64,3.64,3.53,3.58,353635
1-Dec-16,3.58,3.65,3.55,3.57,110485
30-Nov-16,3.59,3.60,3.55,3.55,10397
29-Nov-16,3.59,3.59,3.57,3.58,33526
28-Nov-16,3.61,3.65,3.54,3.59,40823
25-Nov-16,3.63,3.63,3.55,3.60,106737
24-Nov-16,3.57,3.64,3.57,3.63,12713
23-Nov-16,3.52,3.57,3.49,3.57,97933
22-Nov-16,3.53,3.53,3.49,3.49,8370
21-Nov-16,3.55,3.55,3.48,3.53,55104
18-Nov-16,3.56,3.56,3.50,3.54,143190
