b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,14.86,15.14,14.79,15.14,843992
14-Sep-17,14.94,15.00,14.57,14.95,376304
13-Sep-17,14.75,15.19,14.72,15.01,653561
12-Sep-17,14.85,14.93,14.66,14.75,574919
11-Sep-17,14.70,14.86,14.59,14.75,592269
8-Sep-17,14.69,14.91,14.34,14.70,677566
7-Sep-17,14.80,14.80,14.43,14.43,513589
6-Sep-17,14.70,15.00,14.44,14.81,396153
5-Sep-17,15.02,15.18,14.80,14.80,405698
4-Sep-17,15.10,15.17,15.01,15.01,228397
1-Sep-17,15.25,15.25,15.06,15.08,362226
31-Aug-17,15.51,15.56,15.00,15.25,521021
30-Aug-17,15.80,15.82,15.47,15.60,225069
29-Aug-17,15.99,15.99,15.84,15.88,154393
28-Aug-17,15.90,16.00,15.80,15.99,259491
25-Aug-17,15.90,15.98,15.80,15.90,315035
24-Aug-17,15.52,15.90,15.47,15.90,331176
23-Aug-17,15.90,15.90,15.57,15.65,233396
22-Aug-17,15.83,15.93,15.72,15.89,359854
21-Aug-17,15.62,15.95,15.62,15.78,161053
18-Aug-17,15.22,15.75,15.22,15.75,657596
17-Aug-17,15.50,15.67,15.41,15.43,318517
16-Aug-17,15.33,15.72,15.33,15.60,484498
14-Aug-17,15.44,15.50,15.02,15.28,541180
11-Aug-17,14.79,15.44,14.78,15.30,727456
10-Aug-17,15.50,15.62,14.79,14.85,734902
9-Aug-17,15.85,15.97,15.62,15.70,338869
8-Aug-17,15.65,16.00,15.65,15.90,522164
7-Aug-17,15.81,15.89,15.61,15.82,412003
4-Aug-17,15.28,15.83,15.28,15.80,615601
3-Aug-17,15.82,15.91,15.24,15.37,734504
2-Aug-17,15.33,15.96,15.33,15.80,1347469
1-Aug-17,15.15,15.32,15.10,15.25,620803
31-Jul-17,15.00,15.20,15.00,15.15,540628
28-Jul-17,14.82,15.08,14.82,14.97,305610
27-Jul-17,14.94,14.94,14.72,14.91,237226
26-Jul-17,14.89,14.99,14.89,14.95,196257
25-Jul-17,14.89,14.99,14.82,14.95,464193
24-Jul-17,14.80,14.90,14.70,14.87,211103
21-Jul-17,14.78,15.00,14.70,14.98,453292
20-Jul-17,15.00,15.11,14.90,14.97,422830
19-Jul-17,15.07,15.29,14.84,15.00,719059
18-Jul-17,15.16,15.30,14.92,15.05,717730
17-Jul-17,15.00,15.16,14.95,15.16,622230
14-Jul-17,14.60,15.10,14.60,15.00,1338976
13-Jul-17,14.15,14.61,14.04,14.60,949937
12-Jul-17,14.02,14.15,13.94,14.11,1134884
