b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,13.50,13.79,13.49,13.63,1021630
14-Sep-17,13.69,13.76,13.29,13.56,879109
13-Sep-17,13.63,13.87,13.50,13.77,811079
12-Sep-17,13.78,13.90,13.37,13.56,962134
11-Sep-17,13.40,13.76,13.26,13.72,822106
8-Sep-17,13.46,13.49,13.07,13.18,991871
7-Sep-17,13.49,13.54,13.27,13.43,1145694
6-Sep-17,13.80,13.84,13.36,13.36,913908
5-Sep-17,13.72,13.94,13.50,13.79,937565
4-Sep-17,14.00,14.04,13.73,13.73,479139
1-Sep-17,13.58,14.05,13.46,14.05,1099262
31-Aug-17,14.01,14.10,13.55,13.64,896050
30-Aug-17,14.16,14.27,13.85,14.01,1347523
29-Aug-17,14.30,14.33,13.97,14.13,992668
28-Aug-17,14.41,14.48,14.30,14.38,1223920
25-Aug-17,14.48,14.50,14.30,14.37,1937566
24-Aug-17,14.03,14.23,13.94,14.23,1759965
23-Aug-17,13.95,14.05,13.85,13.95,1307794
22-Aug-17,13.95,14.12,13.65,13.93,1819896
21-Aug-17,13.70,13.98,13.70,13.91,2630357
18-Aug-17,13.06,13.61,13.04,13.61,2128097
17-Aug-17,13.30,13.49,13.11,13.21,2297879
16-Aug-17,13.30,13.39,13.17,13.18,4604515
14-Aug-17,12.66,12.85,12.53,12.84,1529867
11-Aug-17,11.99,12.59,11.91,12.59,2435175
10-Aug-17,12.70,13.10,11.95,12.12,4451127
9-Aug-17,13.07,13.19,11.78,13.10,2045484
8-Aug-17,13.09,13.10,12.83,13.08,2441036
7-Aug-17,13.30,13.46,13.04,13.10,1745983
4-Aug-17,13.01,13.22,12.98,13.22,1552072
3-Aug-17,12.99,13.04,12.84,12.96,1080270
2-Aug-17,12.95,13.13,12.74,12.93,1561104
1-Aug-17,12.80,12.99,12.52,12.94,1280110
31-Jul-17,12.50,12.79,12.50,12.73,1609948
28-Jul-17,12.19,12.45,12.06,12.45,2083734
27-Jul-17,12.17,12.30,12.03,12.20,676443
26-Jul-17,12.23,12.37,12.08,12.20,786482
25-Jul-17,12.12,12.27,12.05,12.22,1255522
24-Jul-17,12.10,12.14,11.90,12.12,1367970
21-Jul-17,11.71,12.21,11.71,12.10,2512489
20-Jul-17,11.09,11.65,11.09,11.65,4117912
19-Jul-17,10.90,11.12,10.90,11.08,2403059
18-Jul-17,10.79,10.92,10.72,10.81,896055
17-Jul-17,10.91,10.98,10.66,10.72,644728
14-Jul-17,10.85,10.98,10.80,10.81,798527
13-Jul-17,10.74,10.96,10.74,10.88,1181960
12-Jul-17,10.47,10.78,10.47,10.74,1041665
11-Jul-17,10.44,10.66,10.43,10.48,689608
10-Jul-17,10.25,10.45,10.24,10.34,463585
7-Jul-17,10.15,10.26,10.10,10.20,307963
6-Jul-17,10.12,10.32,10.12,10.15,347254
5-Jul-17,10.25,10.28,10.10,10.10,457659
4-Jul-17,10.41,10.46,10.20,10.25,736041
3-Jul-17,10.50,10.53,10.42,10.45,309731
30-Jun-17,10.55,10.65,10.41,10.47,973287
29-Jun-17,10.75,10.77,10.54,10.70,557571
28-Jun-17,10.85,10.85,10.65,10.68,822679
27-Jun-17,10.90,10.98,10.84,10.86,1016532
26-Jun-17,10.90,10.96,10.72,10.87,826295
23-Jun-17,10.83,11.00,10.73,10.75,1669415
22-Jun-17,10.80,10.89,10.63,10.85,1505059
21-Jun-17,10.58,10.82,10.40,10.82,1589044
20-Jun-17,10.84,10.87,10.56,10.58,928523
19-Jun-17,10.60,10.84,10.52,10.84,2453509
16-Jun-17,10.13,10.50,10.12,10.50,2572539
14-Jun-17,9.97,10.13,9.91,10.13,1948953
13-Jun-17,10.06,10.12,9.91,9.91,1295543
12-Jun-17,9.98,10.06,9.94,10.00,1310699
9-Jun-17,10.08,10.17,9.94,10.00,1347658
8-Jun-17,9.98,10.08,9.93,10.05,1982510
7-Jun-17,9.82,9.99,9.80,9.98,863214
6-Jun-17,9.81,9.91,9.72,9.87,831581
5-Jun-17,10.02,10.02,9.79,9.87,334719
2-Jun-17,10.10,10.10,9.89,9.98,1347100
1-Jun-17,9.89,10.00,9.76,10.00,802386
31-May-17,9.92,10.03,9.75,9.84,847265
30-May-17,10.01,10.03,9.81,9.92,539010
29-May-17,10.13,10.13,9.97,10.03,130188
