b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,26.80,26.80,25.80,26.39,7655
14-Sep-17,27.64,27.64,26.13,26.13,2508
13-Sep-17,27.80,27.80,27.10,27.65,989
12-Sep-17,27.70,27.98,27.40,27.80,2764
11-Sep-17,27.02,27.70,27.02,27.70,1779
8-Sep-17,27.40,28.20,27.11,28.20,618
7-Sep-17,28.01,28.10,27.30,27.40,1851
6-Sep-17,26.50,28.44,26.50,28.00,10690
5-Sep-17,26.63,26.95,26.40,26.45,27474
4-Sep-17,26.47,26.47,26.00,26.00,153
1-Sep-17,26.10,26.46,26.10,26.39,860
31-Aug-17,26.00,26.00,25.60,26.00,1604
30-Aug-17,26.00,26.00,25.61,26.00,76
29-Aug-17,26.00,26.00,25.70,25.70,335
28-Aug-17,26.01,26.43,25.60,25.99,2740
25-Aug-17,26.50,26.50,25.70,26.00,669
24-Aug-17,26.99,26.99,26.00,26.49,1796
23-Aug-17,27.38,27.38,26.50,26.99,1131
22-Aug-17,28.24,28.24,27.35,27.38,599
21-Aug-17,28.28,28.28,28.27,28.27,16
18-Aug-17,27.41,28.28,26.99,28.28,1538
17-Aug-17,27.41,27.66,27.41,27.41,351
16-Aug-17,28.00,28.00,27.41,27.41,22049
14-Aug-17,28.10,28.10,27.41,28.09,602
11-Aug-17,28.28,28.28,28.28,28.28,6
10-Aug-17,28.28,28.28,27.46,28.28,12
9-Aug-17,28.30,28.30,27.46,28.29,149
8-Aug-17,28.30,28.30,27.60,27.60,243
7-Aug-17,28.25,28.30,27.70,28.30,152
4-Aug-17,28.00,28.00,28.00,28.00,55
3-Aug-17,28.98,28.98,28.06,28.30,940
2-Aug-17,29.00,29.00,29.00,29.00,9
1-Aug-17,28.51,29.89,28.51,29.00,330
31-Jul-17,29.87,29.87,28.28,28.40,2944
28-Jul-17,28.85,28.94,28.85,28.94,171
27-Jul-17,28.79,28.90,28.60,28.90,481
26-Jul-17,28.90,28.90,28.90,28.90,2
25-Jul-17,27.50,29.12,27.32,29.00,1671
24-Jul-17,28.40,28.40,27.60,27.60,1020
21-Jul-17,28.59,28.59,28.10,28.40,528
20-Jul-17,28.69,28.69,28.10,28.62,1789
19-Jul-17,29.00,29.00,28.80,28.80,173
18-Jul-17,29.99,29.99,27.61,29.09,1311
17-Jul-17,30.00,30.00,29.06,29.99,673
14-Jul-17,29.99,30.00,29.99,30.00,103
13-Jul-17,29.01,30.68,29.01,30.00,225
12-Jul-17,30.50,30.50,29.00,29.01,672
11-Jul-17,30.33,30.33,29.95,29.95,18
10-Jul-17,30.30,30.60,29.95,30.49,288
7-Jul-17,31.30,31.30,29.95,30.00,2378
6-Jul-17,31.00,31.00,30.00,30.02,1424
5-Jul-17,31.30,31.30,30.21,31.30,138
4-Jul-17,31.00,31.00,31.00,31.00,2
3-Jul-17,31.30,31.30,31.30,31.30,2
30-Jun-17,31.40,31.40,30.65,31.30,17
29-Jun-17,31.40,31.40,31.01,31.40,1307
28-Jun-17,31.40,31.40,31.40,31.40,2
27-Jun-17,31.40,31.40,31.40,31.40,1
26-Jun-17,31.49,31.49,31.49,31.49,4
23-Jun-17,31.49,31.49,31.49,31.49,515
22-Jun-17,31.50,31.50,31.30,31.49,142
21-Jun-17,31.50,31.50,30.60,31.50,189
20-Jun-17,31.89,31.89,31.85,31.89,173
19-Jun-17,32.00,32.00,31.89,31.89,92
16-Jun-17,33.00,33.00,32.00,32.00,17
14-Jun-17,32.00,32.00,31.50,32.00,424
13-Jun-17,32.18,32.18,31.40,31.50,238
12-Jun-17,32.40,32.40,32.30,32.30,262
9-Jun-17,32.49,32.49,31.55,32.30,204
8-Jun-17,32.49,32.49,32.49,32.49,2
7-Jun-17,32.60,32.60,32.60,32.60,2
6-Jun-17,32.96,32.96,31.80,32.60,40
5-Jun-17,32.96,32.96,32.10,32.89,243
2-Jun-17,33.20,33.20,32.50,32.50,42
1-Jun-17,31.28,31.50,31.28,31.50,225
31-May-17,31.00,31.28,31.00,31.28,147
30-May-17,31.28,31.28,31.00,31.10,618
29-May-17,31.28,31.28,31.00,31.28,6
26-May-17,31.09,31.09,31.09,31.09,2
25-May-17,31.19,31.19,30.90,31.18,15223
24-May-17,31.27,31.27,30.61,31.25,93
23-May-17,31.29,31.29,30.60,31.29,326
22-May-17,31.30,31.30,30.60,31.29,525
19-May-17,31.00,31.01,31.00,31.00,4299
18-May-17,30.59,31.50,30.59,31.50,70
17-May-17,31.20,31.50,30.80,31.50,307
16-May-17,31.50,31.50,30.56,31.20,11896
15-May-17,32.75,32.75,30.63,32.45,873
12-May-17,32.75,32.75,32.70,32.70,32
11-May-17,32.75,32.75,31.61,32.50,1943
10-May-17,31.55,32.85,31.55,32.75,2383
9-May-17,32.90,32.90,32.60,32.60,97
