b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,18.30,18.50,18.05,18.05,1757
14-Sep-17,18.50,18.50,17.95,18.13,3330
13-Sep-17,18.35,18.44,18.07,18.10,1691
12-Sep-17,18.40,18.50,18.10,18.16,4881
11-Sep-17,19.58,19.58,18.40,18.40,8054
8-Sep-17,20.11,20.12,19.52,19.58,5340
7-Sep-17,21.62,21.62,20.50,20.99,13194
6-Sep-17,22.00,22.00,20.99,21.50,4151
5-Sep-17,22.51,22.51,19.00,21.89,19710
4-Sep-17,23.95,23.99,22.80,22.80,3558
1-Sep-17,25.98,25.98,23.88,23.90,16508
31-Aug-17,28.47,28.47,28.44,28.45,886
30-Aug-17,26.44,28.94,26.44,28.18,2625
29-Aug-17,25.56,26.46,25.56,26.43,740
28-Aug-17,25.57,25.57,24.55,25.56,1640
25-Aug-17,25.65,26.00,25.00,25.57,4129
24-Aug-17,27.00,27.00,25.91,26.05,695
23-Aug-17,26.99,26.99,25.96,26.60,1500
22-Aug-17,28.19,28.19,26.00,26.99,2003
21-Aug-17,27.50,27.75,27.00,27.48,1023
18-Aug-17,28.19,28.19,27.05,27.99,985
17-Aug-17,28.40,28.40,27.51,28.18,572
16-Aug-17,28.50,28.50,27.44,28.10,42
14-Aug-17,28.95,28.95,27.49,28.00,6890
11-Aug-17,28.50,28.50,28.49,28.50,3033
10-Aug-17,28.30,28.50,28.29,28.50,706
9-Aug-17,28.95,28.95,27.71,28.30,137
8-Aug-17,28.35,29.00,28.20,28.98,506
7-Aug-17,27.61,28.50,27.61,28.35,454
4-Aug-17,28.67,28.67,28.67,28.67,1
3-Aug-17,28.02,28.50,27.90,27.90,2644
2-Aug-17,29.31,29.69,28.01,28.01,6671
1-Aug-17,30.50,30.50,29.31,29.31,494
31-Jul-17,30.50,30.50,29.50,29.51,860
28-Jul-17,29.60,30.00,29.60,30.00,2913
27-Jul-17,30.82,30.82,29.60,29.60,1344
26-Jul-17,29.80,30.89,29.80,30.88,258
25-Jul-17,29.70,30.89,28.91,29.80,2987
24-Jul-17,29.50,29.76,29.00,29.76,5743
21-Jul-17,30.02,31.15,29.50,29.80,21385
20-Jul-17,31.70,31.70,31.10,31.10,121
19-Jul-17,30.22,31.70,30.22,31.70,234
18-Jul-17,30.60,30.60,30.20,30.22,393
17-Jul-17,31.26,31.85,30.00,30.60,1898
14-Jul-17,32.20,32.20,31.26,31.26,201
13-Jul-17,32.40,32.40,32.20,32.20,16
12-Jul-17,32.45,32.45,32.40,32.40,66
11-Jul-17,31.50,32.50,31.38,32.50,153
10-Jul-17,32.48,32.48,31.39,31.42,1271
7-Jul-17,31.40,32.29,31.40,32.08,568
6-Jul-17,31.82,31.82,31.50,31.50,802
5-Jul-17,32.41,32.60,31.82,31.82,252
4-Jul-17,33.25,33.25,31.61,32.41,299
3-Jul-17,32.89,32.89,32.00,32.80,84
30-Jun-17,32.50,32.50,31.90,32.50,649
29-Jun-17,32.55,32.55,32.50,32.50,350
28-Jun-17,32.89,32.89,32.10,32.55,114
27-Jun-17,32.80,32.80,32.00,32.77,302
