b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,39.15,39.27,38.03,38.38,482592
14-Sep-17,39.45,39.59,39.10,39.18,280273
13-Sep-17,39.70,39.94,39.25,39.40,648889
12-Sep-17,39.53,40.01,39.52,39.70,658062
11-Sep-17,39.00,40.06,38.91,39.33,419130
8-Sep-17,38.91,39.34,38.47,38.80,799840
7-Sep-17,39.06,40.71,38.47,39.16,1048694
6-Sep-17,38.73,39.70,38.03,39.60,397888
5-Sep-17,39.15,39.39,38.46,38.99,246023
4-Sep-17,39.10,39.29,38.41,39.00,194375
1-Sep-17,39.10,39.39,38.87,39.10,647311
31-Aug-17,38.42,39.59,38.42,39.14,1097343
30-Aug-17,36.53,38.82,36.53,38.48,1282743
29-Aug-17,36.10,36.64,35.88,36.40,716182
28-Aug-17,35.17,36.19,35.01,36.14,266735
25-Aug-17,34.02,35.29,34.00,35.15,1997731
24-Aug-17,36.70,36.78,36.00,36.00,588033
23-Aug-17,36.50,36.92,35.95,36.62,935566
22-Aug-17,33.62,36.36,33.62,36.30,1532780
21-Aug-17,33.47,33.98,33.43,33.78,253201
18-Aug-17,33.75,33.97,33.36,33.42,251078
17-Aug-17,34.36,34.37,33.61,33.90,498815
16-Aug-17,34.82,34.82,34.32,34.36,321284
14-Aug-17,34.77,34.77,34.02,34.56,232661
11-Aug-17,34.01,34.80,34.00,34.42,232042
10-Aug-17,34.21,34.42,33.60,34.20,302095
9-Aug-17,34.11,34.44,34.00,34.21,262880
8-Aug-17,34.30,34.34,34.05,34.11,162276
7-Aug-17,34.30,34.30,34.00,34.15,174306
4-Aug-17,34.10,34.66,34.10,34.33,104537
3-Aug-17,34.71,34.71,34.00,34.20,246708
2-Aug-17,35.06,35.28,34.10,34.50,475916
1-Aug-17,35.89,35.89,35.07,35.22,461318
31-Jul-17,35.40,35.85,35.06,35.53,410631
28-Jul-17,34.30,35.40,33.96,35.40,642493
27-Jul-17,34.53,34.94,34.04,34.20,469350
26-Jul-17,33.15,34.65,33.15,34.59,586435
25-Jul-17,32.51,33.50,32.51,33.14,586761
24-Jul-17,32.51,32.86,32.50,32.55,399760
21-Jul-17,33.60,33.60,32.72,32.81,281562
20-Jul-17,33.98,33.99,32.85,32.98,554982
19-Jul-17,33.59,34.18,33.58,33.80,323459
18-Jul-17,34.50,34.50,33.21,33.50,448825
17-Jul-17,34.00,34.65,33.94,34.40,410863
14-Jul-17,34.65,34.65,33.75,34.16,484937
13-Jul-17,34.10,34.67,33.78,34.67,569268
12-Jul-17,33.07,34.40,33.07,33.99,1220888
11-Jul-17,33.22,33.84,33.22,33.22,652855
10-Jul-17,32.00,33.08,32.00,33.05,760863
7-Jul-17,31.33,32.28,31.02,31.90,872231
6-Jul-17,31.33,31.56,31.10,31.30,249343
5-Jul-17,31.60,31.72,31.06,31.40,418169
4-Jul-17,31.31,31.81,31.31,31.60,633097
3-Jul-17,31.19,31.47,30.86,31.40,369169
30-Jun-17,31.26,31.35,30.89,31.00,327594
29-Jun-17,31.55,31.65,31.12,31.12,360484
28-Jun-17,31.12,31.54,30.77,31.30,686688
27-Jun-17,31.41,31.55,31.10,31.35,493071
26-Jun-17,31.00,31.52,31.00,31.46,206259
23-Jun-17,30.72,31.00,30.45,30.99,228201
22-Jun-17,30.65,30.75,30.41,30.50,422358
21-Jun-17,30.70,30.90,30.46,30.65,294240
20-Jun-17,31.06,31.06,30.41,30.85,691200
19-Jun-17,31.32,31.32,30.68,30.95,540240
16-Jun-17,31.18,31.45,30.87,31.20,529938
14-Jun-17,30.95,31.17,30.56,31.15,291679
13-Jun-17,31.50,31.73,30.97,31.28,358218
12-Jun-17,31.68,31.72,31.21,31.50,370451
9-Jun-17,30.89,31.77,30.77,31.75,1596695
8-Jun-17,30.60,30.89,30.48,30.70,695328
7-Jun-17,30.80,30.90,30.36,30.73,995980
6-Jun-17,30.51,30.74,30.25,30.74,424545
5-Jun-17,31.07,31.11,30.50,30.71,280731
2-Jun-17,30.91,31.16,30.51,30.88,801076
1-Jun-17,30.85,31.03,30.25,30.64,544049
31-May-17,31.85,31.94,30.51,30.88,1498528
30-May-17,31.70,32.10,31.40,31.85,439547
29-May-17,31.49,31.82,31.13,31.70,227240
26-May-17,31.47,31.63,30.90,31.50,505647
25-May-17,31.13,31.36,30.72,31.29,518596
24-May-17,30.66,31.15,30.61,31.00,513188
23-May-17,31.39,31.39,30.67,31.04,329700
22-May-17,31.01,31.45,30.61,31.01,599842
19-May-17,30.75,31.49,30.75,31.49,328054
18-May-17,30.65,31.18,30.20,30.86,249808
17-May-17,31.37,31.66,30.20,30.55,731353
16-May-17,31.05,31.76,31.05,31.68,346946
15-May-17,31.49,31.53,30.63,31.50,485642
12-May-17,31.00,31.81,30.68,31.27,1877231
11-May-17,32.95,33.09,31.95,32.00,601004
10-May-17,33.31,33.63,32.54,32.95,345497
9-May-17,33.00,33.50,32.77,33.31,432736
8-May-17,33.78,33.86,32.92,33.01,281114
5-May-17,32.90,33.46,32.54,33.46,558937
4-May-17,33.70,34.32,32.80,32.85,612805
2-May-17,34.42,34.57,33.50,33.50,431302
28-Apr-17,34.69,34.69,34.00,34.40,619100
27-Apr-17,34.00,34.65,33.84,34.52,809880
26-Apr-17,33.38,34.40,33.21,34.00,1278010
25-Apr-17,32.40,33.38,32.40,33.38,1068122
24-Apr-17,32.35,32.72,32.30,32.40,295980
21-Apr-17,31.88,32.58,31.86,32.30,411916
20-Apr-17,32.70,32.82,32.00,32.40,1466336
19-Apr-17,32.00,32.99,31.92,32.70,1057711
18-Apr-17,31.33,31.87,31.30,31.61,530849
13-Apr-17,31.12,31.52,31.07,31.19,562469
12-Apr-17,31.08,31.45,30.84,31.12,203392
11-Apr-17,31.31,31.31,30.72,30.95,296008
10-Apr-17,31.40,31.48,31.10,31.10,181527
7-Apr-17,31.75,31.86,31.32,31.40,294965
6-Apr-17,31.62,31.92,31.39,31.70,326156
5-Apr-17,31.67,31.85,31.28,31.60,392158
4-Apr-17,32.00,32.31,31.61,31.67,528992
3-Apr-17,32.12,32.12,31.50,32.10,335000
31-Mar-17,32.00,32.30,31.60,31.91,513974
30-Mar-17,32.16,32.32,31.58,32.00,409749
29-Mar-17,32.59,32.60,31.90,32.00,540211
28-Mar-17,31.90,32.74,31.80,32.55,660068
27-Mar-17,31.90,32.80,31.80,31.86,457451
24-Mar-17,32.27,32.45,31.68,32.13,314079
23-Mar-17,32.37,33.50,31.87,32.16,995864
22-Mar-17,31.13,32.25,30.90,32.04,986622
21-Mar-17,31.65,31.80,30.76,31.10,869553
20-Mar-17,31.75,31.96,31.27,31.65,347994
17-Mar-17,31.52,32.16,31.52,31.99,999038
16-Mar-17,31.61,31.93,31.55,31.75,484182
15-Mar-17,31.88,31.90,31.50,31.50,526726
14-Mar-17,32.21,32.34,31.80,32.07,692315
13-Mar-17,32.50,32.60,32.04,32.37,416177
10-Mar-17,32.80,33.01,32.02,32.38,670634
9-Mar-17,32.70,33.33,31.80,32.79,1129084
8-Mar-17,32.06,32.91,31.57,32.85,654823
7-Mar-17,32.41,32.45,31.80,32.14,663656
6-Mar-17,32.57,33.30,31.70,32.41,719720
3-Mar-17,33.80,33.80,32.24,32.60,940329
2-Mar-17,33.37,33.97,33.19,33.70,886315
1-Mar-17,33.30,33.57,32.57,33.30,1025266
28-Feb-17,33.74,33.77,32.89,33.20,1770690
27-Feb-17,34.98,34.98,33.60,33.72,1226607
24-Feb-17,35.00,35.49,34.40,35.01,894494
23-Feb-17,36.77,36.77,34.14,35.00,2768633
22-Feb-17,37.46,37.65,37.21,37.40,754321
21-Feb-17,37.25,37.43,37.01,37.30,269084
20-Feb-17,37.00,37.56,37.00,37.20,216814
17-Feb-17,37.55,38.20,36.67,36.81,762786
16-Feb-17,36.90,38.00,36.90,37.50,626694
15-Feb-17,38.05,38.05,36.35,36.90,6326042
14-Feb-17,39.05,39.10,38.05,38.05,558755
13-Feb-17,39.99,40.13,39.00,39.04,437080
10-Feb-17,39.40,39.80,39.15,39.68,542022
9-Feb-17,39.35,39.80,39.02,39.40,159689
8-Feb-17,39.30,39.40,38.89,39.40,209255
7-Feb-17,39.39,39.79,38.95,39.32,174518
6-Feb-17,39.36,39.60,39.04,39.28,196540
3-Feb-17,39.12,39.41,39.01,39.10,178648
2-Feb-17,39.20,39.49,38.69,39.10,248371
1-Feb-17,39.70,39.80,38.82,39.20,313567
31-Jan-17,39.30,39.90,38.65,39.90,181614
30-Jan-17,39.70,39.89,39.13,39.48,219733
27-Jan-17,40.05,40.14,39.39,39.55,144127
26-Jan-17,40.45,40.65,39.74,39.90,782272
25-Jan-17,38.74,39.93,38.74,39.70,2323548
24-Jan-17,39.00,39.01,37.90,38.75,620039
23-Jan-17,38.99,39.02,38.26,38.50,577330
20-Jan-17,39.11,39.77,39.02,39.26,339844
19-Jan-17,39.50,39.51,38.94,39.37,308786
18-Jan-17,39.53,39.70,38.92,39.14,519711
17-Jan-17,40.11,40.29,39.34,39.34,412369
16-Jan-17,40.49,40.70,40.00,40.23,194976
13-Jan-17,40.80,40.99,40.00,40.42,444111
12-Jan-17,41.85,41.92,40.31,40.90,439974
11-Jan-17,40.70,41.84,40.70,41.75,920052
10-Jan-17,40.20,41.16,40.06,40.55,528178
9-Jan-17,40.80,40.80,39.67,40.20,405361
5-Jan-17,41.48,41.50,40.72,41.20,341392
4-Jan-17,40.45,41.30,39.90,41.30,497791
3-Jan-17,40.32,40.56,40.04,40.10,407171
2-Jan-17,39.80,40.60,39.04,40.04,108890
30-Dec-16,39.50,39.62,38.80,39.34,178090
29-Dec-16,37.83,39.53,37.38,39.50,507049
28-Dec-16,38.63,38.70,37.91,38.02,262585
27-Dec-16,38.51,38.75,38.26,38.65,77323
23-Dec-16,39.56,39.90,38.21,38.65,358855
22-Dec-16,38.20,39.65,37.87,39.50,460429
21-Dec-16,37.80,38.87,37.80,38.21,604532
20-Dec-16,37.20,38.20,36.72,37.78,315087
19-Dec-16,36.60,37.39,36.10,37.00,344159
16-Dec-16,37.57,37.61,36.52,36.63,517367
15-Dec-16,38.70,38.89,37.15,37.22,307800
14-Dec-16,38.50,38.81,37.71,38.38,626148
13-Dec-16,36.26,39.60,36.26,38.81,820212
12-Dec-16,37.99,37.99,35.80,36.17,620926
9-Dec-16,37.10,37.57,36.80,37.57,208688
8-Dec-16,37.03,37.28,36.30,37.28,642583
7-Dec-16,37.04,37.35,36.80,37.35,412496
6-Dec-16,37.10,37.46,36.60,37.21,398606
5-Dec-16,36.11,37.24,36.00,37.00,289772
2-Dec-16,38.21,38.21,36.01,36.29,547991
1-Dec-16,39.00,39.00,37.45,37.45,814473
30-Nov-16,37.92,38.92,37.89,38.92,854380
29-Nov-16,37.00,38.90,37.00,37.88,516148
28-Nov-16,37.10,37.99,37.10,37.40,396955
25-Nov-16,39.00,39.00,37.81,38.25,401609
24-Nov-16,38.32,39.15,38.32,39.00,286256
23-Nov-16,37.57,38.69,37.57,38.21,633897
22-Nov-16,36.80,37.83,36.80,37.55,468800
21-Nov-16,36.00,36.98,36.00,36.80,343970
18-Nov-16,37.40,37.40,35.52,36.80,545180
17-Nov-16,37.05,38.10,36.60,37.71,639437
16-Nov-16,34.50,37.08,34.14,36.98,1058651
15-Nov-16,34.47,34.60,34.05,34.35,888040
14-Nov-16,36.00,36.50,33.80,33.99,1106365
10-Nov-16,37.90,37.90,36.31,36.50,844967
9-Nov-16,37.21,38.46,37.21,38.15,227543
8-Nov-16,37.80,38.35,37.70,38.30,386551
7-Nov-16,37.34,37.88,37.25,37.60,356530
4-Nov-16,37.20,37.96,37.00,37.00,211976
3-Nov-16,38.25,38.25,37.37,37.40,378613
2-Nov-16,39.05,39.18,38.00,38.00,473242
31-Oct-16,40.30,40.48,39.25,39.76,461360
28-Oct-16,39.24,40.62,38.93,40.55,454572
27-Oct-16,38.85,39.45,38.81,39.17,504698
26-Oct-16,38.90,39.32,38.80,39.21,392183
25-Oct-16,39.20,39.30,38.80,39.08,333071
24-Oct-16,38.31,39.19,38.31,39.19,438418
21-Oct-16,38.79,38.80,37.62,38.20,557473
20-Oct-16,38.25,38.99,38.11,38.55,559453
19-Oct-16,38.21,38.50,37.37,38.25,824853
18-Oct-16,40.35,40.35,37.82,38.11,1197731
17-Oct-16,40.31,40.49,39.76,40.10,344594
14-Oct-16,40.75,41.12,40.34,40.50,457656
13-Oct-16,40.01,41.12,40.01,40.60,679173
12-Oct-16,40.04,40.35,39.72,40.27,417336
11-Oct-16,40.90,40.90,39.00,40.21,714408
10-Oct-16,42.67,42.67,40.00,40.83,976502
7-Oct-16,41.95,42.55,41.95,42.40,996998
6-Oct-16,42.58,42.69,41.86,42.07,278419
5-Oct-16,43.25,43.35,41.70,42.30,354056
4-Oct-16,42.75,43.17,42.42,43.00,353075
3-Oct-16,42.87,43.42,42.42,42.72,191783
30-Sep-16,42.30,42.99,42.26,42.50,379746
29-Sep-16,41.87,42.80,41.59,42.71,705951
28-Sep-16,42.01,42.37,41.52,41.95,358123
27-Sep-16,42.34,42.42,41.85,42.05,362864
26-Sep-16,42.51,42.59,41.57,42.35,256432
23-Sep-16,42.80,43.00,42.11,42.40,446890
22-Sep-16,42.00,43.37,42.00,43.19,866219
21-Sep-16,41.89,42.80,41.73,42.00,2212277
20-Sep-16,42.00,42.00,41.31,41.80,891397
19-Sep-16,41.50,42.20,41.30,41.95,2845660
