b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,6.25,6.25,6.16,6.17,653386
14-Sep-17,6.19,6.25,6.16,6.25,351918
13-Sep-17,6.19,6.20,6.16,6.20,24514
12-Sep-17,6.21,6.22,6.15,6.19,63411
11-Sep-17,6.21,6.21,6.15,6.20,57755
8-Sep-17,6.15,6.18,6.15,6.16,101252
7-Sep-17,6.20,6.20,6.07,6.20,308527
6-Sep-17,6.25,6.25,6.09,6.20,142493
5-Sep-17,6.04,6.25,6.04,6.15,428449
4-Sep-17,5.83,6.05,5.83,6.05,204601
1-Sep-17,5.80,5.98,5.80,5.96,158338
31-Aug-17,5.82,5.83,5.80,5.81,7568
30-Aug-17,5.88,5.88,5.80,5.85,90992
29-Aug-17,5.87,5.87,5.80,5.87,40895
28-Aug-17,5.87,5.87,5.72,5.86,125755
25-Aug-17,5.87,5.87,5.75,5.80,23575
24-Aug-17,5.72,5.87,5.72,5.87,49573
23-Aug-17,5.60,5.73,5.60,5.73,40151
22-Aug-17,5.64,5.64,5.60,5.60,53269
21-Aug-17,5.65,5.66,5.61,5.65,515067
18-Aug-17,5.75,5.75,5.65,5.65,255124
17-Aug-17,5.83,5.83,5.75,5.75,429382
16-Aug-17,5.90,5.91,5.83,5.85,39967
14-Aug-17,5.85,5.90,5.85,5.90,167214
11-Aug-17,5.80,5.85,5.75,5.85,132742
10-Aug-17,5.90,5.92,5.81,5.81,5284
9-Aug-17,5.85,5.88,5.81,5.81,119214
8-Aug-17,5.86,5.86,5.82,5.85,68355
7-Aug-17,5.85,5.98,5.83,5.86,448223
4-Aug-17,5.88,5.90,5.82,5.84,382222
3-Aug-17,5.91,5.95,5.85,5.87,178617
2-Aug-17,5.93,5.97,5.90,5.90,384168
1-Aug-17,5.92,6.02,5.90,5.90,66144
31-Jul-17,6.00,6.02,5.84,6.00,242758
28-Jul-17,5.90,6.14,5.90,5.99,360455
27-Jul-17,5.92,6.05,5.90,5.90,371443
26-Jul-17,5.82,5.93,5.77,5.89,361069
25-Jul-17,5.83,5.83,5.76,5.82,127544
24-Jul-17,5.81,5.84,5.75,5.83,246783
21-Jul-17,5.83,5.87,5.80,5.80,31114
20-Jul-17,5.84,5.97,5.82,5.84,404402
19-Jul-17,5.83,5.84,5.78,5.84,407354
18-Jul-17,5.80,5.84,5.75,5.84,60608
17-Jul-17,5.85,5.85,5.77,5.84,5256
14-Jul-17,5.72,5.85,5.72,5.85,84733
13-Jul-17,5.72,5.78,5.72,5.72,36947
12-Jul-17,5.75,5.82,5.70,5.71,11551
11-Jul-17,5.75,5.83,5.75,5.75,10213
10-Jul-17,5.75,5.75,5.69,5.74,5201
7-Jul-17,5.71,5.75,5.68,5.69,28710
6-Jul-17,5.78,5.81,5.70,5.75,21958
5-Jul-17,5.82,5.84,5.79,5.79,61559
4-Jul-17,5.91,5.93,5.80,5.86,693731
3-Jul-17,5.82,5.90,5.82,5.89,778298
30-Jun-17,5.74,5.85,5.70,5.85,532313
29-Jun-17,5.71,5.80,5.71,5.76,184593
28-Jun-17,5.70,5.74,5.70,5.71,59583
27-Jun-17,5.70,5.75,5.70,5.70,23816
26-Jun-17,5.73,5.79,5.70,5.71,66274
23-Jun-17,5.77,5.77,5.65,5.71,1076867
22-Jun-17,5.78,5.79,5.70,5.78,40521
21-Jun-17,5.80,5.80,5.71,5.80,26715
20-Jun-17,5.86,5.86,5.80,5.83,58612
19-Jun-17,5.90,5.90,5.84,5.85,86396
16-Jun-17,5.90,5.90,5.85,5.88,43333
