b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,0.29,0.29,0.28,0.29,92876
14-Sep-17,0.30,0.30,0.29,0.30,81415
13-Sep-17,0.30,0.30,0.28,0.30,147136
12-Sep-17,0.30,0.31,0.29,0.29,80677
11-Sep-17,0.29,0.32,0.28,0.29,961488
8-Sep-17,0.29,0.29,0.27,0.28,228132
7-Sep-17,0.32,0.33,0.27,0.28,552071
6-Sep-17,0.35,0.35,0.29,0.32,338038
5-Sep-17,0.30,0.34,0.29,0.34,236036
4-Sep-17,0.29,0.30,0.28,0.30,33412
1-Sep-17,0.29,0.30,0.28,0.29,110597
31-Aug-17,0.31,0.31,0.28,0.29,171791
30-Aug-17,0.31,0.31,0.30,0.30,14734
29-Aug-17,0.31,0.31,0.30,0.31,26832
28-Aug-17,0.31,0.31,0.30,0.30,40403
25-Aug-17,0.31,0.31,0.29,0.31,43316
24-Aug-17,0.32,0.32,0.29,0.31,177964
23-Aug-17,0.32,0.34,0.31,0.31,150875
22-Aug-17,0.30,0.33,0.28,0.31,383928
21-Aug-17,0.30,0.31,0.28,0.30,439309
18-Aug-17,0.33,0.39,0.29,0.29,1351587
17-Aug-17,0.35,0.35,0.32,0.32,165587
16-Aug-17,0.36,0.36,0.33,0.34,133108
14-Aug-17,0.33,0.38,0.32,0.36,110036
11-Aug-17,0.41,0.44,0.36,0.36,345499
10-Aug-17,0.42,0.44,0.40,0.41,205400
9-Aug-17,0.44,0.45,0.41,0.42,93054
8-Aug-17,0.48,0.48,0.43,0.43,178145
7-Aug-17,0.49,0.50,0.48,0.48,63086
4-Aug-17,0.52,0.53,0.49,0.50,263883
3-Aug-17,0.53,0.55,0.50,0.54,225803
2-Aug-17,0.49,0.58,0.47,0.51,512476
1-Aug-17,0.49,0.49,0.47,0.49,34785
31-Jul-17,0.48,0.51,0.47,0.49,121833
28-Jul-17,0.44,0.54,0.44,0.48,500541
27-Jul-17,0.48,0.48,0.44,0.44,147152
26-Jul-17,0.53,0.53,0.49,0.49,98055
25-Jul-17,0.52,0.53,0.49,0.52,110772
24-Jul-17,0.54,0.55,0.49,0.52,504034
21-Jul-17,0.45,0.58,0.44,0.53,1007920
20-Jul-17,0.65,0.65,0.48,0.48,878559
19-Jul-17,0.53,0.58,0.51,0.58,611377
18-Jul-17,0.35,0.45,0.35,0.45,545698
17-Jul-17,0.30,0.34,0.30,0.34,125289
14-Jul-17,0.30,0.31,0.28,0.30,23662
13-Jul-17,0.29,0.31,0.28,0.30,152737
12-Jul-17,0.33,0.35,0.30,0.31,117141
11-Jul-17,0.34,0.34,0.32,0.33,40509
10-Jul-17,0.33,0.35,0.32,0.35,40582
7-Jul-17,0.36,0.38,0.34,0.36,77093
6-Jul-17,0.36,0.37,0.35,0.36,145454
5-Jul-17,0.40,0.48,0.36,0.38,1179048
4-Jul-17,0.30,0.40,0.29,0.40,421196
3-Jul-17,0.28,0.30,0.28,0.30,67461
30-Jun-17,0.28,0.29,0.28,0.28,492
29-Jun-17,0.27,0.29,0.27,0.29,12162
28-Jun-17,0.29,0.29,0.27,0.28,9838
27-Jun-17,0.27,0.29,0.27,0.28,33066
26-Jun-17,0.28,0.29,0.27,0.28,39332
23-Jun-17,0.28,0.28,0.27,0.28,4413
22-Jun-17,0.28,0.28,0.27,0.28,94454
21-Jun-17,0.29,0.30,0.27,0.29,30769
20-Jun-17,0.30,0.30,0.27,0.29,136382
19-Jun-17,0.29,0.30,0.27,0.30,147184
16-Jun-17,0.27,0.32,0.25,0.30,369401
14-Jun-17,0.33,0.34,0.27,0.27,682851
13-Jun-17,0.38,0.38,0.36,0.38,63270
12-Jun-17,0.40,0.40,0.37,0.39,87241
