b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,67.60,72.10,67.45,72.10,283835
14-Sep-17,70.13,70.13,67.52,67.59,45357
13-Sep-17,71.70,71.70,70.13,70.13,57468
12-Sep-17,71.90,71.90,70.71,71.32,5001
11-Sep-17,72.50,72.50,71.12,71.98,2266
8-Sep-17,71.70,73.40,70.81,72.45,3067
7-Sep-17,72.50,72.50,71.00,72.50,1440
6-Sep-17,72.06,72.50,71.74,72.50,3521
5-Sep-17,73.52,73.94,72.30,73.10,1962
4-Sep-17,74.45,74.45,73.52,74.45,1780
1-Sep-17,77.50,77.78,75.01,75.01,7445
31-Aug-17,74.02,77.10,73.41,76.00,10683
30-Aug-17,72.95,74.70,72.06,74.02,7146
29-Aug-17,73.00,73.00,71.62,72.99,6730
28-Aug-17,70.55,73.37,70.00,73.37,7521
25-Aug-17,73.00,73.00,71.07,71.07,1827
24-Aug-17,71.00,73.40,70.50,73.40,63933
23-Aug-17,72.00,72.50,72.00,72.00,618
22-Aug-17,71.00,72.00,70.01,72.00,2978
21-Aug-17,70.50,71.00,69.82,71.00,10037
18-Aug-17,69.60,70.00,69.60,70.00,4372
17-Aug-17,70.99,70.99,69.50,69.50,3523
16-Aug-17,71.00,71.79,70.81,70.83,742
14-Aug-17,70.70,71.93,70.00,70.70,1501
11-Aug-17,72.00,72.30,70.00,70.60,16023
10-Aug-17,68.00,71.00,68.00,70.00,32474
9-Aug-17,68.40,68.40,67.50,68.00,12408
8-Aug-17,68.50,68.89,68.00,68.59,1361
7-Aug-17,68.90,69.00,68.50,68.50,1604
4-Aug-17,67.45,68.50,67.42,68.49,22594
3-Aug-17,66.70,67.45,66.40,67.45,3916
2-Aug-17,65.30,66.76,65.30,66.00,67975
1-Aug-17,68.00,68.00,65.10,65.30,35349
31-Jul-17,72.73,73.39,67.17,67.77,81324
28-Jul-17,78.19,78.23,77.01,77.98,3228
27-Jul-17,78.39,78.39,76.50,78.00,4652
26-Jul-17,77.81,78.69,75.66,77.94,23859
25-Jul-17,76.64,79.40,76.35,77.50,4743
24-Jul-17,76.60,76.94,76.43,76.55,19904
21-Jul-17,78.15,78.15,76.50,76.60,18199
20-Jul-17,79.01,79.77,76.97,77.20,14972
19-Jul-17,80.20,80.22,79.67,79.67,871
18-Jul-17,80.19,81.00,79.86,80.22,1242
17-Jul-17,79.40,80.38,79.40,79.71,212
14-Jul-17,79.30,79.78,79.05,79.20,285
13-Jul-17,79.22,80.00,79.00,79.00,1344
12-Jul-17,82.00,82.00,79.10,79.10,1412
11-Jul-17,82.00,82.00,80.39,80.91,585
10-Jul-17,82.71,82.71,81.50,81.50,398
7-Jul-17,81.69,82.70,81.22,82.70,1738
6-Jul-17,81.31,82.04,81.00,82.04,1002
5-Jul-17,80.00,82.00,79.97,82.00,24720
4-Jul-17,82.95,82.95,80.00,80.00,1196
3-Jul-17,82.48,82.48,81.00,82.00,3584
30-Jun-17,80.60,82.35,80.60,82.35,7554
29-Jun-17,82.50,82.50,80.70,81.50,7370
28-Jun-17,83.50,83.50,82.40,82.43,707
27-Jun-17,81.49,83.50,80.50,83.50,6037
26-Jun-17,80.75,81.50,80.50,81.48,3047
23-Jun-17,79.99,80.01,79.55,80.00,21006
22-Jun-17,79.05,80.45,78.71,79.69,2532
21-Jun-17,79.69,79.69,78.95,79.35,2496
20-Jun-17,78.32,79.69,78.30,79.64,2108
19-Jun-17,78.49,78.49,76.71,78.20,900
16-Jun-17,76.61,78.50,76.60,78.50,533
14-Jun-17,76.66,77.00,75.99,77.00,3547
13-Jun-17,76.54,77.08,76.54,76.90,749
12-Jun-17,76.90,76.90,76.51,76.90,663
9-Jun-17,76.50,76.90,76.50,76.90,859
8-Jun-17,76.50,76.59,76.37,76.40,945
7-Jun-17,76.88,77.20,76.50,76.60,690
6-Jun-17,76.21,76.88,76.21,76.88,53420
5-Jun-17,76.15,77.01,76.15,76.90,6296
2-Jun-17,77.45,78.99,76.85,76.85,36404
1-Jun-17,77.50,77.69,75.75,76.50,34301
31-May-17,77.00,78.00,76.82,78.00,6589
30-May-17,77.50,77.64,76.70,77.45,91769
29-May-17,78.50,78.61,77.29,77.40,81752
26-May-17,79.75,79.75,78.30,78.50,989
25-May-17,79.30,79.30,78.20,79.19,4692
24-May-17,78.00,79.75,76.80,79.45,21106
23-May-17,79.80,79.80,77.60,78.00,1038
22-May-17,77.63,79.80,77.55,79.80,1879
19-May-17,77.82,78.48,77.63,77.63,840
18-May-17,77.20,79.00,76.02,79.00,6086
17-May-17,76.00,77.20,75.55,77.20,4501
16-May-17,76.07,77.00,76.07,76.15,7401
15-May-17,77.00,77.30,76.15,76.41,3433
12-May-17,78.00,78.50,76.86,77.18,56592
11-May-17,77.76,77.90,76.00,77.50,4028
10-May-17,78.78,78.78,77.34,77.76,30737
9-May-17,79.10,79.94,76.80,78.00,6338
8-May-17,79.24,80.50,78.90,79.00,1307
5-May-17,80.65,80.65,79.00,79.48,2782
4-May-17,81.50,81.99,79.88,79.88,2508
2-May-17,80.00,81.77,80.00,81.77,8769
28-Apr-17,79.30,80.67,78.60,79.25,6385
27-Apr-17,79.20,80.99,78.61,79.30,38684
26-Apr-17,82.00,82.00,78.33,78.98,16168
25-Apr-17,81.50,82.00,76.30,82.00,230823
24-Apr-17,83.63,83.63,82.20,83.00,3100
21-Apr-17,80.00,83.79,80.00,81.97,30639
20-Apr-17,78.45,79.95,78.01,79.95,3355
19-Apr-17,78.49,79.44,78.13,78.49,8345
18-Apr-17,78.65,79.69,78.65,79.49,1594
13-Apr-17,78.49,79.79,78.49,79.79,1045
12-Apr-17,77.98,79.49,77.98,78.46,4658
11-Apr-17,79.31,81.20,77.79,77.79,3152
10-Apr-17,81.00,81.80,79.30,79.30,3500
7-Apr-17,81.39,82.00,80.57,82.00,3498
6-Apr-17,80.73,81.54,80.50,81.00,1004
5-Apr-17,80.01,82.35,80.01,81.00,4650
4-Apr-17,80.17,81.44,79.21,80.00,2528
3-Apr-17,81.78,82.01,80.96,82.01,943
31-Mar-17,80.05,82.35,80.05,82.05,2109
30-Mar-17,80.00,81.29,80.00,81.00,9115
29-Mar-17,80.00,81.75,80.00,80.75,3442
28-Mar-17,79.60,81.86,79.60,79.70,1770
27-Mar-17,79.01,79.80,79.01,79.60,1968
24-Mar-17,81.00,81.50,79.99,80.98,1973
23-Mar-17,82.00,82.00,80.52,81.50,5450
22-Mar-17,82.00,82.00,80.05,81.50,4844
21-Mar-17,83.50,83.50,80.52,82.00,25463
20-Mar-17,83.97,84.79,83.00,83.00,50068
17-Mar-17,83.50,83.50,83.38,83.42,9895
16-Mar-17,83.50,83.50,83.30,83.50,3204
15-Mar-17,83.92,84.79,83.02,83.49,21148
14-Mar-17,84.91,84.91,83.25,83.92,20953
13-Mar-17,83.99,84.50,82.24,83.80,20474
10-Mar-17,79.05,84.00,79.05,81.36,5937
9-Mar-17,81.27,81.27,78.13,79.03,6012
8-Mar-17,83.00,83.30,81.02,81.39,14737
7-Mar-17,84.48,84.60,82.51,83.00,15364
6-Mar-17,85.49,85.49,84.05,84.64,705
3-Mar-17,84.60,85.50,84.02,85.45,2718
2-Mar-17,83.91,86.00,83.01,85.39,6016
1-Mar-17,83.90,83.90,83.56,83.90,5680
28-Feb-17,82.50,84.00,82.50,84.00,3586
27-Feb-17,83.90,84.60,82.38,83.28,4572
24-Feb-17,83.99,84.60,82.60,84.60,3461
23-Feb-17,84.00,84.00,82.61,83.90,2249
22-Feb-17,81.19,82.50,81.00,82.50,2877
21-Feb-17,81.00,81.34,80.23,81.20,8386
20-Feb-17,81.30,84.00,80.17,81.19,18309
17-Feb-17,82.60,82.60,81.00,81.00,4807
16-Feb-17,83.09,83.20,79.93,81.99,10632
15-Feb-17,82.25,82.40,81.51,82.08,2665
14-Feb-17,83.00,83.00,81.55,81.99,2052
13-Feb-17,84.00,84.00,82.99,83.00,1542
10-Feb-17,84.00,84.50,83.60,83.90,1318
9-Feb-17,81.49,85.17,80.33,84.00,8636
8-Feb-17,79.97,81.49,79.10,81.49,4898
7-Feb-17,81.70,81.70,79.16,80.05,5058
6-Feb-17,81.96,83.69,81.50,81.50,3557
3-Feb-17,83.20,83.20,81.20,81.50,3891
2-Feb-17,82.90,82.95,81.75,82.29,2415
1-Feb-17,83.01,83.85,82.07,82.99,7912
31-Jan-17,83.00,84.79,81.51,83.00,11607
30-Jan-17,81.49,83.00,81.27,83.00,4624
27-Jan-17,82.10,83.30,81.27,81.58,5736
26-Jan-17,84.80,86.00,82.80,84.00,17199
25-Jan-17,79.20,82.79,79.20,81.20,20540
24-Jan-17,76.80,77.40,76.80,76.90,13604
23-Jan-17,77.40,77.40,76.11,77.10,5470
20-Jan-17,76.30,76.80,75.50,76.73,12843
19-Jan-17,76.60,76.60,75.65,76.00,17237
18-Jan-17,75.80,77.00,75.22,76.67,7489
17-Jan-17,74.75,75.99,74.06,75.68,2545
16-Jan-17,74.26,74.80,73.60,74.80,2561
13-Jan-17,74.00,74.26,73.00,74.26,20563
12-Jan-17,74.81,74.81,74.39,74.39,925
11-Jan-17,73.60,75.00,73.60,74.81,3866
10-Jan-17,73.00,75.90,73.00,73.60,93046
9-Jan-17,73.98,75.39,72.60,73.00,14787
5-Jan-17,75.90,76.00,73.50,73.70,19497
4-Jan-17,76.80,76.90,75.80,75.80,2963
3-Jan-17,78.00,78.10,76.70,76.70,2050
2-Jan-17,75.05,77.30,74.00,77.30,13984
30-Dec-16,74.50,76.00,74.00,76.00,28385
29-Dec-16,74.88,74.97,71.52,74.97,7137
28-Dec-16,74.30,75.89,73.60,73.60,3059
27-Dec-16,75.45,75.45,73.65,74.50,1246
23-Dec-16,73.60,76.24,73.60,74.22,1034
22-Dec-16,74.00,74.00,73.60,73.60,2982
21-Dec-16,76.89,76.89,74.00,74.00,850
20-Dec-16,75.51,77.29,75.51,75.61,1234
19-Dec-16,76.11,78.59,75.55,75.99,3900
16-Dec-16,74.50,79.60,74.01,76.50,30937
15-Dec-16,74.05,74.98,74.05,74.69,1524
14-Dec-16,73.90,75.89,73.00,75.89,14228
13-Dec-16,72.30,74.40,72.30,73.88,3407
12-Dec-16,73.24,73.24,71.16,71.80,29419
9-Dec-16,74.48,74.48,72.65,73.24,10297
8-Dec-16,75.20,75.50,74.10,74.43,3205
7-Dec-16,75.70,76.20,75.00,75.00,1264
6-Dec-16,76.70,76.70,75.31,75.90,4274
5-Dec-16,76.59,76.80,76.01,76.70,3036
2-Dec-16,76.02,76.45,76.02,76.40,131178
1-Dec-16,76.79,76.79,75.80,76.50,741
30-Nov-16,76.19,76.90,75.75,76.60,640
29-Nov-16,76.98,76.98,75.65,76.19,36523
28-Nov-16,76.95,76.98,76.25,76.25,1548
25-Nov-16,76.51,76.98,76.20,76.20,3483
24-Nov-16,76.01,76.88,75.80,76.20,2533
23-Nov-16,74.46,75.50,74.00,75.50,2790
22-Nov-16,73.82,74.00,73.20,74.00,37119
21-Nov-16,74.00,74.00,73.30,73.31,4938
18-Nov-16,74.00,74.00,73.70,73.80,99726
17-Nov-16,74.00,74.45,73.30,74.00,3967
16-Nov-16,73.30,74.00,72.30,74.00,22247
15-Nov-16,73.50,73.79,73.00,73.25,6577
14-Nov-16,74.00,74.00,71.00,73.00,4379
10-Nov-16,71.75,74.00,71.41,73.00,102951
9-Nov-16,69.28,71.75,69.21,71.75,3425
8-Nov-16,70.81,71.97,69.52,70.69,4299
7-Nov-16,71.30,71.30,70.91,71.15,1550
4-Nov-16,71.50,71.50,70.80,71.30,52537
3-Nov-16,71.93,71.93,70.54,71.50,3057
2-Nov-16,72.62,72.62,70.85,71.60,96015
31-Oct-16,73.50,73.50,72.62,73.47,1191
28-Oct-16,73.50,73.50,72.38,73.49,8396
27-Oct-16,73.25,73.30,70.73,73.30,13683
26-Oct-16,73.33,73.50,71.95,73.30,3833
25-Oct-16,73.20,73.33,71.70,72.98,2267
24-Oct-16,72.74,73.18,72.05,73.18,1655
21-Oct-16,72.80,73.30,72.50,72.79,12599
20-Oct-16,73.67,73.67,72.01,72.60,484
19-Oct-16,75.99,75.99,72.81,73.33,1579
18-Oct-16,74.50,75.00,72.40,74.60,3864
17-Oct-16,74.50,75.00,74.50,74.60,4234
14-Oct-16,71.98,75.00,71.50,74.20,56795
