b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,25.79,26.00,25.40,25.60,38844
14-Sep-17,25.95,25.95,25.20,25.54,30197
13-Sep-17,25.70,26.06,25.50,25.50,69020
12-Sep-17,26.20,26.20,25.60,25.62,83169
11-Sep-17,27.05,27.05,25.90,26.00,93600
8-Sep-17,25.15,26.30,25.00,25.60,58717
7-Sep-17,26.00,26.80,24.80,25.30,109134
6-Sep-17,27.59,27.70,25.51,26.21,93392
5-Sep-17,26.00,28.60,26.00,27.10,185582
4-Sep-17,24.99,25.89,24.20,25.70,87597
1-Sep-17,23.64,25.23,23.46,24.20,96943
31-Aug-17,22.85,23.70,22.75,23.40,272438
30-Aug-17,22.87,22.87,22.50,22.70,90562
29-Aug-17,22.51,22.83,22.50,22.57,30178
28-Aug-17,22.55,22.85,22.49,22.50,35591
25-Aug-17,22.36,22.60,22.30,22.49,12713
24-Aug-17,22.80,22.84,21.37,21.80,36492
23-Aug-17,21.78,22.83,21.70,22.49,30835
22-Aug-17,22.00,22.00,21.20,21.70,55304
21-Aug-17,19.60,22.00,19.60,20.70,30093
18-Aug-17,19.50,19.59,19.11,19.56,22331
17-Aug-17,19.27,19.47,19.21,19.30,2905
16-Aug-17,19.10,19.30,19.10,19.18,8750
14-Aug-17,18.89,19.21,18.89,19.09,9712
11-Aug-17,18.64,18.90,18.64,18.89,8843
10-Aug-17,18.76,18.78,18.50,18.75,575
9-Aug-17,18.70,18.93,18.55,18.80,88358
8-Aug-17,18.70,19.00,18.60,18.65,281601
7-Aug-17,18.62,18.70,18.62,18.70,1266
4-Aug-17,18.76,18.80,18.51,18.70,43894
3-Aug-17,18.48,19.00,18.45,18.76,164260
2-Aug-17,18.47,18.50,18.44,18.45,18708
1-Aug-17,18.46,18.70,18.46,18.47,20250
31-Jul-17,19.00,19.00,18.32,18.55,12305
28-Jul-17,19.00,19.00,18.69,18.90,18038
27-Jul-17,18.98,19.13,18.44,19.00,115029
26-Jul-17,19.27,19.27,18.93,18.98,69835
25-Jul-17,19.30,19.30,19.05,19.20,159728
24-Jul-17,19.45,19.53,19.11,19.18,25629
21-Jul-17,19.21,19.40,19.11,19.36,105893
20-Jul-17,19.32,19.45,19.05,19.17,298467
19-Jul-17,19.15,19.55,18.75,19.30,261554
18-Jul-17,18.70,19.05,18.55,18.95,459512
17-Jul-17,18.88,18.88,18.40,18.56,783313
