b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,8.24,8.54,8.24,8.27,9961
14-Sep-17,8.40,8.66,8.13,8.25,28184
13-Sep-17,8.68,8.71,8.26,8.40,65332
12-Sep-17,8.82,8.95,8.70,8.75,14707
11-Sep-17,9.29,9.29,8.80,8.95,17180
8-Sep-17,9.25,9.37,8.89,9.04,19032
7-Sep-17,9.50,9.50,9.20,9.25,5837
6-Sep-17,9.36,9.56,9.34,9.41,3174
5-Sep-17,9.50,9.50,9.36,9.38,6825
4-Sep-17,9.50,9.69,9.34,9.50,4843
1-Sep-17,9.71,9.71,9.35,9.62,6677
31-Aug-17,9.34,9.69,9.34,9.69,9045
30-Aug-17,9.55,9.58,9.24,9.51,17705
29-Aug-17,9.65,9.65,9.45,9.55,10917
28-Aug-17,9.51,9.74,9.51,9.66,3242
25-Aug-17,9.51,9.70,9.51,9.70,6769
24-Aug-17,9.51,9.70,9.42,9.67,19297
23-Aug-17,9.38,9.45,9.30,9.45,11317
22-Aug-17,9.27,9.44,9.21,9.29,9627
21-Aug-17,9.29,9.39,9.04,9.24,10175
18-Aug-17,9.23,9.30,9.00,9.14,7070
17-Aug-17,9.00,9.37,8.93,9.18,12712
16-Aug-17,8.79,8.99,8.50,8.98,27080
14-Aug-17,9.09,9.09,8.48,8.92,70610
11-Aug-17,9.25,9.32,9.20,9.25,7197
10-Aug-17,9.44,9.44,9.17,9.27,10262
9-Aug-17,9.46,9.50,9.14,9.26,20173
8-Aug-17,9.50,9.63,9.40,9.46,9796
7-Aug-17,9.35,9.60,9.35,9.36,15885
4-Aug-17,9.50,9.72,9.33,9.33,58209
3-Aug-17,9.47,9.50,9.32,9.40,30602
2-Aug-17,9.79,9.79,9.28,9.30,93793
1-Aug-17,10.03,10.29,9.71,9.73,42084
31-Jul-17,10.30,10.30,10.01,10.01,15546
28-Jul-17,10.45,10.45,10.03,10.18,27949
27-Jul-17,10.49,10.60,10.36,10.40,16782
26-Jul-17,10.86,10.91,10.24,10.40,56130
25-Jul-17,10.88,11.28,10.50,10.86,30239
24-Jul-17,10.75,10.80,10.60,10.74,6923
21-Jul-17,10.68,11.10,10.50,10.75,22468
20-Jul-17,10.70,10.70,10.51,10.67,8753
19-Jul-17,11.03,11.03,10.01,10.50,67116
18-Jul-17,11.04,11.04,10.80,11.03,18409
17-Jul-17,10.99,11.14,10.98,11.05,18983
14-Jul-17,11.10,11.23,10.90,11.00,22067
13-Jul-17,11.30,11.31,10.55,10.98,21164
12-Jul-17,11.49,11.57,11.46,11.46,1205
11-Jul-17,11.55,11.60,11.32,11.32,3494
10-Jul-17,11.60,11.67,11.55,11.55,1991
7-Jul-17,11.50,11.70,11.39,11.59,7215
6-Jul-17,11.50,11.70,11.45,11.58,4296
5-Jul-17,11.35,11.50,11.20,11.49,11048
4-Jul-17,11.23,11.28,11.16,11.28,3846
3-Jul-17,11.45,11.45,11.25,11.25,1776
30-Jun-17,11.53,11.53,11.40,11.45,8344
29-Jun-17,11.47,11.55,11.25,11.42,6985
28-Jun-17,11.50,11.59,11.23,11.42,8297
27-Jun-17,11.40,11.69,11.30,11.40,11852
26-Jun-17,11.25,11.40,11.21,11.35,7538
23-Jun-17,11.27,11.38,11.10,11.32,6860
22-Jun-17,11.23,11.45,11.23,11.35,5101
21-Jun-17,11.30,11.35,11.16,11.19,4607
