b'\xef\xbb\xbfDate,Open,High,Low,Close,Volume
15-Sep-17,3.71,3.71,3.68,3.70,6568
14-Sep-17,3.70,3.70,3.67,3.69,11071
13-Sep-17,3.70,3.70,3.63,3.70,1684
12-Sep-17,3.70,3.70,3.67,3.70,65
11-Sep-17,3.72,3.72,3.67,3.68,1257
8-Sep-17,3.70,3.70,3.66,3.70,9114
7-Sep-17,3.73,3.73,3.65,3.70,138
6-Sep-17,3.70,3.73,3.66,3.70,2976
5-Sep-17,3.70,3.72,3.66,3.70,3694
4-Sep-17,3.70,3.71,3.65,3.65,4286
1-Sep-17,3.73,3.73,3.66,3.70,17919
31-Aug-17,3.70,3.83,3.66,3.83,9872
30-Aug-17,3.65,3.74,3.60,3.70,6552
29-Aug-17,3.70,3.70,3.55,3.64,3095
28-Aug-17,3.75,3.75,3.65,3.69,2649
25-Aug-17,3.75,3.81,3.69,3.72,4443
24-Aug-17,3.81,3.81,3.67,3.70,4002
23-Aug-17,3.84,3.84,3.67,3.71,48403
22-Aug-17,3.84,3.84,3.65,3.81,73772
21-Aug-17,3.80,3.83,3.68,3.71,2319
18-Aug-17,3.75,3.75,3.63,3.75,15905
17-Aug-17,3.76,3.76,3.69,3.71,367
16-Aug-17,3.69,3.83,3.66,3.69,14660
14-Aug-17,3.59,3.68,3.59,3.65,9194
11-Aug-17,3.64,3.64,3.60,3.64,914
10-Aug-17,3.62,3.64,3.57,3.64,2010
9-Aug-17,3.65,3.68,3.60,3.65,9627
8-Aug-17,3.75,3.75,3.60,3.65,33397
7-Aug-17,3.67,3.76,3.65,3.70,5124
4-Aug-17,3.75,3.75,3.65,3.67,704
3-Aug-17,3.75,3.76,3.60,3.67,4145
2-Aug-17,3.80,3.80,3.67,3.70,2538
1-Aug-17,3.77,3.80,3.70,3.79,4181
31-Jul-17,3.75,3.78,3.66,3.76,2818
28-Jul-17,3.75,3.75,3.70,3.70,408
27-Jul-17,3.74,3.74,3.71,3.71,180
26-Jul-17,3.72,3.77,3.66,3.72,474
25-Jul-17,3.72,3.79,3.62,3.71,4940
24-Jul-17,3.72,3.72,3.70,3.72,371
21-Jul-17,3.78,3.83,3.65,3.70,3955
20-Jul-17,3.75,3.83,3.75,3.78,2245
19-Jul-17,3.75,3.75,3.70,3.72,1278
18-Jul-17,3.72,3.72,3.70,3.70,2172
17-Jul-17,3.75,3.75,3.65,3.75,16120
14-Jul-17,3.85,3.85,3.66,3.83,12061
13-Jul-17,3.87,3.87,3.74,3.74,2292
12-Jul-17,3.72,3.87,3.69,3.87,3025
11-Jul-17,3.79,3.80,3.71,3.71,1486
10-Jul-17,3.82,3.82,3.70,3.74,4288
7-Jul-17,3.75,3.79,3.72,3.72,1838
6-Jul-17,3.81,3.81,3.69,3.75,4152
